011.xin.	3600	in	ns	dns17.hichina.com.
011.xin.	3600	in	ns	dns18.hichina.com.
0111.xin.	3600	in	ns	dns27.hichina.com.
0111.xin.	3600	in	ns	dns28.hichina.com.
0121.xin.	3600	in	ns	dns25.hichina.com.
0121.xin.	3600	in	ns	dns26.hichina.com.
0123.xin.	3600	in	ns	dns21.hichina.com.
0123.xin.	3600	in	ns	dns22.hichina.com.
0123f.xin.	3600	in	ns	dns13.hichina.com.
0123f.xin.	3600	in	ns	dns14.hichina.com.
01291.xin.	3600	in	ns	dns10.hichina.com.
01291.xin.	3600	in	ns	dns9.hichina.com.
013.xin.	3600	in	ns	dns21.hichina.com.
013.xin.	3600	in	ns	dns22.hichina.com.
014.xin.	3600	in	ns	dns23.hichina.com.
014.xin.	3600	in	ns	dns24.hichina.com.
01432.xin.	3600	in	ns	dns3.hichina.com.
01432.xin.	3600	in	ns	dns4.hichina.com.
015.xin.	3600	in	ns	dns10.hichina.com.
015.xin.	3600	in	ns	dns9.hichina.com.
015326.xin.	3600	in	ns	aida.ns.cloudflare.com.
015326.xin.	3600	in	ns	ed.ns.cloudflare.com.
016.xin.	3600	in	ns	dns10.hichina.com.
016.xin.	3600	in	ns	dns9.hichina.com.
01675.xin.	3600	in	ns	dns19.hichina.com.
01675.xin.	3600	in	ns	dns20.hichina.com.
016ysmjip.xin.	3600	in	ns	ns1.domainnamedns.com.
016ysmjip.xin.	3600	in	ns	ns2.domainnamedns.com.
017.xin.	3600	in	ns	dns29.hichina.com.
017.xin.	3600	in	ns	dns30.hichina.com.
017.xin.	3600	in	ns	expirens3.hichina.com.
017.xin.	3600	in	ns	expirens4.hichina.com.
01770771.xin.	3600	in	ns	brooks-range.ns.atrustdns.com.
01770771.xin.	3600	in	ns	woods.ns.atrustdns.com.
018.xin.	3600	in	ns	dns31.hichina.com.
018.xin.	3600	in	ns	dns32.hichina.com.
018yun.xin.	3600	in	ns	dns21.hichina.com.
018yun.xin.	3600	in	ns	dns22.hichina.com.
019.xin.	3600	in	ns	dns1.hichina.com.
019.xin.	3600	in	ns	dns2.hichina.com.
0191.xin.	3600	in	ns	ns1.dyna-ns.net.
0191.xin.	3600	in	ns	ns2.dyna-ns.net.
019jb0sc.xin.	3600	in	ns	dns27.hichina.com.
019jb0sc.xin.	3600	in	ns	dns28.hichina.com.
01ww.xin.	3600	in	ns	dns19.hichina.com.
01ww.xin.	3600	in	ns	dns20.hichina.com.
01x13k30.xin.	3600	in	ns	dns27.hichina.com.
01x13k30.xin.	3600	in	ns	dns28.hichina.com.
