ski.	3600	in	soa	a0.nic.ski. hostmaster.donuts.email. 1767661835 7200 900 1209600 3600
08ktih5dcpfq02u31opbtumff985jpmj.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. Te14J+D/h95utmFa20p8i2Tq89jOhKCAuMC2QvT6nuyM9+2E+2+6HkS8hXZRO9c/2JYy4rHe1un1h+GAUZfKzI25QoJSMLJiD6StA7v2ce9g20chA29GV8EFfoiSDTpNxzO4ZRZ7lVow0p9HrZzAO73XMyiHKGC+oTZbF65MuBI=
091rudm0rscjebd3pg9d3ivqepe44mi1.ski.	3600	in	nsec3	1 1 0 73 0CK6RO7GQV1VG3R4LGDU26TTPPJV433U NS DS RRSIG
091rudm0rscjebd3pg9d3ivqepe44mi1.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. Oiv6gSn9MwHJseF1NepQGiiv3NgtEbZsBPQN57RDJR1EaFyEaakieiVtXeAMaQE3km8VeRf9uofYACgpsmoTG25So5s6P6z56tYKUa9HvIFZ+T5+q6MwnJmZpisLa5fHtbde+YvhGYpPPmxFQ0ISHNKEO/5+YkaLpTu5oScRqhQ=
0ck6ro7gqv1vg3r4lgdu26ttppjv433u.ski.	3600	in	nsec3	1 1 0 73 0CNM7T2CEHHG43MG8OL9FOO7VTH53IJN NS DS RRSIG
0ck6ro7gqv1vg3r4lgdu26ttppjv433u.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. HUia2cJqpkt+73w7N4yJaQkJjnJhhUVOsmJhYWhcorA6ti9ivjbW7ctz+Gu6exRs6fj9CoX+5Qm2HeaDDj27W5V5t9DC4rjf/K1RS3CaSjtg4JcrdFy4WQOqkZapJJ5Sv/ahf9O46v1ejlD98pObUBrwdCCMjR3N2g/0MObos0U=
0cnm7t2cehhg43mg8ol9foo7vth53ijn.ski.	3600	in	nsec3	1 1 0 73 0DOGBEDHI9AN3R70O379FO9NA7BLJQDF NS DS RRSIG
0cnm7t2cehhg43mg8ol9foo7vth53ijn.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. GojK7K5UCXokAPgQwDYdHcwN3ys3tGes0H4jZfx6uylSzGvvGCSCKJ8rOZ/oEQtIRdsRawHboAxxILnNtK8jgXgc+aEGi4PUvF5OuxWBPliB97+ZcrvCSkLr+ZD+YvyWyMWru5hrKRHqVM/FliNis8/WQSHXVW2thke01W1/oKg=
0dogbedhi9an3r70o379fo9na7bljqdf.ski.	3600	in	nsec3	1 1 0 73 0J624V2CU4Q6THVPQ9EJRC61UVH1KBGO NS DS RRSIG
0dogbedhi9an3r70o379fo9na7bljqdf.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. fzHg6VYrRMVHjvAoczQZ+F1VgplnlIbKJHJJvaOnRrzK5DymALRmU2ir8EgrVhowzj7ntpMrWG2t+Fmn1C6q/gIwG4mLwpaqni6Eox5WAc9MS8w3hzS4m7JB0+OpOqj3u8GTP2hD83PqTIbYBtPUACAKOw6YL5aEpORVxunsu8k=
0j624v2cu4q6thvpq9ejrc61uvh1kbgo.ski.	3600	in	nsec3	1 1 0 73 0KTT1QP3BDQOJLJJ0NT3A9K0P3BD6GJ0 NS DS RRSIG
0j624v2cu4q6thvpq9ejrc61uvh1kbgo.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. SQ64sBHHdEASUKiKOTzbo1KsYBVaIa+O+rLjTjiYe6wfNRJBC5EBNZ4D0P+2jTdSo5IQ0+hBG269iHYgtirFSKqIxayD7dCwEhOx+GReioS3egOZrb3btDmVLqPTe7+vcfRkxYkwjaBsBDgc2/meFjBHcxEly/f4z5WsZ33lrPI=
0ktt1qp3bdqojljj0nt3a9k0p3bd6gj0.ski.	3600	in	nsec3	1 1 0 73 0LH1PN7MKN0OSVSRQQOE6FNKTEBMI53G NS DS RRSIG
0ktt1qp3bdqojljj0nt3a9k0p3bd6gj0.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. J3wWd0yhrMBKBdlP6B6ZTLVI9ih9C52We25X9o9odziS+yU5nfLOilkgNo0VeXuZv6HNLxi8itNEccF5vliPShj+ayWsFoSNDAs/oq0IdUUwur8udBEK6D6RSR/WlwcyVPZQGB8vN5mhcievkNPYky2ehYoqhYAwWs6q+1n6K8w=
0lh1pn7mkn0osvsrqqoe6fnktebmi53g.ski.	3600	in	nsec3	1 1 0 73 0OQQ3G9D9Q2DOT66E1162B0KAKNLT3QV NS DS RRSIG
0lh1pn7mkn0osvsrqqoe6fnktebmi53g.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. i2rd8HQazCGtmCVfSUJmUC7VJHv0QwH4zSGr27P7GwZ+PxGMGhdz1RGAtAB76cyxvIVRpxgXcVnM06ltxW5UQ8J9CUxlAnfdArF5Svs1MJVAZeVfuZOdr8gL3s94ZXtwKQpnjKfF+HfzDiG6AccAYrz5lyWoqdZJeSc55BIIFnE=
0oqq3g9d9q2dot66e1162b0kaknlt3qv.ski.	3600	in	nsec3	1 1 0 73 0Q0UDERJK191QCF1M6B1FAGSCUOB36T1 NS DS RRSIG
0oqq3g9d9q2dot66e1162b0kaknlt3qv.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. die5K0jzMHTjBYYZ2UOG8u0NjtAAdi/6CTZFhdFLFWcPzuTdbrgwOJ7FDgR4wm6FDNE3ABOyn0aAUysWAfUtUibaT0lQG73W9eEogvKPYMeB4cfplPbkvbonshfbr1DC/Vg8/chkhKmtwjHlxDZfOE/0bztd6ZopExT8o12sc0M=
0q0uderjk191qcf1m6b1fagscuob36t1.ski.	3600	in	nsec3	1 1 0 73 0R5JCB6PJJTAT145DTAVRLVF4ON6TE6R NS DS RRSIG
0q0uderjk191qcf1m6b1fagscuob36t1.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. cKSIaH/IBwmMknYgxtN5kewP5sFAhCWzo5Xs8hOARmrz0rgdWsmsGCx580jVV/+SRBsOkR4Wq4UgaocWDVI9akdG9LXpoM80IABQhS3mb/mcaU3q3KZUyYhsV8N97895eiE6nNmtoxaNbAxUsL3u0n18bv7g5FS6RWV1XYHlRyQ=
0r5jcb6pjjtat145dtavrlvf4on6te6r.ski.	3600	in	nsec3	1 1 0 73 0R7JOV4Q9A0MLF5CNR9N8PRF5PI7KJSK NS DS RRSIG
0r5jcb6pjjtat145dtavrlvf4on6te6r.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. Vxl0jwWqfBnQhtN4HdYsJ/hvTUCsYQAC+hRo7AIJZNqf/VctR+tkEgCVaLyE5fQnE/3ofsbPlLl9bDemb4YMiMHN+V+Rm//Rh6vUJaMzRzCqH11rHFEu0DeONweexgmrBSx4WALRr22UIsuEg+fLxVi63TEWDRbppNZzHwxc1Mo=
0r7jov4q9a0mlf5cnr9n8prf5pi7kjsk.ski.	3600	in	nsec3	1 1 0 73 0TJ1QHBHO93H2L2D5C3SGR6O2QUNIALA NS DS RRSIG
0r7jov4q9a0mlf5cnr9n8prf5pi7kjsk.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. gHO+z559S1JVlD2KlQHwwATo6z2hH5HYKyJunoxiDhQ7frCHB6Ws5vrwpPdU3o+bUuLVHls+FQ2qhpWBO0HOppKvcDzRuyi9vNTLaZjSaSUnM0MrjoMAZKZCuQwfrz1MHQJ5PkK8+bg+Dea6w0PdnflfqYh/nbhCd5TKwiCMeEM=
0tj1qhbho93h2l2d5c3sgr6o2quniala.ski.	3600	in	nsec3	1 1 0 73 0UPOHBNVLVV6EACODMFBFSEGEM7MDQ34 NS DS RRSIG
0tj1qhbho93h2l2d5c3sgr6o2quniala.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. efnF3LJRhomaKL50I+Bt+3drdEwVDaJj2sF3OcZsKEq8CP6Tw8VkP1NGrWKsOE933NT4T6KTGxcPP4ZeePzDa/QB95jINdF7sJpJ557jurG0lr6R2t/9bMfCxU9PUoePXLKedHS43d3cuETPlslFdD+UhtUwOrcYGfE0FIM6nEM=
0upohbnvlvv6eacodmfbfsegem7mdq34.ski.	3600	in	nsec3	1 1 0 73 0UUVC4IQM8B10862NELMODHDH06GOK8L NS DS RRSIG
0upohbnvlvv6eacodmfbfsegem7mdq34.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. Cl3A+XCG+P7ADYoZ0pqK7/vUhlsc1aaNy6M1ZrPN1SP0Vr2p1p6Q+ULnxwipngT/JKzFT+fk8h6k1oF62Ku24MIa4Z4K/Q4j/CXvNDIMEtekWc9HonzJOBmFtIcTVd8kLBF95Ihg6UK0a/R0GEkpDvWmKLIyvUa4zkf6pXcgyyE=
0uuvc4iqm8b10862nelmodhdh06gok8l.ski.	3600	in	nsec3	1 1 0 73 10L4LRMUPU3K0HFSL119FQHG3M6FPMJ6 NS DS RRSIG
0uuvc4iqm8b10862nelmodhdh06gok8l.ski.	3600	in	rrsig	NSEC3 8 2 3600 20260122155824 20260101145824 25581 ski. SVWDesRYv2ZTezxkt3wvSYiB8jyYbZubb6Y82WOhLqZ5KqaxkvYgHSA3bGSDxHU8OnlE0w2QUw6aa2QT08uRtrIyOFdjMaC+Jm36AyxVNIQX1QIz0P9h+Yqr5ck58Mfv9tzmLKQTHsdovgGfcS/rWej0llmHSqp6ih/NV2pBpjA=
101.ski.	3600	in	ds	2371 13 2 571413F8205F31BDE56FC7F88C4D46BA4CBBA15FC43B3C8E73F01B7DE71E2761
101.ski.	3600	in	ns	frank.ns.cloudflare.com.
101.ski.	3600	in	ns	walk.ns.cloudflare.com.
