0006.mom.	3600	in	ns	lily.ns.cloudflare.com.
0006.mom.	3600	in	ns	norm.ns.cloudflare.com.
0006.mom.	900	in	nsec	0007.mom. NS RRSIG NSEC
0006.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. jUGbxSsHfUBV4zIQGQ92b9BE6oclLFYq+AFMXTClZM/Ibg0/N70OMEZk7fPNl0TSAsQoYmN2uPV2wMzXKiUGEg==
0007.mom.	3600	in	ns	lily.ns.cloudflare.com.
0007.mom.	3600	in	ns	norm.ns.cloudflare.com.
0007.mom.	900	in	nsec	0007bet.mom. NS RRSIG NSEC
0007.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. BqgueOXVpi9o9E9jBODMva5KMv67XX323zWS6RgGE7/JLw3UYdflxcAlNmdYHiAoQ4oqAfNANZGMpsSXWGYcxg==
0007bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0007bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0007bet.mom.	900	in	nsec	0008.mom. NS RRSIG NSEC
0007bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 61JeKwW9Z7oBH6hj32io+y1mFv/9PspvKD3OBz7DARsQKnAmT+ZDNznKYN9je3YtSuV61+ePmcl0rEGUCHNZEw==
0008.mom.	3600	in	ns	lily.ns.cloudflare.com.
0008.mom.	3600	in	ns	norm.ns.cloudflare.com.
0008.mom.	900	in	nsec	0009.mom. NS RRSIG NSEC
0008.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. +QMujA3y29XQLmpgHwgBmNstnSdOngwSVQVpEDTI7jyk9oEoJa0Zvi+SlnboUC1hj4b/yQnBYO7JFsvJg5vHBA==
0009.mom.	3600	in	ns	lily.ns.cloudflare.com.
0009.mom.	3600	in	ns	norm.ns.cloudflare.com.
0009.mom.	900	in	nsec	0009bet.mom. NS RRSIG NSEC
0009.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 54pcEOpmp6wxW+ZwRFkLu93jXaN4RfVW4fqPbDs/lzTbFqwpq1gH2E+Vxf9WbxvBPbTb9at7dX0WQNwHIPdWmw==
0009bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0009bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0009bet.mom.	900	in	nsec	001.mom. NS RRSIG NSEC
0009bet.mom.	900	in	rrsig	NSEC 13 2 900 20260209094915 20260110081915 34859 mom. PR1grWcuewP0uq/wA74B8Los1Wh2rPCvw74wk+dmXjt4J/XLXLhy/nj94I9ZZI/97xwo9bn6RgFqg4KH56r5Hw==
001.mom.	3600	in	ns	ns1.dyna-ns.net.
001.mom.	3600	in	ns	ns2.dyna-ns.net.
001.mom.	900	in	nsec	0010.mom. NS RRSIG NSEC
001.mom.	900	in	rrsig	NSEC 13 2 900 20260209094915 20260110081915 34859 mom. 95iM8N7DrYqi0QV0L9LulqcEFC1OP52lNHACZH+sywSMZMEK429g6pSL7EEND29iDtO+IrrKlGlHSWBXfLnKkQ==
0010.mom.	3600	in	ns	lily.ns.cloudflare.com.
0010.mom.	3600	in	ns	norm.ns.cloudflare.com.
0010.mom.	900	in	nsec	001bet.mom. NS RRSIG NSEC
0010.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. jOELr5NHYqLt8iurk1OViKs8NwdsmEEffFW4gZwC1v3F4xWP4vpmm/9KhuoiOfYUpyUNdTd///NyCsUA5rthLQ==
001bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
001bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
001bet.mom.	900	in	nsec	001win.mom. NS RRSIG NSEC
001bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. CDncDJai8BfYPWJGS2J/NwgZ/HqGfyDkS9p7J+dnLmC72NO8jwotFtYUA2Z6xsktG/pzKCIbku1vnA8PVAcuLg==
001win.mom.	3600	in	ns	chance.ns.cloudflare.com.
001win.mom.	3600	in	ns	dawn.ns.cloudflare.com.
001win.mom.	900	in	nsec	0033bet.mom. NS RRSIG NSEC
001win.mom.	900	in	rrsig	NSEC 13 2 900 20260131070732 20260101053732 34859 mom. m1qVkcIkXNLbuaZ7ks5x2C0t0LPynK+7E7Eq8L0hZdB2toN6eqjFfwTsGOXpX1yhBsBGBay3t5+Vm5DuBOZ6YA==
0033bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0033bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0033bet.mom.	900	in	nsec	004.mom. NS RRSIG NSEC
0033bet.mom.	900	in	rrsig	NSEC 13 2 900 20260208082206 20260109065206 34859 mom. puIaoJYAuwRcnVYqeX7VIsGkzYqi/++BybSQ0vE8gBbniTMQjRnd2WFn5w6+bdJEbQxWztH2OEx1VdmuVHK4GQ==
004.mom.	3600	in	ns	ns1.park-my-domain.net.
004.mom.	3600	in	ns	ns2.park-my-domain.net.
004.mom.	900	in	nsec	00580.mom. NS RRSIG NSEC
004.mom.	900	in	rrsig	NSEC 13 2 900 20260208082206 20260109065206 34859 mom. sGpQKRlw2ainpbWHu3f1adPe3UUN47ByDo1ssGVRERfeB2Cok6LecnLqwsCvR+zhmMoBnvPs5HQt+kGqdgqalQ==
00580.mom.	3600	in	ns	annabel.ns.cloudflare.com.
00580.mom.	3600	in	ns	carl.ns.cloudflare.com.
00580.mom.	900	in	nsec	0066bet.mom. NS RRSIG NSEC
00580.mom.	900	in	rrsig	NSEC 13 2 900 20260131070732 20260101053732 34859 mom. PqBtJ9bCwjkXoksftBt5kO6vCVVOSAHSPLKjWXAONU3ePrk1b+vJpMNtM8TYRCK/gEG9e3iYRN6PrsZVEv04sw==
0066bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
0066bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
0066bet.mom.	900	in	nsec	006bet.mom. NS RRSIG NSEC
0066bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. WP2cd338tQo9xIqAsoytgxWPuQ5c9eylY44aoAXL+RYGWGmZSfjMmOU7y4RkR1R0pDH4M3sPN488L8XzTRRIGQ==
006bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
006bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
006bet.mom.	900	in	nsec	0072b.mom. NS RRSIG NSEC
006bet.mom.	900	in	rrsig	NSEC 13 2 900 20260214081533 20260115064533 34859 mom. XzbjPUp5/jHjhHL6lMenfZWFhWXGyVoL+oPnKkG7xhxBwAYlDaWTPW7CsRRkAA73//QZaDJkNvxcDvcPcTXhOQ==
0072b.mom.	3600	in	ns	bethany.ns.cloudflare.com.
0072b.mom.	3600	in	ns	rob.ns.cloudflare.com.
0072b.mom.	900	in	nsec	0072c.mom. NS RRSIG NSEC
0072b.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. pQDw+Sm5QYodiuRyVly6kFR5yJsG84aZBxoI4lhVgiyExFfFrub5TDzz0dKEiv4lgx3T+HiQEFau5XHP9ZAMiA==
0072c.mom.	3600	in	ns	fish.ns.cloudflare.com.
0072c.mom.	3600	in	ns	trey.ns.cloudflare.com.
0072c.mom.	900	in	nsec	0072d.mom. NS RRSIG NSEC
