nexus.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2026010509 21600 3600 259200 900
01bcl2npn2bqihvnhd9jce46t2pi3bde.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. hFRI3PG69Q+S0pC3DHSNjofIXATDmBeRwc6hfQDbeFOxaqgDauw4NhwqBRpLX/1yYYUj+ky+3CkbrVKz+5lIVhCLcnMvo5aEYcciewfozFsRLPyI1Q4wO0VhBD5QcyycKoeCQz21SLJnrZHYOKnfM5MSWEnqDzhBEHon1YWo7oE=
01dtci8kklaor6m38fddpgi28b2pjjtf.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 01I1HH1SKGDCSUTG123M54GOVRFNR7DB NS DS RRSIG
01dtci8kklaor6m38fddpgi28b2pjjtf.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. J11AtUpTJ8AYBwPOpCgPjYImsQsyuSu9t7HC7Uayian6K0GFHlgxZUS9fio3fIGBJyGNg8uLseNtw/yZ7lAZK0Sx8DhBDUGvZykzSobWGhB0TJgrPaYVfvkXKeIu6rEwPfJa+NrxqMLNoC12++WfkEBKPLftJTkLAhXa3ZN7lAA=
01i1hh1skgdcsutg123m54govrfnr7db.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 01J1HIPP44HOL5MBNB9L865MJBHCLB6T NS
01i1hh1skgdcsutg123m54govrfnr7db.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. iSuo6I816DMvr3OS5rjQ4/0GpnRLZvZR4D9tGKQ2j7NetOHQLXpSVCRkHiHXuf4cFUA52qf0W8JHh2kDmQi00FqOlJTvEzrnt5q6QFB3WujraqHaPN3PubRWfPB2YtvNcuZD/GYD3dvWydAMPcb1i+e8vTuPan//ufhBXDoLQKs=
01j1hipp44hol5mbnb9l865mjbhclb6t.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 01SRK97NAQA0KFTS1H42P05AB1H2BQV0 NS DS RRSIG
01j1hipp44hol5mbnb9l865mjbhclb6t.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. V/b81g8Evw+4LqJvNvoVVbJTIuF+X6K3qqKkNIdgfkllOjf3oOSFvphIqMWpCwUN5KM+QItjXcJ/d9dHWcs6LhdMKYAjYlJmRQfjtIz2SbDfl1y5hFQ38oUx3QxhI0Z9im+wDONiRqlYMM7bFWzKsm5+akM460rzSQkqWo9ljQ4=
01srk97naqa0kfts1h42p05ab1h2bqv0.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 029VHQ8BBIA373GLPGV0ISKIR1IE1HP2 NS
01srk97naqa0kfts1h42p05ab1h2bqv0.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. IxXD7KGMliefXN0T2IH8vCcUh7syjXKWcfNI0mhK1KGJxaXXGaCGVmNyVJ7url0QGshzEuLHvMJHXGImsiaBXzcWHsBtHRI75B1OhbHuqyKxsGfooRKfnzVC1Fb5JT+Y+eQOsmg6gMxRCfawRnuxW4KJEAeoNL8GDl5964vE/cA=
029vhq8bbia373glpgv0iskir1ie1hp2.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 02DSV7TNTKSH0LCI4RR89LSBI1GLE8S3 NS
029vhq8bbia373glpgv0iskir1ie1hp2.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. EERgCPTLKl3Wt8Z70gZkrLrRe67S4CAsNLg5Pp5O6L+0PwmtJ76Fxv1DvThMBBhOzJW2XC5MLn3BKhoxflz19KnjkJQrCWeCndFPxAUGchE13wpPi1VBemDPUQmNZD3y51nADz0pkN+LgLU07RTIJYaCsHs68RcAUxairL3nV5I=
02dsv7tntksh0lci4rr89lsbi1gle8s3.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 02E0UP68QL7F01V820BM8TTQO1B3S4PU NS
02dsv7tntksh0lci4rr89lsbi1gle8s3.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. R1mIuQ3xRScTGDHACYhmd+hCgVCIC/OjW6L4Wkv7kXdVkzdiQFh8wlD+UrV2I4LkBoYq7TNJxGFKUVumVlrCpeXnDfQvNC3j9Iu6DRl8Pp4e8kNX6f9/DBEc1S7Sg5bN5ctcVn4cEqrBL96vReul0Bj+xWfBG6RENn8InFD5I6o=
02e0up68ql7f01v820bm8ttqo1b3s4pu.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 02G1EF5CQJ9T3E4LC1VFTD8IDJH5B46M NS DS RRSIG
02e0up68ql7f01v820bm8ttqo1b3s4pu.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. OsnKK12mUFn6c1FRlZc5M6gYrw4lKVah3UbpjexRedjohremLg510VcNB9o3SynteobhH9LSUnEyNxiF5a17v9NbMkRyrtF/CDb3Fa1B6STDYXzZezjbYS9DO4KgEN//PdDTht+G7l3/QA6sDAcpvzbskuHxZBDmI31X/AAC5Aw=
02g1ef5cqj9t3e4lc1vftd8idjh5b46m.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 02GMSFP7D05PL8VR86KNTBG71KUOL11R NS
02g1ef5cqj9t3e4lc1vftd8idjh5b46m.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. Eyu7HVj+jiMP6oRym2Ibxqln9IV9Z7GuRSeQbvBVJAMGeEWLfUspgrDWe20zpAmmRCn/+W/kIypGoFClzWn7n7RmBFGaOy4n1QNvzuC4fdp8tJ8GXYM5I+6U6fd2UT1/Deujc2xGWN0q9UgDsEKfAIwmTgEvUqKZegMoWZhmFWY=
