0061710773713.beer.	3600	in	ds	11168 13 2 AD592C66E9E4FD11E2CFE0CBDE54A5849AC77679D1BCEF76CF8211B6EA5EE883
0061710773713.beer.	3600	in	ns	launch1.spaceship.net.
0061710773713.beer.	3600	in	ns	launch2.spaceship.net.
0061710773713.beer.	3600	in	rrsig	DS 8 2 3600 20250918131335 20250904122507 21996 beer. JSq/5DQk51u4jRWXQW4Eoq9KgPhlZE5JuAg+4/hQiMIlR9tjn7VupmErN+ZN6beaotyjvTGptTY35aQxtut7mLS1aPREVnQ7anSAR+SRkxi1Vst7kvE1TumMvJyR7a+zEMp1rZkNhDRLrD1yk2AcEjFqky3y7SyoB17FbYCBJKt5OkBE0fETxlKdv0ZEvMbQJpd5yJ9BeaVxU51Qmktg3g==
0062064591367.beer.	3600	in	ds	49132 13 2 EDAE50131CB6FE2FFBA35E6493EB5B6A36DB440AAFB35884561BCC7B8481EBEB
0062064591367.beer.	3600	in	ns	launch1.spaceship.net.
0062064591367.beer.	3600	in	ns	launch2.spaceship.net.
0062064591367.beer.	3600	in	rrsig	DS 8 2 3600 20250915015101 20250901014808 21996 beer. a7sLh1cHTEmCME0gctIo4cRG/I36sgZ2dKnBqgub4LBx3zMCfM2Y9PH0m7VPitT2FNNGwbDG7L63PqfFbqmZqXX1aXVO8vVGclcPiRyGhLpJc1pOyUfkJ3kvD1GMCvtvptoBOf4KjsAz9F4Gmz67hWHf4VVhYe5rDfpT33k3O11JHpBDAGwE99g3DfeIAxVPtWVHB2O3IN+u6B3eL1CBzA==
00653929.beer.	3600	in	ds	43351 13 2 CFBFDC6AACCE8AC5D136332B0DEE927B527790C3EC3BA37ED417EC2C4FA739EE
00653929.beer.	3600	in	ns	launch1.spaceship.net.
00653929.beer.	3600	in	ns	launch2.spaceship.net.
00653929.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. WMbrSn9zbNEKCiSkE5FtgHoAHqhO0JvekAmEd2Xl0FOij8HEypIF46WO8+atvQPktaCKrFAC7fBaswoAfb+GnD1rOoT4hAqHcFMuvi/ms4wS8v2k5lrnQmdLKfWFffh6pIgFyvwF6uIUYej0b+XslTTAEIUVPLWUmreOLirEOqpAw479y2nutEfZF7EpasHT2P0U2UTXjJNHGskRODawIg==
007.beer.	172800	in	ns	apple.dnspod.net.
007.beer.	172800	in	ns	beverly.dnspod.net.
0079188617.beer.	3600	in	ds	25116 13 2 3535C0246820A2180129483E7E717D6DDA221DE42A7C410905D801F4DB0EADC0
0079188617.beer.	3600	in	ns	launch1.spaceship.net.
0079188617.beer.	3600	in	ns	launch2.spaceship.net.
0079188617.beer.	3600	in	rrsig	DS 8 2 3600 20250913063354 20250830060113 21996 beer. I04L+rvWz3lKV/JLUPUjUvMlr34q3sLpEc1NAl9+TSa6kw0rV9tzOqxTQr886jWcMAvO7+Xt04+sIJxNRKR0hrI/IkUwkFHvQfV8RDsB9SB+xp1DT6uSFab1ZI+MbGwS5HdqX7WSzgGTpRgN/MigBADLVpXwJWns0BA7GsimxttvuISgbPoqgFS6gbihOJqtTQRogkDnK20jlQQDnrd9qQ==
0090405361219.beer.	3600	in	ds	18869 13 2 EE5671EF08D8A228CB07FB8B7145F88EE476FC0D80A348F16625F34711E5BD14
0090405361219.beer.	3600	in	ns	launch1.spaceship.net.
0090405361219.beer.	3600	in	ns	launch2.spaceship.net.
0090405361219.beer.	3600	in	rrsig	DS 8 2 3600 20250918131335 20250904122507 21996 beer. gmgWP3yzoJDoE0ktVdaqEY6/FiwLFee/30ilTi+YqspBcaVwnUikcrxGWfPDLWuXRf2a4UrIzHNIu0yAptpfTc94ijgqC0W5RnkxEpyHwgVlPFiqjFD34rPLgNPoAiorBYN+5CvKSEYQDlM3WKjmDvjcOc62JZGL9IrJwaujuPQvomF/AQL570plsdbC4McMmlF2tkgdrOfL3aVnBihz2Q==
0094559937.beer.	3600	in	ds	52063 13 2 DBEEE2A96BBACE9792C569842396BD1CEE112F64E623401D13E268EE1E3AAC82
0094559937.beer.	3600	in	ns	launch1.spaceship.net.
0094559937.beer.	3600	in	ns	launch2.spaceship.net.
0094559937.beer.	3600	in	rrsig	DS 8 2 3600 20250916195057 20250902194751 21996 beer. jDLnOCzBkPE1zj1hkK1HMJW5TBX0APvJ/qRQncRUFzIEDCbn9tu6UL3QOwziGvez5Tul0DAiu9XWlj/gPVoU8AeKNJVQxB6SCyyajjLMXuT47x+/LpZcEwatFjvSmviCevyZA+F3xzh3+YPyBunnQqtkrNACxtXPSvbip+PTU8ThAFLSSyMVa2T/qeWqDJY/MsUTLP6p0NWAFCQkjtM7oQ==
009casino.beer.	3600	in	ns	paislee.ns.cloudflare.com.
009casino.beer.	3600	in	ns	plato.ns.cloudflare.com.
00ab3pqiansqtlf50bm13bu0h96q4heg.beer.	900	in	nsec3	1 1 0 - 015MRODK6RSSOS3BSUESA6ICG4QI3DUD NS DS RRSIG
