mini.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019130899 900 1800 6048000 3600
3door.mini.	3600	in	ns	ns1.brandshelter.com.
3door.mini.	3600	in	ns	ns2.brandshelter.de.
3door.mini.	3600	in	ns	ns3.brandshelter.info.
3door.mini.	3600	in	ns	ns4.brandshelter.net.
3door.mini.	3600	in	ns	ns5.brandshelter.us.
3fd2phel89jtounhksd5jevkihmftvhi.mini.	900	in	nsec3	1 1 0 - E6Q8U7C23T5SA7U628SH504JJ5VEEEGU NS DS RRSIG
3fd2phel89jtounhksd5jevkihmftvhi.mini.	900	in	rrsig	NSEC3 8 2 900 20260216081739 20260117064739 42655 mini. TzOI8jdIc8IEj3yUmoosuDwhRGZvHLFQG63GqeCUKduHPsIFcf7kK70uS9cwJ7kRomxHfjvqw1WJ6oCGqnJNeI+D/EONpw0Ou6ofoNu4mqaOoG3ZUp0/f/BbI7iKypS8pt5n+hvCKEDe1ldh6unNugYTEyB4isGq9wYxu2uJSxI=
5door.mini.	3600	in	ns	ns1.brandshelter.com.
5door.mini.	3600	in	ns	ns2.brandshelter.de.
5door.mini.	3600	in	ns	ns3.brandshelter.info.
5door.mini.	3600	in	ns	ns4.brandshelter.net.
5door.mini.	3600	in	ns	ns5.brandshelter.us.
a.nic.mini.	172800	in	a	194.169.218.95
a.nic.mini.	172800	in	aaaa	2001:067c:13cc:0000:0000:0000:0001:0095
api.mini.	3600	in	ns	ns1.brandshelter.com.
api.mini.	3600	in	ns	ns2.brandshelter.de.
api.mini.	3600	in	ns	ns3.brandshelter.info.
api.mini.	3600	in	ns	ns4.brandshelter.net.
api.mini.	3600	in	ns	ns5.brandshelter.us.
b.nic.mini.	172800	in	a	185.24.64.95
b.nic.mini.	172800	in	aaaa	2a04:2b00:13cc:0000:0000:0000:0001:0095
berlin.mini.	3600	in	ns	ns1.brandshelter.com.
berlin.mini.	3600	in	ns	ns2.brandshelter.de.
berlin.mini.	3600	in	ns	ns3.brandshelter.info.
berlin.mini.	3600	in	ns	ns4.brandshelter.net.
berlin.mini.	3600	in	ns	ns5.brandshelter.us.
bonn.mini.	3600	in	ns	ns1.brandshelter.com.
bonn.mini.	3600	in	ns	ns2.brandshelter.de.
bonn.mini.	3600	in	ns	ns3.brandshelter.info.
bonn.mini.	3600	in	ns	ns4.brandshelter.net.
bonn.mini.	3600	in	ns	ns5.brandshelter.us.
bremen.mini.	3600	in	ns	ns1.brandshelter.com.
bremen.mini.	3600	in	ns	ns2.brandshelter.de.
bremen.mini.	3600	in	ns	ns3.brandshelter.info.
bremen.mini.	3600	in	ns	ns4.brandshelter.net.
bremen.mini.	3600	in	ns	ns5.brandshelter.us.
c.nic.mini.	172800	in	a	212.18.248.95
c.nic.mini.	172800	in	aaaa	2a04:2b00:13ee:0000:0000:0000:0000:0095
cabrio.mini.	3600	in	ns	ns1.brandshelter.com.
cabrio.mini.	3600	in	ns	ns2.brandshelter.de.
cabrio.mini.	3600	in	ns	ns3.brandshelter.info.
cabrio.mini.	3600	in	ns	ns4.brandshelter.net.
cabrio.mini.	3600	in	ns	ns5.brandshelter.us.
campaigns.mini.	3600	in	ns	ns1.brandshelter.com.
campaigns.mini.	3600	in	ns	ns2.brandshelter.de.
campaigns.mini.	3600	in	ns	ns3.brandshelter.info.
campaigns.mini.	3600	in	ns	ns4.brandshelter.net.
campaigns.mini.	3600	in	ns	ns5.brandshelter.us.
chemnitz.mini.	3600	in	ns	ns1.brandshelter.com.
chemnitz.mini.	3600	in	ns	ns2.brandshelter.de.
chemnitz.mini.	3600	in	ns	ns3.brandshelter.info.
chemnitz.mini.	3600	in	ns	ns4.brandshelter.net.
chemnitz.mini.	3600	in	ns	ns5.brandshelter.us.
cloud.mini.	3600	in	ns	ns1.brandshelter.com.
cloud.mini.	3600	in	ns	ns2.brandshelter.de.
cloud.mini.	3600	in	ns	ns3.brandshelter.info.
cloud.mini.	3600	in	ns	ns4.brandshelter.net.
cloud.mini.	3600	in	ns	ns5.brandshelter.us.
clubman.mini.	3600	in	ns	ns1.brandshelter.com.
clubman.mini.	3600	in	ns	ns2.brandshelter.de.
clubman.mini.	3600	in	ns	ns3.brandshelter.info.
clubman.mini.	3600	in	ns	ns4.brandshelter.net.
clubman.mini.	3600	in	ns	ns5.brandshelter.us.
com.mini.	3600	in	ns	ns1.brandshelter.com.
com.mini.	3600	in	ns	ns2.brandshelter.de.
com.mini.	3600	in	ns	ns3.brandshelter.info.
com.mini.	3600	in	ns	ns4.brandshelter.net.
com.mini.	3600	in	ns	ns5.brandshelter.us.
con.mini.	3600	in	ns	ns1.brandshelter.com.
con.mini.	3600	in	ns	ns2.brandshelter.de.
con.mini.	3600	in	ns	ns3.brandshelter.info.
con.mini.	3600	in	ns	ns4.brandshelter.net.
con.mini.	3600	in	ns	ns5.brandshelter.us.
convertible.mini.	3600	in	ns	ns1.brandshelter.com.
convertible.mini.	3600	in	ns	ns2.brandshelter.de.
convertible.mini.	3600	in	ns	ns3.brandshelter.info.
convertible.mini.	3600	in	ns	ns4.brandshelter.net.
convertible.mini.	3600	in	ns	ns5.brandshelter.us.
countryman.mini.	3600	in	ns	ns1.brandshelter.com.
countryman.mini.	3600	in	ns	ns2.brandshelter.de.
countryman.mini.	3600	in	ns	ns3.brandshelter.info.
countryman.mini.	3600	in	ns	ns4.brandshelter.net.
countryman.mini.	3600	in	ns	ns5.brandshelter.us.
d.nic.mini.	172800	in	a	212.18.249.95
d.nic.mini.	172800	in	aaaa	2a04:2b00:13ff:0000:0000:0000:0000:0095
darmstadt.mini.	3600	in	ns	ns1.brandshelter.com.
darmstadt.mini.	3600	in	ns	ns2.brandshelter.de.
darmstadt.mini.	3600	in	ns	ns3.brandshelter.info.
darmstadt.mini.	3600	in	ns	ns4.brandshelter.net.
darmstadt.mini.	3600	in	ns	ns5.brandshelter.us.
dealermaster-market-de.mini.	3600	in	ns	dns-auth-1.corpex-dns.de.
dealermaster-market-de.mini.	3600	in	ns	dns-auth-2.corpex-dns.net.
dortmund.mini.	3600	in	ns	ns1.brandshelter.com.
dortmund.mini.	3600	in	ns	ns2.brandshelter.de.
dortmund.mini.	3600	in	ns	ns3.brandshelter.info.
dortmund.mini.	3600	in	ns	ns4.brandshelter.net.
dortmund.mini.	3600	in	ns	ns5.brandshelter.us.
dreieich.mini.	3600	in	ns	ns1.brandshelter.com.
dreieich.mini.	3600	in	ns	ns2.brandshelter.de.
dreieich.mini.	3600	in	ns	ns3.brandshelter.info.
dreieich.mini.	3600	in	ns	ns4.brandshelter.net.
dreieich.mini.	3600	in	ns	ns5.brandshelter.us.
dresden.mini.	3600	in	ns	ns1.brandshelter.com.
dresden.mini.	3600	in	ns	ns2.brandshelter.de.
dresden.mini.	3600	in	ns	ns3.brandshelter.info.
dresden.mini.	3600	in	ns	ns4.brandshelter.net.
dresden.mini.	3600	in	ns	ns5.brandshelter.us.
drivingexperience.mini.	3600	in	ns	ns1.brandshelter.com.
drivingexperience.mini.	3600	in	ns	ns2.brandshelter.de.
drivingexperience.mini.	3600	in	ns	ns3.brandshelter.info.
drivingexperience.mini.	3600	in	ns	ns4.brandshelter.net.
drivingexperience.mini.	3600	in	ns	ns5.brandshelter.us.
duesseldorf.mini.	3600	in	ns	ns1.brandshelter.com.
duesseldorf.mini.	3600	in	ns	ns2.brandshelter.de.
duesseldorf.mini.	3600	in	ns	ns3.brandshelter.info.
duesseldorf.mini.	3600	in	ns	ns4.brandshelter.net.
duesseldorf.mini.	3600	in	ns	ns5.brandshelter.us.
e6q8u7c23t5sa7u628sh504jj5veeegu.mini.	900	in	nsec3	1 1 0 - 3FD2PHEL89JTOUNHKSD5JEVKIHMFTVHI NS SOA RRSIG DNSKEY NSEC3PARAM
e6q8u7c23t5sa7u628sh504jj5veeegu.mini.	900	in	rrsig	NSEC3 8 2 900 20260216081739 20260117064739 42655 mini. AUS56lZbz/G5O5vO1ld5JSCXmq/kSSElf3jL8lZF0f8TBiIAYe3l8rmXXE4OVLFydxbQpnLj3YimM+HCpiosmO/1/SZbu2p5RQzq+yZQXF3MtEYbyq0AqIk1lWNC6W48oJfWEXwMb7lKIXIfcMrWAdWNySWtxa1yZYpviMuRyrU=
electric.mini.	3600	in	ns	ns1.brandshelter.com.
electric.mini.	3600	in	ns	ns2.brandshelter.de.
electric.mini.	3600	in	ns	ns3.brandshelter.info.
electric.mini.	3600	in	ns	ns4.brandshelter.net.
electric.mini.	3600	in	ns	ns5.brandshelter.us.
esim.mini.	3600	in	ns	ns1.brandshelter.com.
esim.mini.	3600	in	ns	ns2.brandshelter.de.
esim.mini.	3600	in	ns	ns3.brandshelter.info.
esim.mini.	3600	in	ns	ns4.brandshelter.net.
esim.mini.	3600	in	ns	ns5.brandshelter.us.
essen.mini.	3600	in	ns	ns1.brandshelter.com.
essen.mini.	3600	in	ns	ns2.brandshelter.de.
essen.mini.	3600	in	ns	ns3.brandshelter.info.
essen.mini.	3600	in	ns	ns4.brandshelter.net.
essen.mini.	3600	in	ns	ns5.brandshelter.us.
frankfurt.mini.	3600	in	ns	ns1.brandshelter.com.
frankfurt.mini.	3600	in	ns	ns2.brandshelter.de.
frankfurt.mini.	3600	in	ns	ns3.brandshelter.info.
frankfurt.mini.	3600	in	ns	ns4.brandshelter.net.
frankfurt.mini.	3600	in	ns	ns5.brandshelter.us.
go.mini.	3600	in	ns	ns-1275.awsdns-31.org.
go.mini.	3600	in	ns	ns-1736.awsdns-25.co.uk.
go.mini.	3600	in	ns	ns-439.awsdns-54.com.
go.mini.	3600	in	ns	ns-577.awsdns-08.net.
goettingen.mini.	3600	in	ns	ns1.brandshelter.com.
goettingen.mini.	3600	in	ns	ns2.brandshelter.de.
goettingen.mini.	3600	in	ns	ns3.brandshelter.info.
goettingen.mini.	3600	in	ns	ns4.brandshelter.net.
goettingen.mini.	3600	in	ns	ns5.brandshelter.us.
gowithyourgut.mini.	3600	in	ns	ns1.brandshelter.com.
gowithyourgut.mini.	3600	in	ns	ns2.brandshelter.de.
gowithyourgut.mini.	3600	in	ns	ns3.brandshelter.info.
gowithyourgut.mini.	3600	in	ns	ns4.brandshelter.net.
gowithyourgut.mini.	3600	in	ns	ns5.brandshelter.us.
hamburg.mini.	3600	in	ns	ns1.brandshelter.com.
