025ocsi.boats.	3600	in	ns	ns1.dnsip.com.
025ocsi.boats.	3600	in	ns	ns2.dnsip.com.
025pmx7.boats.	3600	in	ns	ns1.alidns.com.
025pmx7.boats.	3600	in	ns	ns2.alidns.com.
027adwk.boats.	3600	in	ns	ns1.alidns.com.
027adwk.boats.	3600	in	ns	ns2.alidns.com.
02cc43t.boats.	3600	in	ns	ns1.dnsip.com.
02cc43t.boats.	3600	in	ns	ns2.dnsip.com.
02cd60d.boats.	3600	in	ns	ns1.alidns.com.
02cd60d.boats.	3600	in	ns	ns2.alidns.com.
02cnkb3.boats.	3600	in	ns	ns1.alidns.com.
02cnkb3.boats.	3600	in	ns	ns2.alidns.com.
02hlsp3.boats.	3600	in	ns	ns1.dnsip.com.
02hlsp3.boats.	3600	in	ns	ns2.dnsip.com.
02hxajr.boats.	3600	in	ns	ns1.alidns.com.
02hxajr.boats.	3600	in	ns	ns2.alidns.com.
02il8af.boats.	3600	in	ns	ns1.superdnsmanager.com.
02il8af.boats.	3600	in	ns	ns2.superdnsmanager.com.
02j834a.boats.	3600	in	ns	ns1.dnsip.com.
02j834a.boats.	3600	in	ns	ns2.dnsip.com.
02jjmdj.boats.	3600	in	ns	ns1.dnsip.com.
02jjmdj.boats.	3600	in	ns	ns2.dnsip.com.
02kgomw.boats.	3600	in	ns	ns1.alidns.com.
02kgomw.boats.	3600	in	ns	ns2.alidns.com.
02onc3o.boats.	3600	in	ns	ns7.alidns.com.
02onc3o.boats.	3600	in	ns	ns8.alidns.com.
02sq.boats.	3600	in	ns	ns1.363.hk.
02sq.boats.	3600	in	ns	ns2.363.hk.
02sq.boats.	3600	in	ns	ns3.363.hk.
02sq.boats.	3600	in	ns	ns4.363.hk.
02v7b8w.boats.	3600	in	ns	ns1.alidns.com.
02v7b8w.boats.	3600	in	ns	ns2.alidns.com.
02vmy0u.boats.	3600	in	ns	ns1.dnsip.com.
02vmy0u.boats.	3600	in	ns	ns2.dnsip.com.
02xz2se.boats.	3600	in	ns	ns1.alidns.com.
02xz2se.boats.	3600	in	ns	ns2.alidns.com.
03.boats.	3600	in	ns	curitiba.ns.porkbun.com.
03.boats.	3600	in	ns	fortaleza.ns.porkbun.com.
03.boats.	3600	in	ns	maceio.ns.porkbun.com.
03.boats.	3600	in	ns	salvador.ns.porkbun.com.
031a231338624ca68df0fb2016d38827.boats.	3600	in	ns	ns1.csof.net.
031a231338624ca68df0fb2016d38827.boats.	3600	in	ns	ns2.csof.net.
031a231338624ca68df0fb2016d38827.boats.	3600	in	ns	ns3.csof.net.
031a231338624ca68df0fb2016d38827.boats.	3600	in	ns	ns4.csof.net.
0347hbz.boats.	3600	in	ns	ns1.dnsip.com.
0347hbz.boats.	3600	in	ns	ns2.dnsip.com.
036lov3.boats.	3600	in	ns	ns1.dnsip.com.
036lov3.boats.	3600	in	ns	ns2.dnsip.com.
036mby8.boats.	3600	in	ns	ns1.dnsip.com.
036mby8.boats.	3600	in	ns	ns2.dnsip.com.
038m88a.boats.	3600	in	ns	ns1.dnsip.com.
038m88a.boats.	3600	in	ns	ns2.dnsip.com.
039ub5m.boats.	3600	in	ns	ns1.alidns.com.
039ub5m.boats.	3600	in	ns	ns2.alidns.com.
03ahg1.boats.	3600	in	ns	ns1.alidns.com.
03ahg1.boats.	3600	in	ns	ns2.alidns.com.
03czbh.boats.	3600	in	ns	ns1.dnsip.com.
03czbh.boats.	3600	in	ns	ns2.dnsip.com.
03d6d2al2erg8ntjmtq9380b9602m52b.boats.	900	in	nsec3	1 1 0 - 03LMB9E9RQ83UEOSIPA7R09IF1J3N937 NS DS RRSIG
03d6d2al2erg8ntjmtq9380b9602m52b.boats.	900	in	rrsig	NSEC3 8 2 900 20260120112036 20251221095036 3856 boats. GPsdaGeyYfNXzTLnSvj/7hg/iWm2MaziScuBKk5AQnERdPjjLDuG2JXzRRLfDJ3EAbBxwqH7PYYTr6EZv4yN6rCAqR1GU+IhmIGHTRKu73DyiVgnEFVuFamzzsaO+CHR5aGYTjhHLDX063K+TBEfEWzLVoIuTxhdl09tg+ncTaM=
03gmy0r.boats.	3600	in	ns	ns1.dnsip.com.
03gmy0r.boats.	3600	in	ns	ns2.dnsip.com.
03iye9k.boats.	3600	in	ns	ns1.dnsip.com.
03iye9k.boats.	3600	in	ns	ns2.dnsip.com.
03jwrdl.boats.	3600	in	ns	ns1.dnsip.com.
03jwrdl.boats.	3600	in	ns	ns2.dnsip.com.
03lmb9e9rq83ueosipa7r09if1j3n937.boats.	900	in	nsec3	1 1 0 - 04SDUMD97KL30BOBKMACBF21RS19RULQ NS DS RRSIG
03lmb9e9rq83ueosipa7r09if1j3n937.boats.	900	in	rrsig	NSEC3 8 2 900 20260120112036 20251221095036 3856 boats. UfFHxMmPk6U0X7VLMdHjdfGfJpD5P7XIUI4bErEqTxCgBknRD2RUjlw9rjazzvJbCVMJJkoAyXjiiMKubSP5+Vru6+i944pK9ogPZ/luJ5/ystKCZPE/a8M9BKB1hHM9hUG0KKVyZuUc+LeY/X4XUXk8hYy6lm/uEOvy6CFvl8o=
03m4dh2.boats.	3600	in	ns	ns1.dnsip.com.
03m4dh2.boats.	3600	in	ns	ns2.dnsip.com.
03mu4k.boats.	3600	in	ns	ns7.alidns.com.
03mu4k.boats.	3600	in	ns	ns8.alidns.com.
03n0hqh.boats.	3600	in	ns	ns1.superdnsmanager.com.
03n0hqh.boats.	3600	in	ns	ns2.superdnsmanager.com.
03ni3um.boats.	3600	in	ns	ns1.alidns.com.
03ni3um.boats.	3600	in	ns	ns2.alidns.com.
03p8hvh.boats.	3600	in	ns	ns1.alidns.com.
03p8hvh.boats.	3600	in	ns	ns2.alidns.com.
03s98bj.boats.	3600	in	ns	ns1.alidns.com.
03s98bj.boats.	3600	in	ns	ns2.alidns.com.
03so4rf.boats.	3600	in	ns	ns1.dnsip.com.
03so4rf.boats.	3600	in	ns	ns2.dnsip.com.
03ubecq.boats.	3600	in	ns	ns1.alidns.com.
03ubecq.boats.	3600	in	ns	ns2.alidns.com.
03vg42u.boats.	3600	in	ns	ns1.alidns.com.
03vg42u.boats.	3600	in	ns	ns2.alidns.com.
03w2aht.boats.	3600	in	ns	ns1.dnsip.com.
03w2aht.boats.	3600	in	ns	ns2.dnsip.com.
04.boats.	3600	in	ns	curitiba.ns.porkbun.com.
04.boats.	3600	in	ns	fortaleza.ns.porkbun.com.
