4cept3svlnjm0f6dnu6t65emimcg5nvt.blackfriday.	900	in	nsec3	1 1 0 - 54HTO20MBQ3FJVHDKBFJD83Q50FU4CG9 NS DS RRSIG
4cept3svlnjm0f6dnu6t65emimcg5nvt.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. qDrAmlxei0O02VXE9QSJuHDbZERUZRf+QlvXLGZkumYb3q+xLE5CCULh0iKiRnZVP4rqIg7FmWKavMZlJwAa+Q==
54hto20mbq3fjvhdkbfjd83q50fu4cg9.blackfriday.	900	in	nsec3	1 1 0 - 60NT8S66A2C6IFE3TGAIAQ4V1GKAESKB NS DS RRSIG
54hto20mbq3fjvhdkbfjd83q50fu4cg9.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. ciZCkcNzzfL0++YVourCgav1DsWdHVR4WUNffLlGbR0r2N8lRQW1eALReQOyw1q/hdU1COa0MuOa+MNXcZS7pg==
60nt8s66a2c6ife3tgaiaq4v1gkaeskb.blackfriday.	900	in	nsec3	1 1 0 - 6TQG5QNQNMD719QECS50V9QP8KMJ5PDL NS SOA RRSIG DNSKEY NSEC3PARAM CDS CDNSKEY
60nt8s66a2c6ife3tgaiaq4v1gkaeskb.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250909045227 20250826042552 29969 blackfriday. l2qYWHtpzIjLSib6VZ2Iy9EplUoGg0DluDkZ7Q1g44q5MSNWSComvuWLB3p/SwGq+4eBRjIH45lUzxY4Qvn04A==
6pm.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
6pm.blackfriday.	7200	in	ns	nssui.comlaude.ch.
6pm.blackfriday.	7200	in	ns	nsusa.comlaude.net.
6tqg5qnqnmd719qecs50v9qp8kmj5pdl.blackfriday.	900	in	nsec3	1 1 0 - 7TDVOIJB60II0Q20KA7NIHS4IH2E1LTU NS DS RRSIG
6tqg5qnqnmd719qecs50v9qp8kmj5pdl.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250907114600 20250824105135 29969 blackfriday. jPUWZC+R1xz0fo7ruCIGsIQuT6uqEpy0JMdQnPW49m213NUP0i13dEP7hxKfyiaRu49XAowBgYKUUAaZiiCc3Q==
789bet.blackfriday.	3600	in	ns	eleanor.ns.cloudflare.com.
789bet.blackfriday.	3600	in	ns	kyrie.ns.cloudflare.com.
7tdvoijb60ii0q20ka7nihs4ih2e1ltu.blackfriday.	900	in	nsec3	1 1 0 - 82C9T6B3LECVEAU59ILQVSNO53DVQBLG NS DS RRSIG
7tdvoijb60ii0q20ka7nihs4ih2e1ltu.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. Cas6TgszJl9/Q8equZwrjqv3654iHkBkqLJncad2qJ9MEB8FSQRvdRT2MIwAh5Lq75yoPKTx5RBStE7a+YJadQ==
82c9t6b3lecveau59ilqvsno53dvqblg.blackfriday.	900	in	nsec3	1 1 0 - 8FGJSQ9E2CIU5TASH6VD8AH2T8TTRIBE NS DS RRSIG
82c9t6b3lecveau59ilqvsno53dvqblg.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250905020747 20250822015417 29969 blackfriday. Luu/8DZeUHm+rYzQeMYouDZL19MNznvpLDid3nxJOqH7u8K2RJevi6d7022tmjdi9PWuKRedfrKDz6yRQYNaFg==
8fgjsq9e2ciu5tash6vd8ah2t8ttribe.blackfriday.	900	in	nsec3	1 1 0 - 8IKFBR537BT8N1EV30U36TMG6G66PCRI NS DS RRSIG
8fgjsq9e2ciu5tash6vd8ah2t8ttribe.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. BOtG6UfDWKB6Sk8h6RDmnn2bv/QNey1P4RpiJRMNeINLkSIA98gjOtRzq87kAniwPbH2k8fj9op+qXPpjLjOyA==
8ikfbr537bt8n1ev30u36tmg6g66pcri.blackfriday.	900	in	nsec3	1 1 0 - 8LI1OQC0HLTKK65I1TQ2G2AHTKO7GD0J NS DS RRSIG
8ikfbr537bt8n1ev30u36tmg6g66pcri.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. 1Y9goIbMqDRlJqM2iiSdF0BfZWZfO1GIyWXhh+IyAL8vpm0Ywi3eq3skduSZVo8blDLgwDtUIx3/JQmpUt9dqg==
8li1oqc0hltkk65i1tq2g2ahtko7gd0j.blackfriday.	900	in	nsec3	1 1 0 - 9MENLV8HC3EOLMC2C449PC30V94VKHFH NS DS RRSIG
8li1oqc0hltkk65i1tq2g2ahtko7gd0j.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250906040059 20250823030155 29969 blackfriday. ObbwygXOB6r6BkuNVucbmjaShcqSQG1FEoJZdbRp5nOCGzVJX+3qprr6gdPItFLMfnzhB6ULRM3AdgG0a1w35A==
8xbet.blackfriday.	3600	in	ns	cora.ns.cloudflare.com.
8xbet.blackfriday.	3600	in	ns	nile.ns.cloudflare.com.
9menlv8hc3eolmc2c449pc30v94vkhfh.blackfriday.	900	in	nsec3	1 1 0 - 9TVG1JFRJGCGRSH9P78E5D7792R4BFG3 NS DS RRSIG
9menlv8hc3eolmc2c449pc30v94vkhfh.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. DArpv/ya8ASW9wOAkXhDvXvsvvSXz/OykGyy9loYBOhQuoPba5O3TjlTffJ3K3o1VVPHwGfLCTSRQuTIKY+UZg==
9tvg1jfrjgcgrsh9p78e5d7792r4bfg3.blackfriday.	900	in	nsec3	1 1 0 - AGCQ6Q996SVK3U936OUO1QC0B900D4B2 NS DS RRSIG
9tvg1jfrjgcgrsh9p78e5d7792r4bfg3.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250908211628 20250825204945 29969 blackfriday. LMO40SOksHeNV+AXAg8coYjH6Sr1kJHv1z8HQlg9V15ZdFz7QUwAQ1UY0T7227+I2bMozFvP7u3mHLoHcUO3Jg==
_forcedupdate.blackfriday.	300	in	rrsig	TXT 13 2 300 20250904071251 20250825153712 29969 blackfriday. oshMGtcpDhxRUMI+O5bqZJRa5Jx02Vj7ujHvVdWAdLcHwxEm3+ma2mWU+zFcfSFVQtJrfQspmyChbQ5a+iwEjg==
_forcedupdate.blackfriday.	300	in	txt	"1756139832"
a.nic.blackfriday.	7200	in	a	37.209.192.10
a.nic.blackfriday.	7200	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0010
a9.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
a9.blackfriday.	7200	in	ns	nssui.comlaude.ch.
a9.blackfriday.	7200	in	ns	nsusa.comlaude.net.
abebooks.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
abebooks.blackfriday.	7200	in	ns	nssui.comlaude.ch.
abebooks.blackfriday.	7200	in	ns	nsusa.comlaude.net.
abercrombie.blackfriday.	7200	in	ns	ns1.markmonitor.com.
abercrombie.blackfriday.	7200	in	ns	ns2.markmonitor.com.
abercrombie.blackfriday.	7200	in	ns	ns3.markmonitor.com.
abercrombie.blackfriday.	7200	in	ns	ns4.markmonitor.com.
abercrombie.blackfriday.	7200	in	ns	ns5.markmonitor.com.
abercrombie.blackfriday.	7200	in	ns	ns6.markmonitor.com.
abercrombie.blackfriday.	7200	in	ns	ns7.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns1.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns2.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns3.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns4.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns5.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns6.markmonitor.com.
abercrombiefitch.blackfriday.	7200	in	ns	ns7.markmonitor.com.
ackermann.blackfriday.	3600	in	ns	ns1-a.nadns1.fr.
ackermann.blackfriday.	3600	in	ns	ns1-b.nadns1.com.
ackermann.blackfriday.	3600	in	ns	ns1-c.nadns1.com.
activinstinct.blackfriday.	7200	in	ns	ns0.phase8.net.
activinstinct.blackfriday.	7200	in	ns	ns1.phase8.net.
activinstinct.blackfriday.	7200	in	ns	ns2.phase8.net.
adwords.blackfriday.	7200	in	ns	ns1.google.com.
adwords.blackfriday.	7200	in	ns	ns2.google.com.
adwords.blackfriday.	7200	in	ns	ns3.google.com.
adwords.blackfriday.	7200	in	ns	ns4.google.com.
aeon.blackfriday.	7200	in	ns	rns1.rightsdns.com.
aeon.blackfriday.	7200	in	ns	rns2.rightsdns.com.
agcq6q996svk3u936ouo1qc0b900d4b2.blackfriday.	900	in	nsec3	1 1 0 - AJGADEI4J47SJ46N1GNHHKIMTQ1JVUN2 NS DS RRSIG
agcq6q996svk3u936ouo1qc0b900d4b2.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250905014914 20250822012326 29969 blackfriday. qtHzvWtGUuL3Lrsmp5+g9JFTT7zzDq4BebnhZfc6fevoB7/njwiAAQB42Lr+iW4vwScLfQIcAeCPFRb1XbOsJw==
ajgadei4j47sj46n1gnhhkimtq1jvun2.blackfriday.	900	in	nsec3	1 1 0 - D5HIRS6KIDRPLS2R6EA0FCJ9ML41PRB7 NS DS RRSIG
ajgadei4j47sj46n1gnhhkimtq1jvun2.blackfriday.	900	in	rrsig	NSEC3 13 2 900 20250905014914 20250822012326 29969 blackfriday. tEQCqJpR3Cg3i2mrGuw0k345FSYJAChsJZdINcV26+3XmivdhSxC8yFu7WxwAQDGRBtbnHWzgak06Jg0EIJ/Vw==
alexa.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
alexa.blackfriday.	7200	in	ns	nssui.comlaude.ch.
alexa.blackfriday.	7200	in	ns	nsusa.comlaude.net.
allsaints.blackfriday.	7200	in	ns	adam.ns.cloudflare.com.
allsaints.blackfriday.	7200	in	ns	cloe.ns.cloudflare.com.
almundo.blackfriday.	3600	in	ns	ns1.brandshelter.com.
almundo.blackfriday.	3600	in	ns	ns2.brandshelter.de.
almundo.blackfriday.	3600	in	ns	ns3.brandshelter.info.
almundo.blackfriday.	3600	in	ns	ns4.brandshelter.net.
almundo.blackfriday.	3600	in	ns	ns5.brandshelter.us.
alo-yoga.blackfriday.	7200	in	ns	ns1.101domain.com.
alo-yoga.blackfriday.	7200	in	ns	ns2.101domain.com.
aloyoga.blackfriday.	7200	in	ns	ns1.101domain.com.
aloyoga.blackfriday.	7200	in	ns	ns2.101domain.com.
alphabet.blackfriday.	7200	in	ns	ns1.googledomains.com.
alphabet.blackfriday.	7200	in	ns	ns2.googledomains.com.
alphabet.blackfriday.	7200	in	ns	ns3.googledomains.com.
alphabet.blackfriday.	7200	in	ns	ns4.googledomains.com.
altex.blackfriday.	7200	in	ns	ns1.101domain.com.
altex.blackfriday.	7200	in	ns	ns2.101domain.com.
altex.blackfriday.	7200	in	ns	ns5.101domain.com.
always.blackfriday.	7200	in	ds	28781 8 2 62C0CC6AD55D5BAE9C39D668535C26690504841E80BBB8E67FCD83120B6C46A5
always.blackfriday.	7200	in	ns	ns031.auroradns.eu.
always.blackfriday.	7200	in	ns	ns032.auroradns.nl.
always.blackfriday.	7200	in	ns	ns033.auroradns.info.
always.blackfriday.	7200	in	rrsig	DS 13 2 7200 20250908090830 20250825084153 29969 blackfriday. MInR4Pabuh3IY71YeE5ejn1cfZo+uKlhVoW4gBqrqfFbVl/MxlNeWDm4yfpAedHH5aTiEol7XNep0PApcFKxrg==
alza.blackfriday.	3600	in	ns	piotr.ns.cloudflare.com.
alza.blackfriday.	3600	in	ns	wanda.ns.cloudflare.com.
amaior.blackfriday.	7200	in	ns	ns1.markmonitor.com.
amaior.blackfriday.	7200	in	ns	ns3.markmonitor.com.
amaior.blackfriday.	7200	in	ns	ns4.markmonitor.com.
amaior.blackfriday.	7200	in	ns	ns5.markmonitor.com.
amazon.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazon.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazon.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazonalexa.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazonalexa.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazonalexa.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazondeals.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazondeals.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazondeals.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazonecho.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazonecho.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazonecho.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazonfire.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazonfire.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazonfire.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazongo.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazongo.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazongo.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazons.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazons.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazons.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazonsolimo.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazonsolimo.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazonsolimo.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazonsouk.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazonsouk.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazonsouk.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amazonsouq.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
amazonsouq.blackfriday.	7200	in	ns	nssui.comlaude.ch.
amazonsouq.blackfriday.	7200	in	ns	nsusa.comlaude.net.
amelhor.blackfriday.	7200	in	ns	ns1.markmonitor.com.
amelhor.blackfriday.	7200	in	ns	ns3.markmonitor.com.
amelhor.blackfriday.	7200	in	ns	ns4.markmonitor.com.
amelhor.blackfriday.	7200	in	ns	ns5.markmonitor.com.
americanasexpress.blackfriday.	7200	in	ns	dns1.name-services.com.
americanasexpress.blackfriday.	7200	in	ns	dns2.name-services.com.
americanasexpress.blackfriday.	7200	in	ns	dns3.name-services.com.
americanasexpress.blackfriday.	7200	in	ns	dns4.name-services.com.
americanasexpress.blackfriday.	7200	in	ns	dns5.name-services.com.
americasfinest.blackfriday.	3600	in	ns	nsa.homedepot.com.
americasfinest.blackfriday.	3600	in	ns	nsb.homedepot.com.
americasfinest.blackfriday.	3600	in	ns	nsc.homedepot.com.
amex.blackfriday.	7200	in	ns	dns1.name-services.com.
amex.blackfriday.	7200	in	ns	dns2.name-services.com.
amex.blackfriday.	7200	in	ns	dns3.name-services.com.
amex.blackfriday.	7200	in	ns	dns4.name-services.com.
amex.blackfriday.	7200	in	ns	dns5.name-services.com.
amissima.blackfriday.	7200	in	ns	dns1.name-services.com.
amissima.blackfriday.	7200	in	ns	dns2.name-services.com.
amissima.blackfriday.	7200	in	ns	dns3.name-services.com.
amissima.blackfriday.	7200	in	ns	dns4.name-services.com.
amissima.blackfriday.	7200	in	ns	dns5.name-services.com.
andotherstories.blackfriday.	7200	in	ns	a1-139.akam.net.
andotherstories.blackfriday.	7200	in	ns	a11-66.akam.net.
andotherstories.blackfriday.	7200	in	ns	a12-67.akam.net.
andotherstories.blackfriday.	7200	in	ns	a28-64.akam.net.
andotherstories.blackfriday.	7200	in	ns	a5-65.akam.net.
andotherstories.blackfriday.	7200	in	ns	a8-66.akam.net.
android.blackfriday.	7200	in	ns	ns1.googledomains.com.
android.blackfriday.	7200	in	ns	ns2.googledomains.com.
android.blackfriday.	7200	in	ns	ns3.googledomains.com.
android.blackfriday.	7200	in	ns	ns4.googledomains.com.
anthropologie.blackfriday.	7200	in	ns	pdns1.ultradns.net.
anthropologie.blackfriday.	7200	in	ns	pdns2.ultradns.net.
anthropologie.blackfriday.	7200	in	ns	pdns3.ultradns.org.
anthropologie.blackfriday.	7200	in	ns	pdns4.ultradns.org.
anthropologie.blackfriday.	7200	in	ns	pdns5.ultradns.info.
anthropologie.blackfriday.	7200	in	ns	pdns6.ultradns.co.uk.
apple.blackfriday.	7200	in	ns	a.ns.apple.com.
apple.blackfriday.	7200	in	ns	b.ns.apple.com.
apple.blackfriday.	7200	in	ns	c.ns.apple.com.
apple.blackfriday.	7200	in	ns	d.ns.apple.com.
appleipadpro.blackfriday.	7200	in	ns	a.ns.apple.com.
appleipadpro.blackfriday.	7200	in	ns	b.ns.apple.com.
appleipadpro.blackfriday.	7200	in	ns	c.ns.apple.com.
appleipadpro.blackfriday.	7200	in	ns	d.ns.apple.com.
applepay.blackfriday.	7200	in	ns	a.ns.apple.com.
applepay.blackfriday.	7200	in	ns	b.ns.apple.com.
applepay.blackfriday.	7200	in	ns	c.ns.apple.com.
applepay.blackfriday.	7200	in	ns	d.ns.apple.com.
arcavindi.blackfriday.	3600	in	ns	a.portsdns.se.
arcavindi.blackfriday.	3600	in	ns	b.portsdns.net.
argos.blackfriday.	7200	in	ns	edns63.ultradns.biz.
argos.blackfriday.	7200	in	ns	edns63.ultradns.com.
argos.blackfriday.	7200	in	ns	edns63.ultradns.net.
argos.blackfriday.	7200	in	ns	edns63.ultradns.org.
arket.blackfriday.	7200	in	ns	a1-139.akam.net.
arket.blackfriday.	7200	in	ns	a11-66.akam.net.
arket.blackfriday.	7200	in	ns	a12-67.akam.net.
arket.blackfriday.	7200	in	ns	a28-64.akam.net.
arket.blackfriday.	7200	in	ns	a5-65.akam.net.
arket.blackfriday.	7200	in	ns	a8-66.akam.net.
arrow.blackfriday.	7200	in	ns	pdns77.ultradns.biz.
arrow.blackfriday.	7200	in	ns	pdns77.ultradns.com.
arrow.blackfriday.	7200	in	ns	pdns77.ultradns.net.
arrow.blackfriday.	7200	in	ns	pdns77.ultradns.org.
artificial-intelligence.blackfriday.	3600	in	ns	dns1.registrar-servers.com.
artificial-intelligence.blackfriday.	3600	in	ns	dns2.registrar-servers.com.
artsy.blackfriday.	7200	in	ns	ns1.p21.dynect.net.
artsy.blackfriday.	7200	in	ns	ns2.p21.dynect.net.
arvixe.blackfriday.	7200	in	ns	parkns1.arvixe.com.
arvixe.blackfriday.	7200	in	ns	parkns2.arvixe.com.
asda.blackfriday.	7200	in	ns	ns1.markmonitor.com.
asda.blackfriday.	7200	in	ns	ns2.markmonitor.com.
asda.blackfriday.	7200	in	ns	ns3.markmonitor.com.
asda.blackfriday.	7200	in	ns	ns4.markmonitor.com.
asda.blackfriday.	7200	in	ns	ns5.markmonitor.com.
asda.blackfriday.	7200	in	ns	ns6.markmonitor.com.
asda.blackfriday.	7200	in	ns	ns7.markmonitor.com.
asos.blackfriday.	7200	in	ns	ns1.netnames.net.
asos.blackfriday.	7200	in	ns	ns2.netnames.net.
asos.blackfriday.	7200	in	ns	ns5.netnames.net.
asos.blackfriday.	7200	in	ns	ns6.netnames.net.
assicurazioni-amissimavita.blackfriday.	7200	in	ns	dns1.name-services.com.
assicurazioni-amissimavita.blackfriday.	7200	in	ns	dns2.name-services.com.
assicurazioni-amissimavita.blackfriday.	7200	in	ns	dns3.name-services.com.
assicurazioni-amissimavita.blackfriday.	7200	in	ns	dns4.name-services.com.
assicurazioni-amissimavita.blackfriday.	7200	in	ns	dns5.name-services.com.
assicurazioniamissima.blackfriday.	7200	in	ns	dns1.name-services.com.
assicurazioniamissima.blackfriday.	7200	in	ns	dns2.name-services.com.
assicurazioniamissima.blackfriday.	7200	in	ns	dns3.name-services.com.
assicurazioniamissima.blackfriday.	7200	in	ns	dns4.name-services.com.
assicurazioniamissima.blackfriday.	7200	in	ns	dns5.name-services.com.
assicurazioniamissimavita.blackfriday.	7200	in	ns	dns1.name-services.com.
assicurazioniamissimavita.blackfriday.	7200	in	ns	dns2.name-services.com.
assicurazioniamissimavita.blackfriday.	7200	in	ns	dns3.name-services.com.
assicurazioniamissimavita.blackfriday.	7200	in	ns	dns4.name-services.com.
assicurazioniamissimavita.blackfriday.	7200	in	ns	dns5.name-services.com.
atomtickets.blackfriday.	7200	in	ns	dns1.idp365.net.
atomtickets.blackfriday.	7200	in	ns	dns2.idp365.net.
atomtickets.blackfriday.	7200	in	ns	dns3.idp365.net.
audible.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
audible.blackfriday.	7200	in	ns	nssui.comlaude.ch.
audible.blackfriday.	7200	in	ns	nsusa.comlaude.net.
audiobook.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
audiobook.blackfriday.	7200	in	ns	nssui.comlaude.ch.
audiobook.blackfriday.	7200	in	ns	nsusa.comlaude.net.
audiobooks.blackfriday.	7200	in	ns	nsgbr.comlaude.co.uk.
audiobooks.blackfriday.	7200	in	ns	nssui.comlaude.ch.
audiobooks.blackfriday.	7200	in	ns	nsusa.comlaude.net.
autohero.blackfriday.	7200	in	ns	ns1.eurodns.com.
autohero.blackfriday.	7200	in	ns	ns2.eurodns.com.
autohero.blackfriday.	7200	in	ns	ns3.eurodns.com.
autohero.blackfriday.	7200	in	ns	ns4.eurodns.com.
autopolis.blackfriday.	7200	in	ns	ns-145-a.gandi.net.
