finance.	3600	in	soa	v0n0.nic.finance. hostmaster.donuts.email. 1767661104 7200 900 1209600 3600
0.finance.	3600	in	ns	ns1.vercel-dns.com.
0.finance.	3600	in	ns	ns2.vercel-dns.com.
0000.finance.	3600	in	ns	ns1.dns-parking.com.
0000.finance.	3600	in	ns	ns2.dns-parking.com.
001.finance.	3600	in	ns	ns1.dns-parking.com.
001.finance.	3600	in	ns	ns2.dns-parking.com.
001k.finance.	3600	in	ns	chin.ns.cloudflare.com.
001k.finance.	3600	in	ns	gabe.ns.cloudflare.com.
0068s21th3pvfqhqestq0fnsrjpi04vo.finance.	3600	in	nsec3	1 1 0 73 00HQP7B4RVETBP28EJQJQGJHJDUHJLV4 NS DS RRSIG
0068s21th3pvfqhqestq0fnsrjpi04vo.finance.	3600	in	rrsig	NSEC3 8 2 3600 20260122153930 20260101143930 16764 finance. iV4/hjb74VKhWdaTrJyQ6faqGA4OKHiMBeZAVdsWhSVdgdFqqfjGBjvYP6ZCY9NAdSV8RQtG6VEfiaVBIGwyPkSEHPMfAZzrGzcXsxMqHHWKSsGL7SWDAYDVsxVZYrWVVinmCnWquHT8oR4Ik4WiCqSq45nq52297o2a43JLKnU=
007.finance.	3600	in	ns	ns1.dyna-ns.net.
007.finance.	3600	in	ns	ns2.dyna-ns.net.
00hqp7b4rvetbp28ejqjqgjhjduhjlv4.finance.	3600	in	nsec3	1 1 0 73 00OSLBLAO6IM1LFHH66991AIDLL4LLUG NS DS RRSIG
00hqp7b4rvetbp28ejqjqgjhjduhjlv4.finance.	3600	in	rrsig	NSEC3 8 2 3600 20260122153930 20260101143930 16764 finance. EHjS7MtW5/IcMTUh5vIpJgM2M5Q40HUvm01jFiZbRQlMtliAhsj1jimOxcShfNfWmXdja9VlsWC9BjKT85u3TcS3kc4R77suA03MC+XPpV9wEp/c80o5kFTNj7EqzTL0C495YncBnL4ZKue4zsJth7Vq/1Uglv3lTysB5sLon5o=
00oslblao6im1lfhh66991aidll4llug.finance.	3600	in	nsec3	1 1 0 73 00QBMI9379MLANJTCLD7QQB41UFC9RAC NS DS RRSIG
00oslblao6im1lfhh66991aidll4llug.finance.	3600	in	rrsig	NSEC3 8 2 3600 20260122153930 20260101143930 16764 finance. PShJgCJLMklj91a1rwIfq1pVUJ70gfLIF52BAYkm4Hg/TdljuCKoyfomnp59BkxGVx3J59NPARgm07mULhmwiKAKF+KzAfY5rhD99Yp6RFKGLSfeCI9GRDAcLjJ3yvdiXPGZidVxpXq3jb3j7L72zsOPRDyE0K15a0nlSG9tHl4=
00qbmi9379mlanjtcld7qqb41ufc9rac.finance.	3600	in	nsec3	1 1 0 73 00SDSLMKI78NFL8C23C024K74O30VF8Q NS DS RRSIG
00qbmi9379mlanjtcld7qqb41ufc9rac.finance.	3600	in	rrsig	NSEC3 8 2 3600 20260122153930 20260101143930 16764 finance. co6G4wOec4neBg3SjB34rTdfjhQ8xIJtWQNPnRobplWudBUzzNTf2TBwP6MqZqLu3hOaPDTQ6rtrGs7jcXuHCmsRSXqSZ1vOlVB7agHHLRb6DrZslI3Mmgno+JTTY9bB8QeS/alupcEZ+4pHNJora7puj57WEASuijSkXOsV5JM=
00sdslmki78nfl8c23c024k74o30vf8q.finance.	3600	in	nsec3	1 1 0 73 0105HPP8S3NKF615RCSRV1VL0V3V6J8N NS DS RRSIG
00sdslmki78nfl8c23c024k74o30vf8q.finance.	3600	in	rrsig	NSEC3 8 2 3600 20260122153930 20260101143930 16764 finance. kMvTaXP3MIhhftXXeH0dDH0nFzxFoz8dRkLOqyPlT9PNPoTFO2GADrllDyrhEH+kbKyQdve3EdXee5L/GYKhcImx750u9LMEK+OZnmED4WiF9fDHug23q+9eVzB8l2G2i/ezYIUdZOF4Rh7L0i/JRqFmxUwXxnQXPB7wBZVcMT4=
01.finance.	3600	in	ns	damian.ns.cloudflare.com.
01.finance.	3600	in	ns	leia.ns.cloudflare.com.
0105hpp8s3nkf615rcsrv1vl0v3v6j8n.finance.	3600	in	nsec3	1 1 0 73 01EE8EDBHM9S2FIR5E7F667UT62MPF4R NS DS RRSIG
