048.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
048.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
049.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
049.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
050.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
050.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
050291.xn--p1acf.	3600	in	ns	a.dnspod.com.
050291.xn--p1acf.	3600	in	ns	b.dnspod.com.
050291.xn--p1acf.	3600	in	ns	c.dnspod.com.
051.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
051.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
052.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
052.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
053.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
053.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
054.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
054.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
055.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
055.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
056.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
056.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
057.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
057.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
058.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
058.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
059.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
059.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
060.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
060.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
061.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
061.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
062.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
062.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
063.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
063.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
064.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
064.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
065.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
065.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
066.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
066.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
067.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
067.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
068.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
068.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
069.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
069.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
070.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
070.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
071.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
071.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
072.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
072.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
073.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
073.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
074.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
074.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
075.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
075.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
076.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
076.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
077.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
077.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
078.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
078.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
079.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
079.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
082.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
082.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
083.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
083.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
086.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
086.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
087.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
087.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
089.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
089.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
092.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
092.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
094.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
094.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
095.xn--p1acf.	3600	in	ns	ns1.rlnic.ru.
095.xn--p1acf.	3600	in	ns	ns2.rlnic.ru.
0990.xn--p1acf.	3600	in	ns	huxley.ns.cloudflare.com.
0990.xn--p1acf.	3600	in	ns	lia.ns.cloudflare.com.
1.xn--e1aogabhdboe.xn--p1acf.	3600	in	a	217.29.55.115
1000.xn--p1acf.	3600	in	ns	t1.nameself.com.
1000.xn--p1acf.	3600	in	ns	t2.nameself.com.
1011.xn--p1acf.	3600	in	ns	donald.ns.cloudflare.com.
1011.xn--p1acf.	3600	in	ns	zara.ns.cloudflare.com.
1024.xn--p1acf.	3600	in	ns	ns1.reg.ru.
1024.xn--p1acf.	3600	in	ns	ns2.reg.ru.
11766.xn--p1acf.	3600	in	ns	heather.ns.cloudflare.com.
11766.xn--p1acf.	3600	in	ns	skip.ns.cloudflare.com.
11767.xn--p1acf.	3600	in	ns	heather.ns.cloudflare.com.
11767.xn--p1acf.	3600	in	ns	skip.ns.cloudflare.com.
11768.xn--p1acf.	3600	in	ns	heather.ns.cloudflare.com.
11768.xn--p1acf.	3600	in	ns	skip.ns.cloudflare.com.
1221.xn--p1acf.	3600	in	ns	ns1.reg.ru.
1221.xn--p1acf.	3600	in	ns	ns2.reg.ru.
1234.xn--p1acf.	3600	in	ns	ns1.nameself.com.
1234.xn--p1acf.	3600	in	ns	ns2.nameself.com.
12355.xn--p1acf.	3600	in	ns	ns7.alidns.com.
12355.xn--p1acf.	3600	in	ns	ns8.alidns.com.
1242.xn--p1acf.	3600	in	ns	ns1.hosting.reg.ru.
1242.xn--p1acf.	3600	in	ns	ns2.hosting.reg.ru.
1260.xn--p1acf.	3600	in	ns	ns1.gohost.ru.
1260.xn--p1acf.	3600	in	ns	ns2.gohost.ru.
12857.xn--p1acf.	3600	in	ns	n1.xundns.com.
12857.xn--p1acf.	3600	in	ns	n2.xundns.com.
14375.xn--p1acf.	3600	in	ns	n1.xundns.com.
14375.xn--p1acf.	3600	in	ns	n2.xundns.com.
15-24-36.xn--p1acf.	3600	in	ns	ns1.nameself.com.
15-24-36.xn--p1acf.	3600	in	ns	ns2.nameself.com.
1524.xn--p1acf.	3600	in	ns	ns1.reg.ru.
1524.xn--p1acf.	3600	in	ns	ns2.reg.ru.
152436.xn--p1acf.	3600	in	ns	ns1.nameself.com.
152436.xn--p1acf.	3600	in	ns	ns2.nameself.com.
15294.xn--p1acf.	3600	in	ns	n1.xundns.com.
15294.xn--p1acf.	3600	in	ns	n2.xundns.com.
15379.xn--p1acf.	3600	in	ns	n1.xundns.com.
15379.xn--p1acf.	3600	in	ns	n2.xundns.com.
16257.xn--p1acf.	3600	in	ns	n1.xundns.com.
16257.xn--p1acf.	3600	in	ns	n2.xundns.com.
