channel.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2026012409 21600 3600 259200 900
004nbps2p2o1qd8g2mbs4ddohp8s6cug.channel.	900	in	nsec3	1 0 1 55CDF00B464A1CF7 00HQDPKLE25G9ODQHO3AJAV51TS7S3CU NS
004nbps2p2o1qd8g2mbs4ddohp8s6cug.channel.	900	in	rrsig	NSEC3 8 2 900 20260212202235 20260121202235 13183 channel. ZxLQuRwhFtwB0pZ5JIazUFTqScq+mGHSBkfTek4KBt2RxEEGm7BAnbnAz24G9o0oWOA6E9LQ5qnBaVGWsMCEmUtHfaYU1jPlt6OQuiJpRV04QVmjZsSYaB67Vpz8PfXg9OiQopOwIrUbrfLDEtbOc2E7rFW0QuIBQbMV5Zp2FMc=
00585.channel.	10800	in	ns	ns1.dnsip.com.
00585.channel.	10800	in	ns	ns2.dnsip.com.
00661.channel.	10800	in	ns	ns1.dnsip.com.
00661.channel.	10800	in	ns	ns2.dnsip.com.
00726.channel.	10800	in	ns	ns1.dnsip.com.
00726.channel.	10800	in	ns	ns2.dnsip.com.
00hqdpkle25g9odqho3ajav51ts7s3cu.channel.	900	in	nsec3	1 0 1 55CDF00B464A1CF7 0120RNDTBAN0V90F4ADJHSOBB4SQPM4S NS
00hqdpkle25g9odqho3ajav51ts7s3cu.channel.	900	in	rrsig	NSEC3 8 2 900 20260212202235 20260121202235 13183 channel. LXjXkpLoAFsSiid+TA0BKcLI+i4oOxRTv39PquAPBxqCwHtg7IsHtJdc1ZMNOflKbWQUXQEPPIe+8VJXzxMFqvsAacbT9z/PYgJ3+QqIK36vXorOYnoHJEJsE7UvqQReMcC512HsoXlcmr0Z/WfFHhn0CWQjLjkvmbnXAoLLHi0=
0120rndtban0v90f4adjhsobb4sqpm4s.channel.	900	in	nsec3	1 0 1 55CDF00B464A1CF7 01FPOFMVD0RQH2RJ484ODUMRPI40AFGU NS
0120rndtban0v90f4adjhsobb4sqpm4s.channel.	900	in	rrsig	NSEC3 8 2 900 20260212202235 20260121202235 13183 channel. I7d4n40+C94asAeaGXO26lAEC/bB947EpkpAt7D8zSdDdh89U9mK4bpWxKdRRy5T9+qxo4n6UxbcmURcAozdMS99dS8YDnkmQd0ydhqiGLr1Fj6GC7QzJGBjuKfdr5JI04XCmSjEdo5RTfODClV8C6XwSfycvQvhgSpOv9AbfGE=
01fpofmvd0rqh2rj484odumrpi40afgu.channel.	900	in	nsec3	1 0 1 55CDF00B464A1CF7 020L4S9288MQ0V37OVOE3FRH72QG0QBH NS
