5000cornell.condos.	3600	in	ns	ns66.domaincontrol.com.
50la0549e2bcdpnh9f6ccf5jeup8o74g.condos.	3600	in	nsec3	1 1 0 73 57MF4AINISU4CFKPM29QKLKN48V0HN3D NS DS RRSIG
50la0549e2bcdpnh9f6ccf5jeup8o74g.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. rz1Lj6T35f/WsM/tOxymtpw6yrtjlseTSZhQF/a5KGbgiejqTpUB2FJG0envPB9xT6kBd4tk0nFqpGs1OD5XzerHL0AbKTbshUZcyRvHq7udPicVGdqvUkoZ/Wv+MWNqcsplHiEMzp/3PBKfl8TQg6N5J81Xsck8MJE52YNOhrw=
5100hydepark.condos.	3600	in	ns	ns49.domaincontrol.com.
5100hydepark.condos.	3600	in	ns	ns50.domaincontrol.com.
511265.condos.	3600	in	ns	ns1.dyna-ns.net.
511265.condos.	3600	in	ns	ns2.dyna-ns.net.
5300.condos.	3600	in	ns	ns1.dotster.com.
5300.condos.	3600	in	ns	ns2.dotster.com.
57mf4ainisu4cfkpm29qklkn48v0hn3d.condos.	3600	in	nsec3	1 1 0 73 5GTH11KVROC04BJBASK73IHMP6D664CA NS DS RRSIG
57mf4ainisu4cfkpm29qklkn48v0hn3d.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. EIxCMgyWzL08Z7ry39bLYkHjYi0WzT8mRwAXOkzFG0Dt/z/Z3j3ZxDm0TJ5pOSMxqv6zVZCujwrrHns2MB/ex2GZ5SUPYvGf3ojBIr9TNnJ8uL+vqAE6tkReaP9X0+LHR3WZIs1oH7cbf5JqNQ5xtMty9p3N4cBjcPOZs6rWdDU=
5gth11kvroc04bjbask73ihmp6d664ca.condos.	3600	in	nsec3	1 1 0 73 5VGIMLVHFHTIG1GSFDGLCVVEPAJNVVPG NS DS RRSIG
