0hf390d513o67poi0gb4f55spm4shdv7.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. sZdgdLU1JyRekGakKpuPPDJIiq8O6gcvtQ9A/joKLaCh1kQjnH4K0iEscfvgKDwqS49z+JR62mThz8+JUKgBTER/KkV0+UKlAN0Hu5OT/hle8OveRyp22PNJPrQiP42wF4OjQDm5vNE24jIvoAE+a6YNUgwp3ALxKA7E7gt7zoE=
0jtinb84qs92mgvld5rp253vvcil7dbd.jetzt.	3600	in	nsec3	1 1 0 73 0REOFHR9HH9B486E0SQHK913Q2RL10DM NS DS RRSIG
0jtinb84qs92mgvld5rp253vvcil7dbd.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. InKTsA4VRZ72F1TXDylapVcGt0zLRXCQXz8rRobva48G9m++O2m+PrsXQ8AMHD/MXaZo+xhpBRov1GRpIxdd5GpeJ7PIdmaNH+wQGGeeE8AVhRX4wS1xnCHbJahfTDuJn7TpNz9XwGFRecNoDxPO9YzaEVyvQajufMUteWh89Gs=
0reofhr9hh9b486e0sqhk913q2rl10dm.jetzt.	3600	in	nsec3	1 1 0 73 0V18M13NV5D00DUGHQOA43E9J2O97FST NS DS RRSIG
0reofhr9hh9b486e0sqhk913q2rl10dm.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. XHmKmqP0+kK14Crg7/UI//4Sj6m4cj07kROUiWhjD4a4TD3AQCDVkAy49I7dQJchxgepxoQvCQ7NOl1ZqvYE7HImEcUS47OoJc3pVQ+vHKOu8a8baesr2Jxcw+wKtMZskAQKEKtiTlrO+nTWaCpHRfw5PnsIG+vsOFDyQaPjPf8=
0v18m13nv5d00dughqoa43e9j2o97fst.jetzt.	3600	in	nsec3	1 1 0 73 0VGMVHVA979MQ759EAO9504OP36MBQ66 NS DS RRSIG
0v18m13nv5d00dughqoa43e9j2o97fst.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. SOTflz6tzNUo/BRAZt76oLaALS1rkwRtcp/ELGgAaoxQPZO9p8r/mxN9q+vgNBK0HKKbd5XlXDAhbrEz0CK/M3b1LOncFklqB+EFC42AzNT3c+u4G/qsqhO0sUnodHbjZDmerNoZlUn3wsqRsKq/1oPCEJbUsq4ZezGCfo7ucCI=
0vgmvhva979mq759eao9504op36mbq66.jetzt.	3600	in	nsec3	1 1 0 73 10R2KTRBSHUIAFOO577TUCCSQG0KA12J NS DS RRSIG
0vgmvhva979mq759eao9504op36mbq66.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. nbFRm/0KLhUGA3i32Risl2qJa9T21aDkAHexIjUibuqw8bL6bWj+23TzlUFPlB6pBaNgFt45+j1BmgIk1wIEx8G+VuB6JjCZL36Y7Or6m8ZR6rpEdU2swDJc8HHRWgRMqXdrnmADeMTOj6LIfmFyCsIAjoMSzbwgUgZdRzXT0+0=
1-2-3faltenfrei.jetzt.	3600	in	ns	ns-de.1and1-dns.biz.
1-2-3faltenfrei.jetzt.	3600	in	ns	ns-de.1and1-dns.com.
1-2-3faltenfrei.jetzt.	3600	in	ns	ns-de.1and1-dns.de.
1-2-3faltenfrei.jetzt.	3600	in	ns	ns-de.1and1-dns.org.
1.jetzt.	3600	in	ns	elliot.ns.cloudflare.com.
1.jetzt.	3600	in	ns	fay.ns.cloudflare.com.
100.jetzt.	3600	in	ns	ns1022.ui-dns.de.
100.jetzt.	3600	in	ns	ns1045.ui-dns.com.
100.jetzt.	3600	in	ns	ns1055.ui-dns.org.
100.jetzt.	3600	in	ns	ns1087.ui-dns.biz.
1001games.jetzt.	3600	in	ns	ns1.1001games.eu.
1001games.jetzt.	3600	in	ns	ns2.1001games.eu.
1001spiele.jetzt.	3600	in	ns	ns1.whih.nl.
1001spiele.jetzt.	3600	in	ns	ns2.whih.nl.
100kmh.jetzt.	3600	in	ns	ns1018.ui-dns.org.
100kmh.jetzt.	3600	in	ns	ns1040.ui-dns.de.
100kmh.jetzt.	3600	in	ns	ns1055.ui-dns.com.
100kmh.jetzt.	3600	in	ns	ns1113.ui-dns.biz.
100prozenterfolg.jetzt.	3600	in	ns	ns5.kasserver.com.
100prozenterfolg.jetzt.	3600	in	ns	ns6.kasserver.com.
108.jetzt.	3600	in	ns	ns1024.ui-dns.de.
108.jetzt.	3600	in	ns	ns1035.ui-dns.org.
108.jetzt.	3600	in	ns	ns1084.ui-dns.biz.
108.jetzt.	3600	in	ns	ns1119.ui-dns.com.
10r2ktrbshuiafoo577tuccsqg0ka12j.jetzt.	3600	in	nsec3	1 1 0 73 12H8CQC1QI7SB0AIVMBHE7EPT0D0H4QH NS DS RRSIG
10r2ktrbshuiafoo577tuccsqg0ka12j.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. AHWeg6+jYgdOBwhldMBZSOkleCY9RUwy3gV6HQrXgYcUiSRhB7w6YsxCnBXL9YaeY2xlXlC56VBw1fou+Aha1TyhBM/3vJsLCNQ9Hfg1FdhabPUqZpOBdjWduX5fW2hC56Eb1AuaLPY7CySE2cCTQlvGupnEROWBZg187fVugUM=
112.jetzt.	3600	in	ns	ns1.domainoffensive.de.
112.jetzt.	3600	in	ns	ns2.domainoffensive.eu.
112.jetzt.	3600	in	ns	ns3.domainoffensive.net.
1150.jetzt.	3600	in	ns	docks18.rzone.de.
1150.jetzt.	3600	in	ns	shades04.rzone.de.
11bet.jetzt.	3600	in	ns	ns1.dns-redirect.com.
11bet.jetzt.	3600	in	ns	ns2.dns-redirect.com.
123.jetzt.	3600	in	ns	ns.udag.de.
123.jetzt.	3600	in	ns	ns.udag.net.
123.jetzt.	3600	in	ns	ns.udag.org.
1234567.jetzt.	3600	in	ns	b.ns.cwd.at.
1234567.jetzt.	3600	in	ns	c.ns.cwd.at.
1234567.jetzt.	3600	in	ns	d.ns.cwd.at.
123b.jetzt.	3600	in	ns	dan.ns.cloudflare.com.
123b.jetzt.	3600	in	ns	gloria.ns.cloudflare.com.
123faltenfrei.jetzt.	3600	in	ns	ns1-eu.123ns.eu.
123faltenfrei.jetzt.	3600	in	ns	ns2-eu.123ns.de.
123faltenfrei.jetzt.	3600	in	ns	ns3-eu.123ns.eu.
123faltenfrei.jetzt.	3600	in	ns	ns4-eu.123ns.de.
123sauber.jetzt.	3600	in	ns	ns.udag.de.
123sauber.jetzt.	3600	in	ns	ns.udag.net.
