2024x6.immobilien.	3600	in	rrsig	DS 8 2 3600 20251022155417 20251001145417 9273 immobilien. T9iBq1vPEUXp5pf7TGsNBbhs6Auc6v1xhEZyjjkRbF+7whNCQUL4M9f6pX5cVYSmHFO01GKEpc/nWsnwK9mEIP8Dxo7ETGzRoziWWwiUUBnhGxhzFazQQhQPCbKlqMMnScGaEoAbHMsYkGqLX2+ngO8tbd+6ee9iBBdmsfDG/+M=
21465.immobilien.	3600	in	ns	ns57.domaincontrol.com.
21465.immobilien.	3600	in	ns	ns58.domaincontrol.com.
24.immobilien.	3600	in	ns	ns1.webgo.de.
24.immobilien.	3600	in	ns	ns2.webgo.de.
24.immobilien.	3600	in	ns	ns3.webgo.de.
24.immobilien.	3600	in	ns	ns4.webgo.de.
25dcm9r9l9ep9r1lapstrcr7vbob14uo.immobilien.	3600	in	nsec3	1 1 0 73 2EJF731PHN6PNL9F3D7B0NCHLH2ILRC5 NS DS RRSIG
25dcm9r9l9ep9r1lapstrcr7vbob14uo.immobilien.	3600	in	rrsig	NSEC3 8 2 3600 20251022155417 20251001145417 9273 immobilien. leJtS9uHnl9FRVZq7aDLxLEVW6PTo6N2On+hsKTaxEENjxymtmeQCKMwOcPoRW5AJT9uFncTb4DXeZIp9WWZYcP7iqQW3T2XgzFR3rc6YQZZjxDrwp1tyofBeH7y3JacPoFcGnna4lwwD3NW35Fi71evvnohErd70rMJYmLqG6k=
2ejf731phn6pnl9f3d7b0nchlh2ilrc5.immobilien.	3600	in	nsec3	1 1 0 73 2OK4LBA21C4NMP2H6MCLS60Q5QGT767K NS DS RRSIG
2ejf731phn6pnl9f3d7b0nchlh2ilrc5.immobilien.	3600	in	rrsig	NSEC3 8 2 3600 20251022155417 20251001145417 9273 immobilien. YInKYPV5G8uPcH77CZgftekuSF5oRjCm6BTy85N4aL+eNb65MjnerimM6Qrg6QngRolBFNq3/+eiOQ9MQOgfZA+Io5RB7JkTsWlfuNrbJiHRzoTIBE7QMDoZWCKwUolcJ/HC+6APfx00gvHB+O3X9keG6YNs7hTSJy5IdAIG9u8=
2ok4lba21c4nmp2h6mcls60q5qgt767k.immobilien.	3600	in	nsec3	1 1 0 73 3KC1UMJFRSP31G0TVV0KLK979NJM9Q6C NS DS RRSIG
2ok4lba21c4nmp2h6mcls60q5qgt767k.immobilien.	3600	in	rrsig	NSEC3 8 2 3600 20251022155417 20251001145417 9273 immobilien. UVWwB0x6d8wL77zn56SrCsGvbFhx44Riu/cXW6ePTxmS35xSX3d0KyR1jg2tKXX34dArC0DilzHvgu7phC4UoXVzdulRUte3YxbsRSYOyGjGg/txOnjU2CaODBFZpLfPDlBUoL/XeaQA/xFeFZud9QU/OTKKC8FPjxeZ0jXeN60=
3-d.immobilien.	3600	in	ns	ns1.kcs-netz.de.
3-d.immobilien.	3600	in	ns	ns2.kcs-netz.de.
3-f.immobilien.	3600	in	ns	ns1035.ui-dns.biz.
3-f.immobilien.	3600	in	ns	ns1037.ui-dns.de.
3-f.immobilien.	3600	in	ns	ns1093.ui-dns.com.
3-f.immobilien.	3600	in	ns	ns1111.ui-dns.org.
30167.immobilien.	3600	in	ns	docks13.rzone.de.
