rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
pepesun.rich.	3600	in	ns	ns1.mysecurecloudhost.com.
pepesun.rich.	3600	in	ns	ns2.mysecurecloudhost.com.
pepesun.rich.	3600	in	ns	ns3.mysecurecloudhost.com.
pepesun.rich.	3600	in	ns	ns4.mysecurecloudhost.com.
playfina.rich.	3600	in	ns	jonah.ns.cloudflare.com.
playfina.rich.	3600	in	ns	lia.ns.cloudflare.com.
pls.rich.	3600	in	ns	curitiba.ns.porkbun.com.
pls.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
pls.rich.	3600	in	ns	maceio.ns.porkbun.com.
pls.rich.	3600	in	ns	salvador.ns.porkbun.com.
pre.rich.	3600	in	ns	ns75.domaincontrol.com.
pre.rich.	3600	in	ns	ns76.domaincontrol.com.
pretty.rich.	3600	in	ns	izabella.ns.cloudflare.com.
pretty.rich.	3600	in	ns	lennon.ns.cloudflare.com.
realestate.rich.	3600	in	ns	ns1.dyna-ns.net.
realestate.rich.	3600	in	ns	ns2.dyna-ns.net.
rich.	3600	in	dnskey	256 3 8 AwEAAargQhm9WKcuzo4OvnZ/ToM+XsADpIC3oTfdplDygTv4ZSg3rrouWVcnU1653Q6hNfcV4ydCjlwTsmONWNWnsvwOoidNc0v2Kfnm+5qG95rBpLghMe2+mnGrVQDHu6RYsacPtuCu0V/tqRNsDKCuiBs9Z3KU9uSyy4SjQIshcyjd
rich.	3600	in	dnskey	256 3 8 AwEAAbb6oWBqCsLTdRCVWB5bPJXG2uHg0Uh+KiRlc3udRbrqGRvIyCiWHQUyF44vFQtGeGrO1C9JyXye/O4c+Aj5EivXVE3c8ap0ADBU8l72iNCn8owlPej83aOSWn3JkUQ+2/WYlkKcZwejJC3Gx68uDBXKAVxvFSExw/oBRI8Acn9h
rich.	3600	in	dnskey	257 3 8 AwEAAebbExPCdnzAt3s/HFHPMHOPaoQ/zdLNWtTCpgKigOlMr1MivrFyjbwi60AI4KkeizUejy5u8fRUzwxbQKyA5udnBXOtCilHU7YWcgB0qXaMGREtLTvBX2sAf2A+SqzACF/xs2h2s7U3wPfpz8oHo/YjFmqkgcFssyq6jSpzS0e1jur1Zw8Z+tHDhOkJ1p1TwUzO/QQ0dZlwvE21EMjUgZgp1co44DLxsi13KSzv2aKMzoVvK+cW6zG126klgdp1T8fPANwadyL5vtK8VdQR+Ea4AnxROgorSXqCDdfT34icL9b6Ufr0P2TtnYhd/cGLPd57bb6Ipdpm6+h+9LCaTZs=
rich.	3600	in	ns	a0.nic.rich.
rich.	3600	in	ns	a2.nic.rich.
rich.	3600	in	ns	b0.nic.rich.
rich.	3600	in	ns	c0.nic.rich.
rich.	3600	in	nsec3param	1 0 0 73
rich.	3600	in	rrsig	DNSKEY 8 1 3600 20250916160320 20250826150320 12391 rich. De84wHVVp68kESp84t0H8RIRzkwN/0fgt5XGp00dBTALpuzFmV4JqA0dNfQQxfX7FnsHf5/4BdSGaJvmW1ZvNGeCuH9Ps/x4A9Hr8YGPHirY/0emmlREeWBheT3sElMWrPZQPTT9/iB7ZYkwUSKinmz8O8r6vKZBF2HYRoPzE2q9m+GU874wQ+78z4nywqZGDwGaaoR/ZRzfyQo+fKJ4K6ZRz235fHC/fG/OV3jeXmy2rnTKAsUpZ4dtYMQb7YTxhsu2V3CA5Pgk/pfxw0egI8VwdYYA20yuAW5S1UuvDA48DqodXvwULtCeT0YEcQc7jd64n8dB5en2t/d4XtEi3g==
rich.	3600	in	rrsig	NS 8 1 3600 20250916160320 20250826150320 12519 rich. TxfmNX/+jsI3PP5sgmCnlcY9EjQRfwZHTX5FrTvCSEHruJzXxmhRZ1IuD2o6eCjMYHAXTwnOGnaBO6dWmbhVrv1qS79pxh0eF8zqPLFWMU4YWC7mjW84WT8C1rPiDsIls8JxsSCQLffzs5j9+i5al7bHXjNExQvaK5RvLZCKg6o=
rich.	3600	in	rrsig	NSEC3PARAM 8 1 3600 20250916160320 20250826150320 12519 rich. DF4hx5sL4orfquyyyWsevySebPrVHg0tDiWyjU7cp9ZmWegVx47FkN3hOraObnhNQMAKBwWXYIl3nRifp/m/hP+g39VveKf/rgzmz815kpj1NPYH4ANJYpJ6QciU7DXr5qp/ekP6wjUVc6beYNc7ujMN5ag9kIGiV6c4T2Ch/g4=
rich.	3600	in	rrsig	SOA 8 1 3600 20250917011651 20250827001651 12519 rich. nICtj7+pSbZmxGhCKH7XVBAJPkRfE/yEaoVKfSzea4RDFXOAieCpEXqFzfX96AkhKLO8zFz2a/rSrfwFbmzEr8J2kkSHeDoF7NMAP5FXTFPo6QuTivZvz6KDFXBurMIs2EW9KOAPuFFAvJLr7uGBtMBaJaU3U/PyZULfKMQwT/8=
rich.rich.	3600	in	ns	ns01.memail-dns.com.
rich.rich.	3600	in	ns	ns02.memail-dns.net.
rich.rich.	3600	in	ns	ns03.memail-dns.co.uk.
rich.rich.	3600	in	ns	ns04.memail-dns.org.
richrich.rich.	3600	in	ns	ns1.dyna-ns.net.
richrich.rich.	3600	in	ns	ns2.dyna-ns.net.
richrichrich.rich.	3600	in	ns	ns1.dyna-ns.net.
richrichrich.rich.	3600	in	ns	ns2.dyna-ns.net.
richy.rich.	3600	in	ds	2371 13 2 E1E41AE4B64FFB7D98628F311042321CFEF2F04541BB1D3293C6C664FBC0818B
richy.rich.	3600	in	ns	martin.ns.cloudflare.com.
richy.rich.	3600	in	ns	peaches.ns.cloudflare.com.
richy.rich.	3600	in	rrsig	DS 8 2 3600 20250916160320 20250826150320 12519 rich. XBo4OkDVmpviGbAqGpsUrHJWEXkBc7YNimVNlh80MRbfjLJtdyrpw/MpCu8NkRT7ISVVmTP4vu35rMnjVbYmp8DWSn0/3gFMs6sRo9kgF4KEZHMXTPum3Ds3dvPITMzuVEUqpO/h4vTKUtCqTHzJ3Gw8YlkQugLAH2b2JSMIDPw=
rolex.rich.	3600	in	ns	dns1.p03.nsone.net.
rolex.rich.	3600	in	ns	dns2.p03.nsone.net.
rolex.rich.	3600	in	ns	dns3.p03.nsone.net.
rolex.rich.	3600	in	ns	dns4.p03.nsone.net.
silky.rich.	3600	in	ns	curitiba.ns.porkbun.com.
silky.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
silky.rich.	3600	in	ns	maceio.ns.porkbun.com.
silky.rich.	3600	in	ns	salvador.ns.porkbun.com.
soul.rich.	3600	in	ns	curitiba.ns.porkbun.com.
soul.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
soul.rich.	3600	in	ns	maceio.ns.porkbun.com.
soul.rich.	3600	in	ns	salvador.ns.porkbun.com.
sp.rich.	3600	in	ns	curitiba.ns.porkbun.com.
sp.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
sp.rich.	3600	in	ns	maceio.ns.porkbun.com.
sp.rich.	3600	in	ns	salvador.ns.porkbun.com.
stake.rich.	3600	in	ns	dora.ns.cloudflare.com.
stake.rich.	3600	in	ns	junade.ns.cloudflare.com.
stinking.rich.	3600	in	ns	ns01.memail-dns.com.
stinking.rich.	3600	in	ns	ns02.memail-dns.net.
stinking.rich.	3600	in	ns	ns03.memail-dns.co.uk.
stinking.rich.	3600	in	ns	ns04.memail-dns.org.
super.rich.	3600	in	ns	ns01.memail-dns.com.
super.rich.	3600	in	ns	ns02.memail-dns.net.
super.rich.	3600	in	ns	ns03.memail-dns.co.uk.
super.rich.	3600	in	ns	ns04.memail-dns.org.
swissquote.rich.	3600	in	ns	dns1.namebay.com.
swissquote.rich.	3600	in	ns	dns2.namebay.com.
t.rich.	3600	in	ns	ns1.dyna-ns.net.
t.rich.	3600	in	ns	ns2.dyna-ns.net.
thats.rich.	3600	in	ns	curitiba.ns.porkbun.com.
thats.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
thats.rich.	3600	in	ns	maceio.ns.porkbun.com.
thats.rich.	3600	in	ns	salvador.ns.porkbun.com.
the.rich.	3600	in	ns	ns01.memail-dns.com.
the.rich.	3600	in	ns	ns02.memail-dns.net.
the.rich.	3600	in	ns	ns03.memail-dns.co.uk.
the.rich.	3600	in	ns	ns04.memail-dns.org.
theunitedmall.rich.	3600	in	ns	curitiba.ns.porkbun.com.
theunitedmall.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
theunitedmall.rich.	3600	in	ns	maceio.ns.porkbun.com.
theunitedmall.rich.	3600	in	ns	salvador.ns.porkbun.com.
tiktok.rich.	3600	in	ns	ns1mpz.name.com.
tiktok.rich.	3600	in	ns	ns2knz.name.com.
tiktok.rich.	3600	in	ns	ns3jmt.name.com.
tiktok.rich.	3600	in	ns	ns4ksy.name.com.
u.rich.	3600	in	ns	rocco.ns.cloudflare.com.
u.rich.	3600	in	ns	vita.ns.cloudflare.com.
ufa777.rich.	3600	in	ns	ns27.domaincontrol.com.
ufa777.rich.	3600	in	ns	ns28.domaincontrol.com.
ufabet.rich.	3600	in	ns	ns1.dns-parking.com.
ufabet.rich.	3600	in	ns	ns2.dns-parking.com.
ultra.rich.	3600	in	ns	ns01.memail-dns.com.
ultra.rich.	3600	in	ns	ns02.memail-dns.net.
ultra.rich.	3600	in	ns	ns03.memail-dns.co.uk.
ultra.rich.	3600	in	ns	ns04.memail-dns.org.
unitedmall.rich.	3600	in	ns	curitiba.ns.porkbun.com.
unitedmall.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
unitedmall.rich.	3600	in	ns	maceio.ns.porkbun.com.
unitedmall.rich.	3600	in	ns	salvador.ns.porkbun.com.
uonoslot.rich.	3600	in	ns	jade.ns.cloudflare.com.
uonoslot.rich.	3600	in	ns	venkat.ns.cloudflare.com.
uonoslots.rich.	3600	in	ns	jade.ns.cloudflare.com.
uonoslots.rich.	3600	in	ns	venkat.ns.cloudflare.com.
ur.rich.	3600	in	ns	ns13.domaincontrol.com.
ur.rich.	3600	in	ns	ns14.domaincontrol.com.
usdt.rich.	3600	in	ns	ns1.4.cn.
usdt.rich.	3600	in	ns	ns2.4.cn.
uwu.rich.	3600	in	ns	curitiba.ns.porkbun.com.
uwu.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
uwu.rich.	3600	in	ns	maceio.ns.porkbun.com.
uwu.rich.	3600	in	ns	salvador.ns.porkbun.com.
v.rich.	3600	in	ns	ns1.vercel-dns.com.
v.rich.	3600	in	ns	ns2.vercel-dns.com.
very.rich.	3600	in	ns	ns37.domaincontrol.com.
very.rich.	3600	in	ns	ns38.domaincontrol.com.
waifu.rich.	3600	in	ns	ns67.domaincontrol.com.
waifu.rich.	3600	in	ns	ns68.domaincontrol.com.
wallet.rich.	3600	in	ns	park1.dccdns.com.
wallet.rich.	3600	in	ns	park2.dccdns.com.
wallet.rich.	3600	in	ns	park3.dccdns.com.
wallet.rich.	3600	in	ns	park4.dccdns.com.
we.rich.	3600	in	ns	amy.ns.cloudflare.com.
we.rich.	3600	in	ns	guy.ns.cloudflare.com.
web.rich.	3600	in	ns	ns1.dyna-ns.net.
web.rich.	3600	in	ns	ns2.dyna-ns.net.
wellsfargo.rich.	3600	in	ns	ns1.markmonitor.com.
wellsfargo.rich.	3600	in	ns	ns2.markmonitor.com.
wellsfargo.rich.	3600	in	ns	ns3.markmonitor.com.
wellsfargo.rich.	3600	in	ns	ns4.markmonitor.com.
wellsfargo.rich.	3600	in	ns	ns5.markmonitor.com.
wellsfargo.rich.	3600	in	ns	ns6.markmonitor.com.
wellsfargo.rich.	3600	in	ns	ns7.markmonitor.com.
whatsapp.rich.	3600	in	ns	a.ns.facebook.com.
whatsapp.rich.	3600	in	ns	b.ns.facebook.com.
whatsapp.rich.	3600	in	ns	c.ns.facebook.com.
whatsapp.rich.	3600	in	ns	d.ns.facebook.com.
williamhill.rich.	3600	in	ns	dns1.idp365.net.
williamhill.rich.	3600	in	ns	dns2.idp365.net.
williamhill.rich.	3600	in	ns	dns3.idp365.net.
win.rich.	3600	in	ns	ns1.dyna-ns.net.
win.rich.	3600	in	ns	ns2.dyna-ns.net.
winfinity.rich.	3600	in	ns	ns1.dyna-ns.net.
winfinity.rich.	3600	in	ns	ns2.dyna-ns.net.
wordpress.rich.	3600	in	ns	ns1.markmonitor.com.
wordpress.rich.	3600	in	ns	ns2.markmonitor.com.
wordpress.rich.	3600	in	ns	ns3.markmonitor.com.
wordpress.rich.	3600	in	ns	ns4.markmonitor.com.
wordpress.rich.	3600	in	ns	ns5.markmonitor.com.
wordpress.rich.	3600	in	ns	ns6.markmonitor.com.
wordpress.rich.	3600	in	ns	ns7.markmonitor.com.
wtf.rich.	3600	in	ns	ns1dns.name.com.
wtf.rich.	3600	in	ns	ns2jrt.name.com.
wtf.rich.	3600	in	ns	ns3gmt.name.com.
wtf.rich.	3600	in	ns	ns4bht.name.com.
x.rich.	3600	in	ns	ns1.dyna-ns.net.
x.rich.	3600	in	ns	ns2.dyna-ns.net.
xyz.rich.	3600	in	ns	ns1.dyna-ns.net.
xyz.rich.	3600	in	ns	ns2.dyna-ns.net.
yodobashi.rich.	3600	in	ns	01.dnsv.jp.
yodobashi.rich.	3600	in	ns	02.dnsv.jp.
yodobashi.rich.	3600	in	ns	03.dnsv.jp.
yodobashi.rich.	3600	in	ns	04.dnsv.jp.
youtube.rich.	3600	in	ns	ns1.googledomains.com.
youtube.rich.	3600	in	ns	ns2.googledomains.com.
youtube.rich.	3600	in	ns	ns3.googledomains.com.
youtube.rich.	3600	in	ns	ns4.googledomains.com.
z.rich.	3600	in	ns	ns1.dyna-ns.net.
z.rich.	3600	in	ns	ns2.dyna-ns.net.
zav.rich.	3600	in	ns	nora.ns.cloudflare.com.
zav.rich.	3600	in	ns	rocky.ns.cloudflare.com.
zu.rich.	3600	in	ns	ns1.afternic.com.
zu.rich.	3600	in	ns	ns2.afternic.com.
rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
