rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
bunni.rich.	3600	in	ns	nora.ns.cloudflare.com.
bunni.rich.	3600	in	ns	rocky.ns.cloudflare.com.
c0.nic.rich.	3600	in	a	65.22.138.17
c0.nic.rich.	3600	in	aaaa	2a01:8840:0088:0000:0000:0000:0000:0017
casino.rich.	3600	in	ns	launch1.spaceship.net.
casino.rich.	3600	in	ns	launch2.spaceship.net.
casualchiccollection.rich.	3600	in	ns	curitiba.ns.porkbun.com.
casualchiccollection.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
casualchiccollection.rich.	3600	in	ns	maceio.ns.porkbun.com.
casualchiccollection.rich.	3600	in	ns	salvador.ns.porkbun.com.
cheapflights.rich.	3600	in	ns	ns1.101domain.com.
cheapflights.rich.	3600	in	ns	ns2.101domain.com.
choose.rich.	3600	in	ns	ns73.domaincontrol.com.
choose.rich.	3600	in	ns	ns74.domaincontrol.com.
club.rich.	3600	in	ns	ns01.memail-dns.com.
club.rich.	3600	in	ns	ns02.memail-dns.net.
club.rich.	3600	in	ns	ns03.memail-dns.co.uk.
club.rich.	3600	in	ns	ns04.memail-dns.org.
com.rich.	3600	in	ns	ajay.ns.cloudflare.com.
com.rich.	3600	in	ns	emely.ns.cloudflare.com.
crypto.rich.	3600	in	ns	ns1.atom.com.
crypto.rich.	3600	in	ns	ns2.atom.com.
daniel.rich.	3600	in	ns	ns1bdg.name.com.
daniel.rich.	3600	in	ns	ns2dky.name.com.
daniel.rich.	3600	in	ns	ns3dkz.name.com.
daniel.rich.	3600	in	ns	ns4fmw.name.com.
dcx.rich.	3600	in	ns	dara.ns.cloudflare.com.
dcx.rich.	3600	in	ns	jacob.ns.cloudflare.com.
dcxmarkets.rich.	3600	in	ns	dara.ns.cloudflare.com.
dcxmarkets.rich.	3600	in	ns	jacob.ns.cloudflare.com.
digitalmedia.rich.	3600	in	ns	ns1.dyna-ns.net.
digitalmedia.rich.	3600	in	ns	ns2.dyna-ns.net.
dn.rich.	3600	in	ns	launch1.spaceship.net.
dn.rich.	3600	in	ns	launch2.spaceship.net.
domain.rich.	3600	in	ns	ns1.rrpproxy.net.
domain.rich.	3600	in	ns	ns2.rrpproxy.net.
domain.rich.	3600	in	ns	ns3.rrpproxy.net.
domains.rich.	3600	in	ns	ns1.rrpproxy.net.
domains.rich.	3600	in	ns	ns2.rrpproxy.net.
domains.rich.	3600	in	ns	ns3.rrpproxy.net.
e.rich.	3600	in	ns	curitiba.ns.porkbun.com.
e.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
e.rich.	3600	in	ns	maceio.ns.porkbun.com.
e.rich.	3600	in	ns	salvador.ns.porkbun.com.
eazy.rich.	3600	in	ns	bob.ns.cloudflare.com.
eazy.rich.	3600	in	ns	zita.ns.cloudflare.com.
email.rich.	3600	in	ns	ns01.memail-dns.com.
email.rich.	3600	in	ns	ns02.memail-dns.net.
email.rich.	3600	in	ns	ns03.memail-dns.co.uk.
email.rich.	3600	in	ns	ns04.memail-dns.org.
emails.rich.	3600	in	ns	ns01.memail-dns.com.
emails.rich.	3600	in	ns	ns02.memail-dns.net.
emails.rich.	3600	in	ns	ns03.memail-dns.co.uk.
emails.rich.	3600	in	ns	ns04.memail-dns.org.
emeis.rich.	3600	in	ns	dns1.cscdns.net.
emeis.rich.	3600	in	ns	dns2.cscdns.net.
en.rich.	3600	in	ns	ns1.afternic.com.
en.rich.	3600	in	ns	ns2.afternic.com.
entrepreneur.rich.	3600	in	ns	ns1.ipmanagerinc.net.
entrepreneur.rich.	3600	in	ns	ns2.ipmanagerinc.net.
entrepreneur.rich.	3600	in	ns	ns3.ipmanagerinc.net.
entrepreneur.rich.	3600	in	ns	ns4.ipmanagerinc.net.
entrepreneur.rich.	3600	in	ns	ns5.ipmanagerinc.net.
extortion.rich.	3600	in	ns	ns1.dyna-ns.net.
extortion.rich.	3600	in	ns	ns2.dyna-ns.net.
facebook.rich.	3600	in	ns	a.ns.facebook.com.
facebook.rich.	3600	in	ns	b.ns.facebook.com.
facebook.rich.	3600	in	ns	c.ns.facebook.com.
facebook.rich.	3600	in	ns	d.ns.facebook.com.
femboy.rich.	3600	in	ns	ns1.dyna-ns.net.
femboy.rich.	3600	in	ns	ns2.dyna-ns.net.
filthy.rich.	3600	in	ns	ns01.memail-dns.com.
filthy.rich.	3600	in	ns	ns02.memail-dns.net.
filthy.rich.	3600	in	ns	ns03.memail-dns.co.uk.
filthy.rich.	3600	in	ns	ns04.memail-dns.org.
firest.rich.	3600	in	ns	ns1kpv.name.com.
firest.rich.	3600	in	ns	ns2kry.name.com.
firest.rich.	3600	in	ns	ns3jmt.name.com.
firest.rich.	3600	in	ns	ns4dmx.name.com.
flipit.rich.	3600	in	ns	ns49.domaincontrol.com.
flipit.rich.	3600	in	ns	ns50.domaincontrol.com.
fucking.rich.	3600	in	ns	ns01.memail-dns.com.
fucking.rich.	3600	in	ns	ns02.memail-dns.net.
fucking.rich.	3600	in	ns	ns03.memail-dns.co.uk.
fucking.rich.	3600	in	ns	ns04.memail-dns.org.
g.rich.	3600	in	ns	curitiba.ns.porkbun.com.
g.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
g.rich.	3600	in	ns	maceio.ns.porkbun.com.
g.rich.	3600	in	ns	salvador.ns.porkbun.com.
g2grich888.rich.	3600	in	ns	iris.ns.cloudflare.com.
g2grich888.rich.	3600	in	ns	ryan.ns.cloudflare.com.
get.rich.	3600	in	ns	ns05.domaincontrol.com.
get.rich.	3600	in	ns	ns06.domaincontrol.com.
getting.rich.	3600	in	ns	ns01.memail-dns.com.
getting.rich.	3600	in	ns	ns02.memail-dns.net.
getting.rich.	3600	in	ns	ns03.memail-dns.co.uk.
getting.rich.	3600	in	ns	ns04.memail-dns.org.
gmo.rich.	3600	in	ns	dns1.onamae.com.
gmo.rich.	3600	in	ns	dns2.onamae.com.
go.rich.	3600	in	ns	curitiba.ns.porkbun.com.
go.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
go.rich.	3600	in	ns	maceio.ns.porkbun.com.
go.rich.	3600	in	ns	salvador.ns.porkbun.com.
gold.rich.	3600	in	ns	curitiba.ns.porkbun.com.
gold.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
gold.rich.	3600	in	ns	maceio.ns.porkbun.com.
gold.rich.	3600	in	ns	salvador.ns.porkbun.com.
goldpoint.rich.	3600	in	ns	dns1.onamae.com.
goldpoint.rich.	3600	in	ns	dns2.onamae.com.
google.rich.	3600	in	ns	ns1.googledomains.com.
google.rich.	3600	in	ns	ns2.googledomains.com.
google.rich.	3600	in	ns	ns3.googledomains.com.
google.rich.	3600	in	ns	ns4.googledomains.com.
gpu.rich.	3600	in	ns	ns77.domaincontrol.com.
gpu.rich.	3600	in	ns	ns78.domaincontrol.com.
grow.rich.	3600	in	ns	curitiba.ns.porkbun.com.
grow.rich.	3600	in	ns	fortaleza.ns.porkbun.com.
grow.rich.	3600	in	ns	maceio.ns.porkbun.com.
grow.rich.	3600	in	ns	salvador.ns.porkbun.com.
health.rich.	3600	in	ns	ns1.dyna-ns.net.
health.rich.	3600	in	ns	ns2.dyna-ns.net.
hein.rich.	3600	in	ns	dns10.nethinks.com.
hein.rich.	3600	in	ns	dns9.nethinks.com.
howtobe.rich.	3600	in	ns	ns01.memail-dns.com.
howtobe.rich.	3600	in	ns	ns02.memail-dns.net.
howtobe.rich.	3600	in	ns	ns03.memail-dns.co.uk.
howtobe.rich.	3600	in	ns	ns04.memail-dns.org.
i.rich.	3600	in	ds	2371 13 2 16B38CD3AAEE4EC2DECE3C1565AD8BA7AE053656267A2A00B73F02005AF46C0A
i.rich.	3600	in	ns	adi.ns.cloudflare.com.
i.rich.	3600	in	ns	dexter.ns.cloudflare.com.
i.rich.	3600	in	rrsig	DS 8 2 3600 20250916160320 20250826150320 12519 rich. S0ClYfILcal/ZVbA7Ms79B9EGdHX7DRT8QwhunjkxVnEWrx5ASU06PIJ/6+VbUOmIwuo0viqo+/0lLYVnwaIDxMWo1Qfr4uQ5BR2JXvHgRSvS+L9Va1HBy1at7IPJgsWMTF9bxlu3qtmqDCT/g/AbsZTVbhamRRcyeJrygR8rPQ=
iam.rich.	3600	in	ns	ns01.memail-dns.com.
iam.rich.	3600	in	ns	ns02.memail-dns.net.
iam.rich.	3600	in	ns	ns03.memail-dns.co.uk.
iam.rich.	3600	in	ns	ns04.memail-dns.org.
