1072.jewelry.	3600	in	ns	ns-cloud-e1.googledomains.com.
1072.jewelry.	3600	in	ns	ns-cloud-e2.googledomains.com.
1072.jewelry.	3600	in	ns	ns-cloud-e3.googledomains.com.
1072.jewelry.	3600	in	ns	ns-cloud-e4.googledomains.com.
1077.jewelry.	3600	in	ns	ns1.brandshelter.com.
1077.jewelry.	3600	in	ns	ns2.brandshelter.de.
1077.jewelry.	3600	in	ns	ns3.brandshelter.info.
1077.jewelry.	3600	in	ns	ns4.brandshelter.net.
1077.jewelry.	3600	in	ns	ns5.brandshelter.us.
108beads.jewelry.	3600	in	ns	ns-cloud-a1.googledomains.com.
108beads.jewelry.	3600	in	ns	ns-cloud-a2.googledomains.com.
108beads.jewelry.	3600	in	ns	ns-cloud-a3.googledomains.com.
108beads.jewelry.	3600	in	ns	ns-cloud-a4.googledomains.com.
10k.jewelry.	3600	in	ns	pdns11.domaincontrol.com.
10k.jewelry.	3600	in	ns	pdns12.domaincontrol.com.
10nu5ic8r1lqdkmlckcksn5748kf4vtc.jewelry.	3600	in	nsec3	1 1 0 73 1GSUK3UN76OUKE3AVUR1MUBJ5N504K6S NS DS RRSIG
10nu5ic8r1lqdkmlckcksn5748kf4vtc.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. f7rRhfqCNKMV9BkWb1hxrb3a4oBrpsOCZnLHk5G7X+f+8aBVj5sZCJsZ6paicOxehz1st0PspIi8DqPZeVwzwFe5SkZfjCT24rpvmB2VjJulvX+C0WmGg5+rS/uL9bAFTfQtPHWxv3vn3bpCWspydBbSUNGmfjjRX4Xe0al9q8M=
1234.jewelry.	3600	in	ns	ns1.dyna-ns.net.
1234.jewelry.	3600	in	ns	ns2.dyna-ns.net.
12shoesfor12lovers.jewelry.	3600	in	ns	ns1.dyna-ns.net.
12shoesfor12lovers.jewelry.	3600	in	ns	ns2.dyna-ns.net.
12step.jewelry.	3600	in	ns	dns101.register.com.
12step.jewelry.	3600	in	ns	dns102.register.com.
14k.jewelry.	3600	in	ns	pdns01.domaincontrol.com.
14k.jewelry.	3600	in	ns	pdns02.domaincontrol.com.
14kgold.jewelry.	3600	in	ns	pdns11.domaincontrol.com.
14kgold.jewelry.	3600	in	ns	pdns12.domaincontrol.com.
16u8f.jewelry.	3600	in	ns	n1.xundns.com.
16u8f.jewelry.	3600	in	ns	n2.xundns.com.
1800.jewelry.	3600	in	ns	curitiba.ns.porkbun.com.
1800.jewelry.	3600	in	ns	fortaleza.ns.porkbun.com.
