2030.ruhr.	3600	in	ns	dns.voerde.globvill.de.
2030.ruhr.	900	in	nsec	3.ruhr. NS RRSIG NSEC
2030.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. OlFjSUHuwtw0HxMuRe52ykUow1AHOXn48ggpDudEY7oBJ8If2OpHegrYKrwYcxNMZ5YMtV+0oRb/IsNcddN2IPI489FvKfqwb07zRbEc9sWuQQ9J2LCS4M9xTNtrm1vlsM8xQcjpCBAvniIznd1+MhDYjSvBGxhuP742wRvWSNpW4xshvPcm9rsLuIhLV1rfZSAfDLM4H1bVyBpOzZo45A==
3.ruhr.	3600	in	ns	haddock.dnspod.net.
3.ruhr.	3600	in	ns	home.dnspod.net.
3.ruhr.	900	in	nsec	34digital.ruhr. NS RRSIG NSEC
3.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. dYQUKmCY2XzBpgJRWZoSDh3YB43KXhXZAoOwPscRpO/dogItdDzmIoqMdJg/fYoMxHNt55Rgy3aQGlwrh9HIZ1Hr3319UmlLXMQvO3Y6mwVn5Yx7FIlpeYAWiFgntZImhmd9tLJNXr4KEoEXRXQj2c6xoJceer3hA6tQpXBvDpZk5fB+Ul7EOwVGhAaWcicq5eF6VqkeE0zeH7vdluu9VA==
34digital.ruhr.	3600	in	ns	ns1018.ui-dns.de.
34digital.ruhr.	3600	in	ns	ns1112.ui-dns.com.
34digital.ruhr.	3600	in	ns	ns1116.ui-dns.biz.
34digital.ruhr.	3600	in	ns	ns1123.ui-dns.org.
34digital.ruhr.	900	in	nsec	360.ruhr. NS RRSIG NSEC
34digital.ruhr.	900	in	rrsig	NSEC 10 2 900 20260222081917 20260123064917 4250 ruhr. IFbOBAEy5yGZSc0r7U40o/RbBX2AJ1219C+QgFxfTKxySBNC/lem5PWJi/PXjmmi1COWc+PibhY9jnT0qoF95gsrHF8R3bbruvFPdgDYCa8ph7h62QmiULzQIjEqJKSDHPelPc2hYYlr8vbOpsHhdHhajMOtttPWV9lzo+pk5ZUD54foBo/3fS9vyZpXDfDYN3VV69lH7aC/KCxSCk0b/Q==
360.ruhr.	3600	in	ns	ns1.sedoparking.com.
360.ruhr.	3600	in	ns	ns2.sedoparking.com.
360.ruhr.	900	in	nsec	360tour.ruhr. NS RRSIG NSEC
