0815.tips.	3600	in	ns	ns.udag.net.
0815.tips.	3600	in	ns	ns.udag.org.
089.tips.	3600	in	ns	ns.udag.de.
089.tips.	3600	in	ns	ns.udag.net.
089.tips.	3600	in	ns	ns.udag.org.
0b4786l7d1uq4spio151fp6mjhil4b02.tips.	3600	in	nsec3	1 1 0 73 0BJL5SH3VU5QEH98FF66RBM8SELL9IAJ NS DS RRSIG
0b4786l7d1uq4spio151fp6mjhil4b02.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. jcJ+QEv7pgxlaHNby3FE8sxveI1m/FZl78a0DCMqp6bYLevoSOeV26sjuXl2NvPUW/tHu4xezOeEhJvgbwp+P3IM4RoCwe/FKEaEOiU15W/IO6W91oFQD/+aGPyrKmYCBzNOXYWHW6kLKzI0w1GLu2zQ7X7Lr7H/SqU4pTCe5Q4=
0bjl5sh3vu5qeh98ff66rbm8sell9iaj.tips.	3600	in	nsec3	1 1 0 73 0BOKCMLA4AD1M2AFSIN23HC6OSFLVK7V NS DS RRSIG
0bjl5sh3vu5qeh98ff66rbm8sell9iaj.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. KoDcK5vFPZsyP+B0Yfh+wXq39Gkt0xgO1WeWANfhQ1gp27H73SGFsM7jN70Mmb4KC0gJeUiBILGNyM6GKeGiL1drcR2Z/nquFtXC3z6C8zPkE3qEDu/fYN639CvDUsFwLIphZEWi7Y79mTgN4B5msCrPg1vKnqk/KjTGfcbARoc=
0bokcmla4ad1m2afsin23hc6osflvk7v.tips.	3600	in	nsec3	1 1 0 73 0DVCMJ5LT5C639TTS6N1T0BVNAJJIQ9D NS DS RRSIG
0bokcmla4ad1m2afsin23hc6osflvk7v.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. XTB1VuWj6/EaaFjDl7sTT52ckgGiIJxAM6HcZhkwKnzbKXh8aM8SQpZuLa/yKnAQeOyARCAc4F1yRvtYO7H6LkOqnNB7uvj90joF+cTx0sPfH24OMXkqe9MS7SRJOj9DnCb/ybvb5VIstWAeyqvD5SRoogPpQPVmLDONU4XhlrQ=
0dvcmj5lt5c639tts6n1t0bvnajjiq9d.tips.	3600	in	nsec3	1 1 0 73 0EEEPRM9A0C7JMH9F2D8PJNV9BJ8VCIN NS DS RRSIG
0dvcmj5lt5c639tts6n1t0bvnajjiq9d.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. cQuTzppgFDWSY7Qy1Kz3cao2WOW8XshTTrQBXFUvWVkmC/1xgSW0NgZl/Od8LjRh0itulI28sMYV1vh8SHH71KB8F5RblXdt7bmVE2v3NVjfBgzlxi6azpHRWu5ebY9ydAnsUwuWRfXSsg66Q59K1dO+nb6Gp0kQCWloAV3WRMk=
0eeeprm9a0c7jmh9f2d8pjnv9bj8vcin.tips.	3600	in	nsec3	1 1 0 73 0FF87VAVDFMCNTMJDKFTI695CGF87S5S NS DS RRSIG
0eeeprm9a0c7jmh9f2d8pjnv9bj8vcin.tips.	3600	in	rrsig	NSEC3 8 2 3600 20250922152646 20250901142646 54429 tips. hmeONl1QJ4Db3rfPjifT9pBT6QMk8sDlHkxWSFGTFjBR6Dp/3ktHHNDq3sjPUmV35ZmcgfdQXPGIGlfuIiRor1Z8AnjmJzmtYplSJfcZ5+wBhVc8SzVd0R9n9AvlV1GxEAfpLGyDo/R61J0cChXDeL3rz2nKYkMideoDpYof0IE=
