00onps56gm6hd5ach86p07g7g27coekp.baby.	900	in	rrsig	NSEC3 8 2 900 20260120110948 20251221093948 55701 baby. kfDjRjiYoRnv2QXS8LhGPYCDIzV/w2EdvqRFWno7GluuYFGh2Ens8gY8mwHeXICovaoTd4Y1fbeaFjDnwkn5WERtZfE4y5li5/S5OaIub/oyh+otoIKX9UUcqwHPKTr1vPVmyXqb+DY7jFDkxxzCmbsmB8kYVA5OQ1JvgKk8RiA=
00pium.baby.	3600	in	ns	failed-whois-verification.namecheap.com.
00pium.baby.	3600	in	ns	verify-contact-details.namecheap.com.
00video.baby.	3600	in	ns	ns1.afternic.com.
00video.baby.	3600	in	ns	ns2.afternic.com.
010682196.baby.	3600	in	ds	45046 13 2 11A68B5463623FA0D160CC54D01AD3C575FB8FD4F00260252C5672E49B2D4118
010682196.baby.	3600	in	ns	launch1.spaceship.net.
010682196.baby.	3600	in	ns	launch2.spaceship.net.
010682196.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. pig9A/qfMWbN/yZFmcKC0Xr8PrRVjjBdePqc7TzIbGvuj0g1ST4TAtTUOS1dbzLfqF7s9rXJIHbQDoarYJCeNJYAY3Tzyo5uKyUy0zRUsZqhZgJ4fK2NEIgf6nISqNnlg2zkIzwRnIpC2WChONlmgLkjs7k/qUf+h1grvULdRwM=
011337315.baby.	3600	in	ds	43379 13 2 C50F1C56886A69EFE4AA03BB2DC6A275AB18C13C7FEE8EC34844ED2D909B38BD
011337315.baby.	3600	in	ns	launch1.spaceship.net.
011337315.baby.	3600	in	ns	launch2.spaceship.net.
011337315.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. sEQQz8WoLGPxUIo2gszOdHXIiT9DdNTUs+jDH2aW3bvahirSrmcnjUq+b646EKb3z/t+CW+u6VkhRRSk55MK7qzXyWOxdZcO4k6H7KN4SMbMZEbQnNagdwZ+r41Veu3oZph4NU88YqIvPNqr5S9+fFCgloqtS6uLB0+wHOSGvZY=
0120pzpzpz25.baby.	3600	in	ns	carmelo.ns.cloudflare.com.
0120pzpzpz25.baby.	3600	in	ns	rosemary.ns.cloudflare.com.
0123456.baby.	3600	in	ns	ns5.myhostadmin.net.
0123456.baby.	3600	in	ns	ns6.myhostadmin.net.
0123456789.baby.	3600	in	ns	ns1.dyna-ns.net.
0123456789.baby.	3600	in	ns	ns2.dyna-ns.net.
012386384.baby.	3600	in	ds	56672 13 2 21851B315BCEA571A51C554D5BA78126A73E5B76A2F2B8DC26E748199617BEB6
012386384.baby.	3600	in	ns	launch1.spaceship.net.
012386384.baby.	3600	in	ns	launch2.spaceship.net.
012386384.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. aNlMKun2spf0R7YRGqh26KvfjXGvSBMuOyh3z2YocTNU6cHKjZFixu7OQv3EYC3nbbrySm6bz4YbyE45ONvweVzcOiwBhUqhNNe/ZcU7TvTflPLsEJ5WBPlEwYtuZoKZXIqrY3IJ4i9Y0MaGQur0kBmHrQ/kqPX7TPaDRcbDRXE=
012913914.baby.	3600	in	ds	7813 13 2 A3CA5299345DBDD77478A6E4C76B8E17A560093640F0F2BA740DF934C35096DD
012913914.baby.	3600	in	ns	launch1.spaceship.net.
012913914.baby.	3600	in	ns	launch2.spaceship.net.
012913914.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. kpt/FIRTOvY44fWJLIxP32IuGig6H/o19bb/QzXbibyExno8dGI7m2MZH8oJGZnSG7ODpRUjQEFSUHos0Ryuj746o0VOG1Ikk1RggTTq3dhf9NWpiAvpKxaZuL0r83vkbx0WAUgBU0BDsAKafYu+d04DPGDdipJIHfYcDb0QN4s=
012945593.baby.	3600	in	ds	63924 13 2 A1811BEFFE0B6D2616AF04AF228F90542B372D2AB00F6C2D84CC98D613F0AD8D
012945593.baby.	3600	in	ns	launch1.spaceship.net.
012945593.baby.	3600	in	ns	launch2.spaceship.net.
012945593.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. fKDbaYOo3gSdUO3RkqocUQyvCDdnX0uyz905uXd7VxmBTaZIKcwHw+XMMFqQFUqjDs2FjCgQaujCnliH7+W67OB4uUYq7dDclu9MJanuUXQeJPvWMDlav6JHaJBNY5RHwSr5u06TomTML0m2FXl7pc6uFMbTtjoPmgco3ZV8qEc=
014247413.baby.	3600	in	ds	26006 13 2 76F591590606108703C611300A4531725EF33978EE55A8382C57BDD266F31C4C
014247413.baby.	3600	in	ns	launch1.spaceship.net.
014247413.baby.	3600	in	ns	launch2.spaceship.net.
014247413.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. ys4Lwt1S+cqRMugd5zIDwlQBXS/8DDIN1xhY9g+9ng4koVGbZqlCVNryDPEinps3OPp84vHJvPoxH0KzaTtmJzBnwLvV8q3NrIYxLtWDhdh/aa8b2SqrE+H5TW0L2fDTjl3scG5Zogu0j692JmtveNhygwhCOCM3J/+u3Gt8qo0=
01439970.baby.	3600	in	ds	53722 13 2 EA9FF7413CE6EFA5A183322CC7673FEDF0327F85C0267722DD0E66AD2F3304F6
01439970.baby.	3600	in	ns	launch1.spaceship.net.
01439970.baby.	3600	in	ns	launch2.spaceship.net.
01439970.baby.	3600	in	rrsig	DS 8 2 3600 20260120110948 20251221093948 55701 baby. L2Yn8OJh+TqrCFSrqBx29sNar1d1g2aVHkyToPIbOwpqqc/R6VIOXxBYC5zOnXEyXHQSWepnwnUf4dREUpaHudjYDt16zwKSaD5Qn1Tzhv0RmJnJHsWAfNqf/NkoRTae0Yyl5xpudELg7AqMWoTHwao33hilWKorTQRd1TnzJQA=
01872133.baby.	3600	in	ds	50526 13 2 894A7CDA88DD7F09D0F3A0B6EE1A11E74F44A0B959FD362752C8B2C1C5C26631
01872133.baby.	3600	in	ns	launch1.spaceship.net.
01872133.baby.	3600	in	ns	launch2.spaceship.net.
01872133.baby.	3600	in	rrsig	DS 8 2 3600 20260120110948 20251221093948 55701 baby. wBSSLTgR1ihYsVQwiJ03HMKm0FZn7oRd9QyQGiZMxpt7le0UQDZDwyH6IkK0a6J5Ht1FZF7P0ctY3Kb8GHQN2uTE7M8Cqu7OboQAceDGPyKyJrK7rUOCHP+K/8gV745PE597Jkh+i8OAEihV65r9/GaBNNr8wBcano9MG1eqSrQ=
018816893.baby.	3600	in	ds	39117 13 2 D30EF0A41B372C7A1D0A32A317E685C418B64B20D9EE438539CD410E1A79E73C
018816893.baby.	3600	in	ns	launch1.spaceship.net.
018816893.baby.	3600	in	ns	launch2.spaceship.net.
018816893.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. CuNiRncrWZwHajhW8Re3zOJPBzVdwUY8zcEVsvZejYoc+szQCMKIZR3LQc7pJlzwc6Z37uhoJzt3R57jfR0gvTBPk+kbZTRKnEMMsQPEMheHxlLR0gJX+6qR97h54YOKkN4tVgsthMLg+QrH+9L5urv08KKPVrHlfREyD7rAy0Y=
020.baby.	3600	in	ns	ns1.dns-parking.com.
020.baby.	3600	in	ns	ns2.dns-parking.com.
021923506.baby.	3600	in	ds	50900 13 2 0DDDA6323DA1E97AB343772CB4FDD99C3BFCC244354B1DFD23172B2B4FDBDA4B
021923506.baby.	3600	in	ns	launch1.spaceship.net.
021923506.baby.	3600	in	ns	launch2.spaceship.net.
021923506.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. NsleZdFvCsPf5UpjnLsF67PaFOaqlbCFH1NYMQ9TrkiQ/FBSol55lsbyrDkS8VzS8C6VakuqMkZ5q1ONlmjb3Kqo2HEF92wh6LggfIopK/rGiEihTHKl+bo23bOlIg3K4erCJOmJqFVdGd7LUt9ryfVOSUU1BJMSfenbCERz9AA=
024.baby.	3600	in	ns	ns15.domaincontrol.com.
024.baby.	3600	in	ns	ns16.domaincontrol.com.
024086070.baby.	3600	in	ds	9070 13 2 E97CE4A79464D20ABF5478C55D9AA01BBEE4EBD60A83D617AB66F51EDE3A1559
024086070.baby.	3600	in	ns	launch1.spaceship.net.
024086070.baby.	3600	in	ns	launch2.spaceship.net.
024086070.baby.	3600	in	rrsig	DS 8 2 3600 20260127133719 20251228120719 55701 baby. Lg0cB9xWMaSTu1XZuRDT0FUMEPgOFU2N73PGhKhJnwNTT2e42yfa5npEKSUEY2hyZpiqujTGOe7/6AsWPu1HXpAyjNA0K4n3snRXvTakRO9PWrPFhN0mtOf1D2plm3KdYwvgcwq3Hm7qyu/PvzJ2Yv1NFpAa9vPAkbs5qMUdk9Y=
025.baby.	3600	in	ds	2290 13 2 DEA0627D7D4B2C6CE389C16F209CDC11B174D8C00587D5EF66071E979BEF56A9
025.baby.	3600	in	ns	launch1.spaceship.net.
025.baby.	3600	in	ns	launch2.spaceship.net.
025.baby.	3600	in	rrsig	DS 8 2 3600 20260120110948 20251221093948 55701 baby. rPabgPtERnlOoDbldrvUekbT802mRtYObkYZtu8QYQgxI5ZAigVPUS6UIYIow1NWlyB3O2+vsin5QJA07fSRcJiEr9T2WY/L4usvZNMLsrtv3nCkxZtNnaB1parxCym5Buw0TP7nc4ml3tF3DH5x7GbjbhXQnfVJAQn3oPIaDLU=
