05ttmnjphrev1mic2n3111asn6nrtsc7.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. rHb/jHLkp6Ipilama7oPLfbSSqL5yOYQDFh1QmlrdMD1gJzBr8Ql8f38RdbeNwAGh9FcPMGu0G908wt4bnWX3mUMSaNDqqWHVxeitpnt+POrWgDI1TDwmn6sPDPED9mpGOwkfOwPMlIvwX9ivCMsM7POoZb4JOg78QHHS+b7SfM=
06030.fund.	3600	in	ns	ns1.gxkjdns.com.
06030.fund.	3600	in	ns	ns2.gxkjdns.com.
0755.fund.	3600	in	ns	dns31.hichina.com.
0755.fund.	3600	in	ns	dns32.hichina.com.
076urrebvr0n24cv1v86rvb6qqri0g0g.fund.	3600	in	nsec3	1 1 0 73 07JJ1FTPECELA1AQ9ST5OLKTS30B1ETI NS DS RRSIG
076urrebvr0n24cv1v86rvb6qqri0g0g.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. NiM2TYmzWhubpRcHRaALCP5EVQpji/tNrr1wVsB8EHF/nlaUHGX+0mgPr9404o8zK0xoA7ITFmAkMB3SuUjMMAv8C+RO8LtCdDH4k7NeC206ujOKpRL5IZCGQkemCfvyDIq40cYgAgezZTRmJHRz6QriZJ+ZpSvczKVqJC8T82Q=
07jj1ftpecela1aq9st5olkts30b1eti.fund.	3600	in	nsec3	1 1 0 73 08R5J4979R4LM7ELU0J7A21CN56963J2 NS DS RRSIG
07jj1ftpecela1aq9st5olkts30b1eti.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. tCWH4orUH/b68f1jE7yalo2Ijr0/3t8nfJ0Mvq0EY3Ea2CvVRuOL92BgZFseXHyYKPC4PLK7lRvPYInumsoqget+o3D+Err9T6n4yxhEty1qxatBME/+O7p2XLhh7z0e/sBd+ei1xrNEVwdjKxD8iXVmoD8k2desy1RoD0PXJ7o=
089.fund.	3600	in	ns	ns.checkdomain.de.
089.fund.	3600	in	ns	ns2.checkdomain.de.
089capital.fund.	3600	in	ns	ns.checkdomain.de.
089capital.fund.	3600	in	ns	ns2.checkdomain.de.
08r5j4979r4lm7elu0j7a21cn56963j2.fund.	3600	in	nsec3	1 1 0 73 09D84MM9A7JTS9KQUI2KS5V8RLN41RGE NS DS RRSIG
08r5j4979r4lm7elu0j7a21cn56963j2.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. MRX1lnfEaPWnhHW8r7k6Lx5q4UUChyvU8QLWtoocrYKsJOHpahA4vSQmzYyGQ4wJonnf7UznP4jhtJD9cnffhb/0aDKtY/BydxjX2LOUmPSwwvxoeUfczK089MtCy+8tLZFY7IbqDgL7nzxj1m6tq7SFJL6yuB+Ev8/WPQ296F4=
09d84mm9a7jts9kqui2ks5v8rln41rge.fund.	3600	in	nsec3	1 1 0 73 0AIQ1JLAC3QKMVO04HVFMPCNFN7UITUO NS DS RRSIG
09d84mm9a7jts9kqui2ks5v8rln41rge.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. eVdEewDm67uOh4ulXdTV/eLHqQVXiC/w7tZA5aDbt6hMA3y32zxjs7D2HMh7W/N2ZXXNTzJvNHz9M7eIkCTlavzn9GyMJO/KopmSFgqBAbPYrcg1EUeV5SYgFNZht5PcheZ6t9+l872pkhjxgUqTIHl9mSxi66M0iCiH1WPIo84=
0aiq1jlac3qkmvo04hvfmpcnfn7uituo.fund.	3600	in	nsec3	1 1 0 73 0EP671P7OK3L7TCCT1V8TOJG04A7APFD NS DS RRSIG
0aiq1jlac3qkmvo04hvfmpcnfn7uituo.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. 3ljKi2jSw5yNNTOnGURESH6chSmiypgmtaYmaRAP/n4WU+qgP5+idbwxdxXDMcyEjwFpeTlgdhPb3B/KU+BOSv9zvcnnS2gHD8qDJCxW+gAkRUSt+H+Dz1jgZpf2vQFmWE/NyCaETGznrdOQ0WoyOjWPLUal4LA7GCZ6deZiVdg=
0base.fund.	3600	in	ns	ns-1465.awsdns-55.org.
0base.fund.	3600	in	ns	ns-1917.awsdns-47.co.uk.
0base.fund.	3600	in	ns	ns-198.awsdns-24.com.
0base.fund.	3600	in	ns	ns-807.awsdns-36.net.
0carbon.fund.	3600	in	ns	ns39.domaincontrol.com.
0carbon.fund.	3600	in	ns	ns40.domaincontrol.com.
0co2.fund.	3600	in	ns	ns65.domaincontrol.com.
0co2.fund.	3600	in	ns	ns66.domaincontrol.com.
0ep671p7ok3l7tcct1v8tojg04a7apfd.fund.	3600	in	nsec3	1 1 0 73 0H67G7J6C53LSMBMHC7RE15M943JSN27 NS DS RRSIG
0ep671p7ok3l7tcct1v8tojg04a7apfd.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. LHpFT8BQ1tCtsneC7xBhfT6z7Hb6awyT4je1S54KdwJ0VWFPJdz9CoVhuYB5ya72GLA61uHDizqzi2yvlowfy4pPe1WSe1reqPLrq0h9OloktBtdqv1UCOliE2w1N7RUomrZNQO4IM1VDjtm0vUZLPiEZt+/QUeVytKV73H8JW8=
0fonds.fund.	3600	in	ns	aerfalle.empirion.at.
0fonds.fund.	3600	in	ns	elithra.empirion.at.
0fonds.fund.	3600	in	ns	leikotha.empirion.at.
0h67g7j6c53lsmbmhc7re15m943jsn27.fund.	3600	in	nsec3	1 1 0 73 0H6UQ3OCAFER3F28IBU2JBFKLQ5AN7O6 NS DS RRSIG
0h67g7j6c53lsmbmhc7re15m943jsn27.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. 1otc0jYktQtQ9YcxsyI1JJcnVY2cNi3mOb/BhpK7iKX1gn1yGOXXX3OT9WLb1suwz0Q6UxFf/wVv6d4G2ZOP6tNZIgP9LLwVb/YeWNpPbZKGiTfJY04ZspxUJT744DnYhc2yoCOTqpGGjarRkdn3+98o5uIxcHAArZu56LlqHvU=
0h6uq3ocafer3f28ibu2jbfklq5an7o6.fund.	3600	in	nsec3	1 1 0 73 0H8SG4U6M11H5HPP12O2CICT8A9AO44F NS DS RRSIG
0h6uq3ocafer3f28ibu2jbfklq5an7o6.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. v8ykdc8PRjogMOU6e510Ff+vDfXAS6eeY7TNKJQobDALuPYOyLB7MIVfjYpGK0vTkojvLpv/gFAGaM1qTGFvPL/+78xiSmbk2o8pFrXSYgHj5Ivdze+Dw5Tfb6q6s7Pm5GasqYrvrlMgMYBRnDst2BAlcZT9nMKPXXV87bJGACw=
0h8sg4u6m11h5hpp12o2cict8a9ao44f.fund.	3600	in	nsec3	1 1 0 73 0HAF7CGMDTP6RIG3GP2ON36T067JF56E NS DS RRSIG
0h8sg4u6m11h5hpp12o2cict8a9ao44f.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. ySJXKDiAVmsp4MactIol7vEx3v7hkwMWM1BOn7QV2dGwskl1FVswrOJJGEvo+KMT4RXB6E8Ajbasjfdfum/GwV5gpEzC4HjsCJgE6VHy3qyV+LHnogMk10tsbErr7VBhz+/sx7KJFS1oePaB95d1RSCY+23Vi4Lis7Yv5jniMiw=
0haf7cgmdtp6rig3gp2on36t067jf56e.fund.	3600	in	nsec3	1 1 0 73 0II6BJ0R5CQDTQFHMAHCHTKBEEV86EAO NS DS RRSIG
0haf7cgmdtp6rig3gp2on36t067jf56e.fund.	3600	in	rrsig	NSEC3 8 2 3600 20250930154121 20250909144121 29934 fund. LlBBjM8u0u6YDzfuZEm6EfFPzlzMVE1eVaYhms6jEeXc6aERmLaINJ5TSwmJ6C7r+poZjyfpqWPwqROKhlxQoC1SQkZcyzfkHS7uilx02RntNHZsC011pNciPBprpJGcp8bgvRRIcL34u4Vneg1C343C4KoOTTWtR5ajEa9XgJk=
