04k9qfq031bid410gvh7gvak0c0hm8f6.marketing.	3600	in	nsec3	1 1 0 73 053837B2B6BNJBADK0EEAO73LRTEKTA9 NS DS RRSIG
04k9qfq031bid410gvh7gvak0c0hm8f6.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. DFuVqY7A1dk2cxOxgsWDfSiYLGQV1vR6AOHrllY1Gdm903lrjTWHNCzLI2yea5V9y/GalKG3HRxRjGOmVX8a8PTz1qw8akrIT7IKMMbd5T26TbmMIAoXVJ4i8gUu9pbXy1nwgThN1NBEtZllw4soqe7Meywu4fl0SkFhPlGTtls=
050.marketing.	3600	in	ns	ns.zxcs.be.
050.marketing.	3600	in	ns	ns.zxcs.eu.
050.marketing.	3600	in	ns	ns.zxcs.nl.
0517test01.marketing.	3600	in	ns	ns7.alidns.com.
0517test01.marketing.	3600	in	ns	ns8.alidns.com.
053837b2b6bnjbadk0eeao73lrtekta9.marketing.	3600	in	nsec3	1 1 0 73 05Q62KPHUPAK1SNE6C7AID02EHL1UDHT NS DS RRSIG
053837b2b6bnjbadk0eeao73lrtekta9.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. HZCKzSn2FAoqfvd3t0apmlnP1ZgsNOOngMWD2SkPzq8RHA/j+Vqtp8f/ZmnT0TotV2VMQ+qEkY7y3Zes41Qcpf4k77dPMyDO/PM0vbJ04lod5weB9Hf/QpyQpxv0pyGrfZFIyDcLFAgij9MKV6vZ+Le+7rd1EhALNw8iepldUCE=
05q62kphupak1sne6c7aid02ehl1udht.marketing.	3600	in	nsec3	1 1 0 73 06P9ILKUEHQNR6QE5A82717PID0JO6AU NS DS RRSIG
05q62kphupak1sne6c7aid02ehl1udht.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. T0qWX6mV0Yjf8TxfZKbDKtFTpNBmYLGkDRZsFX98K/gWHuqOCF4VE+gVjWVpXbNUHbOhz6IyyvQJjfOm0JNUlhgHeOrh77QrOxFZ3eFWprRGC5ExW+sC6BSLopQA4kIoOfyceYehBhRZ7zSXySW0Lq76HrAOSvgKEYIUeSxfewg=
06p9ilkuehqnr6qe5a82717pid0jo6au.marketing.	3600	in	nsec3	1 1 0 73 07G7UUCVC1L3IIB9JB2E0JFBLE2D6VB8 NS DS RRSIG
06p9ilkuehqnr6qe5a82717pid0jo6au.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. 3g4qVmGbEO5wcUl1GNEeFgJ/XhDy5GaghiOakKchvh0yrIldlxnJRRDjx+yBj+yul07Z6ULBdvzvq0y2HNuo24GSNihQdqmwHsxOnThN61wLDnpz6KcitrbtJnd8k08cp6W3UxsSV/0ZvtHn4PMcRzEzpX3Hl62Icokcu92pffs=
07g7uucvc1l3iib9jb2e0jfble2d6vb8.marketing.	3600	in	nsec3	1 1 0 73 07Q1AQJ6098DJ3N9RBRELLSE90T1A9UE NS DS RRSIG
07g7uucvc1l3iib9jb2e0jfble2d6vb8.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. UqKm4iekYESCaL0pqAKn6MFM9fSjH4p2DLJAb7wgiQzZ2iE6BmQth8dETu6XkopN2rp493gUmAq99xPZYjDDLY2URMbJNnxjbw77QX6Yud+J2Af+0InH8eub179S9wFlNHyaHWTt5EDimYeRJqcGezllFAfkElZyfrQTHXrqq78=
07q1aqj6098dj3n9rbrellse90t1a9ue.marketing.	3600	in	nsec3	1 1 0 73 07S9ARRDASA4S0NJ8JLM5IDVJJK3H6L0 NS DS RRSIG
07q1aqj6098dj3n9rbrellse90t1a9ue.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. Fg42nL9WCiws710jweNFASH+82Wg2DWS3kFLij/zmabBin3kersXO5ebcBNenEfnYn0eFgUZWGuCDUjohNdDghPeUv5xUQOq+JdgtozGexwuOYQ8Gc7vIkRFpQd8295PFahGlj8DXmBjHk6rlfJgowpwUGZvIsCosr8fjnq98zg=
