rio.	172800	in	soa	a.dns.br. hostmaster.registro.br. 2025239030 1800 900 604800 900
arenaleblonhotel.rio.	86400	in	ns	ns02.trademarkarea.com.
arenaleblonhotel.rio.	86400	in	ns	ns03.trademarkarea.com.
arenaplus.rio.	86400	in	ns	ns01.trademarkarea.com.
arenaplus.rio.	86400	in	ns	ns02.trademarkarea.com.
arenaplus.rio.	86400	in	ns	ns03.trademarkarea.com.
arenastore.rio.	86400	in	ns	ns1.dns-parking.com.
arenastore.rio.	86400	in	ns	ns2.dns-parking.com.
armazemdedados.rio.	86400	in	ns	ns0.rio.gov.br.
armazemdedados.rio.	86400	in	ns	ns1.rio.rj.gov.br.
arquiflora.rio.	86400	in	ns	ns1.digitalocean.com.
arquiflora.rio.	86400	in	ns	ns2.digitalocean.com.
arquiflora.rio.	86400	in	ns	ns3.digitalocean.com.
artech.rio.	86400	in	ns	nsa3.hostnet.com.br.
artech.rio.	86400	in	ns	nsa4.hostnet.com.br.
artech.rio.	86400	in	ns	nsa5.hostnet.com.br.
artech.rio.	86400	in	ns	nsa6.hostnet.com.br.
artech.rio.	86400	in	ns	nspro30.hostgator.com.br.
artech.rio.	86400	in	ns	nspro31.hostgator.com.br.
artedigital.rio.	86400	in	ns	ns1.targethost.net.br.
artedigital.rio.	86400	in	ns	ns2.targethost.net.br.
artepadilla.rio.	86400	in	ns	nsb1.k8.com.br.
artepadilla.rio.	86400	in	ns	nsb2.k8.com.br.
artepadilla.rio.	86400	in	ns	nsb3.k8.com.br.
artepadilla.rio.	86400	in	ns	nsb4.k8.com.br.
artepadilla.rio.	86400	in	ns	nsb5.k8.com.br.
artepadilla.rio.	86400	in	ns	nsb6.k8.com.br.
artesan.rio.	86400	in	ns	ns1.dominios.uol.com.br.
artesan.rio.	86400	in	ns	ns2.dominios.uol.com.br.
artesan.rio.	86400	in	ns	ns3.dominios.uol.com.br.
assed.rio.	86400	in	ns	ns1.locaweb.com.br.
assed.rio.	86400	in	ns	ns2.locaweb.com.br.
assed.rio.	86400	in	ns	ns3.locaweb.com.br.
assespro.rio.	3600	in	ds	11339 13 2 2D6EF8721C6CE840A65D7D0E6919063CD12BF63145E599E59610133C8B6210CF
assespro.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. MAFC9bqjODVyDgMZHd+DMffakXz3CJDfd+P/2hPnS4dDO7JrEAGPZGMDxcnrEQlUIR/4zYQQsT6OQxsfAKlI3A==
assespro.rio.	86400	in	ns	ns01.one.com.
assespro.rio.	86400	in	ns	ns02.one.com.
assimsaude.rio.	86400	in	ns	ns1.dreamhost.com.
assimsaude.rio.	86400	in	ns	ns2.dreamhost.com.
assistenciatecnica.rio.	3600	in	ds	20698 13 2 47DBE637C4B5F1B2F72A6D275292D5E6ED9C5D7D9559B7322EF3648A7B3A9DB8
assistenciatecnica.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. CObEkfpHe58VAcRhhvKcSb7j6fDK/o8C0waCWmdAkd+VtIpZZYMqBF/gOS9MYNORfCEKis4RjmtNAHFuTuQ5tA==
assistenciatecnica.rio.	86400	in	ns	ns01.one.com.
assistenciatecnica.rio.	86400	in	ns	ns02.one.com.
at19tjj2bqonk46gnb6854vs9oi5mofb.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 B1R528ICOQTL3P4QMO1R886PS6R5RL5M NS DS RRSIG
at19tjj2bqonk46gnb6854vs9oi5mofb.rio.	900	in	rrsig	NSEC3 13 2 900 20250905165501 20250821155501 65520 rio. oYm/Rf9/GQxnM/B2nHeCjZL3GgoD20fbH1xMhsBdapDdT32uydHCdNacs6HJXksqUeYtnHtF1Juf0vglJUfsEw==
atlanticbank.rio.	86400	in	ns	ns1.hostinger.com.br.
atlanticbank.rio.	86400	in	ns	ns2.hostinger.com.br.
atlanticbank.rio.	86400	in	ns	ns3.hostinger.com.br.
atlanticbank.rio.	86400	in	ns	ns4.hostinger.com.br.
autistan.rio.	86400	in	ns	nsa1.hostnet.com.br.
autistan.rio.	86400	in	ns	nsa2.hostnet.com.br.
autistan.rio.	86400	in	ns	nsa3.hostnet.com.br.
autistan.rio.	86400	in	ns	nsa4.hostnet.com.br.
autistan.rio.	86400	in	ns	nsa5.hostnet.com.br.
autistan.rio.	86400	in	ns	nsa6.hostnet.com.br.
auxiliocarioca.rio.	86400	in	ns	ns0.rio.gov.br.
auxiliocarioca.rio.	86400	in	ns	ns1.rio.rj.gov.br.
avaliacaosme.rio.	86400	in	ns	ns1.cavsme.net.
avaliacaosme.rio.	86400	in	ns	ns2.cavsme.net.
awsug.rio.	86400	in	ns	ns-1448.awsdns-53.org.
awsug.rio.	86400	in	ns	ns-1887.awsdns-43.co.uk.
awsug.rio.	86400	in	ns	ns-351.awsdns-43.com.
awsug.rio.	86400	in	ns	ns-641.awsdns-16.net.
azymuth.rio.	86400	in	ns	ns10.wixdns.net.
azymuth.rio.	86400	in	ns	ns11.wixdns.net.
b1r528icoqtl3p4qmo1r886ps6r5rl5m.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 BQUDB4256DQFLB77A5OB60QA7I27MC08 NS DS RRSIG
b1r528icoqtl3p4qmo1r886ps6r5rl5m.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. v2rj4IMt157bv1vG5KcnDzZTjUxLObACYegz2lz1SI8kPq6eQSqbXXlPwXnmdALKId3B43/n1LTHGQDHYub05A==
bafodaprainha.rio.	3600	in	ds	62025 13 2 C31352C002CB23B80202D572675789C091F3749AD1E1B078F45C372FBC0A62E9
bafodaprainha.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. JsCgw0ZdkGpzKkU4KWKDUUUldCC0RfElBNuyhCPhG6ACQDIjGtdvvw6rTjYtxYg+IQLDyClnwNIw0gexxRJcdw==
bafodaprainha.rio.	86400	in	ns	ns01.one.com.
bafodaprainha.rio.	86400	in	ns	ns02.one.com.
bangu.rio.	86400	in	ns	nsa1.hostnet.com.br.
bangu.rio.	86400	in	ns	nsa2.hostnet.com.br.
bangu.rio.	86400	in	ns	nsa3.hostnet.com.br.
bangu.rio.	86400	in	ns	nsa4.hostnet.com.br.
bangu.rio.	86400	in	ns	nsa5.hostnet.com.br.
bangu.rio.	86400	in	ns	nsa6.hostnet.com.br.
bardalaje.rio.	86400	in	ns	boyd.ns.cloudflare.com.
bardalaje.rio.	86400	in	ns	meera.ns.cloudflare.com.
bardoomar.rio.	3600	in	ds	8713 13 2 37A0FB3A8D52945CC175F0D526FD3615A2E67D6349E5C8A14DAC6FC389AB0940
bardoomar.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. O7kynRntz2aXQkpUOMINpndqAr4GQz2/zR1zzjHA2hzuvoH8r9NBE73Ek6V/iS+4BY5FwuYUiUMgvHhouCzGNQ==
bardoomar.rio.	86400	in	ns	ns01.one.com.
bardoomar.rio.	86400	in	ns	ns02.one.com.
barra.rio.	86400	in	ns	nsa1.hostnet.com.br.
barra.rio.	86400	in	ns	nsa2.hostnet.com.br.
barra.rio.	86400	in	ns	nsa3.hostnet.com.br.
barra.rio.	86400	in	ns	nsa4.hostnet.com.br.
barra.rio.	86400	in	ns	nsa5.hostnet.com.br.
barra.rio.	86400	in	ns	nsa6.hostnet.com.br.
barrashopping.rio.	86400	in	ns	nsa1.k8.com.br.
barrashopping.rio.	86400	in	ns	nsa2.k8.com.br.
barrashopping.rio.	86400	in	ns	nsa3.k8.com.br.
barrashopping.rio.	86400	in	ns	nsa4.k8.com.br.
barrashopping.rio.	86400	in	ns	nsa5.k8.com.br.
barrashopping.rio.	86400	in	ns	nsa6.k8.com.br.
beats1.rio.	86400	in	ns	a.ns.apple.com.
beats1.rio.	86400	in	ns	b.ns.apple.com.
beats1.rio.	86400	in	ns	c.ns.apple.com.
beats1.rio.	86400	in	ns	d.ns.apple.com.
beats2.rio.	86400	in	ns	a.ns.apple.com.
beats2.rio.	86400	in	ns	b.ns.apple.com.
beats2.rio.	86400	in	ns	c.ns.apple.com.
beats2.rio.	86400	in	ns	d.ns.apple.com.
beats3.rio.	86400	in	ns	a.ns.apple.com.
beats3.rio.	86400	in	ns	b.ns.apple.com.
beats3.rio.	86400	in	ns	c.ns.apple.com.
beats3.rio.	86400	in	ns	d.ns.apple.com.
beats4.rio.	86400	in	ns	a.ns.apple.com.
beats4.rio.	86400	in	ns	b.ns.apple.com.
beats4.rio.	86400	in	ns	c.ns.apple.com.
beats4.rio.	86400	in	ns	d.ns.apple.com.
beats5.rio.	86400	in	ns	a.ns.apple.com.
beats5.rio.	86400	in	ns	b.ns.apple.com.
beats5.rio.	86400	in	ns	c.ns.apple.com.
beats5.rio.	86400	in	ns	d.ns.apple.com.
belem.rio.	3600	in	ds	56756 13 2 A4D7605918121EF1F0A1D7CC1D39BE586522BEFD6DAE1A933E248ABA28AD6288
belem.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. r1WoNgz00pfrROcERe6s/9DgIvshkHl0PQUPfbpydp/hK4V19FIOW/t57M91lT8Kku6Tc9MtX3k6fz13B4W8VQ==
belem.rio.	86400	in	ns	ns01.one.com.
belem.rio.	86400	in	ns	ns02.one.com.
bem-te-vi.rio.	86400	in	ns	nsb1.k8.com.br.
bem-te-vi.rio.	86400	in	ns	nsb2.k8.com.br.
bem-te-vi.rio.	86400	in	ns	nsb3.k8.com.br.
bem-te-vi.rio.	86400	in	ns	nsb4.k8.com.br.
bem-te-vi.rio.	86400	in	ns	nsb5.k8.com.br.
bem-te-vi.rio.	86400	in	ns	nsb6.k8.com.br.
benchimol.rio.	86400	in	ns	ns8409.hostgator.com.
benchimol.rio.	86400	in	ns	ns8410.hostgator.com.
betpix365.rio.	86400	in	ns	ken.ns.cloudflare.com.
betpix365.rio.	86400	in	ns	paige.ns.cloudflare.com.
bicicultura.rio.	86400	in	ns	ns1.locaweb.com.br.
bicicultura.rio.	86400	in	ns	ns2.locaweb.com.br.
bicicultura.rio.	86400	in	ns	ns3.locaweb.com.br.
bigdatacorp.rio.	86400	in	ns	ns1.101domain.com.
bigdatacorp.rio.	86400	in	ns	ns2.101domain.com.
bigdatacorp.rio.	86400	in	ns	ns5.101domain.com.
biquini.rio.	86400	in	ns	nsb1.hostnet.com.br.
biquini.rio.	86400	in	ns	nsb2.hostnet.com.br.
biquini.rio.	86400	in	ns	nsb3.hostnet.com.br.
biquini.rio.	86400	in	ns	nsb4.hostnet.com.br.
biquini.rio.	86400	in	ns	nsb5.hostnet.com.br.
biquini.rio.	86400	in	ns	nsb6.hostnet.com.br.
blive.rio.	86400	in	ns	dina.ns.cloudflare.com.
blive.rio.	86400	in	ns	matt.ns.cloudflare.com.
blocosderua.rio.	86400	in	ns	ns0.rio.gov.br.
blocosderua.rio.	86400	in	ns	ns1.rio.rj.gov.br.
blvck.rio.	86400	in	ns	nsb1.hostnet.com.br.
blvck.rio.	86400	in	ns	nsb2.hostnet.com.br.
blvck.rio.	86400	in	ns	nsb3.hostnet.com.br.
blvck.rio.	86400	in	ns	nsb4.hostnet.com.br.
blvck.rio.	86400	in	ns	nsb5.hostnet.com.br.
blvck.rio.	86400	in	ns	nsb6.hostnet.com.br.
bmarcenaria.rio.	86400	in	ns	nsb1.hostnet.com.br.
bmarcenaria.rio.	86400	in	ns	nsb2.hostnet.com.br.
bmw-motorrad.rio.	86400	in	ns	ns1.brandshelter.com.
bmw-motorrad.rio.	86400	in	ns	ns2.brandshelter.de.
bmw-motorrad.rio.	86400	in	ns	ns3.brandshelter.info.
bmw.rio.	86400	in	ns	ns1.brandshelter.com.
bmw.rio.	86400	in	ns	ns2.brandshelter.de.
bmw.rio.	86400	in	ns	ns3.brandshelter.info.
bmw.rio.	86400	in	ns	ns4.brandshelter.net.
bmw.rio.	86400	in	ns	ns5.brandshelter.us.
bmwmotorrad.rio.	86400	in	ns	ns1.brandshelter.com.
bmwmotorrad.rio.	86400	in	ns	ns2.brandshelter.de.
bmwmotorrad.rio.	86400	in	ns	ns3.brandshelter.info.
bmwmotorrad.rio.	86400	in	ns	ns4.brandshelter.net.
bmwmotorrad.rio.	86400	in	ns	ns5.brandshelter.us.
boavista.rio.	86400	in	ns	nsa1.hostnet.com.br.
boavista.rio.	86400	in	ns	nsa2.hostnet.com.br.
boavista.rio.	86400	in	ns	nsa3.hostnet.com.br.
boavista.rio.	86400	in	ns	nsa4.hostnet.com.br.
boavista.rio.	86400	in	ns	nsa5.hostnet.com.br.
boavista.rio.	86400	in	ns	nsa6.hostnet.com.br.
bolsonaro.rio.	3600	in	ds	22058 13 2 108D46CB8DD05CBA47D507714D6576B8DBC3E0DBC4B137383269F82C406AA812
bolsonaro.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. f/r10C/uGwy5OMZboDbcAJ7NWQ0JN8bJ757PzQ/h+Cgw3+O2UR7Vr9ASuFPcmGd+7bO4zdvKSOSPsRutxCutRQ==
bolsonaro.rio.	86400	in	ns	ns01.one.com.
bolsonaro.rio.	86400	in	ns	ns02.one.com.
bomvoo.rio.	86400	in	ns	ns1.locaweb.com.br.
bomvoo.rio.	86400	in	ns	ns2.locaweb.com.br.
bomvoo.rio.	86400	in	ns	ns3.locaweb.com.br.
bondinho.rio.	86400	in	ns	nsb1.hostnet.com.br.
bondinho.rio.	86400	in	ns	nsb2.hostnet.com.br.
bondinho.rio.	86400	in	ns	nsb3.hostnet.com.br.
bondinho.rio.	86400	in	ns	nsb4.hostnet.com.br.
bondinho.rio.	86400	in	ns	nsb5.hostnet.com.br.
bondinho.rio.	86400	in	ns	nsb6.hostnet.com.br.
bondinhopaodeacucar.rio.	86400	in	ns	nsb1.hostnet.com.br.
bondinhopaodeacucar.rio.	86400	in	ns	nsb2.hostnet.com.br.
bondinhopaodeacucar.rio.	86400	in	ns	nsb3.hostnet.com.br.
bondinhopaodeacucar.rio.	86400	in	ns	nsb4.hostnet.com.br.
bondinhopaodeacucar.rio.	86400	in	ns	nsb5.hostnet.com.br.
bondinhopaodeacucar.rio.	86400	in	ns	nsb6.hostnet.com.br.
bonsucesso.rio.	86400	in	ns	nsa1.hostnet.com.br.
bonsucesso.rio.	86400	in	ns	nsa2.hostnet.com.br.
bonsucesso.rio.	86400	in	ns	nsa3.hostnet.com.br.
bonsucesso.rio.	86400	in	ns	nsa4.hostnet.com.br.
bonsucesso.rio.	86400	in	ns	nsa5.hostnet.com.br.
bonsucesso.rio.	86400	in	ns	nsa6.hostnet.com.br.
bqudb4256dqflb77a5ob60qa7i27mc08.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 C43N0UFQ0V1B96DEEPLV0JUHJRO9OI8E NS DS RRSIG
bqudb4256dqflb77a5ob60qa7i27mc08.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. 1aYJmXm4mKY1vLWuryD1Uk8yeMqb2hmDh3wFtIXo14xohFBfHUocx4IYaPaXjuC0fl6zyEpTEriD/epl3HCJ/Q==
brasilia.rio.	3600	in	ds	54119 13 2 3F4B836FC88D715CCE095607E305D58D80D1C712F18F424FA7A4E4EE391554AF
brasilia.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. +Wt3JbVO07h9oWgyn0FpwJl2U4GdYrBajMWQ1aPDJ3DyPRuR0d6oJQLvRSwRu4h13UyVINv0+b2lYwknm3pwtw==
brasilia.rio.	86400	in	ns	ns01.one.com.
brasilia.rio.	86400	in	ns	ns02.one.com.
brasilnocentrodomapa.rio.	86400	in	ns	nsa1.hostnet.com.br.
brasilnocentrodomapa.rio.	86400	in	ns	nsa2.hostnet.com.br.
brasilnocentrodomapa.rio.	86400	in	ns	nsa3.hostnet.com.br.
brasilnocentrodomapa.rio.	86400	in	ns	nsa4.hostnet.com.br.
brasilnocentrodomapa.rio.	86400	in	ns	nsa5.hostnet.com.br.
brasilnocentrodomapa.rio.	86400	in	ns	nsa6.hostnet.com.br.
bromus.rio.	86400	in	ns	nsa1.k8.com.br.
bromus.rio.	86400	in	ns	nsa2.k8.com.br.
bromus.rio.	86400	in	ns	nsa3.k8.com.br.
bromus.rio.	86400	in	ns	nsa4.k8.com.br.
bromus.rio.	86400	in	ns	nsa5.k8.com.br.
bromus.rio.	86400	in	ns	nsa6.k8.com.br.
buenosaires.rio.	86400	in	ns	nsa1.hostnet.com.br.
buenosaires.rio.	86400	in	ns	nsa2.hostnet.com.br.
buenosaires.rio.	86400	in	ns	nsa3.hostnet.com.br.
buenosaires.rio.	86400	in	ns	nsa4.hostnet.com.br.
buenosaires.rio.	86400	in	ns	nsa5.hostnet.com.br.
buenosaires.rio.	86400	in	ns	nsa6.hostnet.com.br.
busatto.rio.	86400	in	ns	ns1.locaweb.com.br.
busatto.rio.	86400	in	ns	ns2.locaweb.com.br.
busatto.rio.	86400	in	ns	ns3.locaweb.com.br.
c43n0ufq0v1b96deeplv0juhjro9oi8e.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 DI2NS6TV1DR8HIM3F5R7KC7S5SE0I39C NS DS RRSIG
c43n0ufq0v1b96deeplv0juhjro9oi8e.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. s6IBb7zZErRr//qRiKHr3P1DoFzaQsKNXNNanQtFTR/gEleKVZ+K6xEhFAl1hVDcWAq/4ViKL28RCNXHdj4WqQ==
cablecarsugarloaf.rio.	86400	in	ns	nsb1.hostnet.com.br.
cablecarsugarloaf.rio.	86400	in	ns	nsb2.hostnet.com.br.
cablecarsugarloaf.rio.	86400	in	ns	nsb3.hostnet.com.br.
cablecarsugarloaf.rio.	86400	in	ns	nsb4.hostnet.com.br.
cablecarsugarloaf.rio.	86400	in	ns	nsb5.hostnet.com.br.
cablecarsugarloaf.rio.	86400	in	ns	nsb6.hostnet.com.br.
cachacamagnifica.rio.	86400	in	ns	nsa1.k8.com.br.
cachacamagnifica.rio.	86400	in	ns	nsa2.k8.com.br.
cachacamagnifica.rio.	86400	in	ns	nsa3.k8.com.br.
cachacamagnifica.rio.	86400	in	ns	nsa4.k8.com.br.
cachacamagnifica.rio.	86400	in	ns	nsa5.k8.com.br.
cachacamagnifica.rio.	86400	in	ns	nsa6.k8.com.br.
cachacatellura.rio.	86400	in	ns	dns1.uni5.net.
cachacatellura.rio.	86400	in	ns	dns2.uni5.net.
cadunico.rio.	86400	in	ns	dell.ns.cloudflare.com.
cadunico.rio.	86400	in	ns	ryan.ns.cloudflare.com.
calero.rio.	86400	in	ns	ns6.wixdns.net.
calero.rio.	86400	in	ns	ns7.wixdns.net.
camara.rio.	86400	in	ns	ns0.rio.gov.br.
camara.rio.	86400	in	ns	ns1.rio.rj.gov.br.
camaradecomercio.rio.	86400	in	ns	dns1.lucanet.com.br.
camaradecomercio.rio.	86400	in	ns	dns2.lucanet.com.br.
camaradecomercio.rio.	86400	in	ns	dns3.lucanet.com.br.
camaradecomercio.rio.	86400	in	ns	dns4.lucanet.com.br.
cana.rio.	86400	in	ns	clyde.ns.cloudflare.com.
cana.rio.	86400	in	ns	rafe.ns.cloudflare.com.
capitaldonovomundo.rio.	86400	in	ns	nsa1.hostnet.com.br.
capitaldonovomundo.rio.	86400	in	ns	nsa2.hostnet.com.br.
capitaldonovomundo.rio.	86400	in	ns	nsa3.hostnet.com.br.
capitaldonovomundo.rio.	86400	in	ns	nsa4.hostnet.com.br.
capitaldonovomundo.rio.	86400	in	ns	nsa5.hostnet.com.br.
capitaldonovomundo.rio.	86400	in	ns	nsa6.hostnet.com.br.
capitalmundialdolivro.rio.	86400	in	ns	ns0.rio.gov.br.
capitalmundialdolivro.rio.	86400	in	ns	ns1.rio.rj.gov.br.
capuri.rio.	86400	in	ns	dns1.infolink.com.br.
capuri.rio.	86400	in	ns	dns2.infolink.com.br.
capuriarquitetura.rio.	86400	in	ns	dns1.infolink.com.br.
capuriarquitetura.rio.	86400	in	ns	dns2.infolink.com.br.
carioca.rio.	86400	in	ns	ns0.rio.gov.br.
carioca.rio.	86400	in	ns	ns1.rio.rj.gov.br.
cariocadigital.rio.	86400	in	ns	ns0.rio.gov.br.
cariocadigital.rio.	86400	in	ns	ns1.rio.rj.gov.br.
cariocaprint.rio.	86400	in	ns	ns1.sistograf.com.br.
cariocaprint.rio.	86400	in	ns	ns2.sistograf.com.br.
cariocasdecoracao.rio.	86400	in	ns	ruth.ns.cloudflare.com.
cariocasdecoracao.rio.	86400	in	ns	sage.ns.cloudflare.com.
cariorta.rio.	86400	in	ns	ruth.ns.cloudflare.com.
cariorta.rio.	86400	in	ns	sage.ns.cloudflare.com.
carnaval.rio.	86400	in	ns	ns12.wixdns.net.
carnaval.rio.	86400	in	ns	ns13.wixdns.net.
carnavalderua.rio.	86400	in	ns	ns0.rio.gov.br.
carnavalderua.rio.	86400	in	ns	ns1.rio.rj.gov.br.
carnival.rio.	86400	in	ns	ns0.rio.gov.br.
carnival.rio.	86400	in	ns	ns1.rio.rj.gov.br.
carvalhoadv.rio.	3600	in	ds	38069 13 2 70C61CFB653293745AFC3FA40CE69B8DFDC4928994B5941F629394D74F6C59DE
carvalhoadv.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. Le4wGrYWknfnDf/NqMZlQ6cwVqpDKaiAGWCfaSGk/ug66FMDvhJ1i/uUnNR+OdtN3RvZlGgI2TzGVpEnHMtMBg==
carvalhoadv.rio.	86400	in	ns	ns01.one.com.
carvalhoadv.rio.	86400	in	ns	ns02.one.com.
casa33.rio.	86400	in	ns	ns1.han8070.com.br.
casa33.rio.	86400	in	ns	ns2.han8070.com.br.
casaporto.rio.	86400	in	ns	parked.g1-dns.com.
casaporto.rio.	86400	in	ns	parked.g1-dns.one.
casaprogresso.rio.	86400	in	ns	nsa1.k8.com.br.
casaprogresso.rio.	86400	in	ns	nsa2.k8.com.br.
casaprogresso.rio.	86400	in	ns	nsa3.k8.com.br.
casaprogresso.rio.	86400	in	ns	nsa4.k8.com.br.
casaprogresso.rio.	86400	in	ns	nsa5.k8.com.br.
casaprogresso.rio.	86400	in	ns	nsa6.k8.com.br.
cascadura.rio.	86400	in	ns	nsa1.hostnet.com.br.
cascadura.rio.	86400	in	ns	nsa2.hostnet.com.br.
cascadura.rio.	86400	in	ns	nsa3.hostnet.com.br.
cascadura.rio.	86400	in	ns	nsa4.hostnet.com.br.
cascadura.rio.	86400	in	ns	nsa5.hostnet.com.br.
cascadura.rio.	86400	in	ns	nsa6.hostnet.com.br.
castramovel.rio.	86400	in	ns	ns1.dreamhost.com.
castramovel.rio.	86400	in	ns	ns2.dreamhost.com.
castramovel.rio.	86400	in	ns	ns3.dreamhost.com.
catete.rio.	86400	in	ns	nsa1.hostnet.com.br.
catete.rio.	86400	in	ns	nsa2.hostnet.com.br.
catete.rio.	86400	in	ns	nsa3.hostnet.com.br.
catete.rio.	86400	in	ns	nsa4.hostnet.com.br.
catete.rio.	86400	in	ns	nsa5.hostnet.com.br.
catete.rio.	86400	in	ns	nsa6.hostnet.com.br.
ccpar.rio.	86400	in	ns	nsa1.hostnet.com.br.
ccpar.rio.	86400	in	ns	nsa2.hostnet.com.br.
ccpar.rio.	86400	in	ns	nsa3.hostnet.com.br.
ccpar.rio.	86400	in	ns	nsa4.hostnet.com.br.
ccpar.rio.	86400	in	ns	nsa5.hostnet.com.br.
ccpar.rio.	86400	in	ns	nsa6.hostnet.com.br.
cdia.rio.	86400	in	ns	nsb1.k8.com.br.
cdia.rio.	86400	in	ns	nsb2.k8.com.br.
cdia.rio.	86400	in	ns	nsb3.k8.com.br.
cdia.rio.	86400	in	ns	nsb4.k8.com.br.
cdia.rio.	86400	in	ns	nsb5.k8.com.br.
cdia.rio.	86400	in	ns	nsb6.k8.com.br.
cecol.rio.	86400	in	ns	ns4.wixdns.net.
cecol.rio.	86400	in	ns	ns5.wixdns.net.
cemiteriojardimdasaudade.rio.	86400	in	ns	nsb1.k8.com.br.
cemiteriojardimdasaudade.rio.	86400	in	ns	nsb2.k8.com.br.
cemiteriojardimdasaudade.rio.	86400	in	ns	nsb3.k8.com.br.
cemiteriojardimdasaudade.rio.	86400	in	ns	nsb4.k8.com.br.
cemiteriojardimdasaudade.rio.	86400	in	ns	nsb5.k8.com.br.
cemiteriojardimdasaudade.rio.	86400	in	ns	nsb6.k8.com.br.
centrodeoperacoes.rio.	86400	in	ns	ns0.rio.gov.br.
centrodeoperacoes.rio.	86400	in	ns	ns1.rio.rj.gov.br.
centrodocentro.rio.	86400	in	ns	nsa1.hostnet.com.br.
centrodocentro.rio.	86400	in	ns	nsa2.hostnet.com.br.
centrodocentro.rio.	86400	in	ns	nsa3.hostnet.com.br.
centrodocentro.rio.	86400	in	ns	nsa4.hostnet.com.br.
centrodocentro.rio.	86400	in	ns	nsa5.hostnet.com.br.
centrodocentro.rio.	86400	in	ns	nsa6.hostnet.com.br.
cerakote.rio.	86400	in	ns	ns1.dns-parking.com.
cerakote.rio.	86400	in	ns	ns2.dns-parking.com.
certificadodigital.rio.	3600	in	ds	25974 13 2 A33562A5146549C0216673A56AA2FCF6B675838BF5D6EE40ABCEDD37CF42D349
certificadodigital.rio.	3600	in	rrsig	DS 13 2 3600 20250907202501 20250823192501 65520 rio. mtBAi+QxeeNHZZCXUpR+ZeJuTYotB4zp3CSTcxIte3fjFI0WQyWp2sKOJjMQBApYaxmiiuG/80aIg+Fu4P2pSw==
certificadodigital.rio.	86400	in	ns	ns01.one.com.
certificadodigital.rio.	86400	in	ns	ns02.one.com.
chamaquente.rio.	86400	in	ns	ns802.hostgator.com.br.
chamaquente.rio.	86400	in	ns	ns803.hostgator.com.br.
chanel.rio.	86400	in	ns	dns1.cscdns.net.
chanel.rio.	86400	in	ns	dns2.cscdns.net.
chevron.rio.	86400	in	ns	udns1.cscdns.net.
chevron.rio.	86400	in	ns	udns2.cscdns.uk.
chronus.rio.	86400	in	ns	ns928.hostgator.com.br.
chronus.rio.	86400	in	ns	ns929.hostgator.com.br.
cidade21.rio.	86400	in	ns	ns-1179.awsdns-19.org.
cidade21.rio.	86400	in	ns	ns-475.awsdns-59.com.
cidade21.rio.	86400	in	ns	ns-692.awsdns-22.net.
cidadedasartes.rio.	86400	in	ns	ns0.rio.gov.br.
cidadedasartes.rio.	86400	in	ns	ns1.rio.rj.gov.br.
cienciarte.rio.	86400	in	ns	nsb1.hostnet.com.br.
cienciarte.rio.	86400	in	ns	nsb2.hostnet.com.br.
cienciarte.rio.	86400	in	ns	nsb3.hostnet.com.br.
cienciarte.rio.	86400	in	ns	nsb4.hostnet.com.br.
cienciarte.rio.	86400	in	ns	nsb5.hostnet.com.br.
cienciarte.rio.	86400	in	ns	nsb6.hostnet.com.br.
circuitoesg.rio.	86400	in	ns	nspro30.hostgator.com.br.
circuitoesg.rio.	86400	in	ns	nspro31.hostgator.com.br.
civitas.rio.	86400	in	ns	ns-cloud-e1.googledomains.com.
civitas.rio.	86400	in	ns	ns-cloud-e2.googledomains.com.
civitas.rio.	86400	in	ns	ns-cloud-e3.googledomains.com.
civitas.rio.	86400	in	ns	ns-cloud-e4.googledomains.com.
clickplay.rio.	86400	in	ns	bill.ns.cloudflare.com.
clickplay.rio.	86400	in	ns	mira.ns.cloudflare.com.
clubenaval.rio.	86400	in	ns	nora.ns.cloudflare.com.
clubenaval.rio.	86400	in	ns	skip.ns.cloudflare.com.
colab.rio.	86400	in	ns	ns01.one.com.
colab.rio.	86400	in	ns	ns02.one.com.
compre.rio.	86400	in	ns	garrett.ns.cloudflare.com.
compre.rio.	86400	in	ns	maria.ns.cloudflare.com.
