rio.	172800	in	soa	a.dns.br. hostmaster.registro.br. 2025239030 1800 900 604800 900
43rook672rrvsk58unhi7mrlackbj87d.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 47VOQPSF7BTRHOLD11EFK16TIA7AU36L NS DS RRSIG
43rook672rrvsk58unhi7mrlackbj87d.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. jeh26uBZwtZLJ/baHmApHV4qDKGMpMoTkbme85GyMfXXafH1Y1fCvd2KtVA/lB1UcO1OM+In3eYI/BNPKEKuYA==
47voqpsf7btrhold11efk16tia7au36l.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 489J2DNDL1665JN7S75HP95GGDK2ABCR NS DS RRSIG
47voqpsf7btrhold11efk16tia7au36l.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. 8rKED6W8rPncsiwV3acEjjPxE8oCBb5Ti89/EpaeSu7dS7Dy7jJqrWwQ7CC8RA2JkhPrJhd+e0xDVrWFfMVgvg==
489j2dndl1665jn7s75hp95ggdk2abcr.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 4AGBDK3OOSQJT6URPEB77SIDK9MRECVK NS SOA RRSIG DNSKEY NSEC3PARAM
489j2dndl1665jn7s75hp95ggdk2abcr.rio.	900	in	rrsig	NSEC3 13 2 900 20250911011501 20250827001501 65520 rio. 0ZCZ3eREaGrFD6fUe+ZZTGjy6BSFPRkq+4WMwFy7GfAyNRdIcbRubE9SkNKlqQpJn1AazZ4gxTLKxkyTFJ169g==
4agbdk3oosqjt6urpeb77sidk9mrecvk.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 4F0TRMN8LSPGODKIKUC3T3EA9AC09Q5G NS DS RRSIG
4agbdk3oosqjt6urpeb77sidk9mrecvk.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. CvwfdryOs+4VYpMxE5WDqkpi+7pu3hF9n01MWg7RsXw08iiV81GfIpzwj/EIb4S/DkfO/6Z4HchxbjibqDBXFA==
4f0trmn8lspgodkikuc3t3ea9ac09q5g.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 4MVB4QIK0S4NK05UUQJAEHQB2KCLEN2U NS DS RRSIG
4f0trmn8lspgodkikuc3t3ea9ac09q5g.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. Eca9AeUSv1iluvrXS3kn8b7R4nolejiqKitttDHY6lYAiR/RS9bMa/X7ZLN4hJBzGXxTNUvfNI7ZPxFWWsyY6g==
4mvb4qik0s4nk05uuqjaehqb2kclen2u.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 5GH5ELKE8S2JIHDNPN4P4TEK6RCKBA6U NS DS RRSIG
4mvb4qik0s4nk05uuqjaehqb2kclen2u.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. RU1OFruxFd8NdGjlUd7DxGLo2plcJ8W3nQFKYFlAK+0+emsWFsuopl+pdBRcUyuas6ddxPJ/NK7gAdzBXniAhg==
5gh5elke8s2jihdnpn4p4tek6rckba6u.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6EJMISAPBV4O448BUIQ0L2FKNREU872E NS DS RRSIG
5gh5elke8s2jihdnpn4p4tek6rckba6u.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. TzbJPN7LeWNiEy9BLjYwXm2tseV17j0nUAiYITwTsXt3EEbtmzQto9rk7/eTKcAFMxXJ930+rr/iVWZY/iP1Ig==
6ejmisapbv4o448buiq0l2fknreu872e.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6FPQDNKIQ4NS8ROKPQTGNC4FBIR3CVEI NS DS RRSIG
6ejmisapbv4o448buiq0l2fknreu872e.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. OPOl35yNxKsWaYLAWYriFulMo85+An7dmd5STQHEDmaj9L3c+Us9RrXwIWa/3JrIg9bw3SqnhC+0mhdBTAyiCQ==
6fpqdnkiq4ns8rokpqtgnc4fbir3cvei.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6GUPGPCSA74EAKODOQ61FR0JV8JBRFF4 NS DS RRSIG
6fpqdnkiq4ns8rokpqtgnc4fbir3cvei.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. weRowmfvwRIqm7MDG2jGwG3zHrVwZHJewB6CBj49nPX/W/16P9C5HKEabscgE3T3a3GWapkZBdrYOnXGQQMOCA==
6gupgpcsa74eakodoq61fr0jv8jbrff4.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 6PDTSM7KJNE2JNBODE1JQGV8BQN6K0II NS DS RRSIG
6gupgpcsa74eakodoq61fr0jv8jbrff4.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. q93NLIuk+QAPhlQH6/IJwiTqRx6anLaU3TArTwhxWU5eKLS9yxZBJo9tUzqJNuPENhGugNgaxBDsEXVFp816ew==
6pdtsm7kjne2jnbode1jqgv8bqn6k0ii.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 7CCLH9N8NPIG5SNQB24N0EVBORBLP0VH NS DS RRSIG
6pdtsm7kjne2jnbode1jqgv8bqn6k0ii.rio.	900	in	rrsig	NSEC3 13 2 900 20250909000502 20250824230502 65520 rio. 791x1xb2U0PxnxQD8N6VsofirBQzKLBnX3YGYkO3WXunLALR2CPortgC9Qf2NASYU095Hz/0iu0UdOa8C+01sg==
7cclh9n8npig5snqb24n0evborblp0vh.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 7DQEGPPF2G1935T59V8BUVIKFTBFR9RF NS DS RRSIG
7cclh9n8npig5snqb24n0evborblp0vh.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. dU9nTeU+RZG2XkmRYkkhcMMvc6DzUHrX1J5sZLCTsWv2pdPikj6lV7GytgyTz6RHHI3uidzocwD3ApBTojx1Rg==
7dqegppf2g1935t59v8buvikftbfr9rf.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 7N90H7QMCBHD4HKMI8EQIDLJKJO7KQ6C NS DS RRSIG
7dqegppf2g1935t59v8buvikftbfr9rf.rio.	900	in	rrsig	NSEC3 13 2 900 20250903121501 20250819111501 65520 rio. wFPs994wjtqW7OYeRFUyk+Q+6PIHbSylXDOj8Pp26j0PsY0fdWPA4WsULRnAgofxBJ8AC9/Ck542D14Itv3Sww==
7n90h7qmcbhd4hkmi8eqidljkjo7kq6c.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 8D3LSBV4R0KHNPNUK807IF1EUISMI547 NS DS RRSIG
7n90h7qmcbhd4hkmi8eqidljkjo7kq6c.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. m3cigKsJrHoHlIfi2QoXEBpfg+FQSVloEdSH+ermDiCxgdINCMLwa6b6w3gmTf9ilIhHLc1Tvr1mu3OutkhT/A==
8d3lsbv4r0khnpnuk807if1euismi547.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 8I46GIA01UHAM30JN0FIS08F7QIE4S09 NS DS RRSIG
8d3lsbv4r0khnpnuk807if1euismi547.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. teo4JGXGJepcz8/yZRwwIDu7SKY+fmTVOfYYj3oPnMDHnwh2/3/ArHIkPUQ3rPoUcoKZBL4kraVfKKJ/L7a7IA==
8i46gia01uham30jn0fis08f7qie4s09.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 9K6BS7UDCQOFACRERQA10AKGVUME9M23 NS DS RRSIG
8i46gia01uham30jn0fis08f7qie4s09.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. HKaMknfNbyRDdkkaskiZA/SQU8eL/Lsz7BT5MkiEO7aQN9DN2fdRmCJ0gfyAgqBzi5RZOUu8uxYERuhSooi3fw==
9k6bs7udcqofacrerqa10akgvume9m23.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 A9M0VH180931B13HMTB3LCF811PQ4S2G NS DS RRSIG
9k6bs7udcqofacrerqa10akgvume9m23.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. o8RawFASMSfXPcDaQHFfqJS/CpiajOkxzHgKE4qiHW1aChjSEB2lISQaNLSNLqXKgmzkf3nSL23EtXbDZiTZfQ==
;; expected opt record in response
;; expected opt record in response
;; expected opt record in response
;; expected opt record in response
a9m0vh180931b13hmtb3lcf811pq4s2g.rio.	900	in	nsec3	1 1 0 BB3300E80CC3CCB25A95 AJA277A4U9ISRFEP1O26RVNASTFQN462 NS DS RRSIG
a9m0vh180931b13hmtb3lcf811pq4s2g.rio.	900	in	rrsig	NSEC3 13 2 900 20250907202501 20250823192501 65520 rio. jppW/okqbTJsmRd+5sVa0eBAGworyZh0cxEYomjSiR9bhjvNXAGXFkIryAtSfs+zUQtr2BTJGSS14tIcWsVwwg==
abcpneus.rio.	86400	in	ns	dns1.kinghost.com.br.
abcpneus.rio.	86400	in	ns	dns2.kinghost.com.br.
abcpneus.rio.	86400	in	ns	dns3.kinghost.com.br.
abcpneus.rio.	86400	in	ns	dns4.kinghost.com.br.
abcpneus.rio.	86400	in	ns	dns5.kinghost.com.br.
abcpneus.rio.	86400	in	ns	dns6.kinghost.com.br.
abolicao.rio.	86400	in	ns	nsa1.hostnet.com.br.
