xn--mgbab2bd.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601050032 7200 7200 604800 900
00hpvrmq85mlf73e7eib2uhm965mdgnf.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 00IL4K1TSM2C7R8I2CSBO1CRQ1OLO6TF NS
00hpvrmq85mlf73e7eib2uhm965mdgnf.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. ucV1WQatPZfZSIgV1wToIcpcRh7UjC8GwloO+oIlM1JRcjOIFmtGP2laeJzNShhOuhdXLp45JhvLd+ATq7UTWNMvLuj4JpFaAomcfk7sQu/91w0HCPIwU8T9SYIcoILnJLX+6lRZECX0q9YP1AAbUjgu1OcqbBM3Iml2Ls3fZl14q/nbpIimnSn+qSTd+QJadYfZkbyRYoe/SePgZlUG0g==
00il4k1tsm2c7r8i2csbo1crq1olo6tf.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 046CIRDDQC1QHCG60D7UK1ODTAVA5ENL NS
00il4k1tsm2c7r8i2csbo1crq1olo6tf.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. XaHBCx3siPQcahd6Ocv5Ju6fJwJ5uvUgBxKmwIXqaufrAZ94SnB0Dj2RrjNIxRxLcXm0yJyjWVb5lXDGv+EHMn+uWdGOiI3p7jZkFqzOGg3okdJ10md+buLFgZWT+0i0LFDrTizWZ+PO9IYewlZ5RuPVyQ1LIKHQ2vYyPZQ5pQqlZHeT7sPZJ981fDUe3PNBrOjyn6FY/rPaz+Q1byL8ig==
046cirddqc1qhcg60d7uk1odtava5enl.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 054C829M1SH2SQJ81UES50FCMTMJC9CN NS
046cirddqc1qhcg60d7uk1odtava5enl.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. PSV21AK3m69BWPBM+FU8NXctn167bNcqbXOTYG95N8s9d8IWLkR4Fmdk46HQQYzAiUcCEgBwKq3Tw/7Zdf2n1TcHfbLUvEf0wWheFC52FljlFhasmviO9HvNmXUTosaVt5Qmh/cUhwRwRX9LN+WYavvlzd8+SiIsw2JKOHopwK0T+n4XaiG2dpRWYsJvOiC9PIk17Skg9cmo7cihgvyvjQ==
054c829m1sh2sqj81ues50fcmtmjc9cn.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 058F1BAKRS1E6TRDVO4HG1Q5I0VQIKT3 NS
054c829m1sh2sqj81ues50fcmtmjc9cn.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. 4gNDCgnR90yV2Ygsm35790/3yghxk0+AIWfyJ4K0HhV3LMcTWlVCbDNH2vFcTiFruXH19Qc9GVCCQd2ai6VJ0ltcuBUDjAHxZKWutXhPvxwvnec6QIRvSz8OwdKtoQvKJVSdFH44nduzV+xdyCj9HOYUvTzQtBDb/UALYFsTtC934UO9XppD49t+cFl9+RTkpmawzCzwWXDPgWVH7rvn9A==
058f1bakrs1e6trdvo4hg1q5i0vqikt3.xn--mgbab2bd.	43200	in	nsec3	1 0 0 - 06TC7NBEHQ5UEDQM4EGN1MNUJC40O66O NS
058f1bakrs1e6trdvo4hg1q5i0vqikt3.xn--mgbab2bd.	43200	in	rrsig	NSEC3 10 2 43200 20260117230225 20260103230225 19785 xn--mgbab2bd. G3/MIdPYvrQ0fKiS6oBNYGk/1T3NBlUIptS68WdINtbohImyYnoygmnViNrNaqjSXpWba9rhrFBOrLbcg7XD+RN4sfOu4pk3W4wiuQaDHk2HDr1uLTCDDEJWdiJYkvyZD5Y1dyRRRIxxMqymjbrtRbNgRwVal31MxTE7+Futf5OSTY6Ox1/IhxmXp+FNeQVYi9zN38Lkg4LUdoRsmrZsLA==
