0ngl555sdj9i17d16ut0ir5do7am54ai.wales.	3600	in	nsec3	1 1 0 - 10LB1FSHQG7B4K2F6K29GEVGA5I36FOR NS DS RRSIG
0ngl555sdj9i17d16ut0ir5do7am54ai.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260226173113 20260122163707 5890 wales. nuRPm+SuU79l0xvhtKK6dYK3hBKfUtVVLs6KwqzSv+wH+IKomD+salNmxzbhRcsxwNYv7lqeN04YWzkRWH51OGvlh5vCIZ+7dRLteH6pjvgNA47VHguPRnMRBKT9mai+wP9VN9zTiJeyFjwOt/CAQfWJSbbekLa0ucP4+VHmGxufJEV0hgkGDSqbT2414eZjoNJZJH1/vRMo2JuB0EFUpGlEsQVSi+Mpwh9cK2tGRyEzpe8oMjE/wduSzcHn68ZhPT0UcNWPKAC4O9rv70L/m8iqEv7sulzULr7vxlBGnUm7zkeWYyN3gwDXyHHaXGT2CyGPbmDzALkAHShZHcNiBw==
1-800-flowers.wales.	172800	in	ns	dns1.cscdns.net.
1-800-flowers.wales.	172800	in	ns	dns2.cscdns.net.
1.wales.	172800	in	ns	ns1.dyna-ns.net.
1.wales.	172800	in	ns	ns2.dyna-ns.net.
100percent.wales.	172800	in	ns	ns1029.ui-dns.de.
100percent.wales.	172800	in	ns	ns1049.ui-dns.com.
100percent.wales.	172800	in	ns	ns1076.ui-dns.org.
100percent.wales.	172800	in	ns	ns1104.ui-dns.biz.
100welshwomen.wales.	172800	in	ns	ns1.uksrv.co.uk.
100welshwomen.wales.	172800	in	ns	ns2.uksrv.co.uk.
10lb1fshqg7b4k2f6k29gevga5i36for.wales.	3600	in	nsec3	1 1 0 - 196K8OOLHN1RA0OT60S73764JE7JG75H NS DS RRSIG
10lb1fshqg7b4k2f6k29gevga5i36for.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260228061725 20260124060742 5890 wales. GqNa5Pbo4yLtmchuXNwv/zxQi9ClaPKv20Htv/ppJzBVhi4Y8rcjLGwpsV1l++zD86a1U84MRzLQJOaU6U4o9dUp93gioaNBNamZnF+XR+GZ1vg8cPzODhV+g0NFwOwT/vc5j57pe5PYAix9hZG6gkUYzymRLL26/juPCulRu2uP+wmwNcapzbPO808M+zV0/0ptdkb+YakobqS14TlDB/d4rOdGcuVOt3KD9kWIyZVgxIAK1MuAuzG0XFe3AHj2/rCRpXDlmdMp6xWfyAqNxuY90CLhw7y26aeSX786QNKH47sgve3YMTZ6bDOzxEIY2UdOH3CcbzQnJnWn7E0Ydg==
11bet.wales.	172800	in	ns	leonard.ns.cloudflare.com.
11bet.wales.	172800	in	ns	susan.ns.cloudflare.com.
11uu.wales.	172800	in	ns	andy.ns.cloudflare.com.
11uu.wales.	172800	in	ns	lauryn.ns.cloudflare.com.
123.wales.	172800	in	ns	ns1.afternic.com.
123.wales.	172800	in	ns	ns2.afternic.com.
123b.wales.	172800	in	ns	dns1.registrar-servers.com.
123b.wales.	172800	in	ns	dns2.registrar-servers.com.
12bet.wales.	172800	in	ns	brad.ns.cloudflare.com.
12bet.wales.	172800	in	ns	violet.ns.cloudflare.com.
13thapostle.wales.	172800	in	ns	ns-uk.1and1-dns.biz.
13thapostle.wales.	172800	in	ns	ns-uk.1and1-dns.co.uk.
13thapostle.wales.	172800	in	ns	ns-uk.1and1-dns.com.
13thapostle.wales.	172800	in	ns	ns-uk.1and1-dns.org.
145.wales.	172800	in	ns	dns1.registrar-servers.com.
145.wales.	172800	in	ns	dns2.registrar-servers.com.
1800flowers.wales.	172800	in	ns	dns1.cscdns.net.
1800flowers.wales.	172800	in	ns	dns2.cscdns.net.
1825.wales.	172800	in	ns	saint.tsd.ac.uk.
1825.wales.	172800	in	ns	uwrz02.wales.ac.uk.
1825.wales.	172800	in	ns	uwrz06.wales.ac.uk.
182days.wales.	172800	in	ns	martha.ns.cloudflare.com.
182days.wales.	172800	in	ns	roman.ns.cloudflare.com.
18569.wales.	172800	in	ns	ns1.dnsip.com.
18569.wales.	172800	in	ns	ns2.dnsip.com.
188bet.wales.	172800	in	ns	benedict.ns.cloudflare.com.
188bet.wales.	172800	in	ns	lilyana.ns.cloudflare.com.
188v.wales.	172800	in	ns	celine.ns.cloudflare.com.
188v.wales.	172800	in	ns	piotr.ns.cloudflare.com.
18win.wales.	172800	in	ns	launch1.spaceship.net.
18win.wales.	172800	in	ns	launch2.spaceship.net.
