0cu3krvpt1e2lbs88hdf4ahmbbe2p9q2.sale.	3600	in	nsec3	1 1 0 73 0DEGSODHB3JLR4N94FI7HGK48PODIPS9 NS DS RRSIG
0cu3krvpt1e2lbs88hdf4ahmbbe2p9q2.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. RjxCAx7QFKdDMjBv6qHcGqoU3lZQKaYi272u7MEDwM6ylGeACQRg9o0Vf5WOTcvvbsGNqtp5KtUZeEVW8W/zS2+ZzLcM02lUudjghKH1yf3E7O3C/sap9IQ06IILg3ugaZsDPXe7D/042ZaHVMCeAqyMkhkhGpJgD+jhqGMmHUg=
0degsodhb3jlr4n94fi7hgk48podips9.sale.	3600	in	nsec3	1 1 0 73 0F1892RFRP7O8LIG8J4TIKKL8O388CIF NS DS RRSIG
0degsodhb3jlr4n94fi7hgk48podips9.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. BgJbQONy3SdX+V/PcReO8keWVqPa0bAQy9JK0TY0eZbA6ohbQQUHBuTNLPDBw2W81pIYjVpbjwav6navToAQICOSzE77mZX2bJaxc9azEH6WOi8b3q09mfjVvqOKmxuHpLMdPxDknl77NR/mH923aufqJwypq/kDWxdL42Me250=
0f1892rfrp7o8lig8j4tikkl8o388cif.sale.	3600	in	nsec3	1 1 0 73 0F7QC15AIBUF3FVE94DDM6AJI6NN407A NS DS RRSIG
0f1892rfrp7o8lig8j4tikkl8o388cif.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. iLK7GgOq5NLS1YrW5KhXHCpmWoIqycamulJJWcYweeGqyxJ7vVG6Mr987+anMzDZXpJbipllc66bAtuXK/GjV1tPA9DYtqWX9BgzB2mgU9rYlVfPGS46Ji5O0Skim+hAsZlg0Ax8VxEfpfpUMZ55kr70s3ldWmwr5K5LmYMOcxE=
0f7qc15aibuf3fve94ddm6aji6nn407a.sale.	3600	in	nsec3	1 1 0 73 0FB3AO65TQFJFB06SMI9E6JBOVIIR2QG NS DS RRSIG
0f7qc15aibuf3fve94ddm6aji6nn407a.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. NDxFtAweV8u3p2hB+HYqUOSIv0280BUVrME5fpz9UNwP/xfMlbQ5dLE0CWUch77KTmv2GJC7SmC9IhSXlGwxlF3bcLxhZH0qxThNVI3lBikpOqrW3a+OMeOsLEwnbNJLnrU3bx6f7B3G6gViqbcoU6H6/ObTAJ339O7JxXhWx9s=
0fb3ao65tqfjfb06smi9e6jboviir2qg.sale.	3600	in	nsec3	1 1 0 73 0MKOVML6N6NB3TMG6VUHGOGT1OGF1UB8 NS DS RRSIG
0fb3ao65tqfjfb06smi9e6jboviir2qg.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. kBj/s4A3Qq3obDB9ApiUTlx96fRh0vYct3otndTbrymuRqCU5PwmxPvkldH6nf/NKWoaXV2AJHrrBhqm0W+lYXI8zMzvxT9RnYOxvjPt8WXOitADy7Dd1X6cLNW83BIlFchN1I2oJ30pHO593WR3/uBdwWQRLjIHd0L/NMJnWaw=
0g.sale.	3600	in	ns	ns1.juniperbot.top.
0g.sale.	3600	in	ns	ns2.juniperbot.top.
0mkovml6n6nb3tmg6vuhgogt1ogf1ub8.sale.	3600	in	nsec3	1 1 0 73 0N4IV6OKG2Q87D5F3E8J7AQ9LFLC46MI NS DS RRSIG
0mkovml6n6nb3tmg6vuhgogt1ogf1ub8.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. iLCxOPJJzxitsis4iYhClmZrA2p9k5mJ3Ph0SMBF6mBNOWmV6OwvRykERVbvJGyRGpzVYBAT34eK+Es5EsYCaEwktaZKIT7f+DFPLNmsKgz1nvVWSbp7pMixjrhP2VzIM6TTz+Drih6qShl/Opic7QdH9mdHHAl44j5vwuZAkPw=
0n4iv6okg2q87d5f3e8j7aq9lflc46mi.sale.	3600	in	nsec3	1 1 0 73 0OQMU3CA1AJSN0MQVS3ICBGB2L3S9H28 NS DS RRSIG
0n4iv6okg2q87d5f3e8j7aq9lflc46mi.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. EpPgqFCW4eABY0EIBG8mtE+Jxs4jbhFzPx/LO9VlTNYZkcrRBfqtysQ9A2djaEpsKsn8CivKtkwshucqC136NRSGK4WJr8kIa3wXMjt/C3SPVg+9v91wK7rp+nAkKnDLAOPxMM8mcUClcxQmskQqfdWtszJfZIrThWY17/QlHlc=
0oqmu3ca1ajsn0mqvs3icbgb2l3s9h28.sale.	3600	in	nsec3	1 1 0 73 0PEKH8IIV0SKLNBG4QSRD7IVOHA10IRO NS DS RRSIG
0oqmu3ca1ajsn0mqvs3icbgb2l3s9h28.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. I4/ehRE0klUdtroCO2mjPi8qGrmG5AwyXvu4J0Lke0ec64CYXhZcsFBavCxVBEC5ccBM2D7XU4KHOY7h6URfwIRVg/VVTfYthw+KCKIvekdrx9qi2d8byvPRtDCLq5kn0fNTX6DMOTjz0j5sBM5pkzpkcNM8dT0zX+LFBWTixmk=
0pekh8iiv0sklnbg4qsrd7ivoha10iro.sale.	3600	in	nsec3	1 1 0 73 0R40EIN4I1S707OKQMN8UGQBS35GVEOB NS DS RRSIG
0pekh8iiv0sklnbg4qsrd7ivoha10iro.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. CeuwfOWCNkiB+KTdujPJVdpncdd8np0juee0LwYStOgGax3s5isThB1IZ2Tlhv//EfyJ99UXnfZ1dGlurM1lmgx80yZdQgPbGLKg8qRDt72ApGMszPrAzawccl1t0MDC1Gah3b8ejzooGRYVi/1p8IXk89El6rey1M9nL1FWa94=
0r40ein4i1s707okqmn8ugqbs35gveob.sale.	3600	in	nsec3	1 1 0 73 0TC5LPVDI413DH5HF40RKRB2S5Q0A9FC NS DS RRSIG
0r40ein4i1s707okqmn8ugqbs35gveob.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. GASyIutPhHM1iFryxPCtwZrusgMc2hCygqlxgZoWjf1FCXnvJKbycRtKEYVs0jdVInrtMDOJ3S6SbOugWjds3e8NWbgkWND/19E3uNc1M39IYGAl45BGQPHM6oa16A+BkQSWf+XtDCNCpN7PasR6IT7W41zlzPpRFH17UpDWjUY=
0tc5lpvdi413dh5hf40rkrb2s5q0a9fc.sale.	3600	in	nsec3	1 1 0 73 12HTP59PUAG7CQD7ELNOQUIAL69SUK9U NS DS RRSIG
0tc5lpvdi413dh5hf40rkrb2s5q0a9fc.sale.	3600	in	rrsig	NSEC3 8 2 3600 20260122160405 20260101150405 7596 sale. p4K8AeC0Swyr3sjJYzinTPghmI9I7viRg8rPO9rpPZWL4/t6yQJB5LZUH1e0URVfYl1m1rI9EmoAN61LHX/kJ8E8aMxUaOoyO8+tbGC/5z9hTdUcVRI9ileA/s8Irv0JiJM+eN9FJ+DtQc+xTstgDPWTorqVipp3HCtjus6lRGM=
0x.sale.	3600	in	ns	dns1.registrar-servers.com.
0x.sale.	3600	in	ns	dns2.registrar-servers.com.
1-2-3.sale.	3600	in	ns	ns.udag.de.
1-2-3.sale.	3600	in	ns	ns.udag.net.
1-2-3.sale.	3600	in	ns	ns.udag.org.
1-2-3tv.sale.	3600	in	ns	ns.udag.de.
1-2-3tv.sale.	3600	in	ns	ns.udag.net.
1-2-3tv.sale.	3600	in	ns	ns.udag.org.
1-2.sale.	3600	in	ns	ns.sbat.ru.
1-2.sale.	3600	in	ns	old.moscow.sbat.ru.
1-2.sale.	3600	in	ns	reserv.sbat.ru.
1-2china.sale.	3600	in	ns	ns1.hosting.reg.ru.
1-2china.sale.	3600	in	ns	ns2.hosting.reg.ru.
1-800-baskets.sale.	3600	in	ns	dns1.cscdns.net.
1-800-baskets.sale.	3600	in	ns	dns2.cscdns.net.
1-800-christian.sale.	3600	in	ns	dns1.register.com.
1-800-christian.sale.	3600	in	ns	dns2.register.com.
1-800-flowers.sale.	3600	in	ns	dns1.cscdns.net.
1-800-flowers.sale.	3600	in	ns	dns2.cscdns.net.
