1fbusa.exposed.	3600	in	ns	ns57.worldnic.com.
1fbusa.exposed.	3600	in	ns	ns58.worldnic.com.
1fluor.exposed.	3600	in	ns	irena.ns.cloudflare.com.
1fluor.exposed.	3600	in	ns	randy.ns.cloudflare.com.
1krsbspoqc92q427e8f6mt3ngslgnfka.exposed.	3600	in	nsec3	1 1 0 73 1L3PDBNRLI6REMG924JAKN91TIBT2ASG NS DS RRSIG
1krsbspoqc92q427e8f6mt3ngslgnfka.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. CszppLOrVovBUyUk8ZuZRSuVoXCEgM8DInwKQBQxUv8uKKEPbWOwUbAoVJ1syjDM3HnbHNwEA43BQEZJN/otQekrcn/JKY6+5596amHBqEgoz7wY6xNNPH9IZkq7jWvKSh6lGrPuW33A9UZCkb9WO/H+H2Ip72A7BcMPLvHumpA=
1l3pdbnrli6remg924jakn91tibt2asg.exposed.	3600	in	nsec3	1 1 0 73 1LLL2BCRO8MJ80SI1VBHOTF04JEK6PAN NS DS RRSIG
1l3pdbnrli6remg924jakn91tibt2asg.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. S1fzaWEi2A17K/qn7Ovm5a4F1AS0pj+znIzwtPnjq5RVHp6dY8RoLCrwtrGBb1bHml+pKJCL6dh5ZjBv1SEIETpOCGMbj0NibkwxGWzNDxPu9kx8YG5c3R7DNmzhRi0uYhpcK4Mx3QeEoqFnWClyozctFvXszBS+F+m0yz8kgF8=
1lll2bcro8mj80si1vbhotf04jek6pan.exposed.	3600	in	nsec3	1 1 0 73 1REG393S2NUTOJ3SL1P4EA5A80QIGPI8 NS DS RRSIG
1lll2bcro8mj80si1vbhotf04jek6pan.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. HjVe45kkji+v75YFHOaCyHnt55R17Cb9s25lM5LZWazPv+KKcN0Bj9owLa+zu1FxljXiJBHVcEootPyT8dV/eg1vHNFlf86D/s3eyX83GCNSiIBWf2chXXmkbdlZQm9bvefiLQj6iDo48rah/JEenb0s1NBdEo/xbjH2FnqHSdc=
1person1vote.exposed.	3600	in	ns	dns1.registrar-servers.com.
1person1vote.exposed.	3600	in	ns	dns2.registrar-servers.com.
1reg393s2nutoj3sl1p4ea5a80qigpi8.exposed.	3600	in	nsec3	1 1 0 73 26P9C1ACM6ABHT754BSL9QKTDI7SPTT9 NS DS RRSIG
1reg393s2nutoj3sl1p4ea5a80qigpi8.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. ZQ4fLxIrnoG0YFDgDS5L6u1btaiiU5Zaj1LimNWcCzQJKyBQHMBjHtezN6BjCUsFq+s4axKKEDLrTv8doN8rKMRLusSakSgx+VIXqyJpgUvi4RFz3/NJOEbHykf218wsr79gkLwy4qkMXx6jquv5+l8rFGWZpjSPE/5DU3JyH5Q=
1st.exposed.	3600	in	ns	ns1.atom.com.
1st.exposed.	3600	in	ns	ns2.atom.com.
1xbet.exposed.	3600	in	ns	ns1.dnsres.net.
1xbet.exposed.	3600	in	ns	ns2.dnsres.net.
1xbet.exposed.	3600	in	ns	ns3.dnsres.net.
22147.exposed.	3600	in	ns	n1.xundns.com.
22147.exposed.	3600	in	ns	n2.xundns.com.
24h.exposed.	3600	in	ns	ns-de.1and1-dns.biz.
24h.exposed.	3600	in	ns	ns-de.1and1-dns.com.
24h.exposed.	3600	in	ns	ns-de.1and1-dns.de.
24h.exposed.	3600	in	ns	ns-de.1and1-dns.org.
26p9c1acm6abht754bsl9qktdi7sptt9.exposed.	3600	in	nsec3	1 1 0 73 293D613H3G6GSVNEOD28BKVSS9DC41D6 NS DS RRSIG
26p9c1acm6abht754bsl9qktdi7sptt9.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. PB17Iw8X/ECfxNV9nrsUDxOCMUNF/f6cjqGacSVCWdkD0nFYHlnO8TDC8AO9tqPN4G3jR108SWRcVeZawgD8T3avgFijI9MuB3OzeDZiTPA6bbpZ14uMxpEahpZSQxXqkoDq2aOfrJQRY/pqR52pU7R4H2Rgha4OlorJFCOn3bQ=
293d613h3g6gsvneod28bkvss9dc41d6.exposed.	3600	in	nsec3	1 1 0 73 2EEJ02P9EJ5HL0GG07VBMKUU57TJPMER NS DS RRSIG
293d613h3g6gsvneod28bkvss9dc41d6.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. RFh6R7nn1A3Osv/Mgy3DdUotvVD8IWcrkQrXOG9a4mP4jd7anVgccumEEkIPIMcTNdYWkjjXAnpV0nGNwKKkyVK0MMkoj7GvG66acGUfgeLFW8eHlsZ/akTlxBVnkCV6AajS3SWW/JLOGwc4gBzb9SgOGGFrxovF1hj9EsQTeyI=
2b2t.exposed.	3600	in	ns	mckinley.ns.cloudflare.com.
2b2t.exposed.	3600	in	ns	quincy.ns.cloudflare.com.
2eej02p9ej5hl0gg07vbmkuu57tjpmer.exposed.	3600	in	nsec3	1 1 0 73 2F8PJI6O07RHVFOG5PBOTHO1TQRSTB6G NS DS RRSIG
2eej02p9ej5hl0gg07vbmkuu57tjpmer.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. zLLxlJ8yq3TdeIy3AjP4Bu82YHyWYqXk0VafjdQ8371KUxemwqdFT66JxPHXn2YGlua5QdtM8rrTROtdYKRe7zVdMOABtknlwaEnpPES6LjlLOuqHo+Cc9x7qkBGy7kD2U2fTO9KrQAC17jCjNzbD4LUTomo7xj6TwKQVRwJXuQ=
2f8pji6o07rhvfog5pbotho1tqrstb6g.exposed.	3600	in	nsec3	1 1 0 73 2HJ3HHOOOU7R9UTATGTB77KK4FM1HAMQ NS DS RRSIG
2f8pji6o07rhvfog5pbotho1tqrstb6g.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. 3y5QxH34ILJgXNC7ukyfDcWkNLLvDbAYM0vTcvHj3v8ruUzh6o7t1kWeoTgPi7KDyIcTyr8ZWcnR/Kvxw0pF5LSvAwv+0A429xtOCqI2HSRPz/eF/A/5uT54ApEVl+/Dnl4XXStcOp1uw4nzo6ayxFj3imGXIvnfwQ888B+8LCw=
2hj3hhooou7r9utatgtb77kk4fm1hamq.exposed.	3600	in	nsec3	1 1 0 73 2JHH7F638C0J9930EU814EJM5BNFBQDK NS DS RRSIG
2hj3hhooou7r9utatgtb77kk4fm1hamq.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. uQYggrE4FhYK1aOH54MHT5g3VvLMkTeTIZkGQvjMhpRYUfqAG0JaLXG4mhjMUX7h75RcxlnN5WscueIpvjTTAGs+Yj/rCa3mEFbhudT5xAq78vGlq1KpRmxykugxskUl4pUMp3rUjkGntR7fCvCh80L9iP4lJP2LcQFo9kTtunU=
2jhh7f638c0j9930eu814ejm5bnfbqdk.exposed.	3600	in	nsec3	1 1 0 73 2NPUJR8RS86E2N5PNDV0CBHCNSEH81GU NS DS RRSIG
2jhh7f638c0j9930eu814ejm5bnfbqdk.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. SlSHmind6PFtDLp2aAvXKFcfJ1OcYHx4fpcqLFENl4XC2/F7tWweEcSbXJD0m2goTONVxO4R2hiLChy3xlEi9PHe5+oXWvOBmk1oeLQHbvDtrJC5NVvPhHSkEuBlqAhZS72kmVdTU4L9QWh5lnhudRRinxj0rxdzp+lRNZPzweE=
2npujr8rs86e2n5pndv0cbhcnseh81gu.exposed.	3600	in	nsec3	1 1 0 73 2P7PEUUEA42JPS9B2SE5LCDHDVTF8T35 NS DS RRSIG
2npujr8rs86e2n5pndv0cbhcnseh81gu.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. WUbG64/Df/uhDGtOCtiLlCfRONIlHXHPzDm9NYYVrx6NTUDe2Ke3C7uKVQv6jRvW5htr0LAmFN/QqrFyKLOQsPT5diK02rUAjemEChYFAkvcWi4G8KxfZSVfb2gwQoXoro6IYiSKRrp5wkM3ZCDOYhD1jaOGnhW9WOATSj0RCBE=
2p7peuuea42jps9b2se5lcdhdvtf8t35.exposed.	3600	in	nsec3	1 1 0 73 2PG3PTE3OHKLIIMRF27I7FTVTI1QE2P5 NS DS RRSIG
2p7peuuea42jps9b2se5lcdhdvtf8t35.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. KoN4pQx0uzo7zK1t2mHMdxcFJySPzSm/KQmVOl0xO4OMouPh1BHgVKDEknDPoK+LGo5b96+IKIFRhCQ2fG9dMWncc6OvFSLSzxZg+AhcmFYXIHoRcES00f9E5aWn6wRDyg8RfdtZ8iHyePkPJkJaJ/TBdDZ1xdgYhE1/+98rbyU=
2pg3pte3ohkliimrf27i7ftvti1qe2p5.exposed.	3600	in	nsec3	1 1 0 73 2TC93N4M5OOCINH2ACBMHJVEPQB5LOJP NS DS RRSIG
2pg3pte3ohkliimrf27i7ftvti1qe2p5.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. JH85yrbm1ReqBr/uOQi3KoTtfchO3o09fgzrmOevJUgSk7O+c8Op1NfvHFIUryXT/AhAHB+xVGOsFe3qYX8unglgGM/o8x6vzg1biwVeRU3h0kQwmPmqEBkyJgN4aX79EWQwBUTkluxuNLGLWDk3PNRJptF6GjnNmwknBazuHI0=
2tc93n4m5oocinh2acbmhjvepqb5lojp.exposed.	3600	in	nsec3	1 1 0 73 2UT0JLLKO04LOKDJFCTPC855GUK28PUP NS DS RRSIG
2tc93n4m5oocinh2acbmhjvepqb5lojp.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. OmVfG2ZMUuHdHwOhd2K0U1PtvWen3IQuRAIcQ0Gzp1uqDgvnP/WkNxyCTUxLVEKtB35R4c+owb7ldz1leVqc+b1/wlJGNiL2v2z0y9Wp5yoIWE6BZkQPxp6T9k/dndTUfQWU/n4CvOJGIzKzrYCqr3/fS8SCbdpZ6kEeAUn6xuA=
2ut0jllko04lokdjfctpc855guk28pup.exposed.	3600	in	nsec3	1 1 0 73 333QV4DI278JNE7RL8872JQ5MG4TMIBO NS DS RRSIG
2ut0jllko04lokdjfctpc855guk28pup.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. CSx5BMa9Jbm12u7Ck2cMtgJ9+4mPVeeQLGi2wgPNA30UM3vphixS6mD3ae3gXdERkjJ3VZ1I+6R/HZAlxeHYlJbAYHLS7/dFrWQUyCTaRBYxM1XRN0fvlJbaIBILVkaCZzkOBHbXlXb/2kW/NHzSQbzOiTJmoF2/RnRIMMWKH/E=
315.exposed.	3600	in	ns	dns1.registrar-servers.com.
315.exposed.	3600	in	ns	dns2.registrar-servers.com.
333qv4di278jne7rl8872jq5mg4tmibo.exposed.	3600	in	nsec3	1 1 0 73 34P92SDQC4DC1T45PQ3NKJ47OL4353BN NS DS RRSIG
333qv4di278jne7rl8872jq5mg4tmibo.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. bRX0jVSCokXWLGI6sd7igAApbMfVVQhlqLH7GkbLBWaftweLEry420ZBg5YZSupJvXYzb2MV1twpOSG6QtqwdnvtaffcduyLgp86jrPeXua0UAFasbwgAaCpbF+GC1AD/4cliB9mB8vbmGsbTK+iWr8np3OCzDL/eMv1MBw4dFo=
33win.exposed.	3600	in	ns	jocelyn.ns.cloudflare.com.
33win.exposed.	3600	in	ns	tom.ns.cloudflare.com.
33winv.exposed.	3600	in	ns	ainsley.ns.cloudflare.com.
33winv.exposed.	3600	in	ns	quinton.ns.cloudflare.com.
34p92sdqc4dc1t45pq3nkj47ol4353bn.exposed.	3600	in	nsec3	1 1 0 73 3DEMQ6MUK5QGFVLMG5PCNAUTSIEEF1QA NS DS RRSIG
34p92sdqc4dc1t45pq3nkj47ol4353bn.exposed.	3600	in	rrsig	NSEC3 8 2 3600 20260122153722 20260101143722 59130 exposed. JKPl1fUf/ZhulmZYuqI8k8An4cMMYTTrREr0unEmVtZhidPP0+n7H1bR4pjIhoMjbdGnaWmJvE2k2R8rslKBfJGOYZm1yNdrK6ua6OQeZn4ejsGIJs46U3e6Z+FLSLgKSe284qxhbG8u+8QmihCf2zT+puGxytu713jy65rS+GQ=
360.exposed.	3600	in	ns	ns1.afternic.com.
360.exposed.	3600	in	ns	ns2.afternic.com.
36120.exposed.	3600	in	ns	n1.xundns.com.
36120.exposed.	3600	in	ns	n2.xundns.com.
36121.exposed.	3600	in	ns	n1.xundns.com.
36121.exposed.	3600	in	ns	n2.xundns.com.
36122.exposed.	3600	in	ns	n1.xundns.com.
36122.exposed.	3600	in	ns	n2.xundns.com.
36123.exposed.	3600	in	ns	n1.xundns.com.
36123.exposed.	3600	in	ns	n2.xundns.com.
36124.exposed.	3600	in	ns	n1.xundns.com.
36124.exposed.	3600	in	ns	n2.xundns.com.
36180.exposed.	3600	in	ns	n1.xundns.com.
36180.exposed.	3600	in	ns	n2.xundns.com.
36181.exposed.	3600	in	ns	n1.xundns.com.
36181.exposed.	3600	in	ns	n2.xundns.com.
36182.exposed.	3600	in	ns	n1.xundns.com.
36182.exposed.	3600	in	ns	n2.xundns.com.
38853836.exposed.	3600	in	ns	ns1.dyna-ns.net.
