0mdoog2s1epsclpgjcptgfvmo4teuv2l.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. oPSeHXX9MR3WWgLihDpjHyP0fB1q5C9dhApkQy6JJzrJ+m5icHiC4urtzFyVW0Kt1OXn0rtdlD+xLMD16vUzz5HdS1VIaoMPCkv6V3nEdRmTSt2RPEiRgyTpa69poMcG21JAUQp2GQ7OtcOdQXaLiiynXN6ORLrB0OUa6L05fVM=
0ohgt5qftgbfl9619uedl0b0da0dkvgg.football.	3600	in	nsec3	1 1 0 73 0OV4D69V453I2KJGEAF9Q7CBDAFCOR5I NS DS RRSIG
0ohgt5qftgbfl9619uedl0b0da0dkvgg.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. Ms8Y0VMswmdpXSgSQvdqR8U+gZa7tq98qAmr6XQXlw5q34tTiz4wQryNxn1Y9+lOHCvUYqW1yHzVkkeaSVTcaDCECFAi3Bh9cVM3A3mjcvZWUsB93MFrj+ZafrHWJ9vgke1c+D3P93rfhdZ2Z0L7mem7Z2Pw17EnemMCcp581RA=
0ov4d69v453i2kjgeaf9q7cbdafcor5i.football.	3600	in	nsec3	1 1 0 73 0PGU1CSHU3KP554878N5T8B5VTMEA2R9 NS DS RRSIG
0ov4d69v453i2kjgeaf9q7cbdafcor5i.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. hrX4Vx4MXH9WxITdOk8PTkqzd2A9moQkjd64yFfWYLShI0ECSNPZP08LiZX16NWdwnoom40QSVvZh6+313IBkYOlzFIhbWq2e/fHtUPZywZ57JydBJrDQ2zOS3ONVwkzUJbWSAurm+ZyyojOVaRuVRIldmq0Eie10Ysi4YOvcZ0=
0pgu1cshu3kp554878n5t8b5vtmea2r9.football.	3600	in	nsec3	1 1 0 73 0SQE6G9260CR54BF0J3FOM6IKEBRS5V5 NS DS RRSIG
0pgu1cshu3kp554878n5t8b5vtmea2r9.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. gHEwgNufzFdpBqFuFTvPkRLcRDsja7aOGQZGB7Z9XT37pEDGPQoMQx+QLqf5uMf2DO43j/v/QiEx2ZQNYaji4lAvVWqEY47qGapW79yKklL2B6JgQKTVJ5OyfG8mNTZRJQX3CPQR2Al821kDPb+mG3PyalccaNlwvDVR3AoVm5Q=
0sqe6g9260cr54bf0j3fom6ikebrs5v5.football.	3600	in	nsec3	1 1 0 73 145EE5ITIDSPBRMT2AMC57PEQIJP56MI NS DS RRSIG
0sqe6g9260cr54bf0j3fom6ikebrs5v5.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. PLoFqG7jw3bmE7eUdQ2t70++OpUbzH/IqpwbD3hydP8ESB4EhV8bPzOhW/mh6uMxiLpXCeuqch4KOs+k08yXdIT9+uZqQBA8Pk0/SxkiL4FR+Y7XUmeUnKUIe/6aMf2VoobEddK3xWuFLJuXO35+8runV1mBYrfRD5ONMIOFsZY=
10.football.	3600	in	ns	ns7.alidns.com.
10.football.	3600	in	ns	ns8.alidns.com.
1000.football.	3600	in	ns	ns5.afternic.com.
1000.football.	3600	in	ns	ns6.afternic.com.
100italiascouting.football.	3600	in	ns	ns1.wordpress.com.
100italiascouting.football.	3600	in	ns	ns2.wordpress.com.
100italiascouting.football.	3600	in	ns	ns3.wordpress.com.
100s.football.	3600	in	ds	34700 8 2 902E1A564D3A16F7F120F622DB2ABF0D026A43952239E07CACB48B95854DCCE2
100s.football.	3600	in	ns	ns-cloud-b1.googledomains.com.
100s.football.	3600	in	ns	ns-cloud-b2.googledomains.com.
100s.football.	3600	in	ns	ns-cloud-b3.googledomains.com.
100s.football.	3600	in	ns	ns-cloud-b4.googledomains.com.
100s.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. mtxDHLwPV/KWnWhbBMz+1Q71X7jES4QKsWaNBfmn4Ay/kR/HrPEwHpd9V3CJNb7vahRp9FA8pbnop3Dz6ltB65LTOwiX2VYn6MIbRNw0yt4qq1+YPC6gUmnj9KOPhzcnyWkrg4LkWKULNkEOhdmPwXrEK2p9f+GE27vf4m5zctg=
101.football.	3600	in	ns	ns07.domaincontrol.com.
101.football.	3600	in	ns	ns08.domaincontrol.com.
10156.football.	3600	in	ns	n1.xundns.com.
10156.football.	3600	in	ns	n2.xundns.com.
10star.football.	3600	in	ns	brodie.ns.cloudflare.com.
10star.football.	3600	in	ns	simone.ns.cloudflare.com.
111.football.	3600	in	ns	curitiba.ns.porkbun.com.
111.football.	3600	in	ns	fortaleza.ns.porkbun.com.
111.football.	3600	in	ns	maceio.ns.porkbun.com.
111.football.	3600	in	ns	salvador.ns.porkbun.com.
11bet.football.	3600	in	ns	arushi.ns.cloudflare.com.
11bet.football.	3600	in	ns	dean.ns.cloudflare.com.
12.football.	3600	in	ns	holly.ns.cloudflare.com.
12.football.	3600	in	ns	nile.ns.cloudflare.com.
121coaching.football.	3600	in	ns	ns1075.ui-dns.com.
121coaching.football.	3600	in	ns	ns1105.ui-dns.biz.
121coaching.football.	3600	in	ns	ns1110.ui-dns.de.
121coaching.football.	3600	in	ns	ns1118.ui-dns.org.
123.football.	3600	in	ds	660 13 2 8B2BE858E82DEA5A5DC05162D0E7684826278924FD4ED35DB9FC973769C54787
123.football.	3600	in	ns	launch1.spaceship.net.
123.football.	3600	in	ns	launch2.spaceship.net.
123.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. Tncrk6czSZIZWMx/7dpLhAu1ihWK+uvWkxsOhXddtyjxmgN0HkbRmcmWn+LBaOmYVRBSCqBQOLVzGL2WWY9+F6JllxLHBxfb3VAd4InvRXt7lulDgj2KyYL6xaaFAHToM0qQGYkgE9IDKvpmFGowFxP0EFp2dQJEWCay5QD72zs=
123b.football.	3600	in	ns	dan.ns.cloudflare.com.
123b.football.	3600	in	ns	rosalie.ns.cloudflare.com.
12thman.football.	3600	in	ns	dns1.register.com.
12thman.football.	3600	in	ns	dns2.register.com.
145ee5itidspbrmt2amc57peqijp56mi.football.	3600	in	nsec3	1 1 0 73 1A4VAVEM4H6F12H100PE9Q7B8LRNMV9G NS DS RRSIG
145ee5itidspbrmt2amc57peqijp56mi.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. j4NJnLuBqxBIkQVcL++kzyTIGa/jCbNyrqlbHJeQjWd5JDPnfjhmAyCRhzjQUXW1J8+wHvriYixXlZXoZitUgbsfxoXHPETIZCHzJF/LHu6uQPClzzzPjXHg4Y49ubtB8IOLhVYvdA15ivlQhaBFwWHgeWsXCYk6kEi6UdVaivo=
15.football.	3600	in	ns	ns5.afternic.com.
15.football.	3600	in	ns	ns6.afternic.com.
1530.football.	3600	in	ns	ns1034.ui-dns.com.
1530.football.	3600	in	ns	ns1082.ui-dns.org.
1530.football.	3600	in	ns	ns1106.ui-dns.biz.
1530.football.	3600	in	ns	ns1110.ui-dns.de.
1616.football.	3600	in	ns	curitiba.ns.porkbun.com.
1616.football.	3600	in	ns	fortaleza.ns.porkbun.com.
1616.football.	3600	in	ns	maceio.ns.porkbun.com.
1616.football.	3600	in	ns	salvador.ns.porkbun.com.
1775.football.	3600	in	ns	ns-cloud-a1.googledomains.com.
1775.football.	3600	in	ns	ns-cloud-a2.googledomains.com.
1775.football.	3600	in	ns	ns-cloud-a3.googledomains.com.
1775.football.	3600	in	ns	ns-cloud-a4.googledomains.com.
18.football.	3600	in	ns	ns5.afternic.com.
18.football.	3600	in	ns	ns6.afternic.com.
1860.football.	3600	in	ns	ns1018.ui-dns.de.
1860.football.	3600	in	ns	ns1072.ui-dns.biz.
1860.football.	3600	in	ns	ns1072.ui-dns.com.
1860.football.	3600	in	ns	ns1095.ui-dns.org.
1863.football.	3600	in	ds	63994 8 2 2F0C077231B6B814FF97E457A72DBE9665785A90CD60CE9B6574906249B037D5
1863.football.	3600	in	ns	dns16.ovh.net.
1863.football.	3600	in	ns	ns16.ovh.net.
1863.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. kjNsxkBDZJiFM7Hz3em7y2c2yXiKQilXx/Euv1xl8x3oYx6l4EBA0URVJmyNl38Tfz4KOCL7Xu+uqq1o16uh9ytollTjRGGWaotC+BhVuCJ3iqxEJRFJ15Fs9KXnDjA+ib3DJjeL5faHctt9QCUrovI2NKouxZFOFA6vtxc5zZg=
1865.football.	3600	in	ns	dns1.registrar-servers.com.
1865.football.	3600	in	ns	dns2.registrar-servers.com.
188bet.football.	3600	in	ns	ns1.dns-redirect.com.
188bet.football.	3600	in	ns	ns2.dns-redirect.com.
188betvn.football.	3600	in	ns	teresa.ns.cloudflare.com.
188betvn.football.	3600	in	ns	yevgen.ns.cloudflare.com.
1891.football.	3600	in	ds	15657 13 2 849ED0D7F869F720EEEC08344AB150FD8A8396F0E5376F77AC61570B20A8605D
1891.football.	3600	in	ns	ns3.combell.net.
1891.football.	3600	in	ns	ns4.combell.net.
1891.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. LugYPJiATo3nt7Zj6ojjQSolqcoVmkBQH8B9Gk5cdmqKBtXUsDcc74d4w70L8+1WWeFCjHKAdYOIGdxyCJEPH/Za9FQ9yMyxdRh6Sr0uR5ZFxtkFG+4Ap05fwELwBobAH9yjpf8W8xNWX6gs4VG3xbHDzjcWikParnJvsNhcPwY=
18win.football.	3600	in	ns	ignat.ns.cloudflare.com.
18win.football.	3600	in	ns	ziggy.ns.cloudflare.com.
1930-2030.football.	3600	in	ns	ns1.alldomains.hosting.
1930-2030.football.	3600	in	ns	ns2.alldomains.hosting.
1930-2030.football.	3600	in	ns	ns3.alldomains.hosting.
1930-2030.football.	3600	in	ns	ns4.alldomains.hosting.
1959.football.	3600	in	ds	49725 13 1 AF9D2FBB719A782CCC4CA5466FB0B418D9265BCF
1959.football.	3600	in	ds	49725 13 2 0B7C8516278AE7F3FBD146864C5A200976B1115F644D0744A5AFBA3A4D241A76
1959.football.	3600	in	ns	ns31.infomaniak.com.
1959.football.	3600	in	ns	ns32.infomaniak.com.
1959.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. phUUkuDwffmp5DECZzD01xHu48UObAlvyvhtJ0LtLPa1t5CEZ6tEB4NEVGP/xUb++aEKxYnwwbnnwDZpq4TFLEwpUdPFeh8wdRioVMkxhDbK/D/nsrXNkTict8ODWN8WFwLV161cTQMkPXwOetg5ncGEFbKS8dxYKDGLfs7F0CY=
1a4vavem4h6f12h100pe9q7b8lrnmv9g.football.	3600	in	nsec3	1 1 0 73 1IS4FIKIIUPQGLAI59S9FU7FMCB56TKD NS DS RRSIG
1a4vavem4h6f12h100pe9q7b8lrnmv9g.football.	3600	in	rrsig	NSEC3 8 2 3600 20260124193204 20260103183204 41238 football. m5kgKzvXVeKFUF/dRUzrHQKq4UOo0m3YiZcdrSx5Kzv4RBUzP5Zs1gJ8VD+YEyrexf3VSwYzU8WhnZVeZuT1/uFXcWxB6yRVsn2RBKX15Sak0RNlzqAKcgB+vvqF+HKExgnlY9es5sb0dUpXOpMFIebhVu/9dExJI8eQly407Yg=
1app.football.	3600	in	ns	ns11.domaincontrol.com.
1app.football.	3600	in	ns	ns12.domaincontrol.com.
1gom.football.	3600	in	ns	matteo.ns.cloudflare.com.
1gom.football.	3600	in	ns	priscilla.ns.cloudflare.com.
1is4fikiiupqglai59s9fu7fmcb56tkd.football.	3600	in	nsec3	1 1 0 73 1JHK1J3C9QC20NA5NFQCKSKS5MCDAE3H NS DS RRSIG
1is4fikiiupqglai59s9fu7fmcb56tkd.football.	3600	in	rrsig	NSEC3 8 2 3600 20260124193204 20260103183204 41238 football. icJEgN4+VJ1Wn7oKUl0S0JTjCyNCum0Irw8CipFWfOppfkgOTvP0n1Bb0HXV1AHCa6noPgEw9EcDpIz3nxi+B2MRMFK5qY0Gg3zB7YsDUTPONprSx+/f5VF0CSUnqubloeywIpF+LtYgbO06r/GwFOJ9u8C6Pat7Dmz/Su09zBU=
1jhk1j3c9qc20na5nfqcksks5mcdae3h.football.	3600	in	nsec3	1 1 0 73 1RU4KPU2J3F0MDOI93H8D9BCA2RD1QAH NS DS RRSIG
1jhk1j3c9qc20na5nfqcksks5mcdae3h.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. HDvbO2rC59v95UFhdxWxKin8Fcrqre0UiFvWBkjeZBclBzd6LdJY/MopUamC+yBmO8OF77YVHZH7cVuEzPDeaeh7tGD9VA0Lc9UNEtzwUEFAVvTAbSvjlwQoSYTAlSYzFkyjmOcHn/ZxLgLxlK9Q8eoXFRwwBF7SX6jJk6LvAys=
1love.football.	3600	in	ds	2284 13 2 10B4D880A34E47050956DB63F1BCFA908603ABD622441AE5402533672C7DC313
1love.football.	3600	in	ns	ns01.one.com.
1love.football.	3600	in	ns	ns02.one.com.
1love.football.	3600	in	rrsig	DS 8 2 3600 20260122151937 20260101141937 41238 football. ZQnr+tKYfZI4YZL45msq9tY365TxV/GPFLI2klCxmzouO+3YdFLKm0BoqbcDw6Fi9UMZIa5KjGR0hsYgao4vGhihBbo18okXFAPuVf/YVOQETFjJabpCB9RdOm1v4GN7y9klRHar0vkIQoy/qEx+FfMYUUDaLd+yh8y/hL7JP7k=
1of1.football.	3600	in	ns	ns6.wixdns.net.
1of1.football.	3600	in	ns	ns7.wixdns.net.
1on1.football.	3600	in	ns	ns3.nic.ru.
1on1.football.	3600	in	ns	ns4.nic.ru.
1on1.football.	3600	in	ns	ns8.nic.ru.
1ru4kpu2j3f0mdoi93h8d9bca2rd1qah.football.	3600	in	nsec3	1 1 0 73 1SBPIQAL04DV3L0H0OLC8A9ITVITINP8 NS DS RRSIG
1ru4kpu2j3f0mdoi93h8d9bca2rd1qah.football.	3600	in	rrsig	NSEC3 8 2 3600 20260122151937 20260101141937 41238 football. l49CJS8CMVbUG0M9JznA5uEj7JPaEQc2Xh03/YqGIQVRPxW03qWhsSiAArCTmJnpxab6PUPFJQqM+Z+MdXF1ziZkjMId6wTVhW4jJJm2d9MC8Kuzj+m5TKDz/0uWvoCrwiBQrK+xapZjWQEgTPrvaxsl3wyMs4h7CSa1ynQyx1Q=
1sbpiqal04dv3l0h0olc8a9itvitinp8.football.	3600	in	nsec3	1 1 0 73 1U2TRIUSL8V378M53UC5N9LVA402PBCF NS DS RRSIG
