1a8hvr34sdph80bdft54leg54hcur13l.furniture.	3600	in	nsec3	1 1 0 73 1GAHIOMJ0A2HSNGJDHSNP5RTPMI59JK8 NS DS RRSIG
1a8hvr34sdph80bdft54leg54hcur13l.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. abDxDGv2LgNPDwiP1YqeZAvNqkjcN49dH9q6OoSY/TzAopVqHqho7f3B2dr4MT9UA4ZLb+dpmO7CZcGKNDjodvABRN3TtkXZH9GWMyjp5ik7LX/UDLwTf4oOLerME9jFGEc1Y1zGPCXatra674naj+Q0fblWxciVF+09xNbduAk=
1gahiomj0a2hsngjdhsnp5rtpmi59jk8.furniture.	3600	in	nsec3	1 1 0 73 1J8VJAE5VS4EM42I7IQURLQIC7JKEKHO NS DS RRSIG
1gahiomj0a2hsngjdhsnp5rtpmi59jk8.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. AGwCsZwDhzv/BTjZrJMAIRG5LvxSMjBG0acYaZVC/Rw5PIdfy1Ng9yGU+anIop+lf4WR5TZGuln5e1dHj9Fyzs+hia3FeHxBVBfrUw4FIS+HHN/jXGfpNMA4NYNpDdPPig3Wq506E6ShSr4WhufetY0wXPxjQUdxNSj3hE46O98=
1j8vjae5vs4em42i7iqurlqic7jkekho.furniture.	3600	in	nsec3	1 1 0 73 1K9O1H7AE3F0I2PBTHOOA55MJSIRD9LO NS DS RRSIG
1j8vjae5vs4em42i7iqurlqic7jkekho.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. asESyqj7GMgWCToOn/BHvZ2LjSh+3EkHg/ZqH5nnHtvoXepo2k7G+CVw8fkr1R2VVJEM1DXHP42M8xoYw80HibtW3Q4PBjUF0QxpIYL2cAnmKRsEbnN810ThP/D3WxKLZy9Rndl7iyWev5PnyaTKt3W2ytHL4QE1D7frbipRIr0=
1k9o1h7ae3f0i2pbthooa55mjsird9lo.furniture.	3600	in	nsec3	1 1 0 73 1LEJ6MRLTD76BK1GFAS2TL0KT5J83APS NS DS RRSIG
1k9o1h7ae3f0i2pbthooa55mjsird9lo.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. udJwFmiJ2UUnY44niTue0nmXlk4rOIGK6gW9nmGDfq9Umn+5rMo5Hq53UQc7ipAkqHtBgkdQRfa2qdl5Tqzntky2txGayKFDKdxDr5wyp9OKFZGUkDJeltxiUIELPt+YwSqN/viToMDWWgGsrjNRIkre1tjFY6XQ20McIouOH80=
1lej6mrltd76bk1gfas2tl0kt5j83aps.furniture.	3600	in	nsec3	1 1 0 73 1VAQ2NOR06JCEOR1MROLIAS9FJ8A1FN8 NS DS RRSIG
1lej6mrltd76bk1gfas2tl0kt5j83aps.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. ypAUOrp2D61TyLFACJWcyY1Q1guBJGfFC6LXTNc7+ArxcijyL21oYKn2iBgKLi4dTi+kT8m4tXyDdOrWnz+Gj0DTPFAp7//b/HGB5j0dZUSHTPnwy71lwY8uz/+a84aB/z4YULpZpKwYZHf7yXWUa8WCxGkgojpH4ycjOWdzuPc=
1prim.furniture.	3600	in	ns	ns.second-ns.com.
1prim.furniture.	3600	in	ns	ns1.your-server.de.
1prim.furniture.	3600	in	ns	ns3.second-ns.de.
1st.furniture.	3600	in	ns	curitiba.ns.porkbun.com.
1st.furniture.	3600	in	ns	fortaleza.ns.porkbun.com.
1st.furniture.	3600	in	ns	maceio.ns.porkbun.com.
1st.furniture.	3600	in	ns	salvador.ns.porkbun.com.
1vaq2nor06jceor1mrolias9fj8a1fn8.furniture.	3600	in	nsec3	1 1 0 73 25AMB0CAI4AAR1VH522TNHHTOQSV9SVF NS DS RRSIG
1vaq2nor06jceor1mrolias9fj8a1fn8.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. SSxCgCQ+u8QqqyLNcfMYmL3G54nfp74+kAFJSvcQOI3w+yyfTtLRtdcVhkfBtoooqymUQUUPKsg5vaZ/TSoTq/22+9F9KSB874WsFusGmzxqwkUyn4/zv5Q7248AZwvnKfZrxHWYUWxxew1sfUKBdg3iKxyrYhhW2WMaZJJe9wg=
216.furniture.	3600	in	ns	ns1.guzelhosting.com.
216.furniture.	3600	in	ns	ns11.guzelhosting.com.
216.furniture.	3600	in	ns	ns2.guzelhosting.com.
216.furniture.	3600	in	ns	ns22.guzelhosting.com.
251custom.furniture.	3600	in	ns	ns75.worldnic.com.
251custom.furniture.	3600	in	ns	ns76.worldnic.com.
25amb0cai4aar1vh522tnhhtoqsv9svf.furniture.	3600	in	nsec3	1 1 0 73 2IAU3IE1QM49F10TJ5U45SVNDN9O6A9O NS DS RRSIG
25amb0cai4aar1vh522tnhhtoqsv9svf.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. WDhSLvtY4KJC3PcaeP/hXvs14MrGqPBTw6n+lg6+O+HBl5VCeDcHW+8bJyym+u8jalmxCM5NhswKmVikyBMceotIk29Sx5rJqvvma5UyqOEMRwH1gkW4lPCcUUEeJlNvt5cVGuKpXCglTERrZWBl0tTGP6hJGm/Jcsw4/edjaOQ=
2iau3ie1qm49f10tj5u45svndn9o6a9o.furniture.	3600	in	nsec3	1 1 0 73 2L23K73QLKPBPLTQCFDMQEV13QFKNUS3 NS DS RRSIG
2iau3ie1qm49f10tj5u45svndn9o6a9o.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. DzX2w5qzp6maEoWgBR9j8dCAHpjT0EIup9Mh5bTZsS470bGQTimAzs0vfbJtJO+cEHB2Wmx7XtuXSsWdz33atKbwwVN8dc6r5BvRHEtiHLg2f3iH9r75WCky47ba/r8MaGjCP3U35JebsCnzbbBxELegY85MsLIRt6mdnEuhNZA=
2l23k73qlkpbpltqcfdmqev13qfknus3.furniture.	3600	in	nsec3	1 1 0 73 2SKJVOKQO0FVEL50EVLKPB0VCK4LOT5J NS DS RRSIG
2l23k73qlkpbpltqcfdmqev13qfknus3.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. ot9UVeWUbh2GHKlhXD+hpdYfLycEDOLaFaoykpsUMBD6jG94dPUbJzkeRcko3DZIVEZ6p4Q1KlirXXBp4p9a4g4alO73+2ph75rJmclo7FB/f/m+000E7FGYv3NOyhhuV7w/evv+HXt0dFpx3UnJ+SPXXU+ChDwINidBVjEnxpQ=
2skjvokqo0fvel50evlkpb0vck4lot5j.furniture.	3600	in	nsec3	1 1 0 73 30I1DP3OJ7B5TMQ0VP52LGR2GUS5L583 NS DS RRSIG
2skjvokqo0fvel50evlkpb0vck4lot5j.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. Ejzb3IwXPQM/VdEW9/KZUl6wxcD55rL35KI09JsPOsGtv7DqMCre13UkuOxk/0qiBCIHrK3BmcdJw5jkX/N+MDifk01fObPHnobmbTeyLxRZMfkpnKcdTiym/7bRfrXUI3vslMkikf+h2ZscaqM3nakwjGCfJWzR3Q/PcvCFzqw=
30i1dp3oj7b5tmq0vp52lgr2gus5l583.furniture.	3600	in	nsec3	1 1 0 73 30OD8ITN071F3PU7G453UR8FK6D9P5GF NS DS RRSIG
30i1dp3oj7b5tmq0vp52lgr2gus5l583.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. nOGOySrKiEfNxiHNOUQuB/cqahKp65IcDRzXPcrbmWRJ8e0cG1RVUka2dkB7xD57mTUCoRpH3e2RW9+oqurnzpaXq33nME/7BSVzpZFe9HK1pAmWrh4xkpikSFzYvIKCezBiMNhOfHEBBy+fv+JYVlKI76IiDwpFih10ib82rYg=
30od8itn071f3pu7g453ur8fk6d9p5gf.furniture.	3600	in	nsec3	1 1 0 73 31CKDV2323CTHJ42AUTSBNQIKEANOS2T NS DS RRSIG
30od8itn071f3pu7g453ur8fk6d9p5gf.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. k13XeXFfTLP5nVbm1DzCH7cZduLRnPtNna6V9U/w9WCoFpmdMPUpEVZqsNiBaUB4g+2QJzbXrFJYvrTa5x7nx5PYYKum6Bq0A7vNInoqPDG8Fp5aB7kwfDmbfQe3f98PJbTxhqGVt+e6YIgTKCPGxGE74ziUzWwu5CZYSqfL1/s=
31ckdv2323cthj42autsbnqikeanos2t.furniture.	3600	in	nsec3	1 1 0 73 34R2UE60J88PCV8VK4G5ALIVUM0O7UB4 NS DS RRSIG
31ckdv2323cthj42autsbnqikeanos2t.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. cOFTeEtRsV1ufvrWLo2ZTw6A4isTS7cSTk/jx4dYb5MYR1x7L25YZzFUNrT87EKVVnCAtHYRA1heHH9AF3LitKQQoWZitE/Cf6uzsOiYCswAGv+wuaZzd1a4ji6rmGfMOCkpihuICfs16bkKCt5/xOGXp0KaxhFdwo/5tLds/V4=
33win.furniture.	3600	in	ns	felicity.ns.cloudflare.com.
33win.furniture.	3600	in	ns	maleah.ns.cloudflare.com.
34r2ue60j88pcv8vk4g5alivum0o7ub4.furniture.	3600	in	nsec3	1 1 0 73 3824OFVC186IJGHG7ESUT6H8BRGPJKEK NS DS RRSIG
34r2ue60j88pcv8vk4g5alivum0o7ub4.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. HK48IoEqPEFrrTYrIyGYpV2pdeHrjhgHT0S34zS4+d1JJleO8bZ6iN1BXt/dpfZ6hFUgbxoBcyalLnSm0yNosqQ93IMF6ilR7eXfj2r9d9wIUecqPIq4PbSCzNs3es9v7j0TBum5BfYQMge9SRPSWq1y8FNHqmoOr/xv3k49ZFo=
3824ofvc186ijghg7esut6h8brgpjkek.furniture.	3600	in	nsec3	1 1 0 73 3EJPBSCK58OTRNEJ1N6NG9J4UDQ1CDF3 NS DS RRSIG
3824ofvc186ijghg7esut6h8brgpjkek.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. p52NdXUXBcVN0U+T2h0nNDUmOotf5kRNW6lYIav34ndS+UJNeQjjmcV8tSvvF5CpU5Bn1NkHmcATQcJuPiNukeolFRLCVYN3Xy7YXT68Uup5EvtrEKft4zIBZO//mmKltF54ZQHyuX94sgI8yzxtdAZeuVMoKfbFnOLoDkQQSEw=
3d.furniture.	3600	in	ns	dns1.registrar-servers.com.
3d.furniture.	3600	in	ns	dns2.registrar-servers.com.
3dprint.furniture.	3600	in	ns	dns1.registrar-servers.com.
3dprint.furniture.	3600	in	ns	dns2.registrar-servers.com.
3dprinted.furniture.	3600	in	ns	ns59.domaincontrol.com.
3dprinted.furniture.	3600	in	ns	ns60.domaincontrol.com.
3ejpbsck58otrnej1n6ng9j4udq1cdf3.furniture.	3600	in	nsec3	1 1 0 73 3G8L31BB96E5JMBTF2RFB1J4Q0OSI287 NS DS RRSIG
3ejpbsck58otrnej1n6ng9j4udq1cdf3.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. gl6hRfjl3Fh84PRICqPE4f3oiFSHbsUGFP43wzcFEQSIIjccJ0ywu84lT01SvxlUO+HtYejg+ODFB9NnvFVj6C815Jpy8mJaBePYVD6ijROjLO56l7HKbNGpOXHmSFF3vqV8JpvHkjVUAnjPuzb0h9XuHVEPvom58wUU7e2jFMo=
3g8l31bb96e5jmbtf2rfb1j4q0osi287.furniture.	3600	in	nsec3	1 1 0 73 3LHR459L52IDIILO0R3RA8R95GTEGFH0 NS DS RRSIG
3g8l31bb96e5jmbtf2rfb1j4q0osi287.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. xk/oyHN75q2gOhU9Ux4TF3Rg6zLWd0JFCC1SypHclvtMpd2eSNWc7Nb9PEoZ5oiAI5LRQOIJczqescgvOL+eCIVjKkuEquZ5KgCF0jsKN8IqmUamASNmdmBZkgruMwNOW1gzM0IgnVKbHcUok7ePy7mdIfRvYpLc3Vi14KdmcYk=
3lhr459l52idiilo0r3ra8r95gtegfh0.furniture.	3600	in	nsec3	1 1 0 73 3MV61BS2CTRGCPBCVPBSA6V445BEQQLL NS DS RRSIG
3lhr459l52idiilo0r3ra8r95gtegfh0.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. MHbATUWiP16qVfRT9A4biSHa7jSLxiXAh4DDrb9PAtueupECz6evzQ+IuJb/MDO5O9LKafAlH7ao1W+UFYA8ZV3jP+pRHKBXkZZb2Chs5GKzjGaHrxRLhiHDrfchXdgz+RFSIEcRAzdV1OKPEqcPuTtxt0dPa1RAh9YFHzi249k=
3molah.furniture.	3600	in	ns	dns1.namecheaphosting.com.
3molah.furniture.	3600	in	ns	dns2.namecheaphosting.com.
3mv61bs2ctrgcpbcvpbsa6v445beqqll.furniture.	3600	in	nsec3	1 1 0 73 3VCB3ACJ1VLP0FE26K2O5CJLUFEG4OAN NS DS RRSIG
3mv61bs2ctrgcpbcvpbsa6v445beqqll.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. hGLd1MjKk2R5e7Tow+U/FhTcERZz9G7S1CWpT2YRzV5RoZV9lEsTarL7l5TT9g66SYvvSLNj2Xt2Grf4Bl+gx+yrfhhpYJeDpZXEZy+yjs+M51WB65CZrHsOSONlYRamYIUAOPmasx5WTGh7StHeDs9Nouy56/4Zs82uM86XtQk=
3vcb3acj1vlp0fe26k2o5cjlufeg4oan.furniture.	3600	in	nsec3	1 1 0 73 46RP4LAQG230UA3RR3JENVS6UPDHPBJL NS DS RRSIG
3vcb3acj1vlp0fe26k2o5cjlufeg4oan.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. xSh06mQ3xgJA7kvskJy9G2xSDmMnO97s+NTmvuatpvxgUwZKARoX0gwk/6sWwqB8nRM7PvbNnOlMOlyeH827LZmTIh4IgBqyPkCqRZsSEGvS0xHWiNR9zO8jp5nCl3m7rbUjrTkvycLZqsC06EYe1b9XVNBgdR3xjqCAxeYJPEk=
46rp4laqg230ua3rr3jenvs6updhpbjl.furniture.	3600	in	nsec3	1 1 0 73 47QTBRT8VF8K1RPH1JQNKV2C5BU1S4G5 NS DS RRSIG
46rp4laqg230ua3rr3jenvs6updhpbjl.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. UgJq4EjcWyyJ5SAHNjeQ+hSzQL4e4NpIePhypYexVciHPLzaLuSKJouSv9CarERUvc/A2MDf+CbbIJzbspITkLqTA3rBxFjQyVog7V1ZbMRjLPYP8J7zGLkJIzmYAnvvTQAK+m+SZVejU4ZVvShCEdcfIrEWlZDvii74xxBLyy4=
47qtbrt8vf8k1rph1jqnkv2c5bu1s4g5.furniture.	3600	in	nsec3	1 1 0 73 49BDU90QRLJ2QPIHO7PKDK3GASS7BPP0 NS DS RRSIG
47qtbrt8vf8k1rph1jqnkv2c5bu1s4g5.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. IshwGT7LXlpAGAVW3GX6YGQi+BfaLKoPOVIpy4+30rK02VlIN1VdT4I8CfBgBxMcZsknLc4ZphztlSzJn7hysu+pVm4w7GeeIbQx02tDqEJ+1+Ww6QJzGwChrt7gTVNjNeZ6Q+GqZB5khxi3MGCInLapde1g2SJUphJAfdZ9Glc=
49bdu90qrlj2qpiho7pkdk3gass7bpp0.furniture.	3600	in	nsec3	1 1 0 73 4G45R3KRBJHIVNBI5EUK4AMGDEFU6Q2T NS DS RRSIG
49bdu90qrlj2qpiho7pkdk3gass7bpp0.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. XHz4K+GdhmkY5itZiJYyuh8fgYQfjd2ZMdwX+d/Q5ZkhX3pi1czR6mzSwM0dixeQqFhy05rQfV2FiFg0JXdhSmsWtTFwd4taE1jyGwSZ/qYpwgNKWYVZrz2QlBeBZikpslvoTbNyIprKWQkNMu+5UW2AoPJ8Dzxrf04OVOqEs4g=
4everyseason.furniture.	3600	in	ns	ns59.domaincontrol.com.
4everyseason.furniture.	3600	in	ns	ns60.domaincontrol.com.
4g45r3krbjhivnbi5euk4amgdefu6q2t.furniture.	3600	in	nsec3	1 1 0 73 4UL3IGEN7GNBRQPA008FK44L1F8KK17T NS DS RRSIG
4g45r3krbjhivnbi5euk4amgdefu6q2t.furniture.	3600	in	rrsig	NSEC3 8 2 3600 20250930152758 20250909142758 7176 furniture. MKVMN4y2yBRfewSNoiwXLOlfrs7yxwp39/yLDrNNVWzXwDfnESrGNwi/+r/Iymgd25eEFbEIWY9BwxT9hfq5v+bjNygbXEhiMkD7v2Mx3LQkUwoNj02PdiztI2NSc1q28OZdXgVu7dU2aVi5vzO+v5Pqbz3iAPXsuUYyW2g2bUg=
4seasons.furniture.	3600	in	ns	dns1.registrar-servers.com.
4seasons.furniture.	3600	in	ns	dns2.registrar-servers.com.
4seating.furniture.	3600	in	ds	43615 8 2 8D4885076850CD1D72C51396901C1A1F6A92EDAF7C4EC20F5463431C19046FC8
4seating.furniture.	3600	in	ns	ns-cloud-a1.googledomains.com.
4seating.furniture.	3600	in	ns	ns-cloud-a2.googledomains.com.
4seating.furniture.	3600	in	ns	ns-cloud-a3.googledomains.com.
