aco.	86400	in	soa	a.dns.nic.aco. hostmaster.lemarit.com. 1759366963 10800 3600 2764800 1800
0sihj9r7j102ne7i9vq5ujlvm0nmbos4.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. YCwjC97Wi2ATLel0xYZlCMuEMpGD3LW92yyFVW1oKnKT8zqunw9jjQZIruHu98RBi+7AO92EMAuwa80gdrxQ0dHU3+9w2jUFXeXqdLoDIiOhWZexFa9VLE0fGOGFHVXS7h42pB4XBFFoG1QWe/PcWxjVfor5V5ASWkJWwLf4Ru0=
0ssfej674ctqrs884k8fairbu48iiig2.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 11GMTLJ85J7EHSDH3RBHGQK144L8B33P NS
0ssfej674ctqrs884k8fairbu48iiig2.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. BjuLYUAtVOmgcJt5/apESqGAGPagyAFOiMiSJB0v10sXIHzuceXg9C6TRTj8R38ZMGaMa9uhDK2cZVIKDWtBlvZIqtbHvl4KkyhhE7g2m8BhkIcsKPe4LN98EugRhYIY5B268GdDwkSiO9Ue5QgWIPjiWIOjBM9duqsS2z3C1+g=
11gmtlj85j7ehsdh3rbhgqk144l8b33p.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 13440B93OAPKOI86TGTOSGCKMUDNECN1 NS
11gmtlj85j7ehsdh3rbhgqk144l8b33p.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. BfbMbk60MrZHF6Tnd/7sX4J/s4jxL+kvE4OY7HkOtIehHpGpAfv4pGE/IaPV/Xtiet0fL0GJlyrIHrcrZ+rX1S39P8ufOUGvHwPEbiVr7E6Q5elzdw0x9Nwwr57L9BBdu1KgPTURaDeFbV2VpOr7fhgqqKb93yWUBlEkL9g/HVs=
13440b93oapkoi86tgtosgckmudnecn1.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 16EI3QO2RTE487EA4I23DC7UBOVBPP6U NS
13440b93oapkoi86tgtosgckmudnecn1.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. hcDbPua3s386rFRjK+/Dw4UYE4v+ZXCNBrkrdwUTPOy2r6EDKzX3l5UKsy/O64xnB7zNDriaj2CIy8P1Mc4Fpu2ZigGRQsKnkxuWfhCJ15JjPXfximQnVsw+KbvVVUYDdjphoHICWnZx/kcIhz7I4uZ8Ky0hNeVaQkVljG+KM/s=
16ei3qo2rte487ea4i23dc7ubovbpp6u.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 1LT3FGGGGTS4974II700V6M6KMEOI1VM NS
16ei3qo2rte487ea4i23dc7ubovbpp6u.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. gU38D7Ay9IyhEPxn83eapxXSTsA85dZmaM6Lzz8slrGP9Ips3T456qgvXTIEgxtoo8z8dcpQ9qCe2TOK9ee9FmOuqIno/qDEyStyKIrauzXjs7xG90CcMcwrQzXmRECS7mmx5xgx6HEPtp5IHlYAB1RlnUbWyzj692FONOO3sPk=
1lt3fggggts4974ii700v6m6kmeoi1vm.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 1LVJ0CIN2MKPV96N1JF9ICLDKNAVET2U NS
1lt3fggggts4974ii700v6m6kmeoi1vm.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. JfNjGZA2mkNZxNufl7W+0EvpM//4I7dHstgUQb8U3pe8BjcoVZLRzaTL/OPi+Ns3Gysa9j9uOyWXAZdVx6Ad5j2pgx2Zz1kHeGwhwsiT4kWN+7UC10ck8ZBEMbftOQqsnhVi4tjUtGNhHCGdMBkarMwQnliA1tnEEsda50HbxLA=
1lvj0cin2mkpv96n1jf9icldknavet2u.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 1URP73OIVO8FBGLGFPQQTIBF1GN2ILL2 NS
1lvj0cin2mkpv96n1jf9icldknavet2u.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. JUtYEHg08t80awg+nwqyvjkamR8wpAk0CY5avqbUAmOxR1CMloPKE2TKrOQjvmyPbMvj5QnPtdWYCfgP+oPR2y5UcGygIrEfGYfxepsmYVYQK6zOWMyTBnfuUoT9NmdMOrgLlmkQ8VdfcdBZfQ9wbCPJ3+faNL4gJypVT7IAQRQ=
1urp73oivo8fbglgfpqqtibf1gn2ill2.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 20JH4UI9JP7ONQF1DLI0QPRH3M5NS3NU NS
1urp73oivo8fbglgfpqqtibf1gn2ill2.aco.	1800	in	rrsig	NSEC3 8 2 1800 20251013231146 20250929214146 16185 aco. c28lE+23hOHd9/Dk0iRjBrKEJ7MY1YPNiUgXsHANO/1SKgyHyrujdjuANFHEPKB+ryDRbmS+xASN3kL0b86EHYS6si/T3AuWuILTvc67mO8fM1z8dE8PoAWCMENU+bErFXNvnc3iZ6SBn3SQP5PB11mJq15YUocP2v0bnavp9aw=
20jh4ui9jp7onqf1dli0qprh3m5ns3nu.aco.	1800	in	nsec3	1 0 10 BDE174930901B355 25HG980PSE48RSAN3BL6GOP24UR3P8KH NS
