1001nacht.hamburg.	14400	in	ns	ns03.domaincontrol.com.
1001nacht.hamburg.	14400	in	ns	ns04.domaincontrol.com.
100jahresaga.hamburg.	14400	in	ns	ns29.domaincontrol.com.
100jahresaga.hamburg.	14400	in	ns	ns30.domaincontrol.com.
10gdlhnhq3195vt7oqh4otqa9ihftq1l.hamburg.	3600	in	nsec3	1 1 0 - 11H786F9NH9G9NNPCPISSSB7LLUHJTKR NS DS RRSIG
10gdlhnhq3195vt7oqh4otqa9ihftq1l.hamburg.	3600	in	rrsig	NSEC3 8 2 3600 20250916055529 20250909072011 42964 hamburg. ICgdYH25Y+N60VB6It3eKIYzHWiiAhvrrVkcxY++4axed5RZc5cdyP9EcPHT6h6LgV0EvYGFpnqZj3JjwJZKg/BABevmZ9Px3CjvgXGCZ/Ed6r5089OHTiwlhah7zwvP9a8ojr4GZBuYF9E3S9dH99GdxzNXX27uQpPZ7hhVwmU=
111.hamburg.	14400	in	ns	ns1.sedoparking.com.
111.hamburg.	14400	in	ns	ns2.sedoparking.com.
112.hamburg.	14400	in	ns	ns1.host-4-u-ns.de.
112.hamburg.	14400	in	ns	ns2.host-4-u-ns.de.
115.hamburg.	14400	in	ns	ns1.mcs.de.
115.hamburg.	14400	in	ns	ns2.mcs.de.
115.hamburg.	14400	in	ns	ns3.mcs.de.
11freunde.hamburg.	14400	in	ns	ns4.wixdns.net.
11freunde.hamburg.	14400	in	ns	ns5.wixdns.net.
11h786f9nh9g9nnpcpisssb7lluhjtkr.hamburg.	3600	in	nsec3	1 1 0 - 170SRG3L4L61M8Q5J6I74SRR4GOPM6P0 NS DS RRSIG
