xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns2qvz.name.com.
xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns3cpr.name.com.
xn------ozeboc3btohf3ojpipgfowzmr0bg.xn--ngbc5azd.	3600	in	ns	ns4sxy.name.com.
xn-----btdaa2az2nabisj9bhe.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdaa2az2nabisj9bhe.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----btdaa3ay2nabiti0cge.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdaa3ay2nabiti0cge.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----btdaaa7a2a2pabjuj3che.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdaaa7a2a2pabjuj3che.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----btdaaa8a1a2pabjvi4cge.xn--ngbc5azd.	3600	in	ns	journey.ns.cloudflare.com.
xn-----btdaaa8a1a2pabjvi4cge.xn--ngbc5azd.	3600	in	ns	remy.ns.cloudflare.com.
xn-----btdabbacdp7b0bzhrf3accct6cwc.xn--ngbc5azd.	3600	in	ns	a.icann-servers.net.
xn-----btdabbacdp7b0bzhrf3accct6cwc.xn--ngbc5azd.	3600	in	ns	b.icann-servers.net.
xn-----btdabbacdp7b0bzhrf3accct6cwc.xn--ngbc5azd.	3600	in	ns	c.icann-servers.net.
xn-----btdabbacdp7b0bzhrf3accct6cwc.xn--ngbc5azd.	3600	in	ns	ns.icann.org.
xn-----btdayv2labhri6bge.xn--ngbc5azd.	3600	in	ns	lovisa.ns.cloudflare.com.
xn-----btdayv2labhri6bge.xn--ngbc5azd.	3600	in	ns	renan.ns.cloudflare.com.
xn-----ctdaabbigh0hbec1dxjxavhb8byelb.xn--ngbc5azd.	3600	in	ns	ns1.101domain.com.
xn-----ctdaabbigh0hbec1dxjxavhb8byelb.xn--ngbc5azd.	3600	in	ns	ns2.101domain.com.
xn-----ctdaabbigh0hbec1dxjxavhb8byelb.xn--ngbc5azd.	3600	in	ns	ns5.101domain.com.
xn-----ctdabalddu5cfh1i8ftahccr9h.xn--ngbc5azd.	3600	in	ns	dns1.idp365.net.
xn-----ctdabalddu5cfh1i8ftahccr9h.xn--ngbc5azd.	3600	in	ns	dns2.idp365.net.
xn-----ctdabalddu5cfh1i8ftahccr9h.xn--ngbc5azd.	3600	in	ns	dns3.idp365.net.
xn-----ctdefbc4d3aag1mqa7a9b1a.xn--ngbc5azd.	3600	in	ns	addilyn.ns.cloudflare.com.
xn-----ctdefbc4d3aag1mqa7a9b1a.xn--ngbc5azd.	3600	in	ns	pablo.ns.cloudflare.com.
xn-----ctdkyo6c3eldlgd.xn--ngbc5azd.	3600	in	ns	byron.ns.cloudflare.com.
xn-----ctdkyo6c3eldlgd.xn--ngbc5azd.	3600	in	ns	zariyah.ns.cloudflare.com.
xn-----dtd3acb8dveegld1a.xn--ngbc5azd.	3600	in	ns	byron.ns.cloudflare.com.
xn-----dtd3acb8dveegld1a.xn--ngbc5azd.	3600	in	ns	zariyah.ns.cloudflare.com.
