099.vin.	3600	in	ns	rajeev.ns.cloudflare.com.
0d7i7gl6ia5rjak0n4jtu31k6cn4scfq.vin.	3600	in	nsec3	1 1 0 73 0D9F2SMI3R3C8G34UE69J0J989LBHKFP NS DS RRSIG
0d7i7gl6ia5rjak0n4jtu31k6cn4scfq.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. n0OYNNyUftMT4dDczUsI+KYWyNE9NTcrO/ruSu5PaoEU+Qcb0VxVnT7sYbJ0cQsC6rcfgFTmuCF0A4YeyHNTchtAIsMULl7PN1dxShTD/5jMghTTQGMpdvin/l8UmM5p0eo7SFt0sqM/ur7r4WOoxByZAD5AnQhRG9T7Fzjy5tY=
0d9f2smi3r3c8g34ue69j0j989lbhkfp.vin.	3600	in	nsec3	1 1 0 73 0E6V19KVP07QTBRIEC7R2LQQ62V5JGHA NS DS RRSIG
0d9f2smi3r3c8g34ue69j0j989lbhkfp.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. LM1aaoHC1Ap/xCmyLylGr8SSUFfL97hxmj0/XgyZ8eX9+YRVTuBfxHylmCuBtxiJuwpRgwvcVpHdktpydeSvIwUIKhhcE0VbzpwXxVy3D/TxnrRlJRa6fvu+xRfmKEhax9dR0jOzMyCYMxOr1C09+Y8a0WMe1Us62xjYFP6reNE=
0e6v19kvp07qtbriec7r2lqq62v5jgha.vin.	3600	in	nsec3	1 1 0 73 0G331CE55ADVHCD43GCAPMIPD1OIS3BJ NS DS RRSIG
0e6v19kvp07qtbriec7r2lqq62v5jgha.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. YWSFI1/rhImTkWlHAg+Xnn460bI3FJo1U3dYJNmcJWC8ZB3326zyMFP2qTidknUPbXiGKfLa/jpYKmeaL/yQIeK47c/LV1thtk7Xwz4lXfXstRQaip9Att1ywB5/nIdIraTseVyjMo1t21YMuXXqfMOl+oAM/w6xt92UjFvdNZI=
0g331ce55advhcd43gcapmipd1ois3bj.vin.	3600	in	nsec3	1 1 0 73 0NGP4B324M7RQEMKPFUT4K4R5G90OTD8 NS DS RRSIG
0g331ce55advhcd43gcapmipd1ois3bj.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. IOtR1FjeV0m9LUQXGhBI8xFN/sYzvv8ujuFIWc982ERYAZrPTADypXFZiY6yZn3lAJv78rVLiJMnSNjh90agnkSolJzuo9bXIC5DfC5tyNuvGjVyDOWc6ZCrhnlwaAN0X7WmUcNhLQo73318CUyRcwVf6JuvnaCFKh0X1jV/Ryc=
0ke.vin.	3600	in	ns	dns1.registrar-servers.com.
0ke.vin.	3600	in	ns	dns2.registrar-servers.com.
0ngp4b324m7rqemkpfut4k4r5g90otd8.vin.	3600	in	nsec3	1 1 0 73 0OOJHC1AV4H1GRP62K2QFJ8QTSEPEFMU NS DS RRSIG
0ngp4b324m7rqemkpfut4k4r5g90otd8.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. K3AfzMWwi0d/1RNtmgRiuQ38QomjEo0BqHWs1sch+/M6p6UyN7rtgN2LFiH5D+yPfI5b9D6M34T64lVJXGfH0Y/xdYFbNBs3RIMKbBhDWfRb1vAzazSPzas169maFyl5uUaa7Whd7LF8w56aYfruLEHXItnl4cma1yOrsGeaDeI=
0oojhc1av4h1grp62k2qfj8qtsepefmu.vin.	3600	in	nsec3	1 1 0 73 0Q02T701JOBJT9K584GG7ETL1NAOLF4B NS DS RRSIG
0oojhc1av4h1grp62k2qfj8qtsepefmu.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. Zpz0vuZ7gPuft2jo/5pXvi2FnkJXXDqq/IE+Rqm6b21ZORQgmqi9L/3o914kYIJgiKKva/tSNoC7PPRWdH1n0Z+dQ9STGjaYGypJbcATH1iSN0k7Z5/900J8ERM08EKrEbvufDZmxy62/hZyiAZkVZMOEiuDSnbxDA6Hk7KOcI8=
0q02t701jobjt9k584gg7etl1naolf4b.vin.	3600	in	nsec3	1 1 0 73 0QOCGU4JON03VJNSHLJUP042MICDL1OL NS DS RRSIG
0q02t701jobjt9k584gg7etl1naolf4b.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. IlDdyHvdBArK4mbO1r5F0CfUMJrT6wHN2Yu7FpnMxJdN0P+MNdVKCCXOHvTmTyd0+c5UOIJYUf0SZq/Cw8A5QkWJ3LP7Nia9bDQR+7Qmf9ZUwlB6Sj1AsuimxXTTI7kceBW70djsxpqAv49AcU+7NpmnJEZHRVAkSKvDC2HN/JI=
0qocgu4jon03vjnshljup042micdl1ol.vin.	3600	in	nsec3	1 1 0 73 0R653J2I2ODK7JJ7CP8A6S4HII07AV8O NS DS RRSIG
0qocgu4jon03vjnshljup042micdl1ol.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. jOYJaS3NvXatMq63r695TDgpzYLz+QsX3uneI70HfaL1e9u2J6J7yvTql4xL3dkUR7nSiCnjhYRks3rgXs6YRAJUd7RXp8xWET2VwONLv9RM7Vxzj+VFhoJ9aRHm44MaViCy73fi2WLrW5X1U3MAhbfuQT5BGTWM/q0t0laDl24=
0r653j2i2odk7jj7cp8a6s4hii07av8o.vin.	3600	in	nsec3	1 1 0 73 12M4T735OUCGST4E90REG2GDC4SE9N5K NS DS RRSIG
0r653j2i2odk7jj7cp8a6s4hii07av8o.vin.	3600	in	rrsig	NSEC3 8 2 3600 20260122161103 20260101151103 36831 vin. er6j9WnyNbGH3vXV0cIhi/z54Hc9Uca3DGLeho4Ysoj6eFvOQrDRV65tOb+UYBIAMZ/mejCjHYyOtCUCnsXkNK3WjoxPaJuIYYhrYwEaKgYosdvHKxCVj44jkAFqzGRJONiVcy1y10xi1MRD/VPHNpgJ22tvl2FfCUp8sFoIUUY=
0ta.vin.	3600	in	ds	59023 13 2 1D517CC39979477903AE14D08EB94BBE0931809EE6AD9276510828177F6D68E4
0ta.vin.	3600	in	ds	62321 13 2 0BCD6D413F4DC601BE353AD943EC7A1ADCE81CF4D38292347A1B5A5A5441DDDC
