1lbsan11hff2i3f1kb1g7pgs5hsnleo0.hospital.	3600	in	nsec3	1 1 0 73 1NGRRO9P3K44O6C8H6NUSUMUIVVHEQV8 NS DS RRSIG
1lbsan11hff2i3f1kb1g7pgs5hsnleo0.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. JxdWiR9cn5A4vy1I3AyA7Hsz1xKIJdtX8UyDjjtCVITdphsvQ7XflDRzEiRJ3ljUWjawNbEWHQj/WQ9vRfqtdNJeBI8UwfOVFE2VitfcIBjk1rNblm2KIXvGPHS8PN3iI/WriDNsdc6MINLAzCarSShbb19ieNfc4S+d08bYfMk=
1ngrro9p3k44o6c8h6nusumuivvheqv8.hospital.	3600	in	nsec3	1 1 0 73 1SRT4KNL338T98CGH035GEESDVNFP8I4 NS DS RRSIG
1ngrro9p3k44o6c8h6nusumuivvheqv8.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. bg7zdMErBfy/pi3YyVJqs6r/99tMb7Q1I3IE698+HKcKasUCBDhuy6iPydMRVto3C1Vz67yRFfs+xp/ji9vOLfQLi+RsOr7/CVXmc0fRpJ8pe28i9lOgfI2nK3xNPmYKk5I86p5s85GZ0t5aikWttjafVYJGzOJaDZZDb8Zt0CU=
1srt4knl338t98cgh035geesdvnfp8i4.hospital.	3600	in	nsec3	1 1 0 73 24KIE9KQ8GTURB6APLIK4VHL5L1E9JCL NS DS RRSIG
1srt4knl338t98cgh035geesdvnfp8i4.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. jBM+dSwKKw8m4AzGwSoBOYgs8N0/swdp2nllQF19XI4/0F4aTVWCmKSvjyjbtMJnuZ8FW+UOT0cVqLvNlm8Og8rgRh1EG9qZCVAFcCXn2OBnmHebS3+FS0+N8EfCkk06whww+N1wBRZ95Uznobdo8N2LJ8bvRHFtUuzMW3YkpVU=
24kie9kq8gturb6aplik4vhl5l1e9jcl.hospital.	3600	in	nsec3	1 1 0 73 2FN540AOFKGL0TN92L4CB0VER5BMU4K4 NS DS RRSIG
24kie9kq8gturb6aplik4vhl5l1e9jcl.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. B/+MaxcUILmHJnuP/Z6MMo+jjRwNmZ6qfYRGgX88qF69zkE8XtR40drSMkk6PDucFd4+xB0cSbEYZcLC+JonoqlUofFtqjplKWXgD3+m9Ug0iQ03TezivOqoPaZTOmsxLaNdPE8T5OzMoFpaUGnqEXBEjSls5G9IqWlmD1dA/LU=
2aftermidnight.hospital.	3600	in	ns	dns.fastdns24.com.
2aftermidnight.hospital.	3600	in	ns	dns2.fastdns24.org.
2aftermidnight.hospital.	3600	in	ns	dns3.fastdns24.eu.
