116p544v0tok1k3b77fd1a8btnv22p9r.capetown.	86400	in	rrsig	NSEC3 8 2 86400 20250910010016 20250826233016 56458 capetown. RoQxtmyPhu/ttBuFUoGu+ASdTVTgLre0amnk5h3J7B3idGsLkEkKqfH4RXhY2UdFr5hZ+JxX7VVfRvRuh3VAsd1aVNYp2EuOOnbEJkwLl2tcDPKQ/33PPyMfE5H3DdWjw2WFJ5sS9RWfcpNOmMOnmyHufsC4w/mMijkfODWmvbc=
1306.capetown.	7200	in	ns	ns1.tld-ns.net.
1306.capetown.	7200	in	ns	ns2.tld-ns.com.
1306.capetown.	7200	in	ns	ns3.tld-ns.net.
1306.capetown.	7200	in	ns	ns4.tld-ns.com.
13peaks.capetown.	7200	in	ns	linus.ns.1-grid.co.uk.
13peaks.capetown.	7200	in	ns	linus.ns.1-grid.co.za.
13peaks.capetown.	7200	in	ns	linus.ns.1-grid.com.
13peaks.capetown.	7200	in	ns	linus.ns.1-grid.net.
14492.capetown.	7200	in	ns	a.dnspod.com.
14492.capetown.	7200	in	ns	b.dnspod.com.
14492.capetown.	7200	in	ns	c.dnspod.com.
16daysforyouth.capetown.	7200	in	ns	ns1.dns-h.com.
16daysforyouth.capetown.	7200	in	ns	ns1.host-h.net.
16daysforyouth.capetown.	7200	in	ns	ns2.dns-h.com.
16daysforyouth.capetown.	7200	in	ns	ns2.host-h.net.
16onbree.capetown.	7200	in	ns	ns1.tld-ns.net.
16onbree.capetown.	7200	in	ns	ns2.tld-ns.com.
16onbree.capetown.	7200	in	ns	ns3.tld-ns.net.
16onbree.capetown.	7200	in	ns	ns4.tld-ns.com.
172563.capetown.	7200	in	ns	luciane.ns.cloudflare.com.
172563.capetown.	7200	in	ns	merlin.ns.cloudflare.com.
18queenvictoriard.capetown.	7200	in	ns	ns.dns1.co.za.
18queenvictoriard.capetown.	7200	in	ns	ns.dns2.co.za.
18queenvictoriard.capetown.	7200	in	ns	ns.otherdns.com.
18queenvictoriard.capetown.	7200	in	ns	ns.otherdns.net.
1grid.capetown.	7200	in	ns	ns1.hostserv.co.za.
1grid.capetown.	7200	in	ns	ns2.hostserv.co.za.
1win.capetown.	7200	in	ns	cody.ns.cloudflare.com.
1win.capetown.	7200	in	ns	kenia.ns.cloudflare.com.
1xbet.capetown.	7200	in	ns	ns1.regery.net.
1xbet.capetown.	7200	in	ns	ns2.regery.net.
1xbet.capetown.	7200	in	ns	ns3.regery.net.
25cavendish.capetown.	7200	in	ns	ns1.dns-h.com.
25cavendish.capetown.	7200	in	ns	ns1.host-h.net.
25cavendish.capetown.	7200	in	ns	ns2.dns-h.com.
25cavendish.capetown.	7200	in	ns	ns2.host-h.net.
26maraisroad.capetown.	7200	in	ns	ns.dns1.co.za.
26maraisroad.capetown.	7200	in	ns	ns.dns2.co.za.
26maraisroad.capetown.	7200	in	ns	ns.otherdns.com.
26maraisroad.capetown.	7200	in	ns	ns.otherdns.net.
27four.capetown.	7200	in	ns	ns1.dns-h.com.
27four.capetown.	7200	in	ns	ns1.host-h.net.
27four.capetown.	7200	in	ns	ns2.dns-h.com.
