country.	900	in	soa	ns.trs-dns.com. trs-ops.tucows.com. 1756256885 1800 900 604800 300
0m.country.	900	in	ns	ns1.hiddenstate.xyz.
0m.country.	900	in	ns	ns2.hiddenstate.xyz.
0n.country.	900	in	ns	ns1.hiddenstate.xyz.
0n.country.	900	in	ns	ns2.hiddenstate.xyz.
0o.country.	900	in	ns	ns1.hiddenstate.xyz.
0o.country.	900	in	ns	ns2.hiddenstate.xyz.
0p.country.	900	in	ns	ns1.hiddenstate.xyz.
0p.country.	900	in	ns	ns2.hiddenstate.xyz.
0q.country.	900	in	ns	ns1.hiddenstate.xyz.
0q.country.	900	in	ns	ns2.hiddenstate.xyz.
0r.country.	900	in	ns	ns1.hiddenstate.xyz.
0r.country.	900	in	ns	ns2.hiddenstate.xyz.
0s.country.	900	in	ns	ns1.hiddenstate.xyz.
0s.country.	900	in	ns	ns2.hiddenstate.xyz.
0t.country.	900	in	ns	ns1.hiddenstate.xyz.
0t.country.	900	in	ns	ns2.hiddenstate.xyz.
0u.country.	900	in	ns	ns1.hiddenstate.xyz.
0u.country.	900	in	ns	ns2.hiddenstate.xyz.
0v.country.	900	in	ns	ns1.hiddenstate.xyz.
0v.country.	900	in	ns	ns2.hiddenstate.xyz.
0w.country.	900	in	ns	ns1.hiddenstate.xyz.
0w.country.	900	in	ns	ns2.hiddenstate.xyz.
0x.country.	900	in	ns	ns1.hiddenstate.xyz.
0x.country.	900	in	ns	ns2.hiddenstate.xyz.
0xshincrypto.country.	900	in	ns	ns1.hiddenstate.xyz.
0xshincrypto.country.	900	in	ns	ns2.hiddenstate.xyz.
0y.country.	900	in	ns	ns1.hiddenstate.xyz.
0y.country.	900	in	ns	ns2.hiddenstate.xyz.
0z.country.	900	in	ns	ns1.hiddenstate.xyz.
0z.country.	900	in	ns	ns2.hiddenstate.xyz.
1.country.	900	in	ns	lovisa.ns.cloudflare.com.
1.country.	900	in	ns	nitin.ns.cloudflare.com.
10.country.	900	in	ns	ns1.hiddenstate.xyz.
10.country.	900	in	ns	ns2.hiddenstate.xyz.
10k.country.	900	in	ns	ns1.hiddenstate.xyz.
10k.country.	900	in	ns	ns2.hiddenstate.xyz.
11.country.	900	in	ns	ns1.hiddenstate.xyz.
11.country.	900	in	ns	ns2.hiddenstate.xyz.
12.country.	900	in	ns	ns1.hiddenstate.xyz.
12.country.	900	in	ns	ns2.hiddenstate.xyz.
123movies.country.	900	in	ns	amber.ns.cloudflare.com.
123movies.country.	900	in	ns	sage.ns.cloudflare.com.
1290.country.	900	in	ns	dns1.name-services.com.
1290.country.	900	in	ns	dns2.name-services.com.
1290.country.	900	in	ns	dns3.name-services.com.
