2gether.diet.	900	in	nsec	3-week.diet. NS RRSIG NSEC
2gether.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. Lb05gXyOrJCRO7JOC4IUOg5KSLuGAam7kyiOoPfo1433xMZ4w51QgLRrpSxK2/HCwgKmunt/WQZabEMk+9uMIQ==
3-week.diet.	3600	in	ns	ns17.domaincontrol.com.
3-week.diet.	3600	in	ns	ns18.domaincontrol.com.
3-week.diet.	900	in	nsec	365.diet. NS RRSIG NSEC
3-week.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. 3jNWJBS1ZRofVKkmoCz9BTVPYEFwDYXAvr7ERqP1q1W6Ov4I1Sy8RbBvjzCGrc3sCzJ4BHLLe7SmEiTaFj4gBA==
365.diet.	3600	in	ns	nsgbr.comlaude.co.uk.
365.diet.	3600	in	ns	nssui.comlaude.ch.
365.diet.	3600	in	ns	nsusa.comlaude.net.
365.diet.	900	in	nsec	3plus3.diet. NS RRSIG NSEC
365.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. upZuGCV4kjuXYq3S2m4qNChuudbBGMrFu6+kmIktAJi/fyJyx1sSF/3B64dqVk6FkZFUBrzn+QyO6oCjaT8xCQ==
3plus3.diet.	3600	in	ns	ns37.domaincontrol.com.
3plus3.diet.	3600	in	ns	ns38.domaincontrol.com.
3plus3.diet.	900	in	nsec	5movierulz.diet. NS RRSIG NSEC
3plus3.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. 351sx4cPadyGE6TMF3Y0NGMh+CpRE7cBz23ZEaYomRjfrb4Msi70WbRwa6QSKAJWNUSubBkO/IVVdLWf+J0bVQ==
5movierulz.diet.	3600	in	ns	cullen.ns.cloudflare.com.
5movierulz.diet.	3600	in	ns	jocelyn.ns.cloudflare.com.
5movierulz.diet.	900	in	nsec	60secondstohappiness.diet. NS RRSIG NSEC
5movierulz.diet.	900	in	rrsig	NSEC 13 2 900 20260120134025 20251221121025 19886 diet. ftIGnf8cf+ICtsfk1i68YgFd9vT4Y+QkHFT/YBMcSjY3Cvmf3CvFFX8EUCOjeuG3MWH7RnewaRfU60FOECQoPw==
60secondstohappiness.diet.	3600	in	ns	ns1044.ui-dns.com.
60secondstohappiness.diet.	3600	in	ns	ns1065.ui-dns.org.
60secondstohappiness.diet.	3600	in	ns	ns1087.ui-dns.biz.
60secondstohappiness.diet.	3600	in	ns	ns1123.ui-dns.de.
