0697.game.	900	in	rrsig	NSEC 13 2 900 20250923125447 20250824112447 25267 game. /oS0uMiOyBm3/xxXCg3eqEKIKSsWWIIgGArtLbQNboCZ0B+din5EoU4bXJNXzRFNqxMZFDUmgWW/6AtEaTYPVg==
07.game.	3600	in	ns	ns-1064.awsdns-05.org.
07.game.	3600	in	ns	ns-1789.awsdns-31.co.uk.
07.game.	3600	in	ns	ns-471.awsdns-58.com.
07.game.	3600	in	ns	ns-809.awsdns-37.net.
07.game.	900	in	nsec	077.game. NS RRSIG NSEC
07.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. /zrq7H2tGUOiHYFK94KTTougbC/h6MO62L8PKylDcxD8tyd0aVPAJINWa2w78UOPQs5ppX4bOKhLYKm81Zw1FA==
077.game.	3600	in	ns	elly.ns.cloudflare.com.
077.game.	3600	in	ns	jasper.ns.cloudflare.com.
077.game.	900	in	nsec	08.game. NS RRSIG NSEC
077.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. ViGieV+crNDzF1bdnt220TufOhlw0MSUelDmq8JHHC+2kiXJQfBNUBhSlmveEWQZ6cdt/PgPEMs+VhIzVqn17A==
08.game.	3600	in	ns	ns-1113.awsdns-11.org.
08.game.	3600	in	ns	ns-1652.awsdns-14.co.uk.
08.game.	3600	in	ns	ns-191.awsdns-23.com.
08.game.	3600	in	ns	ns-903.awsdns-48.net.
08.game.	900	in	nsec	099bet.game. NS RRSIG NSEC
08.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. tDFben54ice3ghmMha97OlfqUkYcOQowV47jYKq6wDiO/YvZ56fh0o6GwXZ3xDgfVMv//dvqqa/WNPMvycJwXg==
099bet.game.	3600	in	ns	elly.ns.cloudflare.com.
099bet.game.	3600	in	ns	jasper.ns.cloudflare.com.
099bet.game.	900	in	nsec	0x.game. NS RRSIG NSEC
099bet.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. mWDsrgEq+JRS3EdvcGmh8iZ3NEdpfmyWCc6YTY3DG/o1/3OEGxuPd/82zE1dtF5JnSWp//G9gHJLuxhqWEvRmA==
0x.game.	3600	in	ns	dns1.registrar-servers.com.
0x.game.	3600	in	ns	dns2.registrar-servers.com.
0x.game.	900	in	nsec	0xbattleground.game. NS RRSIG NSEC
0x.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. P5J13qfwtftZ1SN8+XcPV05ENZAOMYH2n8irvWDYFyvjWJZzD4a5m+q/D2FPAwqrz3Q9LyN4ywYDBj+pg9mihQ==
0xbattleground.game.	3600	in	ns	curitiba.ns.porkbun.com.
0xbattleground.game.	3600	in	ns	fortaleza.ns.porkbun.com.
0xbattleground.game.	3600	in	ns	maceio.ns.porkbun.com.
0xbattleground.game.	3600	in	ns	salvador.ns.porkbun.com.
0xbattleground.game.	900	in	nsec	0xbg.game. NS RRSIG NSEC
0xbattleground.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. pzYU/tRX8va4IPAm9MJAIXLGCEQCxaLPP3oKOgPLckIRpuvH0hVOLi6lYQAQO96Aq4gMFxAqNjt4yrhDlyR7GA==
0xbg.game.	3600	in	ns	curitiba.ns.porkbun.com.
0xbg.game.	3600	in	ns	fortaleza.ns.porkbun.com.
0xbg.game.	3600	in	ns	maceio.ns.porkbun.com.
0xbg.game.	3600	in	ns	salvador.ns.porkbun.com.
0xbg.game.	900	in	nsec	0xterminal.game. NS RRSIG NSEC
0xbg.game.	900	in	rrsig	NSEC 13 2 900 20250902000325 20250802223325 25267 game. DPrMNdlg87KfO2YKQLVWQqI+4Zgxfc08ad5YSPd0ao6OsohQYqsKYgejxIqv1rF7j5WJpCeSOC2Z1ATg0hwC8Q==
0xterminal.game.	3600	in	ns	ns-1320.awsdns-37.org.
0xterminal.game.	3600	in	ns	ns-1908.awsdns-46.co.uk.
0xterminal.game.	3600	in	ns	ns-266.awsdns-33.com.
0xterminal.game.	3600	in	ns	ns-875.awsdns-45.net.
0xterminal.game.	900	in	nsec	1.game. NS RRSIG NSEC
0xterminal.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. Lx1mcoU3tZh5qhN3zwk0y/3aYuglkjdePFQMO5YeKQ40eleqseGJyZjZLrNqxUyx7H5sG1/Z8AjD+R3ndbGC8A==
1-win.game.	3600	in	ns	patrick.ns.cloudflare.com.
1-win.game.	3600	in	ns	tori.ns.cloudflare.com.
1-win.game.	900	in	nsec	10.game. NS RRSIG NSEC
1-win.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. Vc47ol2So+n0h6Nv/+zN3sAvf88iYmMcVA/PKk/KuwMAY1qbYnuhnLK6mdiIzpw3QfyWCl1xaaMfJCH7plynwg==
1.game.	3600	in	ns	nadia.ns.cloudflare.com.
1.game.	3600	in	ns	stan.ns.cloudflare.com.
1.game.	900	in	nsec	1-win.game. NS RRSIG NSEC
1.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. xbMtP5NIEMpcjQ47vnU8F0K86s9L/bniuKk60ZSWeWM/C5ac7LA3X1Uq+3/L4YQvPyX8MbptJXlV8/aoAvp6KQ==
10.game.	3600	in	ns	aaron.ns.cloudflare.com.
10.game.	3600	in	ns	violet.ns.cloudflare.com.
10.game.	900	in	nsec	100.game. NS RRSIG NSEC
10.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. dJY6b2ochO70DtT+61W1xS1RPeVR1/rQjAsBNymqaUxHHKvUgFXlNmDedMVeDrssKxnlMqwolidY6Qm41eZsuw==
100.game.	3600	in	ns	dolly.ns.cloudflare.com.
100.game.	3600	in	ns	george.ns.cloudflare.com.
100.game.	900	in	nsec	1000.game. NS RRSIG NSEC
100.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. Z6fYbG+QRLoszQcQ1SCR0CAnXEC8OfW+ffF7Ir9/Tk73/eu8nZvC/faThusqeV2bVAQRQSqM5/zK6M7wwKfjWg==
1000.game.	3600	in	ns	duke.ns.cloudflare.com.
1000.game.	3600	in	ns	marlowe.ns.cloudflare.com.
1000.game.	900	in	nsec	1000boxes.game. NS RRSIG NSEC
1000.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. NYig8VZjbMT89cpc7cZ1Wkfos3xeRLqLC00tpxHc/GXCb8ZjB/PvUgFBi7zIOcrC0+JS8PEYz8Rp3349ESNGcQ==
1000boxes.game.	3600	in	ns	ns1.dreamhost.com.
1000boxes.game.	3600	in	ns	ns2.dreamhost.com.
1000boxes.game.	3600	in	ns	ns3.dreamhost.com.
1000boxes.game.	900	in	nsec	1000x.game. NS RRSIG NSEC
1000boxes.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. BBaEVTUN66Hi3xawx9X5bp9b30TpFfVBq8wTIO/JZwvb9sxsP5n+8ClN95GXs4QoxxPquzTCjHMgwk7biK+WHw==
1000x.game.	3600	in	ns	norah.ns.cloudflare.com.
1000x.game.	3600	in	ns	sam.ns.cloudflare.com.
1000x.game.	900	in	nsec	100hp.game. NS RRSIG NSEC
1000x.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. bQ2kOL5LyRGc4TTwaka1FXoEYnMHDTlr8RyknEnhgqor5tWupNHiMD3PShOn7eumozGtsrADtOB3cjY6O160IQ==
100hp.game.	3600	in	ns	mcgrory.ns.cloudflare.com.
100hp.game.	3600	in	ns	teagan.ns.cloudflare.com.
100hp.game.	900	in	nsec	100kuai.game. NS RRSIG NSEC
