010.berlin.	14400	in	ns	ns6.kasserver.com.
013.berlin.	14400	in	ns	docks07.rzone.de.
013.berlin.	14400	in	ns	shades09.rzone.de.
013z.berlin.	14400	in	ns	ns1028.ui-dns.org.
013z.berlin.	14400	in	ns	ns1055.ui-dns.com.
013z.berlin.	14400	in	ns	ns1069.ui-dns.biz.
013z.berlin.	14400	in	ns	ns1115.ui-dns.de.
0171.berlin.	14400	in	ns	ns5.kasserver.com.
0171.berlin.	14400	in	ns	ns6.kasserver.com.
0191a09kg7hebchce8aq4t0sffdc9sgb.berlin.	3600	in	nsec3	1 1 0 - 05O7FGUTMET2LI5VE7P2H87CO02M3538 NS DS RRSIG
0191a09kg7hebchce8aq4t0sffdc9sgb.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909062051 20250902072010 10974 berlin. islI/9BUL0SOUZjpLz6ZdWBy/ZVj/Gvx7/hdUQIcGl5VExXqegC59FizTrxdnPs0zD7tVDhiArg99XlrKL9a8ZE95SOgOFw/ErriFCNwrXQsV3I4FbOgxFuw8u2y/IsVlcoEe8cU/4mnr34tmkFilO+R8nhCr310uktep6HhSac=
02.berlin.	14400	in	ns	ns1.sedoparking.com.
02.berlin.	14400	in	ns	ns2.sedoparking.com.
030-datenrettung.berlin.	14400	in	ns	ns.inwx.de.
030-datenrettung.berlin.	14400	in	ns	ns2.inwx.de.
030-datenrettung.berlin.	14400	in	ns	ns3.inwx.eu.
030-it.berlin.	14400	in	ns	nsa2.schlundtech.de.
030-it.berlin.	14400	in	ns	nsb2.schlundtech.de.
030-it.berlin.	14400	in	ns	nsc2.schlundtech.de.
030-it.berlin.	14400	in	ns	nsd2.schlundtech.de.
030.berlin.	14400	in	ns	docks08.rzone.de.
030.berlin.	14400	in	ns	shades18.rzone.de.
030dj.berlin.	14400	in	ns	ns5.kasserver.com.
030dj.berlin.	14400	in	ns	ns6.kasserver.com.
030it.berlin.	14400	in	ns	nsa2.schlundtech.de.
030it.berlin.	14400	in	ns	nsb2.schlundtech.de.
030it.berlin.	14400	in	ns	nsc2.schlundtech.de.
030it.berlin.	14400	in	ns	nsd2.schlundtech.de.
05o7fgutmet2li5ve7p2h87co02m3538.berlin.	3600	in	nsec3	1 1 0 - 0674EQJHAKK1C5FBHD66MJGO298IO905 NS DS RRSIG
05o7fgutmet2li5ve7p2h87co02m3538.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909014338 20250902072010 10974 berlin. Lrx42BVC8TRMcRa4vBrw3ByrxwbPVRCTYF7+tngWPo9QPGgqGVFXuhpJ+9+Y+Y8YcNHnhESwI6fl/nV8waKcU1Pp2AS3df727OUWp9MOYrarlSCGpzbL9YWHa2Kr+F6ATsZloBDOnIcZyo4fW60ZRgHMlXntGzSNoZLP9e23eXo=
0674eqjhakk1c5fbhd66mjgo298io905.berlin.	3600	in	nsec3	1 1 0 - 06IAANVLGOCBICBU7JUFN0LHU8HPEBB6 NS DS RRSIG
0674eqjhakk1c5fbhd66mjgo298io905.berlin.	3600	in	rrsig	NSEC3 8 2 3600 20250909071237 20250902072010 10974 berlin. aB/Jrx1J+W+sta3r1ZvFBb0/xfaudkMSftaRyTzvtHB31702E32v6JzxZBUmWeeKatEusfyguu/vzF5GB46KOidDhGEtfuo3h9NrcLzTEm+Kvec2h5bZlofpdj4yLOge28dlJ4pWTJ+39Q3FPe8D6apItR/2wOimssm0ztqcWCY=
06iaanvlgocbicbu7jufn0lhu8hpebb6.berlin.	3600	in	nsec3	1 1 0 - 07JM4DGO82L6712AOHC8LMC85UCBS7CD NS DS RRSIG
