quebec.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2512271737 7200 7200 604800 900
006ah6igdoaf1ek62suivcsftookqd0a.quebec.	43200	in	nsec3	1 0 0 - 008FJ6E9O8IMC0CC1KER00M5U3KDV3D8 NS
006ah6igdoaf1ek62suivcsftookqd0a.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. gAwveBfH/zlWE9FFGT7kCSrXgXzJmdiwUPzTOZm/pJrPM89aaLHNQqu2jrEXUSh0tmTouGoCQLYL1VFLJMv7FSCMpuQnkpvv/c6LABJXrV9RnHDUfungQL3rbLvsNTKA/DZFZo5/8nQY/UqxZk8jH4TR5eThMX2EDWKxAsK8pLB6eQmYip1H9UdynO+i7zZKq5KKtIamwS8qvi7n3yONtQ==
008fj6e9o8imc0cc1ker00m5u3kdv3d8.quebec.	43200	in	nsec3	1 0 0 - 0095AH3DTJQ7CH58D1LAJVEEMV4T14HP NS
008fj6e9o8imc0cc1ker00m5u3kdv3d8.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. OlDs34qRR4b8pC4tmQ+x2T3kZKTZir89jofy+8PdKdUoowboGn1AUSDoFqA1+5oriMmFLrlOGnm7Du+pLgqWxfUvNiuHUjX3ecBGBRG5Ww2/zhI7/aFYdfoDWF4zmayLA02mXfJRZ+0l6kNlvPHfxwv+HSpZ+7ACxwU41qP4OtMBBWDLJVRZWwsvJ/J0i5kPH0j41ddIIQ+FrCJOxuwWiQ==
0095ah3dtjq7ch58d1lajveemv4t14hp.quebec.	43200	in	nsec3	1 0 0 - 00HG17KTOU023DG785SLA74IV81K2BRS NS
0095ah3dtjq7ch58d1lajveemv4t14hp.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. x0YrXz9KcY0to5LWBE1LdHVHZqWjbPNIysl1rwcjmdF9tSXka10EBZ4BWBR7aPubDaP9jXYwTHVPnKLv+xTIgRZuPnWKuhV9EAq2Snh/oh6V9CDAGv1xM2kJyjDESPAaMntMqSl2Inyezrt96snMb+vPK6EIAd6nj9tEqH36TkU5x5onT6IBRJEElAG6JFUFNb4jxLvXAWkU1yVQUxq1+Q==
00hg17ktou023dg785sla74iv81k2brs.quebec.	43200	in	nsec3	1 0 0 - 00KFTUQL8KQCI4PAO0TATV4Q501MJ35P NS
00hg17ktou023dg785sla74iv81k2brs.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. OqhmLyZjkCX9cEGYsjDTtrjH7hryQLXJ0hZw0qn35USZaB16jk88YMpuxNgoXTt2VsN3EkhaSTEm1CSkg2kBiRDQFQvBuBbl4uBoDZNr6tOsWuzrVtaCftkPKiJzCDSMG+Bn1lXVmzPp9XZnBu/uY2qLeTCk+fbKl1CB1L+pjKOV4d02zTZZ1df15j+bPpTGq50pqPsfRQeK9rIY0MT0yA==
00kftuql8kqci4pao0tatv4q501mj35p.quebec.	43200	in	nsec3	1 0 0 - 00QBT0HECQGLA4SSC74330P5O21BRO9T NS DS RRSIG
00kftuql8kqci4pao0tatv4q501mj35p.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. IVUIsHMisVSsMe1HtdrRNTq/PoBgjriTsqHPWpc9sEeZygcBCeLw+CfYlD5wUvZ2+pFsO/Sk8EJtawKtlS5lCNZ9B3AXcSGZKqvmQ8fBnKYi6Qmkh1ezWNCvkn7SycHQzhm/EF3MOuNlpTKGr7PsHFVKNy+vDCpDhZBhXb9C49gIy4HeDLrTC4IIKhiCDAlc1AOEtvkHwtyDC9GoLNlp7w==
00qbt0hecqgla4ssc74330p5o21bro9t.quebec.	43200	in	nsec3	1 0 0 - 00U8NNTJOO7OOQHBRTBCA5G4SCS8L4FO NS
00qbt0hecqgla4ssc74330p5o21bro9t.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. aU3Pr2E5LG0qxu8rl7AViKrZRrXAhOfDDyupaXLws7OXMtCddgcp1HP6hsfShdHcQPpIhdJpq/0//OXEUSRgjEnhyK6spDghgUzzhlw1ZGKJhvWKqhTAuHmCLQnbduYFoeVDg/Pb5tc0m2eweMm+PeUwnbhZwpnLhjE+8zyE1o0hB20I8oaPlLF+kuqxPSKxZQ82YLmQyCXem003ZTbTHA==
00u8nntjoo7ooqhbrtbca5g4scs8l4fo.quebec.	43200	in	nsec3	1 0 0 - 019VI77JES52MH3H7UPLHSAQB7PTC83I NS DS RRSIG
00u8nntjoo7ooqhbrtbca5g4scs8l4fo.quebec.	43200	in	rrsig	NSEC3 10 2 43200 20260105003046 20251222003046 33447 quebec. O67aZJZYkBbFTvkchop5QkomyGBSegi7UgzCH3rtvheixwdx6/u0vHGlXQRKBq2ImhnGwUZWj3PaSjrPpwtgGUJTsg0CZKy3zgMAHNOw2fpdITuhqh6XzoYP4X3YyXW3ry0DEi6bplv0THpxCh2s+K2qbD+KH1LyBQOooDSfRvo/KkO730+RHWv+mhq260MkyToRV0wBHu0KONHHpBo2Nw==
019vi77jes52mh3h7uplhsaqb7ptc83i.quebec.	43200	in	nsec3	1 0 0 - 01JLQ566F75T9CFBBH1U3D4R7KHV3MP0 NS
