cks.sky.	172800	in	ns	ns1.isp.sky.com.
cloud.sky.	172800	in	ns	edns1.ultradns.biz.
cloud.sky.	172800	in	ns	edns1.ultradns.com.
cloud.sky.	172800	in	ns	edns1.ultradns.net.
cloud.sky.	172800	in	ns	edns1.ultradns.org.
cloud.sky.	172800	in	ns	ns0.isp.sky.com.
cloud.sky.	172800	in	ns	ns1.isp.sky.com.
condatis.sky.	172800	in	ns	edns1.ultradns.biz.
condatis.sky.	172800	in	ns	edns1.ultradns.com.
condatis.sky.	172800	in	ns	edns1.ultradns.net.
condatis.sky.	172800	in	ns	edns1.ultradns.org.
condatis.sky.	172800	in	ns	ns0.isp.sky.com.
condatis.sky.	172800	in	ns	ns1.isp.sky.com.
contact.sky.	172800	in	ns	edns1.ultradns.biz.
contact.sky.	172800	in	ns	edns1.ultradns.com.
contact.sky.	172800	in	ns	edns1.ultradns.net.
contact.sky.	172800	in	ns	edns1.ultradns.org.
contact.sky.	172800	in	ns	ns0.isp.sky.com.
contact.sky.	172800	in	ns	ns1.isp.sky.com.
content.sky.	172800	in	ns	edns1.ultradns.biz.
content.sky.	172800	in	ns	edns1.ultradns.com.
content.sky.	172800	in	ns	edns1.ultradns.net.
content.sky.	172800	in	ns	edns1.ultradns.org.
content.sky.	172800	in	ns	ns0.isp.sky.com.
content.sky.	172800	in	ns	ns1.isp.sky.com.
cosmic.sky.	172800	in	ns	ns-1286.awsdns-32.org.
cosmic.sky.	172800	in	ns	ns-1718.awsdns-22.co.uk.
cosmic.sky.	172800	in	ns	ns-404.awsdns-50.com.
cosmic.sky.	172800	in	ns	ns-615.awsdns-12.net.
creative.sky.	172800	in	ns	edns1.ultradns.biz.
creative.sky.	172800	in	ns	edns1.ultradns.com.
creative.sky.	172800	in	ns	edns1.ultradns.net.
creative.sky.	172800	in	ns	edns1.ultradns.org.
creative.sky.	172800	in	ns	ns0.isp.sky.com.
creative.sky.	172800	in	ns	ns1.isp.sky.com.
csg.sky.	172800	in	ns	edns1.ultradns.biz.
csg.sky.	172800	in	ns	edns1.ultradns.com.
csg.sky.	172800	in	ns	edns1.ultradns.net.
csg.sky.	172800	in	ns	edns1.ultradns.org.
csg.sky.	172800	in	ns	ns0.isp.sky.com.
csg.sky.	172800	in	ns	ns1.isp.sky.com.
csgcompetitions.sky.	172800	in	ns	asia2.akam.net.
csgcompetitions.sky.	172800	in	ns	asia3.akam.net.
csgcompetitions.sky.	172800	in	ns	eur6.akam.net.
