mma.	3600	in	soa	a.nic.fr. dnsmaster.afnic.fr. 2222893344 3600 1800 1209600 600
abbeville.mma.	3600	in	ns	ns1.iptwins.net.
abbeville.mma.	3600	in	ns	ns2.iptwins.net.
abbeville.mma.	3600	in	ns	ns3.iptwins.com.
abbeville.mma.	3600	in	ns	ns4.iptwins.com.
agde.mma.	3600	in	ns	ns1.iptwins.net.
agde.mma.	3600	in	ns	ns2.iptwins.net.
agde.mma.	3600	in	ns	ns3.iptwins.com.
agde.mma.	3600	in	ns	ns4.iptwins.com.
agen-jean-jaures.mma.	3600	in	ns	ns1.iptwins.net.
agen-jean-jaures.mma.	3600	in	ns	ns2.iptwins.net.
agen-jean-jaures.mma.	3600	in	ns	ns3.iptwins.com.
agen-jean-jaures.mma.	3600	in	ns	ns4.iptwins.com.
ahun.mma.	3600	in	ns	ns1.iptwins.net.
ahun.mma.	3600	in	ns	ns2.iptwins.net.
ahun.mma.	3600	in	ns	ns3.iptwins.com.
ahun.mma.	3600	in	ns	ns4.iptwins.com.
aigre.mma.	3600	in	ns	ns1.iptwins.net.
aigre.mma.	3600	in	ns	ns2.iptwins.net.
aigre.mma.	3600	in	ns	ns3.iptwins.com.
aigre.mma.	3600	in	ns	ns4.iptwins.com.
aigrefeuille-d-aunis.mma.	3600	in	ns	ns1.iptwins.net.
aigrefeuille-d-aunis.mma.	3600	in	ns	ns2.iptwins.net.
aigrefeuille-d-aunis.mma.	3600	in	ns	ns3.iptwins.com.
aigrefeuille-d-aunis.mma.	3600	in	ns	ns4.iptwins.com.
aigrefeuille-sur-maine.mma.	3600	in	ns	ns1.iptwins.net.
aigrefeuille-sur-maine.mma.	3600	in	ns	ns2.iptwins.net.
aigrefeuille-sur-maine.mma.	3600	in	ns	ns3.iptwins.com.
aigrefeuille-sur-maine.mma.	3600	in	ns	ns4.iptwins.com.
aiguillon.mma.	3600	in	ns	ns1.iptwins.net.
aiguillon.mma.	3600	in	ns	ns2.iptwins.net.
aiguillon.mma.	3600	in	ns	ns3.iptwins.com.
aiguillon.mma.	3600	in	ns	ns4.iptwins.com.
aigurande.mma.	3600	in	ns	ns1.iptwins.net.
aigurande.mma.	3600	in	ns	ns2.iptwins.net.
aigurande.mma.	3600	in	ns	ns3.iptwins.com.
aigurande.mma.	3600	in	ns	ns4.iptwins.com.
aix-en-provence-allee-provencale.mma.	3600	in	ns	ns1.iptwins.net.
aix-en-provence-allee-provencale.mma.	3600	in	ns	ns2.iptwins.net.
aix-en-provence-allee-provencale.mma.	3600	in	ns	ns3.iptwins.com.
aix-en-provence-allee-provencale.mma.	3600	in	ns	ns4.iptwins.com.
aix-en-provence-bredasque.mma.	3600	in	ns	ns1.iptwins.net.
aix-en-provence-bredasque.mma.	3600	in	ns	ns2.iptwins.net.
aix-en-provence-bredasque.mma.	3600	in	ns	ns3.iptwins.com.
aix-en-provence-bredasque.mma.	3600	in	ns	ns4.iptwins.com.
aix-en-provence-les-milles.mma.	3600	in	ns	ns1.iptwins.net.
aix-en-provence-les-milles.mma.	3600	in	ns	ns2.iptwins.net.
aix-en-provence-les-milles.mma.	3600	in	ns	ns3.iptwins.com.
aix-en-provence-les-milles.mma.	3600	in	ns	ns4.iptwins.com.
aix-en-provence-mairie.mma.	3600	in	ns	ns1.iptwins.net.
aix-en-provence-mairie.mma.	3600	in	ns	ns2.iptwins.net.
aix-en-provence-mairie.mma.	3600	in	ns	ns3.iptwins.com.
aix-en-provence-mairie.mma.	3600	in	ns	ns4.iptwins.com.
aix-les-bains.mma.	3600	in	ns	ns1.iptwins.net.
aix-les-bains.mma.	3600	in	ns	ns2.iptwins.net.
aix-les-bains.mma.	3600	in	ns	ns3.iptwins.com.
aix-les-bains.mma.	3600	in	ns	ns4.iptwins.com.
aix-villemaur-palis.mma.	3600	in	ns	ns1.iptwins.net.
aix-villemaur-palis.mma.	3600	in	ns	ns2.iptwins.net.
aix-villemaur-palis.mma.	3600	in	ns	ns3.iptwins.com.
aix-villemaur-palis.mma.	3600	in	ns	ns4.iptwins.com.
aizenay.mma.	3600	in	ns	ns1.iptwins.net.
aizenay.mma.	3600	in	ns	ns2.iptwins.net.
aizenay.mma.	3600	in	ns	ns3.iptwins.com.
aizenay.mma.	3600	in	ns	ns4.iptwins.com.
ajaccio.mma.	3600	in	ns	ns1.iptwins.net.
ajaccio.mma.	3600	in	ns	ns2.iptwins.net.
ajaccio.mma.	3600	in	ns	ns3.iptwins.com.
ajaccio.mma.	3600	in	ns	ns4.iptwins.com.
albert.mma.	3600	in	ns	ns1.iptwins.net.
albert.mma.	3600	in	ns	ns2.iptwins.net.
albert.mma.	3600	in	ns	ns3.iptwins.com.
albert.mma.	3600	in	ns	ns4.iptwins.com.
albertville-chasseurs-alpins.mma.	3600	in	ns	ns1.iptwins.net.
albertville-chasseurs-alpins.mma.	3600	in	ns	ns2.iptwins.net.
albertville-chasseurs-alpins.mma.	3600	in	ns	ns3.iptwins.com.
albertville-chasseurs-alpins.mma.	3600	in	ns	ns4.iptwins.com.
albertville-commandant-dubois.mma.	3600	in	ns	ns1.iptwins.net.
albertville-commandant-dubois.mma.	3600	in	ns	ns2.iptwins.net.
albertville-commandant-dubois.mma.	3600	in	ns	ns3.iptwins.com.
albertville-commandant-dubois.mma.	3600	in	ns	ns4.iptwins.com.
albi.mma.	3600	in	ns	ns1.iptwins.net.
albi.mma.	3600	in	ns	ns2.iptwins.net.
albi.mma.	3600	in	ns	ns3.iptwins.com.
albi.mma.	3600	in	ns	ns4.iptwins.com.
alencon-aerodrome-pyramide.mma.	3600	in	ns	ns1.iptwins.net.
alencon-aerodrome-pyramide.mma.	3600	in	ns	ns2.iptwins.net.
alencon-aerodrome-pyramide.mma.	3600	in	ns	ns3.iptwins.com.
alencon-aerodrome-pyramide.mma.	3600	in	ns	ns4.iptwins.com.
alencon-basilique.mma.	3600	in	ns	ns1.iptwins.net.
alencon-basilique.mma.	3600	in	ns	ns2.iptwins.net.
alencon-basilique.mma.	3600	in	ns	ns3.iptwins.com.
alencon-basilique.mma.	3600	in	ns	ns4.iptwins.com.
ales-mairie.mma.	3600	in	ns	ns1.iptwins.net.
ales-mairie.mma.	3600	in	ns	ns2.iptwins.net.
ales-mairie.mma.	3600	in	ns	ns3.iptwins.com.
ales-mairie.mma.	3600	in	ns	ns4.iptwins.com.
ales-rocade-est.mma.	3600	in	ns	ns1.iptwins.net.
ales-rocade-est.mma.	3600	in	ns	ns2.iptwins.net.
ales-rocade-est.mma.	3600	in	ns	ns3.iptwins.com.
ales-rocade-est.mma.	3600	in	ns	ns4.iptwins.com.
ales-saint-jean.mma.	3600	in	ns	ns1.iptwins.net.
ales-saint-jean.mma.	3600	in	ns	ns2.iptwins.net.
ales-saint-jean.mma.	3600	in	ns	ns3.iptwins.com.
ales-saint-jean.mma.	3600	in	ns	ns4.iptwins.com.
alfortville.mma.	3600	in	ns	ns1.iptwins.net.
alfortville.mma.	3600	in	ns	ns2.iptwins.net.
alfortville.mma.	3600	in	ns	ns3.iptwins.com.
alfortville.mma.	3600	in	ns	ns4.iptwins.com.
allassac.mma.	3600	in	ns	ns1.iptwins.net.
allassac.mma.	3600	in	ns	ns2.iptwins.net.
allassac.mma.	3600	in	ns	ns3.iptwins.com.
allassac.mma.	3600	in	ns	ns4.iptwins.com.
allonnes.mma.	3600	in	ns	ns1.iptwins.net.
allonnes.mma.	3600	in	ns	ns2.iptwins.net.
allonnes.mma.	3600	in	ns	ns3.iptwins.com.
allonnes.mma.	3600	in	ns	ns4.iptwins.com.
altkirch.mma.	3600	in	ns	ns1.iptwins.net.
altkirch.mma.	3600	in	ns	ns2.iptwins.net.
altkirch.mma.	3600	in	ns	ns3.iptwins.com.
altkirch.mma.	3600	in	ns	ns4.iptwins.com.
amberieu-en-bugey.mma.	3600	in	ns	ns1.iptwins.net.
amberieu-en-bugey.mma.	3600	in	ns	ns2.iptwins.net.
amberieu-en-bugey.mma.	3600	in	ns	ns3.iptwins.com.
amberieu-en-bugey.mma.	3600	in	ns	ns4.iptwins.com.
ambert.mma.	3600	in	ns	ns1.iptwins.net.
ambert.mma.	3600	in	ns	ns2.iptwins.net.
ambert.mma.	3600	in	ns	ns3.iptwins.com.
ambert.mma.	3600	in	ns	ns4.iptwins.com.
amboise.mma.	3600	in	ns	ns1.iptwins.net.
amboise.mma.	3600	in	ns	ns2.iptwins.net.
amboise.mma.	3600	in	ns	ns3.iptwins.com.
amboise.mma.	3600	in	ns	ns4.iptwins.com.
ambrault.mma.	3600	in	ns	ns1.iptwins.net.
ambrault.mma.	3600	in	ns	ns2.iptwins.net.
ambrault.mma.	3600	in	ns	ns3.iptwins.com.
ambrault.mma.	3600	in	ns	ns4.iptwins.com.
ambrieres-les-vallees.mma.	3600	in	ns	ns1.iptwins.net.
ambrieres-les-vallees.mma.	3600	in	ns	ns2.iptwins.net.
ambrieres-les-vallees.mma.	3600	in	ns	ns3.iptwins.com.
ambrieres-les-vallees.mma.	3600	in	ns	ns4.iptwins.com.
