4v2fi1vmn88o3oa2jqesboh6dra6v916.xn--9dbq2a.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 1611 xn--9dbq2a. SxKYjVGSziNeWoFdmSWsc50yJDfMHFFAv20aWxiym53uje4oYT7ppogREaAoMmIokN9oYlIkAnE0qn/mH8PeYB51iujP0vWI9BLxEDwj6vWUXq2+lgks+3FJYQJXgbILXWvthHzc+NPI7LE7Jl9IWtFYcDlKiGmZftFYOREEvQUWH5gCDIbiFkW6QAxizGW/PghSLijMxGur7iG5PAkCKA==
5.xn--9dbq2a.	172800	in	ns	ns1.digitaleel.com.
5.xn--9dbq2a.	172800	in	ns	ns2.digitaleel.com.
5mj0ge4ill689sta16oca1a116i49tsd.xn--9dbq2a.	86400	in	nsec3	1 1 0 - GHC7N39A9GMDFH1NRBHU6AKTVBEQ27C6 NS SOA RRSIG DNSKEY NSEC3PARAM
5mj0ge4ill689sta16oca1a116i49tsd.xn--9dbq2a.	86400	in	rrsig	NSEC3 8 2 86400 20250901142407 20250825142407 1611 xn--9dbq2a. TsLi8hO7QvhoScNsYcmLHM0xFTgNLt2vHRNOfEtdVpUkU+MEDqp7VWAHLhPvPklqFUEgv4N36nBtfZNME07BdD7aJ/d7PVWy0uvP99J2pazXbOfzGabljihLYYaGkDfB4X34XG7LMHJdPaSxQWct9UfXgaikuC0megw0rSpCmKgZwR7G0VH9ltw22I/pKN6wyfwmJS5s7PJIIOdVOAoTYw==
6.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
6.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
7.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
7.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
8.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
8.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
888.xn--9dbq2a.	172800	in	ns	ns1.dtnt.info.
888.xn--9dbq2a.	172800	in	ns	ns2.dtnt.info.
9.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
9.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
a.xn--9dbq2a.	172800	in	ns	ns1.101domain.com.
