12bet.vote.	3600	in	ns	violet.ns.cloudflare.com.
13newyork.vote.	3600	in	ns	ns.myhosting.com.
13newyork.vote.	3600	in	ns	ns1.myhosting.com.
13newyork.vote.	3600	in	ns	ns2.myhosting.com.
13ny.vote.	3600	in	ns	ns1.101domain.com.
13ny.vote.	3600	in	ns	ns2.101domain.com.
13ny.vote.	3600	in	ns	ns5.101domain.com.
13thny.vote.	3600	in	ns	ns.myhosting.com.
13thny.vote.	3600	in	ns	ns1.myhosting.com.
13thny.vote.	3600	in	ns	ns2.myhosting.com.
1776.vote.	3600	in	ns	ns05.domaincontrol.com.
1776.vote.	3600	in	ns	ns06.domaincontrol.com.
188bet.vote.	3600	in	ns	chloe.ns.cloudflare.com.
188bet.vote.	3600	in	ns	elliot.ns.cloudflare.com.
18by.vote.	3600	in	ns	ns1.dyna-ns.net.
18by.vote.	3600	in	ns	ns2.dyna-ns.net.
18tirjjrk7f8kgkt835hckcgh1ftl18d.vote.	3600	in	nsec3	1 1 0 73 1RBSUJVH3RGEISMOV2HEM8BU8G6EQP5F NS DS RRSIG
18tirjjrk7f8kgkt835hckcgh1ftl18d.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. Y5LQsUcEuIczSEKq/jyRHMSPmz8UrwNzBzqfFHkV1rGmgW0NojAWVuNWok5jxO8ynJvUKVs3lGKBP1f655g2PFYhP/PrqUCl9BeXn0fSe55UtVqnmyLz1Soh8yozRRk7ix+gKOfinRrtzvIpD1XpQ7pAWZO0K7UtIYX3cmCVB0o=
1980.vote.	3600	in	ns	ns2.wixdns.net.
1980.vote.	3600	in	ns	ns3.wixdns.net.
1980coalition.vote.	3600	in	ns	ns2.wixdns.net.
1980coalition.vote.	3600	in	ns	ns3.wixdns.net.
1madrasrockers.vote.	3600	in	ns	edna.ns.cloudflare.com.
1madrasrockers.vote.	3600	in	ns	lex.ns.cloudflare.com.
1more.vote.	3600	in	ns	ns23.domaincontrol.com.
1more.vote.	3600	in	ns	ns24.domaincontrol.com.
1person1vote.vote.	3600	in	ns	ns21.domaincontrol.com.
1person1vote.vote.	3600	in	ns	ns22.domaincontrol.com.
1rbsujvh3rgeismov2hem8bu8g6eqp5f.vote.	3600	in	nsec3	1 1 0 73 1U0T7UIR1P6BBAS282FBOT671L5523ET NS DS RRSIG
1rbsujvh3rgeismov2hem8bu8g6eqp5f.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. om8J6cqtqxacmHrJYgsoXGqMsYJEUdUFiyWF0In0Pq0eWU0jR6QpBwuIJRYjuo3lDKpTdQLDPDILOvcNdOYeoMHGrPNvdfEmHcd4VwMSVbi7E+zdaICPl5rGFWC1uNB1n2MUUL2BiKeYDTnsWopG7a/DcGCoUPBAg3fjRDNjh1c=
1s2s.vote.	3600	in	ns	ns1.dnsip.com.
1s2s.vote.	3600	in	ns	ns2.dnsip.com.
1s2sa.vote.	3600	in	ns	n1.xundns.com.
1s2sa.vote.	3600	in	ns	n2.xundns.com.
1st.vote.	3600	in	ns	ns67.domaincontrol.com.
1st.vote.	3600	in	ns	ns68.domaincontrol.com.
1tamilyogi.vote.	3600	in	ns	irena.ns.cloudflare.com.
1tamilyogi.vote.	3600	in	ns	memphis.ns.cloudflare.com.
1tim22.vote.	3600	in	ds	43247 8 2 D9D5D771018D40AB7A522DF60FE151EC84DDC4299066CA0563FB2AE0BDE31851
1tim22.vote.	3600	in	ns	ns-cloud-b1.googledomains.com.
1tim22.vote.	3600	in	ns	ns-cloud-b2.googledomains.com.
1tim22.vote.	3600	in	ns	ns-cloud-b3.googledomains.com.
1tim22.vote.	3600	in	ns	ns-cloud-b4.googledomains.com.
1tim22.vote.	3600	in	rrsig	DS 8 2 3600 20250916151912 20250826141912 61944 vote. mrt/MXh4UK11d+1p9P6BBBh9SOVsJV8RKBrVR1T47HaTc2Xjfud/tGSVGQ7Fs3d4CTWYQRddtYyJ0LnQsqm0DNUyAweU8Y9gAAnPHS5CCOlt/2/cCe7PbC1jwHMeB6KXDb/X1eLyeaUfpZ2gwR2jURcF4Uy1C2HWpCx5mLJTapk=
1u0t7uir1p6bbas282fbot671l5523et.vote.	3600	in	nsec3	1 1 0 73 1U90U9PHTREIOULEMVETU43LJ08SA4OH NS DS RRSIG
1u0t7uir1p6bbas282fbot671l5523et.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. J+PZsKzJ7fXXgxYzmgODqONiJJlEG7ebnIbBsiYnQvMraJKJcvc/dvFipY63iNJxJgFBwuMTaiHToleWtLS1Faq88SLOrgmzXedUZsSC44qFuVS8vJRw4ZsUSIzbbB/ugm1D1wNJ03Pe+60w9CPpeu/q8osIu9l6OHeABje6L4U=
1u90u9phtreioulemvetu43lj08sa4oh.vote.	3600	in	nsec3	1 1 0 73 1VIG47CJEAQM0PRLLBVDI5MPUD0H5MKJ NS DS RRSIG
1u90u9phtreioulemvetu43lj08sa4oh.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. XLfm17WMKVSQ9VTFNL/jTs97lbxs+hC6KApmGk6bKzNJWJrpEru+aL8mRK/O+96iUE1NdqqwhA3l58+77LbVmjvUJeuc4JfZqVsUBgmUb33D85sf1rDGEMZacE4xk5aYsBN6o1bunkBUVHpTMTKo9PXzzTm7qF2s9ByHpcJV5wQ=
1vig47cjeaqm0prllbvdi5mpud0h5mkj.vote.	3600	in	nsec3	1 1 0 73 20N2BQLVBEQAL8Q8D5407DNMSQP24LGF NS DS RRSIG
1vig47cjeaqm0prllbvdi5mpud0h5mkj.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. ZnS1pg9glkaUF/XU47N0fAHX5eYS8uTS9ZTR44OZXH+zOIa4SkdzqoJoBLQZDEsn5ch6F9y7Xb2LfpD6Gd2RZyI2qQWTlQvXbKWm1oqFm5Hj6+Yu8vCMLFzs7kvMKBbwIkV49UIp/9aJfn5VKx1V2qKuZAzlWpvuQFOu//hknJA=
1xbet.vote.	3600	in	ns	ns1.dns-redirect.com.
1xbet.vote.	3600	in	ns	ns2.dns-redirect.com.
2019.vote.	3600	in	ns	pam.ns.cloudflare.com.
2019.vote.	3600	in	ns	venkat.ns.cloudflare.com.
2024-harriskelly.vote.	3600	in	ns	ns01.domaincontrol.com.
2024-harriskelly.vote.	3600	in	ns	ns02.domaincontrol.com.
2024.vote.	3600	in	ns	dns1.registrar-servers.com.
2024.vote.	3600	in	ns	dns2.registrar-servers.com.
2024harris-beshear.vote.	3600	in	ns	ns69.domaincontrol.com.
2024harris-beshear.vote.	3600	in	ns	ns70.domaincontrol.com.
2024harris-buttigieg.vote.	3600	in	ns	ns31.domaincontrol.com.
2024harris-buttigieg.vote.	3600	in	ns	ns32.domaincontrol.com.
2024harris-cooper.vote.	3600	in	ns	ns27.domaincontrol.com.
2024harris-cooper.vote.	3600	in	ns	ns28.domaincontrol.com.
2024harris-kelly.vote.	3600	in	ns	ns27.domaincontrol.com.
2024harris-kelly.vote.	3600	in	ns	ns28.domaincontrol.com.
2024harris-walz.vote.	3600	in	ns	ns57.domaincontrol.com.
2024harris-walz.vote.	3600	in	ns	ns58.domaincontrol.com.
2024harriscooper.vote.	3600	in	ns	ns25.domaincontrol.com.
2024harriscooper.vote.	3600	in	ns	ns26.domaincontrol.com.
2024harriskelly.vote.	3600	in	ns	ns25.domaincontrol.com.
2024harriskelly.vote.	3600	in	ns	ns26.domaincontrol.com.
2024trump-vance.vote.	3600	in	ns	ns25.domaincontrol.com.
2024trump-vance.vote.	3600	in	ns	ns26.domaincontrol.com.
2025.vote.	3600	in	ns	ns01.domaincontrol.com.
2025.vote.	3600	in	ns	ns02.domaincontrol.com.
2025pussyproject.vote.	3600	in	ns	ns69.domaincontrol.com.
2025pussyproject.vote.	3600	in	ns	ns70.domaincontrol.com.
2026.vote.	3600	in	ns	ns1bqx.name.com.
2026.vote.	3600	in	ns	ns2bls.name.com.
2026.vote.	3600	in	ns	ns3dgr.name.com.
2026.vote.	3600	in	ns	ns4cjp.name.com.
2027.vote.	3600	in	ns	ns1bqx.name.com.
2027.vote.	3600	in	ns	ns2bls.name.com.
2027.vote.	3600	in	ns	ns3dgr.name.com.
2027.vote.	3600	in	ns	ns4cjp.name.com.
2028.vote.	3600	in	ns	dns1.registrar-servers.com.
2028.vote.	3600	in	ns	dns2.registrar-servers.com.
2029.vote.	3600	in	ns	ns01.trademarkarea.com.
2029.vote.	3600	in	ns	ns02.trademarkarea.com.
2029.vote.	3600	in	ns	ns03.trademarkarea.com.
203.vote.	3600	in	ds	36465 13 2 929B682C008EDF821F0A83AD7E626FB907563D651B24646D8C4C28323EACB2BF
203.vote.	3600	in	ns	ns1-08.azure-dns.com.
203.vote.	3600	in	ns	ns2-08.azure-dns.net.
203.vote.	3600	in	ns	ns3-08.azure-dns.org.
203.vote.	3600	in	ns	ns4-08.azure-dns.info.
203.vote.	3600	in	rrsig	DS 8 2 3600 20250916151912 20250826141912 61944 vote. EtyQ9RkjOXDsooLlZ3Ojq9uGTwicuLHcPUMQ3z3GEdNDGr5+cuUjozrr5tm3dqMwmSU/qMwJNXrp8pCaCl4UfgrLNk6xbpgSEotPq5/2iacU1B0vJFJNw17nbGQNhBfQ81vJoESme4tTT9bUNgxePEUSFc8kKBFs+t0NKxKvviA=
2030.vote.	3600	in	ns	ns77.domaincontrol.com.
2030.vote.	3600	in	ns	ns78.domaincontrol.com.
2032.vote.	3600	in	ns	ns05.domaincontrol.com.
2032.vote.	3600	in	ns	ns06.domaincontrol.com.
2040.vote.	3600	in	ns	ns07.domaincontrol.com.
2040.vote.	3600	in	ns	ns08.domaincontrol.com.
2052.vote.	3600	in	ns	dns1.registrar-servers.com.
2052.vote.	3600	in	ns	dns2.registrar-servers.com.
20n2bqlvbeqal8q8d5407dnmsqp24lgf.vote.	3600	in	nsec3	1 1 0 73 218V2PQS8E9JSQPF5J2GAJMU7QIVDVUU NS DS RRSIG
20n2bqlvbeqal8q8d5407dnmsqp24lgf.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. lNKe4aPPmEvSm5/H1/6tTQEYAfEq3eBiDkjf8kdQSALYwkB5e/zU8D/bShW29sHpyZPLITc5eMh5QI5PgYOqdBUlOBxSr0dsz7hu49dfllsDk11wFWaD4NTtv9PQBSFvlPsEi3tf0+2ciD1qYFBungxqog7hO81boPTzKm89OBY=
218v2pqs8e9jsqpf5j2gajmu7qivdvuu.vote.	3600	in	nsec3	1 1 0 73 233V78MF5GQVL3IB6M32I8K58REA5R52 NS DS RRSIG
218v2pqs8e9jsqpf5j2gajmu7qivdvuu.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. WunM0QTxzreFW2ksVj8dSibgwuVRNxJrKsoMeInl6VAM7kEUeEDaI/s8J6Stg1zjy8VfuhMicfLQWmDqkh23yHmQxQKglhcLEjVGch2GEnI0b6ccogQ8ezpp80HC8rVGoYjTPYcFl+MAlVSF0pRxEHi58nvNYmuXwUan8AZ9M+o=
222.vote.	3600	in	ns	ns1.dns-redirect.com.
222.vote.	3600	in	ns	ns2.dns-redirect.com.
222bcw2b-mt4-4.vote.	3600	in	ns	ns1.dyna-ns.net.
222bcw2b-mt4-4.vote.	3600	in	ns	ns2.dyna-ns.net.
233v78mf5gqvl3ib6m32i8k58rea5r52.vote.	3600	in	nsec3	1 1 0 73 24O2KO4GPVF6TCG9I2OMU1SH2A3J7U37 NS DS RRSIG
233v78mf5gqvl3ib6m32i8k58rea5r52.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. hOk28Ismx/+8mV0oSmFZCVntCTfVAcZ7/lXfRyrpIjte2gHLwV1EIjJdanUSc2A/5h0fP1QSfnxbB76KBxoSRW7kwnu2VJZYULhW6v5wf4pXrpAUr68rvN5Gw/grISHgwlFfzsNSRYoP4zaqmiuPQqJYudBgpGa0ZDq1FnWla+I=
237.vote.	3600	in	ns	ns35.domaincontrol.com.
237.vote.	3600	in	ns	ns36.domaincontrol.com.
23win.vote.	3600	in	ns	aitana.ns.cloudflare.com.
23win.vote.	3600	in	ns	chase.ns.cloudflare.com.
24.vote.	3600	in	ns	ns1.zoclouds.com.
24.vote.	3600	in	ns	ns2.zoclouds.com.
241.vote.	3600	in	ns	ns43.domaincontrol.com.
241.vote.	3600	in	ns	ns44.domaincontrol.com.
247.vote.	3600	in	ns	ns1.bodis.com.
247.vote.	3600	in	ns	ns2.bodis.com.
24gop.vote.	3600	in	ns	ns1.tinyurl.com.
24gop.vote.	3600	in	ns	ns2.tinyurl.com.
24gop.vote.	3600	in	ns	ns3.tinyurl.com.
24gop.vote.	3600	in	ns	ns4.tinyurl.com.
24o2ko4gpvf6tcg9i2omu1sh2a3j7u37.vote.	3600	in	nsec3	1 1 0 73 263E4SUEF8UVVM8N8ISFJ8VSHHPDKIEU NS DS RRSIG
24o2ko4gpvf6tcg9i2omu1sh2a3j7u37.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. iKX07NXo0MkGt7VRD+yFxfwHrgsdAxv0wVe2ZsyIHMKCUWS5WdVZyr2JxnCEhdz5QdgQPfZOGt14P7uH/AwUnTD0FzsuxCyoIwDJ1ByiPz6k1SIqZic48Xp9gr2z5N1USCkvVHGA9dD2HNXIIStvKzrC5Z9jN/4nEl8CsVohtl4=
263e4suef8uvvm8n8isfj8vshhpdkieu.vote.	3600	in	nsec3	1 1 0 73 268OA7I4DC9QPL9LCUEUD99TTPLPC7QH NS DS RRSIG
263e4suef8uvvm8n8isfj8vshhpdkieu.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. nCIreMHR4OrRVSPK29PtAZc5K7DICXIL4Jdv+Ia9PE1JsJiDU398A9+D/0sl++2meTBh7/sMa1o20w1tOzRN1SWsVshgBywMZEopKfrk8GpRj2WiqeQdAuVKvUHGCkoPd0RB3Y37FOkUNM8PHsu/Z0KS9Jm+YzUDFYgvl/XQzF4=
268oa7i4dc9qpl9lcueud99ttplpc7qh.vote.	3600	in	nsec3	1 1 0 73 26TV01DV5RJVK6B9Q3AUFERTUFLA1SBO NS DS RRSIG
268oa7i4dc9qpl9lcueud99ttplpc7qh.vote.	3600	in	rrsig	NSEC3 8 2 3600 20250916151912 20250826141912 61944 vote. Ayv12fu9Cq7U3yWfC8/de3kHEjRL3INaypi14Qzb6rNJhoLXkfMEjChQYnIoxaGkepIffCyVWLk+XsBJOVYJyjTjvTOGDINOZSdF/hDZpTiyPTSQkCEbDL2xj5pDqASzokYkraawzyy/DveaOCWQ+xrO/OsKxOJAYL3FnaPoIyI=
26tv01dv5rjvk6b9q3aufertufla1sbo.vote.	3600	in	nsec3	1 1 0 73 2947B3HV9MS7GQBDISS63KA4NAN7P50K NS DS RRSIG
