26kclulu6p6ojd1kjt7rillon0652hq9.democrat.	3600	in	nsec3	1 1 0 73 28HG2UK98GNRJDH15BPMQ45GAE2KM5PI NS DS RRSIG
26kclulu6p6ojd1kjt7rillon0652hq9.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. C0XnKDosSGE+FEB2imGRdFnTQEb4JdT8WvpgE6ZmjkSoRtvLxQOn9SsTMNbKONAXxZdEO0e1fnV0s59vBEutXNX4aZFiHxKROerkW9b+6Moh6KgG0A/rp3h1nKG7GvRPpWbECGUf+4AEL1OR4f7nbcjOZowYIDVmNPe6GvZ/bsE=
28hg2uk98gnrjdh15bpmq45gae2km5pi.democrat.	3600	in	nsec3	1 1 0 73 2JG1194HJMGAOU1DPR9TQD6FSF8AKT92 NS DS RRSIG
28hg2uk98gnrjdh15bpmq45gae2km5pi.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. qeakTUWRtY8HstyHUiy47jdXC5uiQSaukfLzvEaNiosUYbDHaTJP4aoeJwttj5kN3zptNrLx4fcAzjTlA1CwQs1tuVw+cluCGNyy9crWSJF2kYTKT14W5y64Iqp+/288zm+oIwR1u1S3/yTvsctMgp7pptVqkNh/6QNzGb+ctgM=
2jg1194hjmgaou1dpr9tqd6fsf8akt92.democrat.	3600	in	nsec3	1 1 0 73 3IF5DUU6LLJPA74RR90USJJIVFQCSQTE NS DS RRSIG
2jg1194hjmgaou1dpr9tqd6fsf8akt92.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. MJEjQ/O1epNahMH5e69LfNvV2JiuHuXi4namlX8eYxT4RNjUnriFIBODu71ZpU+QGGgtceQgcRMZx5Acj6PinDCUhb6DJ4gB04CQphqmKoC1g/eZ85gM8c+/pDxkUDpQLT0ENSrx5+a6+0Ukv509sulEhpMT0MvGitm89oxQjd4=
332.democrat.	3600	in	ns	ns.myhosting.com.
332.democrat.	3600	in	ns	ns1.myhosting.com.
332.democrat.	3600	in	ns	ns2.myhosting.com.
3aotariq.democrat.	3600	in	ns	ns1.dyna-ns.net.
3aotariq.democrat.	3600	in	ns	ns2.dyna-ns.net.
3if5duu6lljpa74rr90usjjivfqcsqte.democrat.	3600	in	nsec3	1 1 0 73 4FMVOTUAU01D18LT0HH62G334VOCHFDQ NS DS RRSIG
3if5duu6lljpa74rr90usjjivfqcsqte.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. WpJ14dN7emZVwXE/2gcM3wSz614DyFJ16xV02X8YiCOATRn/GEQKE+rZGPsLfc1HL3q36QsG/Bkskkrg+CDRD4So8Myi8MwpNRzuF/RjXSSg6z3D9DslwjKOmLU0CPlGrsgQBxgFAqwvT1GIp4KXJ6pajgG+2JTWIOwctPe0VnE=
45th.democrat.	3600	in	ns	curitiba.ns.porkbun.com.
45th.democrat.	3600	in	ns	fortaleza.ns.porkbun.com.
45th.democrat.	3600	in	ns	maceio.ns.porkbun.com.
45th.democrat.	3600	in	ns	salvador.ns.porkbun.com.
4fmvotuau01d18lt0hh62g334vochfdq.democrat.	3600	in	nsec3	1 1 0 73 4GORNUQU52QIJM95KP0MIAVFKDV33C68 NS DS RRSIG
4fmvotuau01d18lt0hh62g334vochfdq.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. x0qhfOtx65YwEx2b35Tp3pKExwH1WEVuWSmOEhtuTE232CSjoB+n6ynCj3LwkNMUc9251y4kNaeWmedVaX1HlLYRA/9BfN1jGOYAWQ+onebJQQ1U7Rllp/kFsqQrAxbscFl6yc+/is78WC4jUMrLRtOWt+R4zCg7WH23kK5jwmw=
4gornuqu52qijm95kp0miavfkdv33c68.democrat.	3600	in	nsec3	1 1 0 73 4QQM9B6OIKRQK5P04CTCQFKPO2BOBP9J NS DS RRSIG
4gornuqu52qijm95kp0miavfkdv33c68.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. ZsX7qxs1Gel+ti5/1TRgZlQven8hUFsCfIl/TdGMOAVnPfchdShWbaMGOU8Zrj4iZ2ZFYBPFBqIMffU4gij/irmOCjDRyuho33Px47+qPngnyy5NP2/eq9/2YXEv431ggesTfTgxNzerFTbJah1gO0JWa5AVoGcfeV6/f0fJruE=
4qqm9b6oikrqk5p04ctcqfkpo2bobp9j.democrat.	3600	in	nsec3	1 1 0 73 4T9NOMN9PGLK9OGRJKVOL6SASIV1DMJR NS DS RRSIG
4qqm9b6oikrqk5p04ctcqfkpo2bobp9j.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. W+kA2Zlock/Me5x3MAck3g52cbHyzSwDALkKusEogcLgaO/k5PQexN8Yo+TsGERjHkoSZ/QIB3Zy9pYmkGpD6ec3nlonXe32RZ+tUkhv8J4zkckutNQtDCwoV2zS4MOgWN/9cPfao+ZjdEZqxNfwUJ7qtenMlDRlRo6VVIos4mc=
4t9nomn9pglk9ogrjkvol6sasiv1dmjr.democrat.	3600	in	nsec3	1 1 0 73 57BA9FJGC6II8820T2J41TRJIKH1VSVS NS DS RRSIG
4t9nomn9pglk9ogrjkvol6sasiv1dmjr.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. rlge6d8Kvmm9GdX8Xgq0qjtkX3r4Eix2ZlZiiywpBuJat5gyt6peDyTeV6E63qpftOR+J8yN5ffiR1icuUmhQNcg/7lTZ9F125T5NopRxo0Qxqs38irkW6XuBRGOfGHbsDWOz+h7sPRp28CYqBtirM8TF6dEoINHhF9oEFsXJdE=
55152.democrat.	3600	in	ns	ns1.dyna-ns.net.
55152.democrat.	3600	in	ns	ns2.dyna-ns.net.
55566.democrat.	3600	in	ns	ns1.dyna-ns.net.
55566.democrat.	3600	in	ns	ns2.dyna-ns.net.
55890.democrat.	3600	in	ns	ns1.dyna-ns.net.
55890.democrat.	3600	in	ns	ns2.dyna-ns.net.
56690.democrat.	3600	in	ns	ns1.dyna-ns.net.
56690.democrat.	3600	in	ns	ns2.dyna-ns.net.
57ba9fjgc6ii8820t2j41trjikh1vsvs.democrat.	3600	in	nsec3	1 1 0 73 58SOCEV9G6P8QUV1V4PHMQCJUNHUF1R9 NS DS RRSIG
57ba9fjgc6ii8820t2j41trjikh1vsvs.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. y1au13KOAH4jCa7qKgL7yNxYY2ouEGcYXDhJS8CvrSx2gb07VqH5Am4Ns01Gi/TSBVSLLWLhIsU/nPipiis/VTWcO0bhgOUtK5Vptsi9jETuL4MQNWFj02cwS/QIAZ9+yXydpiCViZA+XTz6zEfahJafEfAKsV+0Ssbg5+ieOcg=
58socev9g6p8quv1v4phmqcjunhuf1r9.democrat.	3600	in	nsec3	1 1 0 73 5FM46K542FS74ABLPE3RUMSNJG0MOC5C NS DS RRSIG
58socev9g6p8quv1v4phmqcjunhuf1r9.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. f6PswuEIItKehaZTlg+qTzR/21d4VWeJgsaog9p7ZPyqwbxV7O6YqiouZs7n6Q1QEg064EsY5noZ161UGtEz7vTwWvYz139Re7wv3oxxIooP6jox87/grvDcoofpbdS66HkAp0DGojbfPkpoe77xyP/CvAkk4+Ik1U6n/KbBklY=
59956.democrat.	3600	in	ns	ns1.dyna-ns.net.
59956.democrat.	3600	in	ns	ns2.dyna-ns.net.
59995.democrat.	3600	in	ns	ns1.dyna-ns.net.
59995.democrat.	3600	in	ns	ns2.dyna-ns.net.
5fm46k542fs74ablpe3rumsnjg0moc5c.democrat.	3600	in	nsec3	1 1 0 73 5S4S2Q8MMP2824VF1H6I8GML920JQ73H NS DS RRSIG
5fm46k542fs74ablpe3rumsnjg0moc5c.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. oLGYcLbZlaJiHujIMu/P4eO6HTy1r8AsYyW6Zp9UIuokFsQ0j4/FGDwgr9iTNaougelY6oiFIH7JR7lcBP4cIaB/IB7+opwggaiE5QgS7yO0Ocud17kOjyPltpIcpFk2QvEvVnfrkjFUkiljamNXN5gXLVZH1h+vYO0gjCt637Q=
5s4s2q8mmp2824vf1h6i8gml920jq73h.democrat.	3600	in	nsec3	1 1 0 73 5UQ262MVP5JJ908VCM8LDUE3DB1Q9MD5 NS DS RRSIG
5s4s2q8mmp2824vf1h6i8gml920jq73h.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. VkjcyT+aEtzkMmB/E6QHIkJRaQtELYMXLg3pIOYveTKx/6drk2+o3AfvdnMAzI1oUH2TpAGOqvpCg6gKGOokafmXQKtcY958XYIE98+zBBYdHXu7O/98kbMxRokU5wHs78pcSv7QeQVqqrFcr7LAQSlP0nEB/RnUcDL4ZO8KceU=
5u.democrat.	3600	in	ns	ns1.dyna-ns.net.
5u.democrat.	3600	in	ns	ns2.dyna-ns.net.
5uq262mvp5jj908vcm8ldue3db1q9md5.democrat.	3600	in	nsec3	1 1 0 73 6S4GMK3TVKHI77H8PGENUEQQKUT5N6T4 NS DS RRSIG
5uq262mvp5jj908vcm8ldue3db1q9md5.democrat.	3600	in	rrsig	NSEC3 8 2 3600 20260122152417 20260101142417 54771 democrat. bNQ44oVIfiZm/WgYX9NLI+VAcaRmpZMomChBsjifBsutgsQVrzXKTmG/d/nK2TVGqvbGYuCDHgUXN5aFEZq7s7YVzikUiqBKWUVfkwQrgP3UQsf5VdFmZV5wHkaeOugvMIsdS1adgaMPf9Tkjy6MBUk7Km/1waX+Tj9kBPw7ikE=
60323.democrat.	3600	in	ns	ns1.dyna-ns.net.
60323.democrat.	3600	in	ns	ns2.dyna-ns.net.
61812.democrat.	3600	in	ns	ns1.dyna-ns.net.
61812.democrat.	3600	in	ns	ns2.dyna-ns.net.
62109.democrat.	3600	in	ns	ns1.dnsip.com.
62109.democrat.	3600	in	ns	ns2.dnsip.com.
62306.democrat.	3600	in	ns	ns1.dnsip.com.
62306.democrat.	3600	in	ns	ns2.dnsip.com.
63311.democrat.	3600	in	ns	ns1.dyna-ns.net.
63311.democrat.	3600	in	ns	ns2.dyna-ns.net.
63320.democrat.	3600	in	ns	ns1.dyna-ns.net.
