45tgdb59t7cfibti4rd3sca39n761fac.tennis.	3600	in	nsec3	1 1 0 73 521BPQ33D8KTHTCVK7CDMI77J84105QV NS DS RRSIG
45tgdb59t7cfibti4rd3sca39n761fac.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. NpAVoEKYHiSOMZ4ECuF0Evoq3RSEKB61YYJHJeOXSonTJ7IqoK2jCP/1oYoLd/jX372I+1rnjPEQtgTRWF35Kbg6GbNU0DGkN3mVud1TgMqZssAHJ6S4TQB1GuphM8VOtMPbpDlzuW2StENiY68tLI9f13/C8W1eBxd823bLbAk=
521bpq33d8kthtcvk7cdmi77j84105qv.tennis.	3600	in	nsec3	1 1 0 73 534TBLOQJ3OH2F7GSGB529O2HBI5QLFF NS DS RRSIG
521bpq33d8kthtcvk7cdmi77j84105qv.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. WLt3RcACTUo+oaGzwcpCw1U7reVV9xO9UswKDfyVYqNGTQuNvccA2B8cXpiyPYIw9akQXY5BOBA8dD5ZkAj4erTQJdJu53Kns42YEn2xHcoIfn/OG3eGjlOlfQL7TM925AuymMlbl/AiR7jRrBa1r9qR7hRwjahXecUC5BT3aeU=
534tbloqj3oh2f7gsgb529o2hbi5qlff.tennis.	3600	in	nsec3	1 1 0 73 5I3OFOQHSH2M9AVOPMPHA94V82MVGIS0 NS DS RRSIG
534tbloqj3oh2f7gsgb529o2hbi5qlff.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. DNbMKfWR7VvNFhHZf0IpY00WQzhvDMq6m16Q4cxRCuLpi7+D/XfiKNYF0wIv984hDStMGlJFKW2eu7BryIWXAHA3tDUtjJK+S9cYfvIrKS4f/ZYWO1Kh7Rj9BWgAMuFCjshE+v7q7pIecI8/Px6OlLIXRK064qoMyll1TF+1LAc=
5i3ofoqhsh2m9avopmpha94v82mvgis0.tennis.	3600	in	nsec3	1 1 0 73 5SA9HD53JD34L5RBNIL1AL781DK682G3 NS DS RRSIG
5i3ofoqhsh2m9avopmpha94v82mvgis0.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. Krpb6WQe+a31uyBhQiCXdjhL96IAl1lcOqXp/cORAFdY5lbIgoV+NnrUfF0b31PVNFaQxGnJSvGfEHdIX7QeL1PdFmU7Fsrvc8qrHOt57Mssn0OVZhuBw8oI6G6WPRfeAwxa0HHFcHlz65nfozA0M6rr6G5e5dW60IMfDshtkWs=
5movierulz.tennis.	3600	in	ns	hattie.ns.cloudflare.com.
5movierulz.tennis.	3600	in	ns	santino.ns.cloudflare.com.
5sa9hd53jd34l5rbnil1al781dk682g3.tennis.	3600	in	nsec3	1 1 0 73 5UIEQBINB8F3I05SO6B81GAB3O2O6II5 NS DS RRSIG
5sa9hd53jd34l5rbnil1al781dk682g3.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. q8o4EO5nnYloSXthRZzc8NYzIeNXmNJ3BKfU9RI0/umpuDiKwyqSMDharRjMuGYuM3lk/wdz1arQaN8uEbkIckRKgkIVOs9y8hWhIKM75HD7TsYOzENzcBGquxIFL4VKcFvzpo0X/7saCazI7Z+Y3X67QtrYWqqV4D9KJf5O26I=
5uieqbinb8f3i05so6b81gab3o2o6ii5.tennis.	3600	in	nsec3	1 1 0 73 5UJB0OIK3UM3KE7KKO2RJ6AIQA4VARBF NS DS RRSIG
5uieqbinb8f3i05so6b81gab3o2o6ii5.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. q58h4rTHWy0DPM4/nbch9+zIeZYNjakU7XPHGu1ER8kNGZNyBgYa7zwRZXLWJr4Ct2MvHFdTJbANjhPkzwh7y4TMJUDKYkuHgf+xNegAQZ2iaLzWpeF+hDXQAiCmaG/DeMe2zHdsXYaueI1c0A0n6ugX2XqTH9kNmYQPu3JB6ho=
5ujb0oik3um3ke7kko2rj6aiqa4varbf.tennis.	3600	in	nsec3	1 1 0 73 638UDFEGHIKU78RJU3P7N2KP9H9ELEB1 NS DS RRSIG
5ujb0oik3um3ke7kko2rj6aiqa4varbf.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. n6xluREDfJZ/P78R02q/sa/+rVMXGWNzYKvCl8nVVkDnR+k38d7FDQJY/eEhe9gRJHZIhZIfIJvOFZtUYiVhOMzjN7u4CSv8R8H+uroX4F048jJjRITjibyK6EVqRTAJlUMAMGopqbs50i9nq0LVATFVNJs7nEtv/EK2/m2vXS0=
638udfeghiku78rju3p7n2kp9h9eleb1.tennis.	3600	in	nsec3	1 1 0 73 68905DAJOJ4QG51N96NCP92MITV17I0P NS DS RRSIG
638udfeghiku78rju3p7n2kp9h9eleb1.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. P2aYb5j2AOSNu7d5Iyop6or6EmOZniQXLTIf/6lKpmFy3WhQDNQE4cw/Kb12ZOXP6OAWl+bspHm7zLyMlUMqRbZTrfZcll3274IzvzYwkEIpyhe4A3SXk5fuSCPJ7hQAGcJ2uggKsM6ztN/xd/y0tQdEj7wFacRnn9QpdpuQxCM=
68905dajoj4qg51n96ncp92mitv17i0p.tennis.	3600	in	nsec3	1 1 0 73 6VLQDBN7LLM02U6CL8RC10GHK5EDH8S0 NS DS RRSIG
68905dajoj4qg51n96ncp92mitv17i0p.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. lxsi+ay6t2aH9thEeqDQ/8YJgu9TSSoy+YPLMszd5KiBjNEbCD5/yYCYbaD4wPJrYNR6TNIdbTc0V0Mr2vTJMwEKtHA3Uk63QYv5l1a+rFZVBwmJFAIhGlXjZjTynVzJoYIOCiPPRsybdL/+PSpWCoyT7yoWKvldX0dpJLT4lQM=
6vlqdbn7llm02u6cl8rc10ghk5edh8s0.tennis.	3600	in	nsec3	1 1 0 73 70QIJP8ATO3LDOOTC7F42VLK4OR4I6GQ NS DS RRSIG
6vlqdbn7llm02u6cl8rc10ghk5edh8s0.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. YEdROQWjhDQ4DfMXxbRFZCGE3E/CjxqP4jHUQ1iNowfsI4JPYxP6T9aruWD9dzjZCueH8r946FvDw4IDnHizWmlIRxTiRrMdbWzIHVd0b0fWz8NMHG/UoeBUXXEhOLRh5e5ELHV/Mf2vkuug3shKOARYB+2xhszK9JlUXqA4iMU=
70qijp8ato3ldootc7f42vlk4or4i6gq.tennis.	3600	in	nsec3	1 1 0 73 7C4STAKAG357UKOGP8O2IF9JSBBF1MSN NS DS RRSIG
70qijp8ato3ldootc7f42vlk4or4i6gq.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. dSI5XAm2wE3IX46EtHFXL4gzOkmPfQjPuFssSVuBqTw2S0+/Polvgv9ecam4Keu7u02z2Re+1n5C9C8YrNuR94k+XemaTTqQxlkaqk3eVIYP2iCgpGqFbvln8OQbeRg7d5/T0764IQ7IBV6H7BEO2z+GK2LRj2FgEBHSfxGO2oo=
77ball.tennis.	3600	in	ns	ns69.domaincontrol.com.
77ball.tennis.	3600	in	ns	ns70.domaincontrol.com.
7836.tennis.	3600	in	ns	ns1.domaincom-default.domainparkingserver.net.
7836.tennis.	3600	in	ns	ns2.domaincom-default.domainparkingserver.net.
789bet.tennis.	3600	in	ns	eleanor.ns.cloudflare.com.
789bet.tennis.	3600	in	ns	kyrie.ns.cloudflare.com.
789club.tennis.	3600	in	ns	ns1.dyna-ns.net.
789club.tennis.	3600	in	ns	ns2.dyna-ns.net.
7c4stakag357ukogp8o2if9jsbbf1msn.tennis.	3600	in	nsec3	1 1 0 73 7CQN7UJ46QG4L6QFD32GOL3TF0QRRBML NS DS RRSIG
7c4stakag357ukogp8o2if9jsbbf1msn.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. JuoG8nU6k3lUH/u7MXhaukjuaSu4rqsuxudDDpUx9xzOkmYUNolGukRudN3VBgm6YtBotckCtUsDA3pBIjFonDMuLDMi1QrbD5Hoo6ziGyFd+zoQJKwq1OhQAOmQHHMiC6Dm7uekrYte8rYz23GSqRMw3ghk9NpsGL7M6zjqcqU=
7cqn7uj46qg4l6qfd32gol3tf0qrrbml.tennis.	3600	in	nsec3	1 1 0 73 7M337LB1I6H89CJ75KVKUQHLHIQJO610 NS DS RRSIG
7cqn7uj46qg4l6qfd32gol3tf0qrrbml.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. Ha+gt/W7MvfKrjozOZl8Z1C3wxmSfUHmZxNNHge9c4kmg+wxxD5bhjsSoM9WKD7CCngEErlL8NfmebHq5Gll6eFEjLlxy0E0nJlJNLq0KDaL4+pg68kR+Nu1g+zpF93jUnHE/8eJAGLoFo4x5lEjD0tVCAPh2d4tqU9CRNm3ydE=
7m337lb1i6h89cj75kvkuqhlhiqjo610.tennis.	3600	in	nsec3	1 1 0 73 85HDU0RMT5TA37JRQ95PQKBIMO8L4CJD NS DS RRSIG
7m337lb1i6h89cj75kvkuqhlhiqjo610.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. kSPgsW+epJEHHoKvax+lkLlzDNPu5NOut1jkQYtmxBlfUgg4W7lT/TneLdWk365ChzNzx/2IHxNegb+HJE+EiO+lxVgnYBJXFPlK4FmaDFliqDGgo2hAGSlCdaJHHxYivQ3GFFTKubmLXzcfpHvi3EhFJxmewvddBhDcHpsugHs=
7steps.tennis.	3600	in	ns	ns1.hosttech.ch.
7steps.tennis.	3600	in	ns	ns2.hosttech.ch.
7steps.tennis.	3600	in	ns	ns3.hosttech.ch.
819.tennis.	3600	in	ns	ns63.domaincontrol.com.
819.tennis.	3600	in	ns	ns64.domaincontrol.com.
85hdu0rmt5ta37jrq95pqkbimo8l4cjd.tennis.	3600	in	nsec3	1 1 0 73 8C0QPMAP6PO31HJQ0938SFF97G0DR0GA NS DS RRSIG
85hdu0rmt5ta37jrq95pqkbimo8l4cjd.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. ctL96JjCZwjuIN4WMT4O66+XMF+LKyM/Crd2RdPoWgkVM1MHO4gm0pNYyNo6kzd2b4CiOty0DGibYHiWARcNifIfx5McUBrv3x+Fiw+0UAp/oYvUR7VmyBYsAM5U5Vkr7zk+pQ0v/eJSpcyLvgnkFRxJKnWcT+lftYbAxTYtlSM=
888.tennis.	3600	in	ns	ns1.dtnt.info.
888.tennis.	3600	in	ns	ns2.dtnt.info.
888.tennis.	3600	in	ns	ns3.dtnt.info.
888starz.tennis.	3600	in	ns	dns1.registrar-servers.com.
888starz.tennis.	3600	in	ns	dns2.registrar-servers.com.
8c0qpmap6po31hjq0938sff97g0dr0ga.tennis.	3600	in	nsec3	1 1 0 73 8DFG57613T9GME5MOROUHH9MD18TN58S NS DS RRSIG
8c0qpmap6po31hjq0938sff97g0dr0ga.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. eGTDKJYy62pj45IIvhHX8psA1ZRhRT+kDtr5e20s7CdoWM2qViGDUD9NZgFhOhMGII0bRd2lxoXxC9H/vK+C7s8lb6LjHG4ebuh57R99B48SwDZIg7NrChVjzJnumTthHkl/ltH+YNR4CzixLxm0AnjXpLx+eAR48E7UOZuW8Uo=
8dfg57613t9gme5morouhh9md18tn58s.tennis.	3600	in	nsec3	1 1 0 73 94S4M84V2SI6DBI1H4EQVS4DA2IVCE7N NS DS RRSIG
8dfg57613t9gme5morouhh9md18tn58s.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. Xs1DmL4I89PUy7+Dp1z1eyvtlRwIG+jK5YV/R4FjXTnBw3/HqdaBRESC9nHPUEcgMeahDDxPdnntG/bV+bTF6HP0/YdXSEYZskSSRfOYEo5hxkv8amUMUY+1f6h00MHjbg0Om/zGzNuZcjTovJDO/bkvSrMPnqIBuhPtcAp/svA=
8xbet.tennis.	3600	in	ns	celine.ns.cloudflare.com.
8xbet.tennis.	3600	in	ns	huxley.ns.cloudflare.com.
94s4m84v2si6dbi1h4eqvs4da2ivce7n.tennis.	3600	in	nsec3	1 1 0 73 95D9KDPNAF25242PBH78SR7T1KU8N2JG NS DS RRSIG
94s4m84v2si6dbi1h4eqvs4da2ivce7n.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. ZdrWLUrttVHRoBHetpG6m/Ozucexh1k+jakD7NCFUynM7hy1Eg5y6RyLPzXscKGzI3mkpxBy12j4ld8oJVOaxi90Oose7hWGumVboNXQb1VOCQ/vZ6Xtjo8Yy4u7KRV938srUmp409i45FAUjMXBf9vmtjJafq8DyIKTrZLWSks=
95d9kdpnaf25242pbh78sr7t1ku8n2jg.tennis.	3600	in	nsec3	1 1 0 73 9C2N3VLU1O4U3I79515B39LFSRFDEOLO NS DS RRSIG
95d9kdpnaf25242pbh78sr7t1ku8n2jg.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. WNK8p820amgOVRvyS4DPXYW/VAyGntmMJ0iZ8WoBI+5Q+pNEAKLtHOU0GcJca8pum2LkcSA76YBzh5WQvqcz2wy5NT4DUNMfATpZUVOBiImY3S0S59Q56wcrmpuea0pt8gJLuHf6jCyWKz+IP0ncmzy+2LXaRSViVwkHpEuisP0=
9c2n3vlu1o4u3i79515b39lfsrfdeolo.tennis.	3600	in	nsec3	1 1 0 73 9CN8P3QLVF98CC2703TKBRTD3MKPUJGE NS DS RRSIG
9c2n3vlu1o4u3i79515b39lfsrfdeolo.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. IdJKi9tNleGAEeCcY6lTU2ge+bbAyKjQ7bnhpXEOTzqMXbREyBa3lB5xWPhcsyv/Qt5Sl7zk9jEgmQ+aIGc5zot5Dr8GFOLJ3NXfU6+8RyZi1dH7dWYDeNbIkKmiDz/w71CuN+dKIGV9z2bSArVOn72vkfSa8sSYfKVDeVB1nOk=
9cn8p3qlvf98cc2703tkbrtd3mkpujge.tennis.	3600	in	nsec3	1 1 0 73 9JV9LP2FI0G4BO93CQ76VGH6LAV70OG5 NS DS RRSIG
9cn8p3qlvf98cc2703tkbrtd3mkpujge.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. D+hkT3x5zuZBx/9hr9Eb4omwu2N0GrLm70nL9k539NMrVej1AiENtaFQ7Uv9bXjcCUtUkVZ2u/p2lTZFtcx7JDsqDhXZy9hYh5aPjYH+vjaV2uuZUOrAS6pZ+vifMR6FzvorzNrsmPGP8isREN2Di6Ndb3OldxMAOrF3l1jPtU8=
9jv9lp2fi0g4bo93cq76vgh6lav70og5.tennis.	3600	in	nsec3	1 1 0 73 9NIH75FF73HJAOHFTIO67V0E410K186I NS DS RRSIG
9jv9lp2fi0g4bo93cq76vgh6lav70og5.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. Fdpb9T8+X2HModeqOoLlhN0LxhswWqJz4ksHVKlC/oHhkKD8Skj3PBx7ZPhot4ZNbMzN9YIgvwuOH6xS+T0ut1FrMRXjBkNUbh+Xz8qT8TyU1xc4FQoDH7KAi6AhivOCiB54mjJf8C025w5JR6USRYY5U2UZRJSRj1XSsKuFHK8=
9nih75ff73hjaohftio67v0e410k186i.tennis.	3600	in	nsec3	1 1 0 73 9TSAHFP1ECLIJGTDUJ1ELS1IQG803QR7 NS DS RRSIG
9nih75ff73hjaohftio67v0e410k186i.tennis.	3600	in	rrsig	NSEC3 8 2 3600 20260122160601 20260101150601 48243 tennis. IKXMK61Vc3dW0WMxbrtTN9gBDpN46hx3myJ8drP1goliMoJXTtGLVjC9dUhOdr3fbv+lO58gqOe0Fph4lU70OS3s2cTXc0bGsw26WIokmlNl+AlCmlrzrQcYP0YPolHOMGKkMW3O3h02Hj5uIARpcy7SqJe6VGsKeWfE15/T5hw=
9tsahfp1eclijgtduj1els1iqg803qr7.tennis.	3600	in	nsec3	1 1 0 73 9U84L7IEI1EDLJDOS9U81DVDPJ5O0MGK NS DS RRSIG
