0084p5rl418cp5275aoajji7ahd1e245.business.	3600	in	nsec3	1 1 0 73 00L59POQ7UT9NPUE8EMPDSJTA11063I7 NS DS RRSIG
0084p5rl418cp5275aoajji7ahd1e245.business.	3600	in	rrsig	NSEC3 8 2 3600 20251022153329 20251001143329 7056 business. EL2qCuFj4ezIFwLB1qni4nOiZG+jj4LnOByXskGCO+Z9TRYccV1zpkaR18bqLdfB1SaHerXSTxB7/t+nnE4zc2jJxgMDUre4HL86w98ORqj2eYI7DB0vM9kam+fLf0LeLoQFMaP26+ULhM8NrUkS0TH0ivp5xqhxw67hTPiKT5M=
00l59poq7ut9npue8empdsjta11063i7.business.	3600	in	nsec3	1 1 0 73 0115HN26RQ2N697OFHO5U29E0LLV4LGI NS DS RRSIG
00l59poq7ut9npue8empdsjta11063i7.business.	3600	in	rrsig	NSEC3 8 2 3600 20251022153329 20251001143329 7056 business. SSsb0YhN4gZ1isS6u2v5WtHqx207gt+psziwlM+z/4r3nWXN65d3iM/h9KRzcO6xo9OsjCycUbeyJV7QGN/X5rq+hnkJAuVAARhmMLJrvvXjmHJYHf7Vq5K+Ks88qFXXPbepSOssPvGBN8MM6efrjxWVl9Eq5FDVzsGHfMyaIrw=
01.business.	3600	in	ds	29876 13 2 2D5CDEE52B1621EA09F91281FB71A8689482F7E80F7597B6F5D5355BD61EE227
01.business.	3600	in	ns	ns-177-b.gandi.net.
01.business.	3600	in	ns	ns-221-a.gandi.net.
01.business.	3600	in	ns	ns-239-c.gandi.net.
01.business.	3600	in	rrsig	DS 8 2 3600 20251022153329 20251001143329 7056 business. Iwx8oJhwiXrKhagLgmQASXMugQ+Dhf1lh0V35MirrnwD53kn/Vf2OrsuG4AhsZf7SGWpziW3g+zhxrMHJTgmk6TBGWf+QUNY3DWoHVf2v/X3v21o7R9I5dV8bAYShIPp0hV2JptInR3w4B+cTteizqGtB8PtdjSsBGFG/AX/3Nk=
01076.business.	3600	in	ns	n1.xundns.com.
01076.business.	3600	in	ns	n2.xundns.com.
