01677.pet.	3600	in	ns	v1s2.xundns.com.
0168.pet.	3600	in	ns	v1s1.xundns.com.
0168.pet.	3600	in	ns	v1s2.xundns.com.
01686.pet.	3600	in	ns	ns1.dnsip.com.
01686.pet.	3600	in	ns	ns2.dnsip.com.
01688.pet.	3600	in	ns	v1s1.xundns.com.
01688.pet.	3600	in	ns	v1s2.xundns.com.
0169.pet.	3600	in	ns	v1s1.xundns.com.
0169.pet.	3600	in	ns	v1s2.xundns.com.
01699.pet.	3600	in	ns	v1s1.xundns.com.
01699.pet.	3600	in	ns	v1s2.xundns.com.
01738.pet.	3600	in	ns	damiete.ns.cloudflare.com.
01738.pet.	3600	in	ns	hadlee.ns.cloudflare.com.
01791.pet.	3600	in	ns	boyd.ns.cloudflare.com.
01791.pet.	3600	in	ns	sara.ns.cloudflare.com.
018287.pet.	3600	in	ns	ns1.dnsip.com.
018287.pet.	3600	in	ns	ns2.dnsip.com.
01853.pet.	3600	in	ns	dom.ns.cloudflare.com.
01853.pet.	3600	in	ns	fatima.ns.cloudflare.com.
01923.pet.	3600	in	ns	ns7.alidns.com.
01923.pet.	3600	in	ns	ns8.alidns.com.
01933.pet.	3600	in	ns	n1.xundns.com.
01933.pet.	3600	in	ns	n2.xundns.com.
01953.pet.	3600	in	ns	n1.xundns.com.
01953.pet.	3600	in	ns	n2.xundns.com.
01ekvvm4ni0h8finfv87bhchdvluuvca.pet.	3600	in	nsec3	1 1 0 73 05948LNOOS5HF3R1CVDHENULI1HMBBLV NS DS RRSIG
01ekvvm4ni0h8finfv87bhchdvluuvca.pet.	3600	in	rrsig	NSEC3 8 2 3600 20251022160051 20251001150051 55830 pet. DzoaKFQn12uZeQBYjHwl4tgRKETR9BMO6fUzXvB6ULMfYogGcRCZkt8kvCNx3UhIuoahS4odanvaTbvbtQ2jhtiezxVFtAS2EPhDTaeru6R5zboKdBnYW8xkH1OJReDJ9vMEe5nK41St6PPCxAIHCq/kTLadYilWmalzvwFHFKE=
020514.pet.	3600	in	ns	ns1.dnsip.com.
020514.pet.	3600	in	ns	ns2.dnsip.com.
02086.pet.	3600	in	ns	ns1.1233dns.com.
02086.pet.	3600	in	ns	ns2.951dns.com.
02089.pet.	3600	in	ns	n1.xundns.com.
02089.pet.	3600	in	ns	n2.xundns.com.
02101.pet.	3600	in	ns	n1.xundns.com.
02101.pet.	3600	in	ns	n2.xundns.com.
02102.pet.	3600	in	ns	n1.xundns.com.
02102.pet.	3600	in	ns	n2.xundns.com.
02103.pet.	3600	in	ns	n1.xundns.com.
02103.pet.	3600	in	ns	n2.xundns.com.
02104.pet.	3600	in	ns	n1.xundns.com.
02104.pet.	3600	in	ns	n2.xundns.com.
02105.pet.	3600	in	ns	n1.xundns.com.
02105.pet.	3600	in	ns	n2.xundns.com.
02253.pet.	3600	in	ns	ns1.dyna-ns.net.
02253.pet.	3600	in	ns	ns2.dyna-ns.net.
02257.pet.	3600	in	ns	n1.xundns.com.
02257.pet.	3600	in	ns	n2.xundns.com.
02322.pet.	3600	in	ns	ns1.dnsip.com.
02322.pet.	3600	in	ns	ns2.dnsip.com.
02363.pet.	3600	in	ns	n1.xundns.com.
02363.pet.	3600	in	ns	n2.xundns.com.
02366.pet.	3600	in	ns	n1.xundns.com.
02366.pet.	3600	in	ns	n2.xundns.com.
02368.pet.	3600	in	ns	n1.xundns.com.
02368.pet.	3600	in	ns	n2.xundns.com.
02373.pet.	3600	in	ns	n1.xundns.com.
02373.pet.	3600	in	ns	n2.xundns.com.
02375.pet.	3600	in	ns	n1.xundns.com.
02375.pet.	3600	in	ns	n2.xundns.com.
02390.pet.	3600	in	ns	n1.xundns.com.
02390.pet.	3600	in	ns	n2.xundns.com.
02391.pet.	3600	in	ns	n1.xundns.com.
02391.pet.	3600	in	ns	n2.xundns.com.
02395.pet.	3600	in	ns	n1.xundns.com.
02395.pet.	3600	in	ns	n2.xundns.com.
02396.pet.	3600	in	ns	n1.xundns.com.
02396.pet.	3600	in	ns	n2.xundns.com.
02410.pet.	3600	in	ns	ns1.dnsip.com.
02410.pet.	3600	in	ns	ns2.dnsip.com.
02428.pet.	3600	in	ns	ns1.dnsip.com.
02428.pet.	3600	in	ns	ns2.dnsip.com.
02520.pet.	3600	in	ns	ns1.dnsip.com.
02520.pet.	3600	in	ns	ns2.dnsip.com.
02546.pet.	3600	in	ns	ns1.dnsip.com.
02546.pet.	3600	in	ns	ns2.dnsip.com.
02573.pet.	3600	in	ns	n1.xundns.com.
