111.horse.	3600	in	ns	maceio.ns.porkbun.com.
111.horse.	3600	in	ns	salvador.ns.porkbun.com.
121.horse.	172800	in	ns	ns1.livedns.co.uk.
121.horse.	172800	in	ns	ns2.livedns.co.uk.
121.horse.	172800	in	ns	ns3.livedns.co.uk.
123.horse.	3600	in	ns	ns1.afternic.com.
123.horse.	3600	in	ns	ns2.afternic.com.
123b.horse.	3600	in	ns	gigi.ns.cloudflare.com.
123b.horse.	3600	in	ns	john.ns.cloudflare.com.
13hkfm4m3ipu04mpjeej7qpd2qjj4l9k.horse.	900	in	nsec3	1 1 0 - 17NUIQT0LF6BDNC6TD9VR0ALIJRTAFQM NS DS RRSIG
13hkfm4m3ipu04mpjeej7qpd2qjj4l9k.horse.	900	in	rrsig	NSEC3 8 2 900 20250918185300 20250904182254 11808 horse. a5arbHPgqRDos1xDMqU9u98ByOrOTRvokk+H1Qypi9bkIFc17V4f9OnlK//bNpUpKWO4m7c2CEIAym8o02T/bANAbUE0M7YK5ACOPS/5D8yK7a7LByx5up6BwmsTmChmCgENl3JJu0ulKlM2EgpsddXYGsYZxNOU0Z6F6N3PiRJCh1P15U3w8tfTAsGDFc9ngGELL7S2iEBybroh3BtVrg==
13win.horse.	3600	in	ns	burt.ns.cloudflare.com.
13win.horse.	3600	in	ns	nicole.ns.cloudflare.com.
17nuiqt0lf6bdnc6td9vr0alijrtafqm.horse.	900	in	nsec3	1 1 0 - 1AIG3HSF5CTRUQG0AG8PT92J66GCU84G NS DS RRSIG
17nuiqt0lf6bdnc6td9vr0alijrtafqm.horse.	900	in	rrsig	NSEC3 8 2 900 20250918185300 20250904182254 11808 horse. GYxvrCvVPI0YIGFUc3ON/1WnvdQ58fZPhqx3q6cCf1GTjX37siULMNrizsiN47KFWnPiDL9gZ0vYuV9miwX0Zc9JwGcgbV8Dw3ro/6aRCHCwk/YfTPadv/2cViFA5ZDJ1IHgvOg4ptUMIxdtR+UDbHWDTx0ujh7RgN1x+L34w261FExt85CgVjRS+hIhXb4YWu+zCuo9pdcNHNKuGrYWkA==
188bet.horse.	3600	in	ns	pdns95.ultradns.biz.
188bet.horse.	3600	in	ns	pdns95.ultradns.com.
188bet.horse.	3600	in	ns	pdns95.ultradns.net.
188bet.horse.	3600	in	ns	pdns95.ultradns.org.
1aig3hsf5ctruqg0ag8pt92j66gcu84g.horse.	900	in	nsec3	1 1 0 - 1NDIF0ABQDDH97V8IVRBV4CO59V42O26 NS DS RRSIG
1aig3hsf5ctruqg0ag8pt92j66gcu84g.horse.	900	in	rrsig	NSEC3 8 2 900 20250914153203 20250831151919 11808 horse. gWx34/YQEfyuwG9MxcRFhCq7RHpXNHIJqb9GLWSbLUu4LKFyj5wd297VLwQGoM6WnY06KZdNKGJUSUG6XXvK1VVGiNz+zNMW1vAQRR3NITkkScEv0LR4v7JTett4k2wKMHV+Bhda7Pr2elWLCihmYvHvow43iCCKioKF0t9TZrKYGOhdFMY8VwdNOnOPiUaB+/NEUDQU9QpUnL+TFSdINQ==
1cabura.horse.	3600	in	ns	dns1.registrar-servers.com.
1cabura.horse.	3600	in	ns	dns2.registrar-servers.com.
1ndif0abqddh97v8ivrbv4co59v42o26.horse.	900	in	nsec3	1 1 0 - 1T9TCU6AN8BFG5DA7IHFKPQ9JPPLSUI4 NS DS RRSIG
1ndif0abqddh97v8ivrbv4co59v42o26.horse.	900	in	rrsig	NSEC3 8 2 900 20250915072355 20250901070839 11808 horse. fUylmu1n7O9lug4wRB5ICAcsSUFQErDUcpnx+9yN5u3iGyO8t/Ht44qGJPr0MnQPN9us2DD+OkRqzHaMBEycGA16zCNF9T7jR1Nk4eFbTdpMSAw9rvBnCkgjdIbTw7V1tb+STXGR0+GjEbWxaMB9HMM0uo7xH+lLWn4jUXxJKbCKANv4DOdyRhrhSToLopQmVO8+XvAAHC6/suUxD2azKw==
1t9tcu6an8bfg5da7ihfkpq9jpplsui4.horse.	900	in	nsec3	1 1 0 - 1UCPS193B6B208QSI18I48RD90FC1R5T NS DS RRSIG
