2t7b2r2jhdpbhpa2jmh0oia9l3kt826p.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 37TH2RMTC9TNJAE51L4NVTGCAB8BHERH NS DS RRSIG
2t7b2r2jhdpbhpa2jmh0oia9l3kt826p.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. giRreHIjiUtgs0Gyp5WNaZhaKgmLBTAGe09Umpe98ViBzY+39U+MCL9JdPz4p42fKrJ0slmBQ5RF7psKMQjsrxNnZcDNTU+ihlLLpaL0z7LQl+P///bQsJqrl9woz7cmKQX+0ceJf3VQ20mGJ0gXVrcPavwTFAULEFa4O3BDqXM=
30jili.ngo.	3600	in	ns	hassan.ns.cloudflare.com.
30jili.ngo.	3600	in	ns	tara.ns.cloudflare.com.
360degree.ngo.	3600	in	ns	roan.ns.cloudflare.com.
360degree.ngo.	3600	in	ns	sima.ns.cloudflare.com.
37th2rmtc9tnjae51l4nvtgcab8bherh.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 3BD95A9M3CPS4D1HP33DIF6BD9G6SVM1 NS DS RRSIG
37th2rmtc9tnjae51l4nvtgcab8bherh.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. Lo9V96pnPizoZIbfnE8cnEdfKxZZNBik2s/iXZHnba3pfPAHEpgTjX33/bztpAEumVrprbgy2mTfmhHxxuPwRU2ZTYoXVkdnP5dliyG8/ut3vQ7zy/4oUcBXrykaJ7DlUGpRL1cGYXDCZBx1ju6GPKNNnBbvBMFjoUvYUZ7x7co=
3amal.ngo.	3600	in	ns	ns1.siteground.net.
3amal.ngo.	3600	in	ns	ns2.siteground.net.
3bd95a9m3cps4d1hp33dif6bd9g6svm1.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 3COFCTFO6MIN3US1MP0EUMPED4H9MTRL NS DS RRSIG
