04555441342.yoga.	3600	in	rrsig	DS 8 2 3600 20250921051620 20250907051516 30585 yoga. DXhJE5KkZGqrz+Npd6H5Dmrc7KZWN5VrqQzY4jo3CDBZIenKm0zDnvq8LozYt/qDYABX3lffnkM8gKjat1Pv2zjvw1oXaNgdhK/2nSZPEAClIQAkjxQO4u82ErXd37JZVQjnMV3zphE0wDv6AjSgyRX/XXcrAmWvTAEgUdPz3e40GDX1Bc7OcATAHM5wHrcf9ruwQgrVB+ujBNOky9E/qQ==
0463aldbcxmdb.yoga.	3600	in	ns	dns31.hichina.com.
0463aldbcxmdb.yoga.	3600	in	ns	dns32.hichina.com.
04660496392.yoga.	3600	in	ds	22179 13 2 F9687EEE85EA55EC88FC68D357A3190EB90983EB5E917823C010363B8F0C90E2
04660496392.yoga.	3600	in	ns	launch1.spaceship.net.
04660496392.yoga.	3600	in	ns	launch2.spaceship.net.
04660496392.yoga.	3600	in	rrsig	DS 8 2 3600 20250921051620 20250907051516 30585 yoga. S4h8EUoGkTwTEK4CmMfS3AcazUDLeun0yg89XFZ6/iFwhALoNob+TWUCM4k9sWQYMf2/ttFSQvuUu6SVRdXrP38V41Arb1ugYnjzeG4enIfdpilh2mkSpO4xHosUO+1kZLmssakzLFvxHYR2DM2IEWAhO/XgwcacqsvfXxxV9zp5ZuhpwzVoABXApDKbw/X9eN6zhMDvI+yGm9YDzEdwxw==
047zia92d2yfoq.yoga.	3600	in	ns	dns19.hichina.com.
047zia92d2yfoq.yoga.	3600	in	ns	dns20.hichina.com.
04803603920.yoga.	3600	in	ds	30936 13 2 14D39C22DA0F4F2E605BE5FDF0CAD3248E7E07E006FF81A3DCFAF46C8DC6969F
04803603920.yoga.	3600	in	ns	launch1.spaceship.net.
04803603920.yoga.	3600	in	ns	launch2.spaceship.net.
04803603920.yoga.	3600	in	rrsig	DS 8 2 3600 20250921051620 20250907051516 30585 yoga. YnOE9vbCCC1VWirAf9u0dHCGMAm84Fixr8StEw3dnl6lxONbWJ9M5eOUP+9Asakudt4RkG/d+syOq2bwFZ3tp8IbxU7e03Gf2i4D6ek9k67GjRO2xzsjpTMpaPZCZ9Fp8cVC4cDGTR2hfjmqrvuTFbemMN159WeWKHPQE+6aIiLmOJky/o1wAheChI2lit20EYLViP/4DAzUXDy8qc4LLQ==
04993900402.yoga.	3600	in	ds	54540 13 2 3B7C57854316B26728AC2C975C724446A6C8E904E9C854D39267C1CCF7942596
04993900402.yoga.	3600	in	ns	launch1.spaceship.net.
04993900402.yoga.	3600	in	ns	launch2.spaceship.net.
04993900402.yoga.	3600	in	rrsig	DS 8 2 3600 20250921051620 20250907051516 30585 yoga. qaEz52BU6mdZE+IxiI8aET2o7dFuQO5qE/E1162TbLvbUsNtf+zvG4oh2/LyPzTTLwAsSK8e0IhLz482yeXGw95xpxlNm/yugcJryRq7ZQAPyZKej61JH5hz1mQLMeTAwjbEO+nDYg+qjtrNTE/q1iFwGbnQ8EXfrszXh2LGJv/8YC35lGCda1nSoOAy5Qn0CaDPdET7MalYPy8IywhfDg==
049pr.yoga.	3600	in	ns	dns1.hichina.com.
049pr.yoga.	3600	in	ns	dns2.hichina.com.
04hx0v09mz.yoga.	3600	in	ns	dns31.hichina.com.
04hx0v09mz.yoga.	3600	in	ns	dns32.hichina.com.
04ima.yoga.	3600	in	ns	dns21.hichina.com.
04ima.yoga.	3600	in	ns	dns22.hichina.com.
04jtguevfgt3lt.yoga.	3600	in	ns	dns25.hichina.com.
04jtguevfgt3lt.yoga.	3600	in	ns	dns26.hichina.com.
04lqh1k4z04qg1h.yoga.	3600	in	ns	dns11.hichina.com.
04lqh1k4z04qg1h.yoga.	3600	in	ns	dns12.hichina.com.
04mh7.yoga.	3600	in	ns	dns31.hichina.com.
04mh7.yoga.	3600	in	ns	dns32.hichina.com.
04nze.yoga.	3600	in	ns	dns21.hichina.com.
04nze.yoga.	3600	in	ns	dns22.hichina.com.
04p1b.yoga.	3600	in	ns	dns27.hichina.com.
