amsterdam.	1800	in	soa	ns1.dns.amsterdam. dns.sidn.nl. 2026012502 1800 600 1209600 600
00s23pqb0eold5t04uee1ijbqgqtu6sf.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220164442 20260123093210 48007 amsterdam. sD9UKXyx+9LnEGh0XbhkY3Vq6wnjcs8DwM/I9bmFf9mzgSlhJOJCNkBaILJExBxxZM528j8Jtlp9eWIRU0pNag==
00upg4a2ud3agna4fttdeamfpqm1m9q1.amsterdam.	600	in	nsec3	1 0 0 - 0166ST4SND8UC7RV0T1R5FBF330CDN66 NS
00upg4a2ud3agna4fttdeamfpqm1m9q1.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220190716 20260123093210 48007 amsterdam. SyDGHrHu0xs+751dzEE9IM2ggXnrNdilXCyO01MKWZtTE5PY6SnVu0ZgMW1ufYRbeZF24QYBOzjKyi/tCOT+ZQ==
0166st4snd8uc7rv0t1r5fbf330cdn66.amsterdam.	600	in	nsec3	1 0 0 - 016IMQ4LRVEQL96Q6GDI8VELPTOI23SV NS
0166st4snd8uc7rv0t1r5fbf330cdn66.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220182312 20260123093210 48007 amsterdam. x9Z/1CiWuqSisrO1qAedZd6aBg5sswFAuUMYlMJdRlePddN2I2HbutHF0sXOyYRKdbMCVgi+Px36qMH+EenlGA==
016imq4lrveql96q6gdi8velptoi23sv.amsterdam.	600	in	nsec3	1 0 0 - 0177DHTR4ADRTVGD8KKON7DOK9U9N9BP NS
016imq4lrveql96q6gdi8velptoi23sv.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220193014 20260123093210 48007 amsterdam. +7gExzsl8YQkD3s3eBE86AKlAM5025HQDkrvBd0q0gipEPo6TTENLzDAOi79JFjlSU4WVQb9WGwOWxUnaCOF0w==
0177dhtr4adrtvgd8kkon7dok9u9n9bp.amsterdam.	600	in	nsec3	1 0 0 - 01CBOORTNCP75H9M4SCU4EMBHVNGFSR9 NS
0177dhtr4adrtvgd8kkon7dok9u9n9bp.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220212100 20260123093210 48007 amsterdam. PcDBdrtnLnlDK7qlWpgzFSSf+EBQ4kseXl6anvTPf50cekf4kc7aOoOll3hq85dDLVB/J+SYfKLjSD5A7wiEMQ==
01cboortncp75h9m4scu4embhvngfsr9.amsterdam.	600	in	nsec3	1 0 0 - 01CDOOS6569NMK5ALK0V96TSAU39K986 NS
01cboortncp75h9m4scu4embhvngfsr9.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220075930 20260123093210 48007 amsterdam. FUExGpc+OpTb/WlG2VYqJLJwfj0bjVJbDW04KFVvFg4r4cF9v4ApoqRnTZPfQPjS479yHhtcM8tGwaWN7c/dcA==
01cdoos6569nmk5alk0v96tsau39k986.amsterdam.	600	in	nsec3	1 0 0 - 01GQP8M9ONN9VDNJ92063AO2HD7NN6UR NS
01cdoos6569nmk5alk0v96tsau39k986.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220063506 20260123093210 48007 amsterdam. 3Qe8PE46z9K8lbu/ymZxHifOu/CfT9gOt16rgI9zA20vrwP5MgQDzSWqP/WZc/Zcn7x4E67CPBjhD/49vXs0Ow==
01gqp8m9onn9vdnj92063ao2hd7nn6ur.amsterdam.	600	in	nsec3	1 0 0 - 01KN42EDGKK1DDSSIBU7JDQJDH39D41N NS
01gqp8m9onn9vdnj92063ao2hd7nn6ur.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220020434 20260123093210 48007 amsterdam. a/gdmKb0KzRAMr7xwO3XlA6/oEnsccxxjR/fmst7k6bV0jkHQz4ANooRxFyqR09dC5nu3jpMdfjhob3t8Jd9Fg==
01kn42edgkk1ddssibu7jdqjdh39d41n.amsterdam.	600	in	nsec3	1 0 0 - 01KSL1O285FP7P5CQTE9R9TA8NN9FN70 NS
01kn42edgkk1ddssibu7jdqjdh39d41n.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220154241 20260123093210 48007 amsterdam. gukRNgEkOVZlQsJxzHJPk6hDNptnhCUsiAWLKBcS06qn4Z5nrTF4SuA3B98BCZjtj8xn4Ja4DQewDTRacFSXDA==
01ksl1o285fp7p5cqte9r9ta8nn9fn70.amsterdam.	600	in	nsec3	1 0 0 - 01ME5NGUGBDHA8ES4FFKLM0NJ6D5GLMU NS
01ksl1o285fp7p5cqte9r9ta8nn9fn70.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220011200 20260123093210 48007 amsterdam. q/8vIMLvc9QwlBFGvFnHHcm77E0B5h1t3bPnrJ+Pt8GY0z1tlm8bCcoGmEiRVRWa9EzRDz9pSpp+wV3nT7SCdA==
01me5ngugbdha8es4ffklm0nj6d5glmu.amsterdam.	600	in	nsec3	1 0 0 - 01O58VLER5J619O5S9DUNC8O48BU70AA NS
01me5ngugbdha8es4ffklm0nj6d5glmu.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220213542 20260123093210 48007 amsterdam. qXq3EMskMmqrjAGYDP7Y0LU6tpq/iRZWMHHdSlJ5vMA8TS+5EMWY9wKeS/mbOHUYjcjXIKpFgczUdgL23uNHiA==
01o58vler5j619o5s9dunc8o48bu70aa.amsterdam.	600	in	nsec3	1 0 0 - 01SKJNGVC4J6M7LLPCE8BDUSFSJ17LC2 NS DS RRSIG
01o58vler5j619o5s9dunc8o48bu70aa.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220175918 20260123093210 48007 amsterdam. 4044I4Yuhwpx2rpHqH1dZiT+smj3dF/JeE5y0a/xakGNjiF/kU4mEA2zYZsngWhFE9ztdCmcNaB0W1ym1BtZaQ==
01skjngvc4j6m7llpce8bdusfsj17lc2.amsterdam.	600	in	nsec3	1 0 0 - 01TJKK4Q6K9H3B7J015DC6PA42IF7D3O NS
01skjngvc4j6m7llpce8bdusfsj17lc2.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220182855 20260123093210 48007 amsterdam. s68toMojzHs6f6qcZ2Wl1FZcmFAuMAkD9DDUa0FXa9sv3Uy/Yu0ujgHs5tDQaV9KlHjDmW1qWDBxXifmi5ARsw==
01tjkk4q6k9h3b7j015dc6pa42if7d3o.amsterdam.	600	in	nsec3	1 0 0 - 01UKB0BC8OF3238EHELEJ9M5T718A1PN NS
01tjkk4q6k9h3b7j015dc6pa42if7d3o.amsterdam.	600	in	rrsig	NSEC3 13 2 600 20260220101712 20260123093210 48007 amsterdam. Kqx7pW/qkMorQ+lIujQT57jct/ey0ppHSSpkckLc7/9y8EEBFyLzSXps4e2LpVohGGAfiTg8EZypKWFLmlUOyA==
