100s.soccer.	3600	in	ds	2015 8 2 109F237E33F50132C7CAD9B5876B733BA0943084E4B02EF9743AA93E02796CF4
100s.soccer.	3600	in	ns	ns-cloud-d1.googledomains.com.
100s.soccer.	3600	in	ns	ns-cloud-d2.googledomains.com.
100s.soccer.	3600	in	ns	ns-cloud-d3.googledomains.com.
100s.soccer.	3600	in	ns	ns-cloud-d4.googledomains.com.
100s.soccer.	3600	in	rrsig	DS 8 2 3600 20251022161055 20251001151055 56556 soccer. j7aIZ8Adv2axiRJnOK+AwQYUeXAKnd0gwZ8JJdGVzQX7qoNCZmpLbFoFiCOYsRKU4oOtu5SsJ87bb7CTaL7t/Ro0M14Atio5eQVC5Zi1UIO5ketlgcm6/Me07ZWeITZDX6OIlr1a/mS+5W+KoLPwoKMTY/mlc6PYVCR71nFf8wo=
101.soccer.	3600	in	ns	ns77.domaincontrol.com.
101.soccer.	3600	in	ns	ns78.domaincontrol.com.
10star.soccer.	3600	in	ns	clark.ns.cloudflare.com.
10star.soccer.	3600	in	ns	haley.ns.cloudflare.com.
11.soccer.	3600	in	ns	ns03.domaincontrol.com.
11.soccer.	3600	in	ns	ns04.domaincontrol.com.
111.soccer.	3600	in	ns	curitiba.ns.porkbun.com.
111.soccer.	3600	in	ns	fortaleza.ns.porkbun.com.
111.soccer.	3600	in	ns	maceio.ns.porkbun.com.
111.soccer.	3600	in	ns	salvador.ns.porkbun.com.
11700.soccer.	3600	in	ns	dns.technorail.com.
11700.soccer.	3600	in	ns	dns2.technorail.com.
11700.soccer.	3600	in	ns	dns3.arubadns.net.
11700.soccer.	3600	in	ns	dns4.arubadns.cz.
11b.soccer.	3600	in	ns	ns39.domaincontrol.com.
11b.soccer.	3600	in	ns	ns40.domaincontrol.com.
11bet.soccer.	3600	in	ns	darl.ns.cloudflare.com.
11bet.soccer.	3600	in	ns	jessica.ns.cloudflare.com.
11iq.soccer.	3600	in	ns	ns1.dyna-ns.net.
11iq.soccer.	3600	in	ns	ns2.dyna-ns.net.
11v11.soccer.	3600	in	ds	33811 8 2 F8078842749B6881D50E9B949C2831BCD08D7367650372E69B56379AB256BEA9
11v11.soccer.	3600	in	ns	ns-cloud-c1.googledomains.com.
11v11.soccer.	3600	in	ns	ns-cloud-c2.googledomains.com.
11v11.soccer.	3600	in	ns	ns-cloud-c3.googledomains.com.
11v11.soccer.	3600	in	ns	ns-cloud-c4.googledomains.com.
11v11.soccer.	3600	in	rrsig	DS 8 2 3600 20251022161055 20251001151055 56556 soccer. FWMaStBhZRcT6pEow6lfUzC/Pwp06EO1DxcIgg35JVVW2ddprwMPLvqh46atIOz4joYEkTaZThCWQLKpIOwlOD/n8isL3i4kXra/jWcq1e9jWj8FgSo0sNhu11sjnY1H/SlKH6TKiIA3YeTLLLeeZFy+Du8N6johDMlPcJS8ubw=
123.soccer.	3600	in	ns	dns1.name-services.com.
123.soccer.	3600	in	ns	dns2.name-services.com.
123.soccer.	3600	in	ns	dns3.name-services.com.
123.soccer.	3600	in	ns	dns4.name-services.com.
123.soccer.	3600	in	ns	dns5.name-services.com.
123b.soccer.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.soccer.	3600	in	ns	sandy.ns.cloudflare.com.
12bet.soccer.	3600	in	ns	desi.ns.cloudflare.com.
12bet.soccer.	3600	in	ns	woz.ns.cloudflare.com.
142uqc9vp325n61e95r3d1o238rqrpsb.soccer.	3600	in	nsec3	1 1 0 73 18JGGU4TEAM75LT255IP2DMGL3FKD9S0 NS DS RRSIG
142uqc9vp325n61e95r3d1o238rqrpsb.soccer.	3600	in	rrsig	NSEC3 8 2 3600 20251022161055 20251001151055 56556 soccer. P6qhxGyzQJe976qFcjlNYnMsTl4e8C376t+yDfSFgq1PVN5IKnTKQbIl4JJyn3M91hZKa4wV0XNG5D5o8zbXy7yvMGvbk1xNcRO2oNOZZ9U8qWDjMADGl9Tp+lw7CnCQHy8LFyacv8Ch2FLK6fEME4KBq2uoH264ZL5p/GXBb2M=
168galaxy.soccer.	3600	in	ns	ns1hwy.name.com.
168galaxy.soccer.	3600	in	ns	ns2lns.name.com.
168galaxy.soccer.	3600	in	ns	ns3dgr.name.com.
168galaxy.soccer.	3600	in	ns	ns4lrt.name.com.
181bet.soccer.	3600	in	ns	ns1.dnsowl.com.
181bet.soccer.	3600	in	ns	ns2.dnsowl.com.
181bet.soccer.	3600	in	ns	ns3.dnsowl.com.
188bet.soccer.	3600	in	ns	pdns95.ultradns.biz.
188bet.soccer.	3600	in	ns	pdns95.ultradns.com.
188bet.soccer.	3600	in	ns	pdns95.ultradns.net.
188bet.soccer.	3600	in	ns	pdns95.ultradns.org.
18jggu4team75lt255ip2dmgl3fkd9s0.soccer.	3600	in	nsec3	1 1 0 73 1BOA8FNS6FOOFKB7B04BKD2NASFAFOK4 NS DS RRSIG
18jggu4team75lt255ip2dmgl3fkd9s0.soccer.	3600	in	rrsig	NSEC3 8 2 3600 20251022161055 20251001151055 56556 soccer. D9yvR6xgLrKXoWeAcRggfiEAtFDTQ1zBn/RunAaZh2lZe3Lrqn5+4y2GLRrFX1MrWbUB6DeZXd6I5wVQfnuUNvjDnJa6i/gLTgsFHynNME+GIRzYtpXZDz6v31ZuxXvUAz199aE5JT0gCsizxutQAu5rT7TwedQG1pCw1kpdgu4=
1boa8fns6foofkb7b04bkd2nasfafok4.soccer.	3600	in	nsec3	1 1 0 73 1D577O6GFAN4TBLFNG8D5S8JR01H9PK0 NS DS RRSIG
