009451826.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
009451826.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
00kn1t.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
00kn1t.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0103165122.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0103165122.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
01045015.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
01045015.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0105297266.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0105297266.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0107657933.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0107657933.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0110326836.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0110326836.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
011178841.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
011178841.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
011192746.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
011192746.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
01138421.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
01138421.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0117478606.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
0117478606.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
01206444.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
01206444.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
012216721.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
012216721.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
01221965.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
01221965.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
01238626.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
01238626.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
012621956.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
012621956.xn--t60b56a.	172800	in	ns	ns2.dyna-ns.net.
0131061305.xn--t60b56a.	172800	in	ns	ns1.dyna-ns.net.
