adobe-elearning.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
adobe-elearning.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
adobe-elearning.abbott.	3600	in	ns	rossns.abbott.com.
adobe-elearning.abbott.	3600	in	ns	rossns2.abbott.com.
ae.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ae.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ae.abbott.	3600	in	ns	rossns.abbott.com.
ae.abbott.	3600	in	ns	rossns2.abbott.com.
ahi.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ahi.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ahi.abbott.	3600	in	ns	rossns.abbott.com.
ahi.abbott.	3600	in	ns	rossns2.abbott.com.
aliniqinsight.abbott.	3600	in	ns	pdns111.ultradns.biz.
aliniqinsight.abbott.	3600	in	ns	pdns111.ultradns.com.
aliniqinsight.abbott.	3600	in	ns	pdns111.ultradns.net.
aliniqinsight.abbott.	3600	in	ns	pdns111.ultradns.org.
alive.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
alive.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
alive.abbott.	3600	in	ns	rossns.abbott.com.
alive.abbott.	3600	in	ns	rossns2.abbott.com.
americalatina.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
americalatina.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
americalatina.abbott.	3600	in	ns	rossns.abbott.com.
americalatina.abbott.	3600	in	ns	rossns2.abbott.com.
antibodytesting.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
antibodytesting.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
antibodytesting.abbott.	3600	in	ns	rossns.abbott.com.
antibodytesting.abbott.	3600	in	ns	rossns2.abbott.com.
apachfexcellence.abbott.	3600	in	ns	ns-1304.awsdns-35.org.
apachfexcellence.abbott.	3600	in	ns	ns-1724.awsdns-23.co.uk.
apachfexcellence.abbott.	3600	in	ns	ns-58.awsdns-07.com.
apachfexcellence.abbott.	3600	in	ns	ns-917.awsdns-50.net.
apdc24survey.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
apdc24survey.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
apdc24survey.abbott.	3600	in	ns	rossns.abbott.com.
apdc24survey.abbott.	3600	in	ns	rossns2.abbott.com.
apw.abbott.	3600	in	ns	a1-242.akam.net.
apw.abbott.	3600	in	ns	a11-67.akam.net.
apw.abbott.	3600	in	ns	a16-65.akam.net.
apw.abbott.	3600	in	ns	a22-66.akam.net.
apw.abbott.	3600	in	ns	a6-65.akam.net.
apw.abbott.	3600	in	ns	a9-64.akam.net.
ar.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ar.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ar.abbott.	3600	in	ns	rossns.abbott.com.
ar.abbott.	3600	in	ns	rossns2.abbott.com.
arabia.abbott.	3600	in	ns	a1-242.akam.net.
arabia.abbott.	3600	in	ns	a11-67.akam.net.
arabia.abbott.	3600	in	ns	a16-65.akam.net.
arabia.abbott.	3600	in	ns	a22-66.akam.net.
arabia.abbott.	3600	in	ns	a6-65.akam.net.
arabia.abbott.	3600	in	ns	a9-64.akam.net.
at.abbott.	3600	in	ns	a1-242.akam.net.
at.abbott.	3600	in	ns	a11-67.akam.net.
at.abbott.	3600	in	ns	a16-65.akam.net.
at.abbott.	3600	in	ns	a22-66.akam.net.
at.abbott.	3600	in	ns	a6-65.akam.net.
at.abbott.	3600	in	ns	a9-64.akam.net.
athi.abbott.	3600	in	ns	a1-242.akam.net.
athi.abbott.	3600	in	ns	a11-67.akam.net.
athi.abbott.	3600	in	ns	a16-65.akam.net.
athi.abbott.	3600	in	ns	a22-66.akam.net.
athi.abbott.	3600	in	ns	a6-65.akam.net.
athi.abbott.	3600	in	ns	a9-64.akam.net.
aus.abbott.	3600	in	ns	a1-242.akam.net.
aus.abbott.	3600	in	ns	a11-67.akam.net.
aus.abbott.	3600	in	ns	a16-65.akam.net.
aus.abbott.	3600	in	ns	a22-66.akam.net.
aus.abbott.	3600	in	ns	a6-65.akam.net.
aus.abbott.	3600	in	ns	a9-64.akam.net.
australia.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
australia.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
australia.abbott.	3600	in	ns	rossns.abbott.com.
australia.abbott.	3600	in	ns	rossns2.abbott.com.
austria.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
austria.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
austria.abbott.	3600	in	ns	rossns.abbott.com.
austria.abbott.	3600	in	ns	rossns2.abbott.com.
autolink.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
autolink.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
autolink.abbott.	3600	in	ns	rossns.abbott.com.
autolink.abbott.	3600	in	ns	rossns2.abbott.com.
b0.nic.abbott.	3600	in	a	65.22.157.41
b0.nic.abbott.	3600	in	aaaa	2a01:8840:009b:0000:0000:0000:0000:0041
bethe1donor.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
bethe1donor.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
bethe1donor.abbott.	3600	in	ns	rossns.abbott.com.
bethe1donor.abbott.	3600	in	ns	rossns2.abbott.com.
binaxcheck.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxcheck.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxcheck.abbott.	3600	in	ns	rossns.abbott.com.
binaxcheck.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnow-navica-training.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnow-navica-training.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnow-navica-training.abbott.	3600	in	ns	rossns.abbott.com.
binaxnow-navica-training.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnow-navica.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnow-navica.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnow-navica.abbott.	3600	in	ns	rossns.abbott.com.
binaxnow-navica.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnow-selftest.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnow-selftest.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnow-selftest.abbott.	3600	in	ns	rossns.abbott.com.
binaxnow-selftest.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnow.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnow.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnow.abbott.	3600	in	ns	rossns.abbott.com.
binaxnow.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnowcombo-selftest.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnowcombo-selftest.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnowcombo-selftest.abbott.	3600	in	ns	rossns.abbott.com.
binaxnowcombo-selftest.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnowhometest.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnowhometest.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnowhometest.abbott.	3600	in	ns	rossns.abbott.com.
binaxnowhometest.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnowlookup.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnowlookup.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnowlookup.abbott.	3600	in	ns	rossns.abbott.com.
binaxnowlookup.abbott.	3600	in	ns	rossns2.abbott.com.
binaxnowsavings.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
binaxnowsavings.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
binaxnowsavings.abbott.	3600	in	ns	rossns.abbott.com.
binaxnowsavings.abbott.	3600	in	ns	rossns2.abbott.com.
biowearables.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
biowearables.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
biowearables.abbott.	3600	in	ns	rossns.abbott.com.
biowearables.abbott.	3600	in	ns	rossns2.abbott.com.
br.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
br.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
br.abbott.	3600	in	ns	rossns.abbott.com.
br.abbott.	3600	in	ns	rossns2.abbott.com.
brandcentral.abbott.	3600	in	ns	ns-1245.awsdns-27.org.
brandcentral.abbott.	3600	in	ns	ns-1877.awsdns-42.co.uk.
brandcentral.abbott.	3600	in	ns	ns-421.awsdns-52.com.
brandcentral.abbott.	3600	in	ns	ns-764.awsdns-31.net.
brandcheck.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
brandcheck.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
brandcheck.abbott.	3600	in	ns	rossns.abbott.com.
brandcheck.abbott.	3600	in	ns	rossns2.abbott.com.
brandidentity.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
brandidentity.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
brandidentity.abbott.	3600	in	ns	rossns.abbott.com.
brandidentity.abbott.	3600	in	ns	rossns2.abbott.com.
brandtraining.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
brandtraining.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
brandtraining.abbott.	3600	in	ns	rossns.abbott.com.
brandtraining.abbott.	3600	in	ns	rossns2.abbott.com.
brasil.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
brasil.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
brasil.abbott.	3600	in	ns	rossns.abbott.com.
brasil.abbott.	3600	in	ns	rossns2.abbott.com.
brazil.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
brazil.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
brazil.abbott.	3600	in	ns	rossns.abbott.com.
brazil.abbott.	3600	in	ns	rossns2.abbott.com.
bringhealthtolife.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
bringhealthtolife.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
bringhealthtolife.abbott.	3600	in	ns	rossns.abbott.com.
bringhealthtolife.abbott.	3600	in	ns	rossns2.abbott.com.
bringinghealthtolife.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
bringinghealthtolife.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
bringinghealthtolife.abbott.	3600	in	ns	rossns.abbott.com.
bringinghealthtolife.abbott.	3600	in	ns	rossns2.abbott.com.
btsgiro.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
btsgiro.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
btsgiro.abbott.	3600	in	ns	rossns.abbott.com.
btsgiro.abbott.	3600	in	ns	rossns2.abbott.com.
c0.nic.abbott.	3600	in	a	65.22.158.41
c0.nic.abbott.	3600	in	aaaa	2a01:8840:009c:0000:0000:0000:0000:0041
c2c.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
c2c.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
c2c.abbott.	3600	in	ns	rossns.abbott.com.
c2c.abbott.	3600	in	ns	rossns2.abbott.com.
ca.abbott.	3600	in	ns	a1-242.akam.net.
ca.abbott.	3600	in	ns	a11-67.akam.net.
ca.abbott.	3600	in	ns	a16-65.akam.net.
ca.abbott.	3600	in	ns	a22-66.akam.net.
ca.abbott.	3600	in	ns	a6-65.akam.net.
ca.abbott.	3600	in	ns	a9-64.akam.net.
canada.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
canada.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
canada.abbott.	3600	in	ns	rossns.abbott.com.
canada.abbott.	3600	in	ns	rossns2.abbott.com.
cardiovascular.abbott.	3600	in	ns	a1-242.akam.net.
cardiovascular.abbott.	3600	in	ns	a11-67.akam.net.
cardiovascular.abbott.	3600	in	ns	a16-65.akam.net.
cardiovascular.abbott.	3600	in	ns	a22-66.akam.net.
cardiovascular.abbott.	3600	in	ns	a6-65.akam.net.
cardiovascular.abbott.	3600	in	ns	a9-64.akam.net.
ces-experience.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ces-experience.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ces-experience.abbott.	3600	in	ns	rossns.abbott.com.
ces-experience.abbott.	3600	in	ns	rossns2.abbott.com.
ces.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ces.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ces.abbott.	3600	in	ns	rossns.abbott.com.
ces.abbott.	3600	in	ns	rossns2.abbott.com.
ceskarepublika.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ceskarepublika.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ceskarepublika.abbott.	3600	in	ns	rossns.abbott.com.
ceskarepublika.abbott.	3600	in	ns	rossns2.abbott.com.
ch.abbott.	3600	in	ns	a1-242.akam.net.
ch.abbott.	3600	in	ns	a11-67.akam.net.
ch.abbott.	3600	in	ns	a16-65.akam.net.
ch.abbott.	3600	in	ns	a22-66.akam.net.
ch.abbott.	3600	in	ns	a6-65.akam.net.
ch.abbott.	3600	in	ns	a9-64.akam.net.
chn.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
chn.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
chn.abbott.	3600	in	ns	rossns.abbott.com.
chn.abbott.	3600	in	ns	rossns2.abbott.com.
ci.abbott.	3600	in	ns	abtnsdmz1.abbott.com.
ci.abbott.	3600	in	ns	abtnsdmz2.abbott.com.
ci.abbott.	3600	in	ns	rossns.abbott.com.
ci.abbott.	3600	in	ns	rossns2.abbott.com.
