02blkl2nplbag252do01rlm39fou333m.care.	3600	in	nsec3	1 1 0 73 039ER88BB20A1JH60PMPVJ0C1TDM9P5K NS DS RRSIG
02blkl2nplbag252do01rlm39fou333m.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. D1xpP1b4rT6c0iL4apx7Bpw1c3tHRiE/SMO+Y6QMnChnSmV85aaDuAsOwQelQo0qwW2W+vD5xlS6EMbLrplzKdzT76JFkTaogHYA+3Xve7W3y+WjpkayOuXr3+GLSN/0hwkuvNZuVv3e0uObgk28PlZ8XJdL0vuIl9IL2jQnLgI=
03855.care.	3600	in	ns	n1.xundns.com.
03855.care.	3600	in	ns	n2.xundns.com.
039er88bb20a1jh60pmpvj0c1tdm9p5k.care.	3600	in	nsec3	1 1 0 73 03EV8R7URFAHAUGASI4VER9ERLMVBMLE NS DS RRSIG
039er88bb20a1jh60pmpvj0c1tdm9p5k.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. rxE03u9xHH0uJB9E86E9KkIZO2Byl3kB/DfP+pEvV+d/4q7gVpn94UDfjMpeFUVoTTqJbUdWwz3ZDseNxTHf6noyR7pFKg5OJZycqkAjR3C5he9ixaSmpaOpLax0brCrYZEnx1d3pKOE6UznnErfiGsjsjcd0oFJw92jUH7H4Ao=
03ev8r7urfahaugasi4ver9erlmvbmle.care.	3600	in	nsec3	1 1 0 73 03ORCFHA1HHARBQ2Q1R8RVRBSNMEG7TG NS DS RRSIG
03ev8r7urfahaugasi4ver9erlmvbmle.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. gWrOE4dZ0qLa36lXeReimMf4XJu23+qEit73M4BmD0vTCusiOnxZEu4CCfmnU1HfTzHxvc2D7tvczcgEeNmXIPstNbmVBnU3uo+NlQsjLKNPf+w/KFnesQoxDTkUQY+EfgpBrf+zmXlbeci1pVriTtyZ+91HgKCaOMAS7G5genQ=
03orcfha1hharbq2q1r8rvrbsnmeg7tg.care.	3600	in	nsec3	1 1 0 73 03VOIFO080T126HFQ8H52BJ4CHRS9N51 NS DS RRSIG
03orcfha1hharbq2q1r8rvrbsnmeg7tg.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. eZpdGx8WScCDrHZVrwvsgOq2Nxdn8jnHkq3sSa93fFLN8noMSeeghCqU4YvdteH1px930Yc6U9/71H8EjarPg2ZhIH3O3GlrtXjAbeOf/XeEb1/A6lid4u2md2H3LRDNGNxtSBbbqHCfyw+gwPQWaNRNIWtokVI9qf7VLLhAUHM=
03voifo080t126hfq8h52bj4chrs9n51.care.	3600	in	nsec3	1 1 0 73 042TNO48M185IUQMF5RHR3L1BS3JTLQG NS DS RRSIG
03voifo080t126hfq8h52bj4chrs9n51.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. kbcft3YrA08b42k6I0rfRq36Y/ddkXZ0tyoP/bayjIiB9JLtG5tL4rJTKro9s6nmHrOg00IofZRmUu1/MYTE/39A/QjYSZnYWd0ByOqYNpMC/0vXNaSOGP8Dqq/r0MRioFDNrzwrwaZ8uYM4lVfgr0gVvasctmSuLODBil2xNw0=
042tno48m185iuqmf5rhr3l1bs3jtlqg.care.	3600	in	nsec3	1 1 0 73 04G3OVL8CIR2M7FOU3NQUCH91NL9A6FA NS DS RRSIG
042tno48m185iuqmf5rhr3l1bs3jtlqg.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. P1TgdSNoCEvP202iEVgjCQKP+ljqmj9m2iOu26tvbeahKfh9iezrJULsRmqlKfOlP2jJwj6l8kj0vg2d/nTM13E04k4LkuIeSlse2S2LJnnGf6b4dk7fHA62G6dJX1uoAysj2X7GCgggqUpLAfqC0a7ofD6z4ya8/mCGgtjByYM=
04g3ovl8cir2m7fou3nquch91nl9a6fa.care.	3600	in	nsec3	1 1 0 73 04L6GK1D4JIQ7PV6OK4SC3QLN23KB1D2 NS DS RRSIG
04g3ovl8cir2m7fou3nquch91nl9a6fa.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. PH3wsToslfdd0hOZ0E3FyIEKsGG05RmTADOXqpSob48biwU5fyj7eQVQPkhsGUtUcPwJqyYV4NzTgRDspY6v6+Up2H9Ay3pnd/GFa6ievS+o0wzz2lo0LI8POvNYTUqkMs5f8HWqa67NIbYTQ94T7HigfqZJbqF9lAJ2gk7uzDs=
04l6gk1d4jiq7pv6ok4sc3qln23kb1d2.care.	3600	in	nsec3	1 1 0 73 04MKTG13S66RFG8SVK31DOR1KSA51A2J NS DS RRSIG
04l6gk1d4jiq7pv6ok4sc3qln23kb1d2.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. K3W/IL9ypr0Wsh03G3UPkDjm4M4QkAzQ2VkjP/8DeRt0tDQDhxtmO3U702/xuuoBTlrcgFhOen9N918tBbAW60sIh5P1L2EJUIXqUnyzKadwx1JxQaqk3G6ESqXtnhYkX4megdSd+OozXnvK4IRRHQ+ccL/VhZjCJU08CNRvAKA=
04mktg13s66rfg8svk31dor1ksa51a2j.care.	3600	in	nsec3	1 1 0 73 051KA7V20RVC4L7466EMPQAUJGKLGL7B NS DS RRSIG
04mktg13s66rfg8svk31dor1ksa51a2j.care.	3600	in	rrsig	NSEC3 8 2 3600 20260122152628 20260101142628 9390 care. bxgMmChRbyEG5Wg1YZqhUtngoAjJ4ubmr/lNR5hj8Y02ApRoWCamJrVSW3v9B9bKgL5a6SEVnQXEQf7ycoBUbOvwHxvfusZYn6ig7x9yLuAXFqZ+EWb0N4ORsU54V7SNtFgmHs+ggdG5u5PelZabwHJd0gHcWTlxZ0Im1yyA8CY=
051ka7v20rvc4l7466empqaujgklgl7b.care.	3600	in	nsec3	1 1 0 73 053C16AJS5Q9HRMKJ4U8KJIG4501L3AJ NS DS RRSIG
