010nh03prbnd6r0humujj7nkm7tep6mq.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. Wbqp88MbmkKlP7WEA/Aa7+dQQIb7wcQDHMdVgpGU9zrslQhXBpnEDD5WqMVxKTvyvPXcg26BZBjaIXRlqNOI7sKbXBepeZoUZC6mg/6xVMmrPrbvngmwXg/cAlht0ll1ywu8IvOcv5UX1qJ9kPMfJvb0SIymFL1MFpSFTz6YV+c=
0123movie.mov.	10800	in	ns	ns1.parkingcrew.net.
0123movie.mov.	10800	in	ns	ns2.parkingcrew.net.
01363.mov.	10800	in	ns	a.dnspod.com.
01363.mov.	10800	in	ns	b.dnspod.com.
01363.mov.	10800	in	ns	c.dnspod.com.
015sojeleb5iudj1c88ptpl74clqs1lh.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 0190UPMK6EN2824257REG0VNCANUGRNB NS
015sojeleb5iudj1c88ptpl74clqs1lh.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. QhR5Xnjhv1RsKdHSckjK7ox63/RjTZjpokUzcFINKESfcGlTnwKa5+6DbE1+02MRsiwVU6xzeSj1vdIiqOfRqPHFxdc8Rf7TKbuoEb1BscPBgNuqjrHuvnUI8xdN5lbsKHe2LTDUuvQLmHvfB05qToytdsbL0DRodHGuWKPNa+Q=
01729.mov.	10800	in	ns	ns1.dnsip.com.
01729.mov.	10800	in	ns	ns2.dnsip.com.
0190upmk6en2824257reg0vncanugrnb.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 01F4HT97CP41E924P8A71Q9S7F8OE4T2 NS
0190upmk6en2824257reg0vncanugrnb.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. L7jjSYGMcSlVIRzhIcJ+Riu25xqnYNRrpCQ3oPreZONuW9rxoN7vKqC32sJkhAkAkabfEXqYXb3L2+NjzJHYwc6KVHX7H4zB9QdMu1ElNz/F097IVxP+SxQp+Bar6tPs8Z/l+Ybdc0szZidhCLAsM2Z3ckyUG5qeh7xoxvJjkb4=
01f4ht97cp41e924p8a71q9s7f8oe4t2.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 01F8IPOLV1EA4MC8STE3LC6VLKD4P9H1 NS
01f4ht97cp41e924p8a71q9s7f8oe4t2.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. aVq45XuaOlWWaDUxX2CFgQTd+fw56jngkWxOqIZHN1P6ETEIUwe4goJDVhjKwJGZs0tChKqE/WnjGL1RCulsIadyO16une2eedv5U4qvM4GE+Dth6qks9pgv5kUO/Wt9Ihd/ZRrAjj9xRxyCCDINiXUX1UKAHxUEcpIrtQOiZh8=
01f8ipolv1ea4mc8ste3lc6vlkd4p9h1.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 01OD8VRIDS0TD8NG32HDDK2P3MDQK45B NS
01f8ipolv1ea4mc8ste3lc6vlkd4p9h1.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. AawYMwlx8THOTXPeOJIJoaXgjeGzPptBxYpcJlhXw+mnSTjbeDgo8kZRHkqx6O+QQ/hm0u26B6CRdVPsqfnbNgaoWkkN259fcrLqJX9VN+wZhNyoFW8SRxCXo6mAqYY/4/PYC1SXeBLqP3IJOY835GLmaMQvF03hxgGAoAVqrTM=
01od8vrids0td8ng32hddk2p3mdqk45b.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 01OIEBPSJL9K5J58EQQ3TE0HJH5VGMSH NS
01od8vrids0td8ng32hddk2p3mdqk45b.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. WS8RTg9VG874IRCOAu3ag/A6R1FIAyTrJo3U/7r3vEei0HWKg172PNeOpecY5pUMZv6bHO97LbfGnXgdMFB+bwkQ/jzzy6gEHluUEnVr47QX8QXJzf15NGyEq7+Fp8Ot5sWWoJuQfigUFblr04t0A4yhb8x560eCyPRXZRPj7ow=
01oiebpsjl9k5j58eqq3te0hjh5vgmsh.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 022MJ09BNIT2PGRU3DMQ2LQVFOA05NSM NS
