00885.pink.	3600	in	ns	a.dnspod.com.
00885.pink.	3600	in	ns	b.dnspod.com.
00885.pink.	3600	in	ns	c.dnspod.com.
00890.pink.	3600	in	ns	n1.xundns.com.
00890.pink.	3600	in	ns	n2.xundns.com.
00891.pink.	3600	in	ns	ns1.dns.com.
00891.pink.	3600	in	ns	ns2.dns.com.
00895.pink.	3600	in	ns	ns1.dns.com.
00895.pink.	3600	in	ns	ns2.dns.com.
00898.pink.	3600	in	ns	ns1.dns.com.
00898.pink.	3600	in	ns	ns2.dns.com.
00899.pink.	3600	in	ns	ns7.alidns.com.
00899.pink.	3600	in	ns	ns8.alidns.com.
00904.pink.	3600	in	ns	ns1.dns.com.
00904.pink.	3600	in	ns	ns2.dns.com.
00934.pink.	3600	in	ns	a.dnspod.com.
00934.pink.	3600	in	ns	b.dnspod.com.
00934.pink.	3600	in	ns	c.dnspod.com.
00941.pink.	3600	in	ns	a.dnspod.com.
00941.pink.	3600	in	ns	b.dnspod.com.
00941.pink.	3600	in	ns	c.dnspod.com.
00974.pink.	3600	in	ns	ns1.dnsip.com.
00974.pink.	3600	in	ns	ns2.dnsip.com.
00982.pink.	3600	in	ns	ns1.dns.com.
00982.pink.	3600	in	ns	ns2.dns.com.
009871.pink.	3600	in	ns	ns1.1233dns.com.
009871.pink.	3600	in	ns	ns2.951dns.com.
010.pink.	3600	in	ns	ns1-show.myhostadmin.net.
010.pink.	3600	in	ns	ns2-show.myhostadmin.net.
01003.pink.	3600	in	ns	n1.xundns.com.
01003.pink.	3600	in	ns	n2.xundns.com.
01008.pink.	3600	in	ns	ns1.dns.com.
01008.pink.	3600	in	ns	ns2.dns.com.
01021.pink.	3600	in	ns	ns1.dyna-ns.net.
01021.pink.	3600	in	ns	ns2.dyna-ns.net.
010348.pink.	3600	in	ns	ns1.1233dns.com.
010348.pink.	3600	in	ns	ns2.951dns.com.
010352.pink.	3600	in	ns	ns1.1233dns.com.
010352.pink.	3600	in	ns	ns2.951dns.com.
0104.pink.	3600	in	ns	ns1.1233dns.com.
0104.pink.	3600	in	ns	ns2.951dns.com.
01047.pink.	3600	in	ns	a.dnspod.com.
01047.pink.	3600	in	ns	b.dnspod.com.
01047.pink.	3600	in	ns	c.dnspod.com.
01060.pink.	3600	in	ns	ns1.dnsip.com.
01060.pink.	3600	in	ns	ns2.dnsip.com.
01076.pink.	3600	in	ns	ns1.dns.com.
01076.pink.	3600	in	ns	ns2.dns.com.
01077.pink.	3600	in	ns	ns1.dnsip.com.
01077.pink.	3600	in	ns	ns2.dnsip.com.
01080.pink.	3600	in	ns	a.dnspod.com.
01080.pink.	3600	in	ns	b.dnspod.com.
01080.pink.	3600	in	ns	c.dnspod.com.
010922.pink.	3600	in	ns	ns1.dyna-ns.net.
010922.pink.	3600	in	ns	ns2.dyna-ns.net.
01098.pink.	3600	in	ns	ns1.dns.com.
01098.pink.	3600	in	ns	ns2.dns.com.
010993.pink.	3600	in	ns	ns1.dyna-ns.net.
010993.pink.	3600	in	ns	ns2.dyna-ns.net.
011.pink.	3600	in	ns	ns1.dyna-ns.net.
011.pink.	3600	in	ns	ns2.dyna-ns.net.
01109.pink.	3600	in	ns	n1.xundns.com.
01109.pink.	3600	in	ns	n2.xundns.com.
01111.pink.	3600	in	ns	expire1.gname-dns.com.
01111.pink.	3600	in	ns	expire2.gname-dns.com.
01113.pink.	3600	in	ns	n1.xundns.com.
01113.pink.	3600	in	ns	n2.xundns.com.
01116.pink.	3600	in	ns	a.dnspod.com.
