365hockey.hockey.	3600	in	ns	ns1.hover.com.
365hockey.hockey.	3600	in	ns	ns2.hover.com.
3d.hockey.	3600	in	ns	ns12.wixdns.net.
3d.hockey.	3600	in	ns	ns13.wixdns.net.
3on3.hockey.	3600	in	ns	ken.ns.cloudflare.com.
3on3.hockey.	3600	in	ns	uma.ns.cloudflare.com.
3qeib739du67l45gs9l3lhkv884r17fs.hockey.	3600	in	nsec3	1 1 0 73 4B6C3825M8K757D1RHCCSBVC6T1OIIEJ NS DS RRSIG
3qeib739du67l45gs9l3lhkv884r17fs.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. v/NYVdcb6jqWAe6hh72rIuUg+KpKLV6onjMfKZW6le7ePSMR8MoYFxBcWJSFjWvfP6ehakViiDCULLTn5eYtF+ce35Zq9/til73aZ6WqdPBQFiXbuvSxDBBduCv2CeIW9R5aVTE8i0LBLlZC2OUrgNrH7W7Q7dUwTyRuomspb5M=
3rdline.hockey.	3600	in	ns	ns1fkl.name.com.
3rdline.hockey.	3600	in	ns	ns2fhn.name.com.
3rdline.hockey.	3600	in	ns	ns3cgw.name.com.
3rdline.hockey.	3600	in	ns	ns4kpx.name.com.
3rdlinedrafts.hockey.	3600	in	ns	ns1fkl.name.com.
3rdlinedrafts.hockey.	3600	in	ns	ns2fhn.name.com.
3rdlinedrafts.hockey.	3600	in	ns	ns3cgw.name.com.
3rdlinedrafts.hockey.	3600	in	ns	ns4kpx.name.com.
3v3.hockey.	3600	in	ns	dns1.registrar-servers.com.
3v3.hockey.	3600	in	ns	dns2.registrar-servers.com.
45d69f8fbb9d29ee7f079545c2c5d365.vybhcgkthd.nl.hockey.	3600	in	a	78.223.49.83
49.hockey.	3600	in	ns	dns11.ovh.net.
49.hockey.	3600	in	ns	ns11.ovh.net.
4b6c3825m8k757d1rhccsbvc6t1oiiej.hockey.	3600	in	nsec3	1 1 0 73 4IJ8TLVK54HGBPDVOF0PNORUDPF1M6BI NS DS RRSIG
4b6c3825m8k757d1rhccsbvc6t1oiiej.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. QhdAqD3jujkd7wP8ClpqiyWljWt7n4+OKxi4N2JgpnKIUuFXsoUsTgRRa8rXiRqLmt0imgMkW1a4M0jgd5Z8x39kx1K4WiTPLlV+J8SB0whuabUfGle0CInKEv1+3zawblFpYfLZBAZ6jqTtTbAiWbt8r3fbDNMW5gUSI7Se8IA=
4ij8tlvk54hgbpdvof0pnorudpf1m6bi.hockey.	3600	in	nsec3	1 1 0 73 4KKTTUFQB3V95DLHRT7J78G6AATSL0AS NS DS RRSIG
4ij8tlvk54hgbpdvof0pnorudpf1m6bi.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. zwf1fyISedgLM/cfdn2HHnDq1kGmLR0Undvz8qlB5vTouYzM5U9VcMKvCZmeiriwTxi6hRTvdYihg0YWgHIQ0eAgm+k0owwlBCiXdm40lC10JswHQBNWX548fQUjiYTsomZHtMdqOK9Hg99Iaxv2Nu1Ajko/xyBG8yT/zw8O4hg=
4kkttufqb3v95dlhrt7j78g6aatsl0as.hockey.	3600	in	nsec3	1 1 0 73 4LLPD00GQE4R379JRH14SOGQOL0BABIP NS DS RRSIG
4kkttufqb3v95dlhrt7j78g6aatsl0as.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. xtiFWlH5tDdjWqgFgvAUxCEZy6eWj/SCfzXBzeEauJfdjd104WlzpYr1ZRVibtz4upO9QT43RwlUDCNLybwJEmrZ6C3vXQJD7TRanyKLFt/gakgCWu4V/4fUAQH/wx7jW9SHScO/DKSPCrY1SL29sF6uIKPmPFk6sH33OpGiikA=
4llpd00gqe4r379jrh14sogqol0babip.hockey.	3600	in	nsec3	1 1 0 73 51GPBUS6N6TO5S7E9U8G9JE6N0P0QK6O NS DS RRSIG
