00photbqk6i2rlf38uh7jkgi1rrb1qui.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. EEeu1wguynGkV9jnad2LvyHB2wVCYke52Q4+W714hJHI/yNbz94pdxuOwFg117MDs6a2xfbOFXauVoacdFsbjoEMrO9PSvmDFu00RLF6RRBdRUW9YUoyZxVzrL67/WVwYCO5ZLfKIhQj+hD00Q+63cY5/bEr0ALc5RHeW2yWkek=
00v2qg0uk8ieg6scd0qfattch7u9mc30.partners.	3600	in	nsec3	1 1 0 73 01QM1BQCBJ00RBGFT0ODFVFG0F0RAQ0Q NS DS RRSIG
00v2qg0uk8ieg6scd0qfattch7u9mc30.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. XenlXOiFwyYxuC7GoadJMlBXmTYU4T4kLIVU8nvWU8W302/ppH+hdsdeuaoUwP6rPLEkRK8iGy2Lf471YP7aaGa8x8YmeAG/VeCjOTvZ/96mSUozLYS0pgiJMsg2fLCul3Ihs/k5nkr8CibpT1wJHApIRmdDj7Hmvjvj9WYExlo=
01.partners.	3600	in	ns	bruce.ns.cloudflare.com.
01.partners.	3600	in	ns	olga.ns.cloudflare.com.
01qm1bqcbj00rbgft0odfvfg0f0raq0q.partners.	3600	in	nsec3	1 1 0 73 02G2TH15U9PDIODO6P1704JJ0USCC750 NS DS RRSIG
01qm1bqcbj00rbgft0odfvfg0f0raq0q.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. dPBogLquo/Hm+fZcQTu+FDzMarJZFKvht7FcCsGIqDJhrD2531A5nXnZDht7+M6Z1Am6kiuPhciFksC/64RK8C0mD+7M3/J5IPl0nBtzcCu2z5Y65o/QqIznY3jcT9Lql+eAGgeLXwdlQ/U9aJY579ARtBEqVyKtBZGIG4VFCos=
02g2th15u9pdiodo6p1704jj0uscc750.partners.	3600	in	nsec3	1 1 0 73 03L265UJ3M4OCLI8M18ELF33OMJU7IV6 NS DS RRSIG
02g2th15u9pdiodo6p1704jj0uscc750.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. aCqCJmxCqEb5JFCgql7FNFiWunyH5KsM904VWTuZfX8nONzfu5FLRercN67o7wAKPw8ctwdaVrGFeiriuSPyso8o5gpPv2qUBLW0xfNAJAZsXgwTk2+Y+7qARFNNGFs7AyPzocDR1YM5BbjP9p7PLgdiCyiVncGRm7uXMmokQyQ=
03l265uj3m4ocli8m18elf33omju7iv6.partners.	3600	in	nsec3	1 1 0 73 04JL5104IKMCE37R2I7S9PGTTO6OHI4U NS DS RRSIG
03l265uj3m4ocli8m18elf33omju7iv6.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. qS+5yAlmD7xWJkZgT54m9UBL6GuX61TMoHvvmdKgT6Qv7kgjbjLQLJkd2SlMv4vX828YfgqR2NmKrMiy3BG7Ie0zrYPPK+pH/grTnKwzVqKFXUAXf0eP6tN38bhfd7etKWqvGQtV+hmbWvqWN4Il9olW7GhiQeboFUyzvGkQHzE=
04jl5104ikmce37r2i7s9pgtto6ohi4u.partners.	3600	in	nsec3	1 1 0 73 04SU42LDHPKCAADDVGOMK0JEP84L2AM0 NS DS RRSIG
04jl5104ikmce37r2i7s9pgtto6ohi4u.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. P5a5PxoaN8FQmGz5JJxKYUlCwgRj+wJcqJQSmbC9v+8jgThaTcL9xBXJJ7xWq0ON36Qkxs4r5kWPyrZaIa3XdT4b9gWv8tEvIr16zgNW8lrrgQTjvyU2+qVAR4OV6K6/mfthsVrr2FHjIQ80VSR6rd+M1W1A7MtHh5udm4ofUEw=
04su42ldhpkcaaddvgomk0jep84l2am0.partners.	3600	in	nsec3	1 1 0 73 04UONLCFQMBTDD6F0PTM02QAG6R06H4K NS DS RRSIG
04su42ldhpkcaaddvgomk0jep84l2am0.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. FtWSkDShEDWYh1qlu9wBrty/axcCZMXWFLOo6sexvvuL7r93e84uMnTf8mK3EGqJYhVHpR+apwL8FZXVYicG1cwx1FP202+TCj7ULvGTLW0Zec+Qh5YjOZLIBmYk9PBnF4PSARXjE7CbvloKLaksnUhXZ5J8ayiDOipeEllm5t4=
04uonlcfqmbtdd6f0ptm02qag6r06h4k.partners.	3600	in	nsec3	1 1 0 73 05LR8LR7GBN60BB9H2DS74I97NUSIS8L NS DS RRSIG
