04p2oshqr9gunc4eok38llj1duaoiu97.paris.	600	in	rrsig	NSEC3 13 2 600 20260131104027 20260101182027 38200 paris. N8QvReEiFX00I84RZm8ZhXTTAHFoH6SeYAPrVg6dtxgUpT7754QuXaDEAkf4cQs3+pfwZDQl3GPYj4Z9bfbnMA==
0571jafruplgvgutm8cro3cmn15rmdsq.paris.	600	in	nsec3	1 1 0 - 05B59SP7NQJLGV47C8OIRTO37KLMGAAJ NS DS RRSIG
0571jafruplgvgutm8cro3cmn15rmdsq.paris.	600	in	rrsig	NSEC3 13 2 600 20260201213353 20260102211541 38200 paris. Q1tXPpfNs2nOMh4ffaW3dKz2PiFiKpif97E/XzbWyikUD5AH+YwTTUgz72+OngvHDxjazLrgnJtCgoEPFtQvaQ==
05b59sp7nqjlgv47c8oirto37klmgaaj.paris.	600	in	nsec3	1 1 0 - 05L6QQ2HLTPTGBI71DT80KO2IHUSSRDD NS DS RRSIG
05b59sp7nqjlgv47c8oirto37klmgaaj.paris.	600	in	rrsig	NSEC3 13 2 600 20260124193326 20251225184626 38200 paris. 4JyC1bwvAadJFb1kKjdcJspjxWFRUA4/Z4qleW/waBUA0xH09CrtiFPynxkiEHVip7rEhle29iPLB/X0x0dYKA==
05l6qq2hltptgbi71dt80ko2ihussrdd.paris.	600	in	nsec3	1 1 0 - 067H33GIAV4LNKUDOBJFKL0365IVE0HR NS DS RRSIG
05l6qq2hltptgbi71dt80ko2ihussrdd.paris.	600	in	rrsig	NSEC3 13 2 600 20260129131347 20251230125103 38200 paris. kD/jPo4ve1Dk6V+HjRTLTgcSBAyF64VQO1Ddes3IjTKpUmmCijJzQRWRjV04LVGxGiZwCI6Z7tS6KtnJo9320A==
0607486104.paris.	3600	in	ns	ns89.worldnic.com.
0607486104.paris.	3600	in	ns	ns90.worldnic.com.
065.paris.	3600	in	ns	ns1046.ui-dns.org.
065.paris.	3600	in	ns	ns1074.ui-dns.com.
065.paris.	3600	in	ns	ns1100.ui-dns.de.
065.paris.	3600	in	ns	ns1111.ui-dns.biz.
067h33giav4lnkudobjfkl0365ive0hr.paris.	600	in	nsec3	1 1 0 - 06HABRDH3S0EQ0MGHEVAMAP9BSUBLTF4 NS DS RRSIG
067h33giav4lnkudobjfkl0365ive0hr.paris.	600	in	rrsig	NSEC3 13 2 600 20260202040233 20260103031510 38200 paris. gLD7Da7XrtLCpvnrKrpNWMrmhtm+BtxlC2T+xOAYQJPUmCAMSs95eD091a8u2H1MmEAVKVKuLmhevbPOgBCvyA==
06habrdh3s0eq0mghevamap9bsubltf4.paris.	600	in	nsec3	1 1 0 - 06LU7HLJMVCSAPO391JEN93D7T1HSGDQ NS DS RRSIG
06habrdh3s0eq0mghevamap9bsubltf4.paris.	600	in	rrsig	NSEC3 13 2 600 20260130200041 20251231195713 38200 paris. c+cK0QZzXyG4RwZNSoM7OiAI4yqO5RJ1ByKtyv53D8WdhS/HzKp4cB1onrQqvuSaLTCIV5Yokbaf3nOYX2kt/g==
06lu7hljmvcsapo391jen93d7t1hsgdq.paris.	600	in	nsec3	1 1 0 - 06RPA5J9AL0BGD3AC1B4MAMHCI85QDLB NS DS RRSIG
06lu7hljmvcsapo391jen93d7t1hsgdq.paris.	600	in	rrsig	NSEC3 13 2 600 20260202042521 20260103033110 38200 paris. 2IrycjGujnbSV0Iz3SFUTDwm4Xwt3jMJ0V6rduTb5QmMbOR1jcKVoFFCQQy6GnMKDNnXXQSx72TQSLGjEBu2qg==
06rpa5j9al0bgd3ac1b4mamhci85qdlb.paris.	600	in	nsec3	1 1 0 - 075E3TL1NMBA08H3TMNJUGMVVCG51BFB NS DS RRSIG
06rpa5j9al0bgd3ac1b4mamhci85qdlb.paris.	600	in	rrsig	NSEC3 13 2 600 20260127102349 20251228095805 38200 paris. BO0JMMgiqgBsVL/JBfU/3HC75hQHx312R3XjpsK6smaRDs+ke+TLu7kEhKUFzspRl0nQ6GH7bYohFap2+Fsldw==
075e3tl1nmba08h3tmnjugmvvcg51bfb.paris.	600	in	nsec3	1 1 0 - 07CJO0MB87E3141GLJPTQHDUIE2PTN49 NS DS RRSIG
075e3tl1nmba08h3tmnjugmvvcg51bfb.paris.	600	in	rrsig	NSEC3 13 2 600 20260114162923 20251215154152 38200 paris. i+lsiLkXIiA67lt3LR8q9fET1D1LNrZEEPeannEfIa0J/03bfuuRRSXgpQT8OTiqa095axjWkIfykK54UIWu/g==
07cjo0mb87e3141gljptqhduie2ptn49.paris.	600	in	nsec3	1 1 0 - 07I3NQC6UTCF02Q8SH3CGODFTJNBL2CT NS DS RRSIG
07cjo0mb87e3141gljptqhduie2ptn49.paris.	600	in	rrsig	NSEC3 13 2 600 20260127080822 20251228072430 38200 paris. Ie6DcSfDAH+7dFydyUEK97s+ivf/hS255qw+U4HrEiTIl4EhL++xjTyQM3kYO2UAHW5SbWhWKCI+c099q0vioQ==
07i3nqc6utcf02q8sh3cgodftjnbl2ct.paris.	600	in	nsec3	1 1 0 - 07OO5U83BG2E9NLTQ4BDE71U7UM3UTSL NS DS RRSIG
07i3nqc6utcf02q8sh3cgodftjnbl2ct.paris.	600	in	rrsig	NSEC3 13 2 600 20260122230210 20251223223848 38200 paris. 0rSq85tgMTWIInuDK028OiOWMf1P1KEt/sePG06SBjpOhspAntpa5b5t7bq2B1rBtyW5EUK2PfCjCPYL8m4jug==
07oo5u83bg2e9nltq4bde71u7um3utsl.paris.	600	in	nsec3	1 1 0 - 08NT4A02J7LGCCEIVIEPO83SALGU6R0S NS DS RRSIG
07oo5u83bg2e9nltq4bde71u7um3utsl.paris.	600	in	rrsig	NSEC3 13 2 600 20260114235724 20251216043022 38200 paris. kTaJGymJqkPFk34RGrH8WW1sTnmcSfyeD/DdZKILKFjO8A0IpbGPHRDsq23DuZJ8CkBWBw6R9UgwHFvQWkhH2g==
0800flowers.paris.	3600	in	ns	dns1.cscdns.net.
0800flowers.paris.	3600	in	ns	dns2.cscdns.net.
08nt4a02j7lgcceiviepo83salgu6r0s.paris.	600	in	nsec3	1 1 0 - 096I8GA4V9KEQ9UL6KH20FK11MO51066 NS DS RRSIG
08nt4a02j7lgcceiviepo83salgu6r0s.paris.	600	in	rrsig	NSEC3 13 2 600 20260127024328 20251228021202 38200 paris. GQxpvPusO71c7Z/bZFT4XL5Skc3z4fPrBGzxUy/2o5JnLlZhJARjkoJZrbROsBLa3r96k/z/PVrlLzLR+ZgiXg==
096i8ga4v9keq9ul6kh20fk11mo51066.paris.	600	in	nsec3	1 1 0 - 09CDHS1HLS7153OKV7B9103DUENEUQDJ NS DS RRSIG
096i8ga4v9keq9ul6kh20fk11mo51066.paris.	600	in	rrsig	NSEC3 13 2 600 20260128133958 20251229130844 38200 paris. dGPQVXLVWn7C8697GW83fZPOxrvdJ0tfMSZggpawMps3yAiew4amcAtqcfZ5vhLNXhkxRBz7n5Wxu9NKmZQhxw==
09cdhs1hls7153okv7b9103dueneuqdj.paris.	600	in	nsec3	1 1 0 - 0A4O0S78C4G67DU3NPMV6EA8153AU6GE NS DS RRSIG
09cdhs1hls7153okv7b9103dueneuqdj.paris.	600	in	rrsig	NSEC3 13 2 600 20260201035645 20260102030804 38200 paris. 7YkU6N41wdcK+DgbWCCT/5Nun/jzJtFpu9UegAB5oeupMBHMkLYdvpD91jfcrez1FXjuPeVE5tLiqwW+TKUApg==
0a4o0s78c4g67du3npmv6ea8153au6ge.paris.	600	in	nsec3	1 1 0 - 0A75T0GSMSNSDD9E2N4PL9RPL6ICTOUP NS DS RRSIG
0a4o0s78c4g67du3npmv6ea8153au6ge.paris.	600	in	rrsig	NSEC3 13 2 600 20260123031252 20251224021446 38200 paris. yB8SyxUBMJSruopwP+265UPMvk3uhPw1MUvvRhkAhOoU+ObhuprcWo2U9jMQUG4K4IPBT1YJarpbqRpqPOAU4w==
0a75t0gsmsnsdd9e2n4pl9rpl6ictoup.paris.	600	in	nsec3	1 1 0 - 0AURNHTFLIQQIQHOL9UOG0U8R9D8KGKG NS DS RRSIG
0a75t0gsmsnsdd9e2n4pl9rpl6ictoup.paris.	600	in	rrsig	NSEC3 13 2 600 20260113203751 20251214203741 38200 paris. g544Y87G0oKPOByG/RmNKffr47tnRWFx/QVsFmKyPNuYGJzBUtHDW95Em1hxqXoZFGUQN9nLhbsmuDGdgZzIXg==
0aurnhtfliqqiqhol9uog0u8r9d8kgkg.paris.	600	in	nsec3	1 1 0 - 0AV8UTBPKOUF6PT5VBNHMLE27CLTDNMI NS DS RRSIG
0aurnhtfliqqiqhol9uog0u8r9d8kgkg.paris.	600	in	rrsig	NSEC3 13 2 600 20260123050841 20251224041252 38200 paris. Ypk4hBzcx5F1AX+ywALa43yCEafgTJLynWr66GLR0CPuDyFUUI0PilCGk8WOUxLnxvpK+s5oUFYMbFGjmpwWsg==
0av8utbpkouf6pt5vbnhmle27cltdnmi.paris.	600	in	nsec3	1 1 0 - 0B5DO5LU4ML6G8ALNFI2NOHL5U5VFDKI NS DS RRSIG
0av8utbpkouf6pt5vbnhmle27cltdnmi.paris.	600	in	rrsig	NSEC3 13 2 600 20260122184648 20251223183907 38200 paris. xCiLfeN8cxAVZx3grPzAANu9MTypwLvThBkaU1r6HxYb89UE+eZ96nGUOemS8mrVCfrNxrQPXt/aUMpWoQCIYA==
0b5do5lu4ml6g8alnfi2nohl5u5vfdki.paris.	600	in	nsec3	1 1 0 - 0BERHFUCNJ4VJNQTMCRJG5P6T0AUTHHD NS DS RRSIG
0b5do5lu4ml6g8alnfi2nohl5u5vfdki.paris.	600	in	rrsig	NSEC3 13 2 600 20260128222504 20251229221908 38200 paris. WtVRydSuj+ZhOn8ddrD56zOqPTMZrDwH6vEZycGdfdpu7lKDAF8QzzAjRtZ4vD5qgoVbjAJ29bXN5S6p/9Z0Sg==
0berhfucnj4vjnqtmcrjg5p6t0authhd.paris.	600	in	nsec3	1 1 0 - 0BFNTGDD0GIV48GEBUU7B5CRKDTJUNE5 NS DS RRSIG
0berhfucnj4vjnqtmcrjg5p6t0authhd.paris.	600	in	rrsig	NSEC3 13 2 600 20260122221131 20251223214914 38200 paris. N/UmGHaByYCywGGw5ZEsvn5RETOPUjKt+PgiicMtw/H397GJ/SxyGRkU+6E59chb4J/mQmausZ5hIl2hwe6yqA==
0bfntgdd0giv48gebuu7b5crkdtjune5.paris.	600	in	nsec3	1 1 0 - 0BJIHBHLRG9AMHRD2FDGFVG6OIHS368M NS DS RRSIG
