dev-cognix.weir.	3600	in	ns	dns2.cscdns.net.
dev-oneengine.weir.	3600	in	ns	dns1.cscdns.net.
dev-oneengine.weir.	3600	in	ns	dns2.cscdns.net.
dev.weir.	3600	in	ns	dns1.cscdns.net.
dev.weir.	3600	in	ns	dns2.cscdns.net.
developers.weir.	3600	in	ns	dns1.cscdns.net.
developers.weir.	3600	in	ns	dns2.cscdns.net.
dewateringsolutions.weir.	3600	in	ns	dns1.cscdns.net.
dewateringsolutions.weir.	3600	in	ns	dns2.cscdns.net.
dina-dev.weir.	3600	in	ns	ns1-33.azure-dns.com.
dina-dev.weir.	3600	in	ns	ns2-33.azure-dns.net.
dina-dev.weir.	3600	in	ns	ns3-33.azure-dns.org.
dina-dev.weir.	3600	in	ns	ns4-33.azure-dns.info.
dina-staging.weir.	3600	in	ns	dns1.cscdns.net.
dina-staging.weir.	3600	in	ns	dns2.cscdns.net.
dina.weir.	3600	in	ns	dns1.cscdns.net.
dina.weir.	3600	in	ns	dns2.cscdns.net.
dls.weir.	3600	in	ns	dns1.cscdns.net.
dls.weir.	3600	in	ns	dns2.cscdns.net.
durex.weir.	3600	in	ns	dns1.cscdns.net.
durex.weir.	3600	in	ns	dns2.cscdns.net.
edge.weir.	3600	in	ns	dns1.cscdns.net.
edge.weir.	3600	in	ns	dns2.cscdns.net.
edgeedu.weir.	3600	in	ns	dns1.cscdns.net.
edgeedu.weir.	3600	in	ns	dns2.cscdns.net.
edgeservice.weir.	3600	in	ns	dns1.cscdns.net.
edgeservice.weir.	3600	in	ns	dns2.cscdns.net.
enduron.weir.	3600	in	ns	dns1.cscdns.net.
enduron.weir.	3600	in	ns	dns2.cscdns.net.
enduronhpgr.weir.	3600	in	ns	dns1.cscdns.net.
enduronhpgr.weir.	3600	in	ns	dns2.cscdns.net.
enduronhpgres.weir.	3600	in	ns	dns1.cscdns.net.
enduronhpgres.weir.	3600	in	ns	dns2.cscdns.net.
enduronhpgrru.weir.	3600	in	ns	dns1.cscdns.net.
enduronhpgrru.weir.	3600	in	ns	dns2.cscdns.net.
enduronhpgrtr.weir.	3600	in	ns	dns1.cscdns.net.
enduronhpgrtr.weir.	3600	in	ns	dns2.cscdns.net.
envirotech.weir.	3600	in	ns	dns1.cscdns.net.
envirotech.weir.	3600	in	ns	dns2.cscdns.net.
esco-track.weir.	3600	in	ns	dns1.cscdns.net.
esco-track.weir.	3600	in	ns	dns2.cscdns.net.
esco-trackpro.weir.	3600	in	ns	dns1.cscdns.net.
esco-trackpro.weir.	3600	in	ns	dns2.cscdns.net.
esco-trucks.weir.	3600	in	ns	dns1.cscdns.net.
esco-trucks.weir.	3600	in	ns	dns2.cscdns.net.
esco-ultralok.weir.	3600	in	ns	dns1.cscdns.net.
esco-ultralok.weir.	3600	in	ns	dns2.cscdns.net.
esco.weir.	3600	in	ns	ali.ns.cloudflare.com.
esco.weir.	3600	in	ns	ryan.ns.cloudflare.com.
escoresourcecenter.weir.	3600	in	ns	dns1.cscdns.net.
