1g0a1gdu6eu6d5b125ghj1op9g1hi7r2.forsale.	3600	in	nsec3	1 1 0 73 1TMLJCUF431EPDS84A06FQ8PCGP2UM7J NS DS RRSIG
1g0a1gdu6eu6d5b125ghj1op9g1hi7r2.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. fhjgIuXyMX6OlHqgRWCOCpZ49pVXiK4PBObJBx1tKS1XM1GA8b4JAo2aHeD5hI5WoLSZMs0ClmypK3SUtExZ58pVfPdj1Q6FcI04iS3VY1tld8E6hWC9CFd1BwzKZFKJsec14kuDGvU4uUquDMLrgqdKLfCbUOtzxi7U17VPInY=
1st.forsale.	3600	in	ns	ns1.atom.com.
1st.forsale.	3600	in	ns	ns2.atom.com.
1tmljcuf431epds84a06fq8pcgp2um7j.forsale.	3600	in	nsec3	1 1 0 73 1VRHNR3H6PPO2CIGBCGIRVIS9BHLPK3H NS DS RRSIG
1tmljcuf431epds84a06fq8pcgp2um7j.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. gv3d8OASAATYwykbyvlx0Cj7UwIO5xm8Hi5ejaGGdgl2UhNANmYWbqdFn05W7PFFxtPB4D9uT7DzPWPRZohEdcVd9bei+hwd2FV8WRSvLoPHq2Clqjg4vAyCtDD5TuWQidPAKdECHSt4mOU2XXwklhTSMnJxYiTG/e7Yfj2n+6I=
1vrhnr3h6ppo2cigbcgirvis9bhlpk3h.forsale.	3600	in	nsec3	1 1 0 73 29NBHNOS7OC2G91241LCT4MD1K0TPNCG NS DS RRSIG
1vrhnr3h6ppo2cigbcgirvis9bhlpk3h.forsale.	3600	in	rrsig	NSEC3 8 2 3600 20260122154631 20260101144631 46734 forsale. bUUO2Zs3faIw4CGvgwKFIJEOSBwGDpRAZWurmVuPaR6hY9lQJF0ddPIFxty38XFDxeqORR8jFETffru8PSO1vIm1rsYbcBKA19MNYDdQmjQHSk3xSuSwof7nh1K58B0Y0fS3lX2FmtJQYCYJoV65c4/9s/wykmg8ftfCZq/TpjM=
1x.forsale.	3600	in	ns	ns1.hover.com.
1x.forsale.	3600	in	ns	ns2.hover.com.
1xbet.forsale.	3600	in	ns	ns1.dnsres.net.
1xbet.forsale.	3600	in	ns	ns2.dnsres.net.
1xbet.forsale.	3600	in	ns	ns3.dnsres.net.
201201.forsale.	3600	in	ns	ns1.dyna-ns.net.
201201.forsale.	3600	in	ns	ns2.dyna-ns.net.
201202.forsale.	3600	in	ns	ns1.dyna-ns.net.
201202.forsale.	3600	in	ns	ns2.dyna-ns.net.
201203.forsale.	3600	in	ns	ns1.dyna-ns.net.
201203.forsale.	3600	in	ns	ns2.dyna-ns.net.
201204.forsale.	3600	in	ns	ns1.dyna-ns.net.
201204.forsale.	3600	in	ns	ns2.dyna-ns.net.
203121.forsale.	3600	in	ns	ns1.1233dns.com.
203121.forsale.	3600	in	ns	ns2.951dns.com.
207.forsale.	3600	in	ns	ns03.domaincontrol.com.
207.forsale.	3600	in	ns	ns04.domaincontrol.com.
20954.forsale.	3600	in	ns	ns1.dnsip.com.
20954.forsale.	3600	in	ns	ns2.dnsip.com.
20trackdomain.forsale.	3600	in	ns	ns1cmt.name.com.
20trackdomain.forsale.	3600	in	ns	ns2jrt.name.com.
20trackdomain.forsale.	3600	in	ns	ns3jwx.name.com.
20trackdomain.forsale.	3600	in	ns	ns4sxy.name.com.
23941.forsale.	3600	in	ns	ns1.dyna-ns.net.
23941.forsale.	3600	in	ns	ns2.dyna-ns.net.
23win.forsale.	3600	in	ns	coraline.ns.cloudflare.com.
23win.forsale.	3600	in	ns	olof.ns.cloudflare.com.
244365.forsale.	3600	in	ns	ns1.dyna-ns.net.
244365.forsale.	3600	in	ns	ns2.dyna-ns.net.
244366.forsale.	3600	in	ns	ns1.dyna-ns.net.
244366.forsale.	3600	in	ns	ns2.dyna-ns.net.
244367.forsale.	3600	in	ns	ns1.dyna-ns.net.
244367.forsale.	3600	in	ns	ns2.dyna-ns.net.
244368.forsale.	3600	in	ns	ns1.dyna-ns.net.
244368.forsale.	3600	in	ns	ns2.dyna-ns.net.
